arrest_key,arrest_date,pd_cd,pd_desc,ky_cd,ofns_desc,law_code,law_cat_cd,arrest_boro,arrest_precinct,jurisdiction_code,age_group,perp_sex,perp_race,x_coord_cd,y_coord_cd,latitude,longitude
173114460,2017-12-31T00:00:00.000,478,"THEFT OF SERVICES, UNCLASSIFIED",343.0,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,M,24,0,25-44,M,BLACK,992586,227883,40.79216659000008,-73.96989644099993
173115841,2017-12-31T00:00:00.000,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456002,M,K,66,0,25-44,M,WHITE,990399,164172,40.61729672100006,-73.97785283799993
173115846,2017-12-31T00:00:00.000,567,"MARIJUANA, POSSESSION 4 & 5",235.0,DANGEROUS DRUGS,PL 2211500,M,K,79,0,25-44,M,BLACK,998034,188480,40.68400831000002,-73.95030201899993
173116026,2017-12-31T00:00:00.000,114,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,B,46,0,18-24,M,BLACK,1012078,252019,40.85837313300004,-73.89940208399997
173116029,2017-12-31T00:00:00.000,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,49,0,25-44,M,WHITE HISPANIC,1021177,247658,40.84637012600007,-73.86653288799994
173116030,2017-12-31T00:00:00.000,905,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL119202X,M,K,77,0,25-44,M,WHITE HISPANIC,1004127,182891,40.668656183000046,-73.92834966199997
173117787,2017-12-31T00:00:00.000,748,"CONTEMPT,CRIMINAL",359.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2155003,M,M,30,0,25-44,M,WHITE HISPANIC,999357,238995,40.82265698000003,-73.94541834399996
173119054,2017-12-31T00:00:00.000,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,33,0,25-44,M,WHITE HISPANIC,1000478,248304,40.848205506000056,-73.94134553899994
173122745,2017-12-31T00:00:00.000,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341.0,PETIT LARCENY,PL 1552500,M,M,14,0,25-44,M,WHITE,987655,212901,40.751048180000055,-73.98771206699998
173123523,2017-12-31T00:00:00.000,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,79,0,65+,F,WHITE,1000245,187997,40.68267886600006,-73.94233121199994
173124311,2017-12-31T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200506,F,B,43,0,45-64,M,WHITE HISPANIC,1018624,241853,40.83044740700007,-73.87579016199999
173128425,2017-12-31T00:00:00.000,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,48,0,18-24,M,WHITE HISPANIC,1016402,247804,40.84678953000007,-73.88379087699997
173127014,2017-12-31T00:00:00.000,259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450001,M,Q,104,0,25-44,M,WHITE,1017324,198914,40.712596129000076,-73.88069905099997
173127011,2017-12-31T00:00:00.000,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,101,0,25-44,M,WHITE HISPANIC,1044074,156299,40.59548717900003,-73.78458649099997
173116154,2017-12-31T00:00:00.000,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341.0,PETIT LARCENY,PL 1552500,M,M,20,0,45-64,M,WHITE,991040,225092,40.78450736500002,-73.97548255699996
173134156,2017-12-31T00:00:00.000,905,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U3,M,Q,115,0,18-24,M,WHITE HISPANIC,1020498,217613,40.76390776800002,-73.86914926699995
173113507,2017-12-31T00:00:00.000,922,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",348.0,VEHICLE AND TRAFFIC LAWS,VTL05110A2,M,B,46,0,25-44,M,BLACK HISPANIC,1014295,253237,40.86170890900007,-73.89138208599996
173113508,2017-12-31T00:00:00.000,113,"MENACING,UNCLASSIFIED",344.0,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,B,48,0,25-44,M,WHITE,1015457,250526,40.854263999000075,-73.88719382299998
173114445,2017-12-31T00:00:00.000,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456002,M,B,40,0,18-24,M,BLACK HISPANIC,1006075,236932,40.81698058400008,-73.92115225499998
173114455,2017-12-31T00:00:00.000,969,"TRAFFIC,UNCLASSIFIED INFRACTION",881.0,OTHER TRAFFIC INFRACTION,VTL051101A,M,K,90,0,65+,M,BLACK,999153,195479,40.70321713100003,-73.94625188399993
173116035,2017-12-31T00:00:00.000,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,30,0,45-64,M,WHITE HISPANIC,998981,242209,40.83147912800007,-73.94676981299993
173116039,2017-12-31T00:00:00.000,681,"CHILD, ENDANGERING WELFARE",233.0,SEX CRIMES,PL 2601001,M,Q,115,0,25-44,M,WHITE HISPANIC,1018699,215043,40.75686097700003,-73.87565666399996
173116271,2017-12-31T00:00:00.000,478,"THEFT OF SERVICES, UNCLASSIFIED",343.0,OTHER OFFENSES RELATED TO THEFT,PL 1651502,M,M,14,0,18-24,M,ASIAN / PACIFIC ISLANDER,987404,215746,40.75885707500004,-73.98861664699997
173124320,2017-12-31T00:00:00.000,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341.0,PETIT LARCENY,PL 1552500,M,Q,104,0,25-44,F,WHITE,1010150,194348,40.70008745000007,-73.90659417999996
173116540,2017-12-31T00:00:00.000,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 2155100,F,Q,100,0,25-44,F,WHITE HISPANIC,1034278,159535,40.60443003300003,-73.81983596699997
173117301,2017-12-31T00:00:00.000,750,RESISTING ARREST,359.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2053000,M,B,46,0,25-44,M,BLACK HISPANIC,1007610,250032,40.85293236500007,-73.91556100299994
173121077,2017-12-31T00:00:00.000,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200002,M,B,43,0,25-44,M,BLACK,1019071,240911,40.82786013700007,-73.87417980899994
173121080,2017-12-31T00:00:00.000,263,"ARSON 2,3,4",114.0,ARSON,PL 1500501,F,K,67,71,45-64,M,BLACK HISPANIC,996876,177505,40.65388611000003,-73.95449784399995
173121853,2017-12-31T00:00:00.000,759,"PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4",359.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2052001,M,B,41,72,25-44,F,WHITE HISPANIC,1017934,232221,40.804012949000025,-73.87833183299993
173122737,2017-12-31T00:00:00.000,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,K,68,0,25-44,M,WHITE,977236,171575,40.63761575800004,-74.02527345399994
173122744,2017-12-31T00:00:00.000,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,18,0,25-44,M,WHITE HISPANIC,987910,216657,40.76135734300004,-73.98678967299998
173129131,2017-12-31T00:00:00.000,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456500,M,Q,104,0,18-24,F,WHITE,1008555,201367,40.71935745800005,-73.91232114099995
173129132,2017-12-31T00:00:00.000,681,"CHILD, ENDANGERING WELFARE",233.0,SEX CRIMES,PL 2601001,M,Q,101,0,25-44,M,BLACK,1053678,159044,40.60295159100008,-73.74997626099997
173129133,2017-12-31T00:00:00.000,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 2155100,F,Q,115,0,25-44,M,WHITE HISPANIC,1021129,212565,40.75004970100008,-73.86689910299998
173130598,2017-12-31T00:00:00.000,793,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650201,F,M,7,2,25-44,M,WHITE HISPANIC,988733,198985,40.71285168700007,-73.98383060199995
173116544,2017-12-31T00:00:00.000,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,Q,114,0,18-24,F,WHITE HISPANIC,1006579,215870,40.75916979300007,-73.91940141999999
173117303,2017-12-31T00:00:00.000,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 2155100,F,K,83,0,25-44,F,BLACK,1007128,193705,40.69833089400004,-73.91749507299994
173117306,2017-12-31T00:00:00.000,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,Q,114,0,25-44,F,WHITE,1006579,215870,40.75916979300007,-73.91940141999999
173117309,2017-12-31T00:00:00.000,750,RESISTING ARREST,359.0,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2053000,M,Q,114,0,18-24,F,WHITE HISPANIC,1007550,219173,40.76823316900004,-73.91588499699996
173117788,2017-12-31T00:00:00.000,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,34,0,25-44,M,BLACK,1006209,253743,40.863121541000055,-73.92061310099997
173121086,2017-12-31T00:00:00.000,244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,Q,106,0,<18,M,WHITE,1028605,187930,40.68239828900005,-73.84007936899997
173121859,2017-12-31T00:00:00.000,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341.0,PETIT LARCENY,PL 1552500,M,M,14,0,25-44,M,WHITE,987220,212676,40.75043076800005,-73.98928217599996
173123522,2017-12-31T00:00:00.000,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,62,0,25-44,M,ASIAN / PACIFIC ISLANDER,986344,160954,40.608465858000045,-73.99245988199993
173124317,2017-12-31T00:00:00.000,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,23,0,25-44,M,BLACK,999569,227672,40.79157810700008,-73.94467820399994
173124322,2017-12-31T00:00:00.000,500,"CONTROLLED SUBSTANCE,POSSESS. 1",117.0,DANGEROUS DRUGS,PL 2202101,F,Q,105,0,25-44,F,WHITE HISPANIC,1050931,202071,40.72107185400005,-73.75944323599998
173126360,2017-12-31T00:00:00.000,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341.0,PETIT LARCENY,PL 1552500,M,K,71,0,45-64,F,BLACK,1003292,180090,40.66096989500005,-73.93136754499993
173126998,2017-12-31T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200512,F,K,77,0,45-64,M,BLACK,993974,184839,40.674019979000036,-73.96494595799999
173128429,2017-12-31T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,K,72,0,25-44,M,WHITE HISPANIC,979695,175314,40.647880118000046,-74.01641600299997
173128432,2017-12-31T00:00:00.000,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,32,2,25-44,M,WHITE HISPANIC,1000641,237827,40.81944886100007,-73.94078197699997
173129344,2017-12-31T00:00:00.000,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,79,0,25-44,M,WHITE HISPANIC,996079,187562,40.681491437000034,-73.95735255399995
173130584,2017-12-31T00:00:00.000,793,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650201,F,K,83,0,25-44,M,BLACK HISPANIC,1007657,192892,40.696098015000075,-73.91559013399994
173165717,2017-12-31T00:00:00.000,792,WEAPONS POSSESSION 1 & 2,118.0,DANGEROUS WEAPONS,PL 2650802,F,B,47,0,<18,M,BLACK,1024906,263255,40.88916270800007,-73.85296022699998
173116156,2017-12-31T00:00:00.000,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,110,0,25-44,F,BLACK HISPANIC,1020728,211337,40.74668081600004,-73.86835303699996
173116036,2017-12-31T00:00:00.000,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,7,0,25-44,M,WHITE,986760,200793,40.717814995000026,-73.99094683099996
173115849,2017-12-31T00:00:00.000,849,"NY STATE LAWS,UNCLASSIFIED VIOLATION",677.0,OTHER STATE LAWS,LOC000000V,V,K,69,1,45-64,M,BLACK HISPANIC,1011359,174331,40.645141680000044,-73.90231447799994
173121855,2017-12-31T00:00:00.000,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,14,0,25-44,M,BLACK,986685,215375,40.75783900300007,-73.99121211099998
173114458,2017-12-31T00:00:00.000,511,"CONTROLLED SUBSTANCE, POSSESSION 7",235.0,DANGEROUS DRUGS,PL 2200300,M,M,34,0,18-24,M,BLACK,1006854,254559,40.86535958600007,-73.91827848199993
173115844,2017-12-31T00:00:00.000,905,"INTOXICATED DRIVING,ALCOHOL",347.0,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,K,70,0,25-44,M,BLACK,995708,176233,40.65039633400005,-73.95870942899995
173115847,2017-12-31T00:00:00.000,117,RECKLESS ENDANGERMENT 1,126.0,MISCELLANEOUS PENAL LAW,PL 1202500,F,K,77,0,25-44,M,BLACK HISPANIC,998951,186113,40.677509956000044,-73.94700085899994
173116147,2017-12-31T00:00:00.000,101,ASSAULT 3,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0,25-44,F,BLACK,1023210,257960,40.874637248000056,-73.859124964
173116153,2017-12-31T00:00:00.000,478,"THEFT OF SERVICES, UNCLASSIFIED",343.0,OTHER OFFENSES RELATED TO THEFT,PL 16515M9,M,M,32,0,18-24,M,BLACK HISPANIC,999428,236544,40.815929553000046,-73.94516735699995
173116273,2017-12-31T00:00:00.000,244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,Q,106,0,<18,M,WHITE HISPANIC,1026310,186741,40.67914596100008,-73.84836140199997
173119694,2017-12-31T00:00:00.000,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348.0,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,30,0,18-24,M,WHITE HISPANIC,998981,242209,40.83147912800007,-73.94676981299993
173122735,2017-12-31T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,B,44,0,65+,M,WHITE HISPANIC,1008653,241418,40.82928663400003,-73.91182216799997
173114459,2017-12-31T00:00:00.000,793,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650201,F,M,23,0,25-44,M,BLACK,999042,228736,40.79449939700004,-73.946579075
173126365,2017-12-31T00:00:00.000,969,"TRAFFIC,UNCLASSIFIED INFRACTION",881.0,OTHER TRAFFIC INFRACTION,VTL051101A,M,M,23,0,18-24,M,BLACK,999769,228033,40.79256860600003,-73.94395508599996
173126371,2017-12-31T00:00:00.000,114,OBSTR BREATH/CIRCUL,344.0,ASSAULT 3 & RELATED OFFENSES,PL 1211100,M,Q,109,0,25-44,M,WHITE HISPANIC,1033684,216410,40.760541954000075,-73.82155789499996
