,providertype,dfta_id,contractyear,sponsorname,programname,serviceid,servicename,budgetedunits
10,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,100
11,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,24
12,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EACN,ELDER ABUSE COUNSELING,1800
13,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EADL,ELDER ABUSE SECURITY DEV,10
14,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EARS,ELDER ABUSE RESPITE,2251
15,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,2812
16,ELDER ABUSE SERVICES CONTRACTS,64701.0,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,Weill Cornell PROTECT,PCLS,PROTECT CLINICAL SESSIONS,700
17,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,9318
18,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,4500
19,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,2270
20,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,20
21,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,48
22,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EAOT,ELDER ABUSE OTHER,870
23,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,7800
24,ELDER ABUSE SERVICES CONTRACTS,62001.0,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,ELDER ABUSE MULTIDISCIPLINARY TEAMS SERV,EMDT,ELD ABUSE MULTDISCIPLINRY,1940
25,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EALG,ELDER ABUSE LEGAL,380
26,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,SCCA,SR CTR CASE ASSISTANCE,9300
27,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,9318
28,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,160
29,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,4936
30,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,832
31,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,832
32,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,2260
33,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAED,ELDER ABUSE EDUC/OUTREACH,64
34,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,24
35,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,890
36,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,830
37,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,5136
38,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,24
39,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,1580
