program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,number_and_street_address,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,location_1,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
After-School Programs,High School,Children's Arts & Science Workshops,New York,"Children's Arts & Science Workshops, Inc.                    ",212.923.7766,High School,4271 Broadway,10032,40.850456,-73.935609,12.0,10.0,271.0,1064414.0,1021800093.0,Washington Heights North                                                   ,"{'latitude': '40.845420287783', 'longitude': '-73.938725439421', 'human_address': '{""address"": ""4271 Broadway"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10032""}'}",13090.0,47.0,4.0,39.0,21.0
After-School Programs,High School,College S.T.E.P.S.,Brooklyn,Cypress Hills Local Development Corporation,718.647.2800,High School,2836 Fulton Street,11207,40.678271,-73.89001,5.0,37.0,1198.0,3087792.0,3039480021.0,East New York                                                              ,"{'latitude': '40.678267544606', 'longitude': '-73.889934260863', 'human_address': '{""address"": ""2836 Fulton Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11207""}'}",17214.0,45.0,2.0,37.0,47.0
After-School Programs,High School,"Elmcor Youth and Adult Activities, Inc.",Queens,"Elmcor Youth and Adult Activities, Inc.",718.651.0096,High School,33-16 108th Street,11369,40.757429,-73.860938,3.0,21.0,381.0,4042761.0,4017220012.0,North Corona                                                               ,"{'latitude': '40.763413273704', 'longitude': '-73.872378898667', 'human_address': '{""address"": ""33 16 108th Street"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11369""}'}",14511.0,65.0,3.0,21.0,73.0
After-School Programs,High School,Shorefront YM-YWHA,Brooklyn,Shorefront YM-YWHA,718.646.1444,High School,3300 Coney Island Avenue,11235,40.575607,-73.959463,13.0,48.0,36002.0,3326880.0,3086930001.0,Brighton Beach                                                             ,"{'latitude': '40.575793969704', 'longitude': '-73.959507450797', 'human_address': '{""address"": ""3300 Coney Island Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11235""}'}",13826.0,21.0,2.0,15.0,35.0
After-School Programs,High School,Santa Maria School ,Bronx,Reading Excellence and Discovery (READ) Foundation,212.849.6840,High School,1510 Zerega Avenue,10462,40.838263,-73.848818,10.0,18.0,202.0,2041767.0,2039770001.0,Westchester-Unionport                                                      ,"{'latitude': '40.838276361078', 'longitude': '-73.848808382767', 'human_address': '{""address"": ""1510 Zerega Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10462""}'}",11270.0,43.0,5.0,31.0,28.0
After-School Programs,High School,Career Development Institute,Bronx,Federation Employment & Guidance Services (FEGS),212.366.8401,High School,412 E. 147th Street,10455,40.814478,-73.918076,1.0,8.0,43.0,2000506.0,2022910012.0,Mott Haven-Port Morris                                                     ,"{'latitude': '40.814487302565', 'longitude': '-73.918175218003', 'human_address': '{""address"": ""412 147th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10455""}'}",10933.0,49.0,5.0,35.0,23.0
After-School Programs,High School,St. Sebastians Parochial School,Queens,"Woodside On The Move, Inc.",718.476.8449,High School,39-76 58th Street,11377,40.746331,-73.906102,2.0,26.0,257.0,4437102.0,4012280001.0,Woodside                                                                   ,"{'latitude': '40.745193764481', 'longitude': '-73.90484714408', 'human_address': '{""address"": ""39 76 58th Street"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11377""}'}",14787.0,53.0,3.0,33.0,66.0
After-School Programs,High School,Elemetary School 55,Bronx,Bronx Arts Ensemble,718 601.7399,High School,450 St Pauls Place,10456,40.836404,-73.905014,3.0,16.0,14702.0,2009463.0,2029020001.0,Claremont-Bathgate                                                         ,"{'latitude': '40.836276563944', 'longitude': '-73.904611130772', 'human_address': '{""address"": ""450 St Pauls Place"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10456""}'}",10934.0,34.0,5.0,42.0,25.0
After-School Programs,High School,Intermediate School 61,Queens,New York Junior Tennis League,347 417.8135,High School,98-50 50th Avenue,11368,40.742668,-73.863307,4.0,21.0,44302.0,4046834.0,4018910032.0,Corona                                                                     ,"{'latitude': '40.749678220374', 'longitude': '-73.853040688577', 'human_address': '{""address"": ""98 50 50th Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11368""}'}",14510.0,66.0,3.0,21.0,68.0
After-School Programs,High School,Afrikan Poetry Theatre ,Queens,Afrikan Poetry Theatre,718.523.3312,,176-03 Jamaica Avenue,11432,40.707941,-73.784233,12.0,27.0,468.0,4209975.0,4098120008.0,Jamaica                                                                    ,"{'latitude': '40.71311535449', 'longitude': '-73.792820999789', 'human_address': '{""address"": ""176 03 Jamaica Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11432""}'}",24340.0,25.0,3.0,24.0,65.0
After-School Programs,High School,Intermediate School 5 - Walter H. Crowley School,Queens,"Sunnyside Community Service, Inc.",718.784.6173,High School,50-40 Jacobus Street,11373,40.737718,-73.887429,4.0,25.0,489.0,4454423.0,4024500017.0,Elmhurst-Maspeth                                                           ,"{'latitude': '40.738710402563', 'longitude': '-73.878351155182', 'human_address': '{""address"": ""50 40 Jacobus Street"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11373""}'}",14784.0,66.0,3.0,5.0,68.0
After-School Programs,High School,"Northside Center For Child Development, Inc.",New York,"Northside Center For Child Development, Inc.",212.426.3400,High School,1301 5th Avenue,10029,40.797221,-73.948963,11.0,9.0,17402.0,1078884.0,1016160001.0,East Harlem South                                                          ,"{'latitude': '40.797104792393', 'longitude': '-73.949022991028', 'human_address': '{""address"": ""1301 5th Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10029""}'}",12426.0,7.0,4.0,36.0,14.0
After-School Programs,High School,Intermediate School 171 - Abraham Lincoln School,Brooklyn,Cypress Hills Local Development Corporation,718.647.2800,High School,528 Ridgewood Avenue,11208,40.68618,-73.869625,5.0,37.0,1184.0,3092456.0,3041340020.0,Cypress Hills-City Line                                                    ,"{'latitude': '40.686153081044', 'longitude': '-73.869667918389', 'human_address': '{""address"": ""528 Ridgewood Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11208""}'}",17215.0,45.0,2.0,37.0,47.0
After-School Programs,High School,Children's Art Carnival ,New York,Children's Art Carnival ,212.234.4093,High School,62 Hamilton Terrace,10031,40.823075,-73.946309,9.0,7.0,227.0,1060961.0,1020500064.0,Hamilton Heights                                                           ,"{'latitude': '40.823323108747', 'longitude': '-73.946094823072', 'human_address': '{""address"": ""62 Hamilton Terrace"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10031""}'}",12428.0,37.0,4.0,23.0,19.0
After-School Programs,High School,P.S 88,Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,60-85 Catalpa Avenue,11385,40.703779,-73.896374,5.0,30.0,585.0,4085173.0,4035340012.0,Ridgewood                                                                  ,"{'latitude': '40.701224891615', 'longitude': '-73.88334858437', 'human_address': '{""address"": ""60 85 Catalpa Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11385""}'}",15310.0,54.0,3.0,34.0,62.0
After-School Programs,High School,Intermediate School 399,Bronx,Bronx Arts Ensemble,718.601.7399,High School,120 East 184 Street,10453,40.859752,-73.900161,5.0,14.0,23703.0,2013899.0,2031720046.0,Fordham South                                                              ,"{'latitude': '40.859718306517', 'longitude': '-73.900102334856', 'human_address': '{""address"": ""120 184 Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10453""}'}",11606.0,6.0,5.0,29.0,29.0
After-School Programs,High School,G.R.Y.C. Headquarters,Queens,"Greater Ridgewood Youth Council, Inc.",718.456.5437,High School,62-04 Myrtle Avenue,11385,40.700894,-73.893211,5.0,30.0,577.0,4437849.0,4035930001.0,Glendale                                                                   ,"{'latitude': '40.701224891615', 'longitude': '-73.88334858437', 'human_address': '{""address"": ""62 04 Myrtle Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11385""}'}",15310.0,54.0,3.0,34.0,62.0
After-School Programs,High School,Police Athletic League PAL\Harlem Center ,New York,"Police Athletic League, Inc.",212 665-8699,,441 Manhattan Avenue,10026,40.806654,-73.955649,10.0,9.0,257.0,1088138.0,1019450051.0,Central Harlem South                                                       ,"{'latitude': '40.806694644425', 'longitude': '-73.955618643362', 'human_address': '{""address"": ""441 Manhattan Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10026""}'}",12423.0,18.0,4.0,36.0,18.0
After-School Programs,High School,PS 119 ,Bronx,YMCA of Greater New York/Corporate,212.792.9736,High School,1075 Pugsley Avenue,10472,40.828518,-73.856569,9.0,18.0,4001.0,2025696.0,2037890021.0,Soundview-Bruckner                                                         ,"{'latitude': '40.82849055647', 'longitude': '-73.856591999053', 'human_address': '{""address"": ""1075 Pugsley Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10472""}'}",11610.0,58.0,5.0,31.0,26.0
After-School Programs,High School,"Jacob A. Riis Neighborhood Settlement, Inc.",Queens,"Jacob A. Riis Neighborhood Settlement, Inc.",718.784.7447,,10-25 41st Avenue,11101,40.755488,-73.945328,1.0,26.0,25.0,4433386.0,4004700100.0,Queensbridge-Ravenswood-Long Island City                                   ,"{'latitude': '40.745702449808', 'longitude': '-73.938669029252', 'human_address': '{""address"": ""10 25 41st Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11101""}'}",16858.0,53.0,3.0,33.0,66.0
After-School Programs,High School,Trinity Lutheran Church ,New York,Lutheran Social Services of New York,212.784.8960,High School,168 West 100th Street,10025,40.79644,-73.968011,7.0,7.0,185.0,1055907.0,1018520059.0,Upper West Side                                                            ,"{'latitude': '40.796249903199', 'longitude': '-73.967583305119', 'human_address': '{""address"": ""168 100th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10025""}'}",12422.0,20.0,4.0,23.0,15.0
After-School Programs,High School,Junior High School 204 - Oliver Wendell Holmes Middle,Queens,New York Junior Tennis League,718.417.8135,High School, 36-41 28th Street,11106,40.757065,-73.932664,1.0,26.0,51.0,4004156.0,4003430001.0,Queensbridge-Ravenswood-Long Island City                                   ,"{'latitude': '40.761699790013', 'longitude': '-73.931663252957', 'human_address': '{""address"": ""36 41 28th Street"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11106""}'}",16863.0,39.0,3.0,33.0,72.0
After-School Programs,High School,City Parks Foundation,Bronx,City Parks Foundation,212.360.1399,High School,3225 Reservior Oval,10467,,,,,,,,,"{'latitude': '40.877992697278', 'longitude': '-73.879095253984', 'human_address': '{""address"": ""3225 Reservior Oval"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10467""}'}",11605.0,24.0,5.0,40.0,34.0
After-School Programs,High School,Public School 217 - Col. David Marcus Elementary School ,Brooklyn,Flatbush Development Corporation,718.859.3800,,1100 Newkirk Avenue,11230,40.63398,-73.966558,14.0,40.0,526.0,3121072.0,3052320001.0,Flatbush                                                                   ,"{'latitude': '40.633960964399', 'longitude': '-73.966505506315', 'human_address': '{""address"": ""1100 Newkirk Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11230""}'}",13513.0,60.0,2.0,11.0,43.0
After-School Programs,High School,ECDO Community Partnership Center ,New York,Ecumenical Community Development Organization,212.678.0037,,413 West 125th Street,10027,40.81168,-73.954703,9.0,7.0,20901.0,1059548.0,1019660066.0,Morningside Heights                                                        ,"{'latitude': '40.811640915587', 'longitude': '-73.95464737557', 'human_address': '{""address"": ""413 125th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10027""}'}",12424.0,37.0,4.0,23.0,17.0
After-School Programs,High School,Public School 161,Brooklyn,Caribbean American Sports & Cultural Youth Movement,718.774.7977,High School,330 Crown Street,11225,40.666181,-73.949013,9.0,35.0,319.0,3034181.0,3012970026.0,Crown Heights South                                                        ,"{'latitude': '40.666155645661', 'longitude': '-73.94885261044', 'human_address': '{""address"": ""330 Crown Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11225""}'}",13509.0,17.0,2.0,48.0,44.0
After-School Programs,High School,Ralph Lincoln Service Center ,Brooklyn,"Ralph Lincoln Service Center, Inc.",718.604.1358,High School,261 Buffalo Avenue,11213,40.669991,-73.925427,8.0,41.0,359.0,3037201.0,3013870007.0,Crown Heights North                                                        ,"{'latitude': '40.67003864097', 'longitude': '-73.92540014432', 'human_address': '{""address"": ""261 Buffalo Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11213""}'}",13516.0,16.0,2.0,17.0,49.0
After-School Programs,High School,"Unity Neighborhood Center, Inc.",Bronx,"Unity Neighborhood Center, Inc.",718.994.8400,High School,3410 DeReiner Avenue,10475,,,,,,,,,"{'latitude': '40.879602192154', 'longitude': '-73.836663182984', 'human_address': '{""address"": ""3410 DeReiner Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10475""}'}",12344.0,29.0,5.0,2.0,30.0
After-School Programs,High School,Intermediate School 43 ,Queens,Federation Employment & Guidance Services (FEGS),212.366.8401,,160 Beach 29th Street,11691,40.593834,-73.76174,14.0,31.0,99802.0,4467711.0,4158200001.0,Far Rockaway-Bayswater                                                     ,"{'latitude': '40.594515128003', 'longitude': '-73.761826540295', 'human_address': '{""address"": ""160 Beach 29th Street"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11691""}'}",20529.0,51.0,3.0,47.0,59.0
After-School Programs,High School,Junior High School 117 - Joseph H. Wade School,Bronx,Community Association of Progressive Dominicans,212.781.5500,High School,1865 Morris Avenue,10453,40.848516,-73.908427,5.0,14.0,23301.0,2007902.0,2028270001.0,Mount Hope                                                                 ,"{'latitude': '40.848548418407', 'longitude': '-73.908435068196', 'human_address': '{""address"": ""1865 Morris Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10453""}'}",10931.0,6.0,5.0,29.0,29.0
After-School Programs,High School,Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718.327.5300,,1920 Mott Avenue,11691,40.603907,-73.752262,14.0,31.0,103202.0,4457760.0,4155590012.0,Far Rockaway-Bayswater                                                     ,"{'latitude': '40.603879525424', 'longitude': '-73.752178931552', 'human_address': '{""address"": ""1920 Mott Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11691""}'}",20529.0,51.0,3.0,47.0,59.0
After-School Programs,High School,Harlem PAL Community Center,New York,"Police Athletic League, Inc.",212 665.8699,High School,441 Manhattan Avenue,10026,40.806654,-73.955649,10.0,9.0,257.0,1088138.0,1019450051.0,Central Harlem South                                                       ,"{'latitude': '40.806694644425', 'longitude': '-73.955618643362', 'human_address': '{""address"": ""441 Manhattan Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10026""}'}",12423.0,18.0,4.0,36.0,18.0
After-School Programs,High School,New Visions Abstinence Education Program,Queens,"Catholic Charities Neighborhood Services, Inc.",718.726.9790,High School,161-06 89th Avenue,11432,40.706432,-73.799808,12.0,24.0,44601.0,4440105.0,4097600031.0,Jamaica                                                                    ,"{'latitude': '40.71311535449', 'longitude': '-73.792820999789', 'human_address': '{""address"": ""161 06 89th Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11432""}'}",24340.0,25.0,3.0,24.0,65.0
After-School Programs,High School,"Grand Street Settlement, Inc. ",New York,"Grand Street Settlement, Inc.",212.674.1740,High School,80 Pitt Street,10002,40.718328,-73.98245,3.0,2.0,2201.0,1084357.0,1003380001.0,Lower East Side                                                            ,"{'latitude': '40.718892797837', 'longitude': '-73.982159024877', 'human_address': '{""address"": ""80 Pitt Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",11723.0,70.0,4.0,50.0,4.0
After-School Programs,High School,K577 Conselyea Preparatory School,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",718.786.7110,High School,320 Manhattan Avenue,11211,40.71466,-73.946108,1.0,34.0,497.0,3068728.0,3027590001.0,East Williamsburg                                                          ,"{'latitude': '40.714638333324', 'longitude': '-73.946073207624', 'human_address': '{""address"": ""320 Manhattan Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11211""}'}",17613.0,36.0,2.0,30.0,57.0
After-School Programs,High School,Public School 260 - Breuckelen Elementary School,Brooklyn,"Groundwork Inc,",7118 346.2200,High School,875 Williams Avenue,11207,40.654031,-73.894854,18.0,42.0,982.0,3229155.0,3081580035.0,Canarsie                                                                   ,"{'latitude': '40.654016736913', 'longitude': '-73.894829659974', 'human_address': '{""address"": ""875 Williams Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11207""}'}",17214.0,5.0,2.0,25.0,42.0
After-School Programs,High School,Intermediate School 68 - Isaac Bildersee School,Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,,956 East 82nd Street,11236,40.635553,-73.91079,18.0,46.0,956.0,3224947.0,3080180001.0,Canarsie                                                                   ,"{'latitude': '40.635491677837', 'longitude': '-73.910761051161', 'human_address': '{""address"": ""956 82nd Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11236""}'}",13827.0,5.0,2.0,8.0,42.0
After-School Programs,High School,Seward Park High School - H.S. 445 ,New York,Chinese American Planning Council,212.941.0920,High School,350 Grand Street,10002,40.716778,-73.989337,3.0,1.0,18.0,1005283.0,1004080030.0,Chinatown                                                                  ,"{'latitude': '40.716852373698', 'longitude': '-73.989595029629', 'human_address': '{""address"": ""350 Grand Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",11723.0,70.0,4.0,32.0,4.0
