program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,location_1,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
Family Support,Housing Assistance & Advocacy,Bedford Park ,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,Adults,"{'latitude': '40.867850652405', 'longitude': '-73.899511666178', 'human_address': '{""address"": ""2925 Grand"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10468""}'}",,,,,,,,,,11606.0,24.0,5.0,29.0,34.0
Family Support,Housing Assistance & Advocacy,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Adults,"{'latitude': '40.641094427669', 'longitude': '-74.003771655499', 'human_address': '{""address"": ""5002 8th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11220""}'}",11220.0,40.641028,-74.003816,7.0,38.0,108.0,3013418.0,3007940039.0,Sunset Park East                                                           ,18180.0,9.0,2.0,7.0,45.0
Family Support,Housing Assistance & Advocacy,Brooklyn Housing and Family,Brooklyn,"Brooklyn Housing and Family Services, Inc.                  ",718.435.7585,Adults,"{'latitude': '40.64322700852', 'longitude': '-73.976448622106', 'human_address': '{""address"": ""415 Albermarle Road"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11218""}'}",11218.0,40.64551,-73.976296,12.0,39.0,500.0,3124269.0,3053270041.0,Windsor Terrace                                                            ,17620.0,2.0,2.0,27.0,39.0
Family Support,Housing Assistance & Advocacy,Agudath Israel of America /SBCO,Brooklyn,Agudath Israel of America /SBCO,718.435.1300,Adults,"{'latitude': '40.630206116961', 'longitude': '-73.97835931751', 'human_address': '{""address"": ""4520 18th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11204""}'}",11204.0,40.630165,-73.978416,12.0,44.0,476.0,3128549.0,3054350051.0,Borough Park                                                               ,16867.0,2.0,2.0,18.0,39.0
Family Support,Housing Assistance & Advocacy,Catholic Charities Community Services-Washington Heights ,New York,"Catholic Charities Community Service, Archdiocese of N Y",212.371.1000,Adults,"{'latitude': '40.84516033875', 'longitude': '-73.938788841624', 'human_address': '{""address"": ""4111 Broadway"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",10033.0,40.845128,-73.938763,12.0,10.0,263.0,1063501.0,1021420133.0,Washington Heights South                                                   ,13090.0,47.0,4.0,39.0,21.0
Family Support,Housing Assistance & Advocacy,Flatbush Development Corporation,Brooklyn,Flatbush Development Corporation,718.859.3800,Adults,"{'latitude': '40.63599627408', 'longitude': '-73.962302128878', 'human_address': '{""address"": ""1616 Newkirk Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11226""}'}",11226.0,40.63604,-73.962241,14.0,40.0,518.0,3121203.0,3052370006.0,Flatbush                                                                   ,13510.0,60.0,2.0,11.0,43.0
Family Support,Housing Assistance & Advocacy,Audubon Partnership for Economic Development LDC,New York,Audubon Partnership for Economic Development LDC,212.544.2400,Adults,"{'latitude': '40.864970711924', 'longitude': '-73.919474891004', 'human_address': '{""address"": ""513 207th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10034""}'}",,,,,,,,,,13092.0,47.0,4.0,39.0,22.0
Family Support,Housing Assistance & Advocacy,Brooklyn Chinese American Association,Brooklyn,Brooklyn Chinese American Association,718.438.9312,Adults,"{'latitude': '40.641104606526', 'longitude': '-74.003759923935', 'human_address': '{""address"": ""5000 8th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11220""}'}",11220.0,40.641036,-74.003809,7.0,38.0,108.0,3013418.0,3007940039.0,Sunset Park East                                                           ,18180.0,9.0,2.0,7.0,45.0
Family Support,Housing Assistance & Advocacy,South Bronx Action Group,Bronx,South Bronx Action Group,718.993.5869,Adults,"{'latitude': '40.816195064917', 'longitude': '-73.918501181484', 'human_address': '{""address"": ""384 149th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10455""}'}",,,,,,,,,,10933.0,49.0,5.0,43.0,23.0
Family Support,Housing Assistance & Advocacy,CAMBA's Park Slope Women's Shelter,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.287.2600,Adults,"{'latitude': '40.662725395196', 'longitude': '-73.981772543316', 'human_address': '{""address"": ""1402 Eighth Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11215""}'}",11215.0,40.66265,-73.981819,6.0,39.0,149.0,3026581.0,3011020012.0,Park Slope-Gowanus                                                         ,17617.0,14.0,2.0,27.0,50.0
Family Support,Housing Assistance & Advocacy,Asian Americns for Equality,Manhattan,Asian Americans for Equality                                ,212.979.8381,Adults,"{'latitude': '40.716121467931', 'longitude': '-73.985831470246', 'human_address': '{""address"": ""108 111 Norfolk Street"", ""city"": ""Manhattan"", ""state"": ""NEW YORK"", ""zip"": ""10002""}'}",,,,,,,,,,11723.0,70.0,4.0,32.0,4.0
Family Support,Housing Assistance & Advocacy,Neighborhood Association for Inter-Cultural Affairs,Bronx,Neighborhood Association for Inter-Cultural Affairs,718.538.3344,Adults,"{'latitude': '40.837724263364', 'longitude': '-73.923332211412', 'human_address': '{""address"": ""1075 Grand"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10452""}'}",,,,,,,,,,10930.0,50.0,5.0,42.0,27.0
Family Support,Housing Assistance & Advocacy,Townsend Office ,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,Adults,"{'latitude': '40.841513488175', 'longitude': '-73.91566203729', 'human_address': '{""address"": ""1477 Townsend Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10452""}'}",10452.0,40.841504,-73.915639,4.0,14.0,223.0,2098821.0,2028440021.0,West Concourse                                                             ,10930.0,50.0,5.0,29.0,27.0
