development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_therms,es_commodity,underlying_utility
DYCKMAN,MANHATTAN,DYCKMAN,BLD 03,NONE,,41,373,M004100,FEDERAL,NY005000410P,CONSOLIDATED EDISON COMPANY OF NY,8170405,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,6040394,Y,0.0,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
DYCKMAN,MANHATTAN,DYCKMAN,BLD 08,NONE,,41,373,M004100,FEDERAL,NY005000410P,CONSOLIDATED EDISON COMPANY OF NY,8170405,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,2169010,Y,14.09,Trans Gen Non-Res,Yes,29.76,UTILITY GAS,ConEd
830 AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,BLD 01,NONE,,150,258,M015000,FEDERAL,NY005010820P,CONSOLIDATED EDISON COMPANY OF NY,8170038,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3798918,N,51.69,Trans Gen Non-Res,Yes,63.7,UTILITY GAS,ConEd
STRAUS,MANHATTAN,STRAUS,BLD 02,NONE,,153,263,M015300,FEDERAL,NY005011530P,CONSOLIDATED EDISON COMPANY OF NY,8170873,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3608683,N,0.0,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
BRONX RIVER ADDITION,BRONX,BRONX RIVER ADDITION,BLD 12,NONE,,157,533,B015700,FEDERAL,NY005010320P,CONSOLIDATED EDISON COMPANY OF NY,8171069,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3520966,N,128.72,Trans Gen Non-Res,Yes,136.0,UTILITY GAS,ConEd
SEDGWICK,BRONX,SEDGWICK,BLD 03,NONE,,45,368,B004500,FEDERAL,NY005010450P,CONSOLIDATED EDISON COMPANY OF NY,8166231,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3408657,N,69.3,Trans Gen Non-Res,Yes,139.56,UTILITY GAS,ConEd
RUTGERS,MANHATTAN,RUTGERS,BLD 05,NONE,,99,439,M009900,MIXED FINANCE/LLC1,NY005020990P,CONSOLIDATED EDISON COMPANY OF NY,8171111,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,2436607,N,0.0,Trans Gen Non-Res,Exception,0.0,UTILITY GAS,ConEd
HIGHBRIDGE GARDENS,BRONX,HIGHBRIDGE GARDENS,BLD 01,NONE,,78,229,B007800,FEDERAL,NY005000780P,CONSOLIDATED EDISON COMPANY OF NY,8172061,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3515639,Y,127.6,Trans Gen Non-Res,Yes,259.53,UTILITY GAS,ConEd
HARBORVIEW TERRACE,MANHATTAN,HARBORVIEW TERRACE,BLD 02,NONE,,262,377,M026200,FEDERAL,NY005010220P,CONSOLIDATED EDISON COMPANY OF NY,8170045,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,2544419,N,175.22,Trans Gen Non-Res,Yes,310.81,UTILITY GAS,ConEd
POMONOK,QUEENS,POMONOK,BLD 29,NONE,,53,588,Q005300,FEDERAL,NY005000530P,CONSOLIDATED EDISON COMPANY OF NY,8166270,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,1349705,N,70.85,Trans Gen Non-Res,Yes,161.23,UTILITY GAS,ConEd
BRONX RIVER,BRONX,BRONX RIVER,BLD 07,NONE,,32,533,B003200,FEDERAL,NY005010320P,CONSOLIDATED EDISON COMPANY OF NY,8171147,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3355800,N,148.14,Trans Gen Non-Res,Yes,336.5,UTILITY GAS,ConEd
PARKSIDE,BRONX,PARKSIDE,BLD 07,NONE,,47,580,B004700,FEDERAL,NY005010470P,CONSOLIDATED EDISON COMPANY OF NY,8173572,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3301947,N,41.87,Trans Gen Non-Res,Yes,85.17,UTILITY GAS,ConEd
PARKSIDE,BRONX,PARKSIDE,BLD 02,AMR,,47,580,B004700,FEDERAL,NY005010470P,CONSOLIDATED EDISON COMPANY OF NY,8173572,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3657180,N,0.0,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
MORRISANIA AIR RIGHTS,BRONX,MORRISANIA AIR RIGHTS,BLD 03,NONE,,267,385,B026700,FEDERAL,NY005012670P,CONSOLIDATED EDISON COMPANY OF NY,8170974,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3337545,N,34.45,Trans Gen Non-Res,Yes,51.28,UTILITY GAS,ConEd
MORRIS II,BRONX,MORRIS II,BLD 13,NONE,,502,280,B050200,FEDERAL,NY005011020P,CONSOLIDATED EDISON COMPANY OF NY,8166151,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3519970,N,181.17,Trans Gen Non-Res,Yes,272.89,UTILITY GAS,ConEd
MORRIS I,BRONX,MORRIS I,BLD 03,NONE,,102,239,B010200,FEDERAL,NY005011020P,CONSOLIDATED EDISON COMPANY OF NY,8166175,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3559923,N,116.97,Trans Gen Non-Res,Yes,184.5,UTILITY GAS,ConEd
MILL BROOK EXTENSION,BRONX,MILL BROOK EXTENSION,BLD 10,NONE,,132,570,B013200,FEDERAL,NY005010840P,CONSOLIDATED EDISON COMPANY OF NY,8171949,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3604110,N,210.74,Trans Gen Non-Res,Exception,326.64,UTILITY GAS,ConEd
MILL BROOK,BRONX,MILL BROOK,BLD 04,NONE,,84,570,B008400,FEDERAL,NY005010840P,CONSOLIDATED EDISON COMPANY OF NY,8172257,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3467051,N,132.37,Trans Gen Non-Res,Yes,288.31,UTILITY GAS,ConEd
MILL BROOK,BRONX,MILL BROOK,BLD 05,NONE,,84,570,B008400,FEDERAL,NY005010840P,CONSOLIDATED EDISON COMPANY OF NY,8172257,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3343076,N,116.83,Trans Gen Non-Res,Yes,254.45,UTILITY GAS,ConEd
830 AMSTERDAM AVENUE,MANHATTAN,AMSTERDAM AVENUE,BLD 01,NONE,,150,258,M015000,FEDERAL,NY005010820P,CONSOLIDATED EDISON COMPANY OF NY,8170038,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3691302,N,100.05,Trans Gen Non-Res,Yes,123.3,UTILITY GAS,ConEd
TAFT,MANHATTAN,TAFT,BLD 01,NONE,,97,261,M009700,FEDERAL,NY005010970P,CONSOLIDATED EDISON COMPANY OF NY,8171809,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3684588,N,133.51,Trans Gen Non-Res,Exception,217.22,UTILITY GAS,ConEd
SMITH,MANHATTAN,SMITH,BLD 05,NONE,,27,531,M002700,FEDERAL,NY005000270P,CONSOLIDATED EDISON COMPANY OF NY,8170915,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3831409,N,163.9,Trans Gen Non-Res,Yes,428.47,UTILITY GAS,ConEd
SMITH,MANHATTAN,SMITH,BLD 11,NONE,,27,531,M002700,FEDERAL,NY005000270P,CONSOLIDATED EDISON COMPANY OF NY,8170915,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3684282,N,104.4,Trans Gen Non-Res,Yes,272.94,UTILITY GAS,ConEd
LA GUARDIA,MANHATTAN,LA GUARDIA,BLD 09,NONE,,76,221,M007600,FEDERAL,NY005010760P,CONSOLIDATED EDISON COMPANY OF NY,8170618,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3684320,Y,17.44,Trans Gen Non-Res,Exception,39.14,UTILITY GAS,ConEd
LA GUARDIA,MANHATTAN,LA GUARDIA,BLD 09,NONE,,76,221,M007600,FEDERAL,NY005010760P,CONSOLIDATED EDISON COMPANY OF NY,8170618,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3684307,Y,172.06,Trans Gen Non-Res,Exception,386.21,UTILITY GAS,ConEd
LA GUARDIA,MANHATTAN,LA GUARDIA,BLD 02,NONE,,76,221,M007600,FEDERAL,NY005010760P,CONSOLIDATED EDISON COMPANY OF NY,8170618,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3632206,Y,5.96,Trans Gen Non-Res,Exception,13.39,UTILITY GAS,ConEd
LA GUARDIA,MANHATTAN,LA GUARDIA,BLD 08,NONE,,76,221,M007600,FEDERAL,NY005010760P,CONSOLIDATED EDISON COMPANY OF NY,8170618,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3511066,Y,34.87,Trans Gen Non-Res,Exception,78.27,UTILITY GAS,ConEd
REDFERN,QUEENS,REDFERN,BLD 7,NONE,,55,525,Q005500,FEDERAL,NY005000550P,National Grid LI,8178760,2019-09-01T00:00:00.000,2019-08-20T00:00:00.000,2019-09-18T00:00:00.000,29,1338306,N,224.87,"257 Del,Com,Gen Use",Yes,182.0,UTILITY GAS,NatGrid LI
PUBLIC SCHOOL 139 (CONVERSION),MANHATTAN,PUBLIC SCHOOL 139 (CONVERSION),BLD 01,NONE,,340,774,M034000,FEDERAL,NY005011110P,CONSOLIDATED EDISON COMPANY OF NY,8169996,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3078729,N,41.6,Trans Gen Non-Res,Yes,67.95,UTILITY GAS,ConEd
POMONOK,QUEENS,POMONOK,BLD 21,NONE,,53,588,Q005300,FEDERAL,NY005000530P,CONSOLIDATED EDISON COMPANY OF NY,8166270,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3685092,N,0.0,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
POMONOK,QUEENS,POMONOK,BLD 35,NONE,,53,588,Q005300,FEDERAL,NY005000530P,CONSOLIDATED EDISON COMPANY OF NY,8166270,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3562385,N,23.01,Trans Gen Non-Res,Yes,52.37,UTILITY GAS,ConEd
POMONOK,QUEENS,POMONOK,BLD 26,NONE,,53,588,Q005300,FEDERAL,NY005000530P,CONSOLIDATED EDISON COMPANY OF NY,8166270,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3520925,Y,61.37,Trans Gen Non-Res,Yes,139.66,UTILITY GAS,ConEd
HAMMEL,QUEENS,HAMMEL,BLD 03,AMR,,75,226,Q007500,FEDERAL,NY005010750P,National Grid LI,8178778,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-20T00:00:00.000,29,6943191,N,199.05,"257 Del,Com,Gen Use",Yes,136.0,UTILITY GAS,NatGrid LI
HAMMEL,QUEENS,HAMMEL,BLD 14,NONE,,75,226,Q007500,FEDERAL,NY005010750P,National Grid LI,8178681,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-20T00:00:00.000,29,5808714,N,268.65,"177 Del,Com,Heat",Yes,293.0,UTILITY GAS,NatGrid LI
PELHAM PARKWAY,BRONX,PELHAM PARKWAY,BLD 22,NONE,,39,586,B003900,FEDERAL,NY005010390P,CONSOLIDATED EDISON COMPANY OF NY,8171578,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3515673,N,79.09,Trans Gen Non-Res,Yes,159.0,UTILITY GAS,ConEd
PARKSIDE,BRONX,PARKSIDE,BLD 05,NONE,,47,580,B004700,FEDERAL,NY005010470P,CONSOLIDATED EDISON COMPANY OF NY,8173572,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3435208,N,66.59,Trans Gen Non-Res,Yes,135.46,UTILITY GAS,ConEd
FULTON,MANHATTAN,FULTON,BLD 06,NONE,,136,252,M013600,FEDERAL,NY005001360P,CONSOLIDATED EDISON COMPANY OF NY,8170939,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3523827,N,0.0,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
PARKSIDE,BRONX,PARKSIDE,BLD 11,NONE,,47,580,B004700,FEDERAL,NY005010470P,CONSOLIDATED EDISON COMPANY OF NY,8173572,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3198495,N,6.05,Trans Gen Non-Res,Yes,12.31,UTILITY GAS,ConEd
BRONX RIVER,BRONX,BRONX RIVER,BLD 06,NONE,,32,533,B003200,FEDERAL,NY005010320P,CONSOLIDATED EDISON COMPANY OF NY,8171147,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3562881,N,103.43,Trans Gen Non-Res,Yes,234.94,UTILITY GAS,ConEd
OCEAN BAY APARTMENTS (OCEANSIDE),QUEENS,OCEAN BAY APARTMENTS (OCEANSIDE),BLD 1,NONE,,51,573,Q005100,FEDERAL,NY005010980P,National Grid LI,8176592,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-20T00:00:00.000,29,1338305,N,199.05,"257 Del,Com,Gen Use",Yes,136.0,UTILITY GAS,NatGrid LI
EAST 152ND STREET-COURTLANDT AVENUE,BRONX,EAST 152ND STREET-COURTLANDT AVENUE,BLD 02,NONE,,237,360,B023700,FEDERAL,NY005010280P,CONSOLIDATED EDISON COMPANY OF NY,8162639,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,4012214,N,178.47,Trans Gen Non-Res,Exception,264.03,UTILITY GAS,ConEd
MORRISANIA,BRONX,MORRISANIA,BLD 01,NONE,,130,250,B013000,FEDERAL,NY005011410P,CONSOLIDATED EDISON COMPANY OF NY,8166193,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3300360,N,13.26,Trans Gen Non-Res,Yes,21.53,UTILITY GAS,ConEd
BRONX RIVER,BRONX,BRONX RIVER,BLD 02,NONE,,32,533,B003200,FEDERAL,NY005010320P,CONSOLIDATED EDISON COMPANY OF NY,8171147,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3876083,N,0.0,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
MORRIS I,BRONX,MORRIS I,BLD 07,NONE,,102,239,B010200,FEDERAL,NY005011020P,CONSOLIDATED EDISON COMPANY OF NY,8166132,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3559914,N,67.65,Trans Gen Non-Res,Yes,104.72,UTILITY GAS,ConEd
DYCKMAN,MANHATTAN,DYCKMAN,BLD 05,NONE,,41,373,M004100,FEDERAL,NY005000410P,CONSOLIDATED EDISON COMPANY OF NY,8170405,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3629666,Y,112.22,Trans Gen Non-Res,Yes,237.02,UTILITY GAS,ConEd
MOORE,BRONX,MOORE,BLD 02,NONE,,129,251,B012900,FEDERAL,NY005010930P,CONSOLIDATED EDISON COMPANY OF NY,8171907,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3590325,N,492.88,Trans Gen Non-Res,Yes,977.66,UTILITY GAS,ConEd
BRONX RIVER ADDITION,BRONX,BRONX RIVER ADDITION,BLD 12,NONE,,157,533,B015700,FEDERAL,NY005010320P,CONSOLIDATED EDISON COMPANY OF NY,8171069,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3619251,N,0.0,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
MILL BROOK,BRONX,MILL BROOK,BLD 09,NONE,,84,570,B008400,FEDERAL,NY005010840P,CONSOLIDATED EDISON COMPANY OF NY,8172257,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3619598,N,108.35,Trans Gen Non-Res,Yes,235.98,UTILITY GAS,ConEd
CORSI HOUSES,MANHATTAN,CORSI HOUSES,BLD 01,NONE,,199,359,M019900,FEDERAL,NY005010640P,CONSOLIDATED EDISON COMPANY OF NY,8173613,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3684418,Y,215.34,Trans Gen Non-Res,Yes,307.19,UTILITY GAS,ConEd
CLINTON,MANHATTAN,CLINTON,BLD 05,NONE,,123,245,M012300,FEDERAL,NY005001230P,CONSOLIDATED EDISON COMPANY OF NY,8172766,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3892962,N,153.66,Trans Gen Non-Res,Yes,261.57,UTILITY GAS,ConEd
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA II,BLD 04,NONE,,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8172338,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3510687,Y,124.0,Trans Gen Non-Res,Yes,197.68,UTILITY GAS,ConEd
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA II,BLD 04,NONE,,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8172338,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3510688,Y,116.25,Trans Gen Non-Res,Yes,185.32,UTILITY GAS,ConEd
CARLETON MANOR,QUEENS,CARLETON MANOR,BLD 01,NONE,,164,270,Q016400,FEDERAL,NY005010750P,National Grid LI,8176672,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-20T00:00:00.000,29,1155305,N,299.34,"257 Del,Com,Gen Use",Yes,456.0,UTILITY GAS,NatGrid LI
TAFT,MANHATTAN,TAFT,BLD 04,NONE,,97,261,M009700,FEDERAL,NY005010970P,CONSOLIDATED EDISON COMPANY OF NY,8171801,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3300198,N,249.75,Trans Gen Non-Res,Exception,402.01,UTILITY GAS,ConEd
MELROSE,BRONX,MELROSE,BLD 07,NONE,,28,523,B002800,FEDERAL,NY005010280P,CONSOLIDATED EDISON COMPANY OF NY,8171021,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3337628,N,211.16,Trans Gen Non-Res,Exception,392.97,UTILITY GAS,ConEd
CAMPOS PLAZA II,MANHATTAN,CAMPOS PLAZA II,BLD 03,NONE,,286,593,M028600,FEDERAL,NY005012570P,CONSOLIDATED EDISON COMPANY OF NY,8172354,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3337294,N,214.2,Trans Gen Non-Res,Yes,342.72,UTILITY GAS,ConEd
MARSHALL PLAZA,MANHATTAN,MARSHALL PLAZA,BLD 01,NONE,,344,754,M034400,FEDERAL,NY005010030P,CONSOLIDATED EDISON COMPANY OF NY,8170410,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3048882,Y,0.0,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
SMITH,MANHATTAN,SMITH,BLD 03,NONE,,27,531,M002700,FEDERAL,NY005000270P,CONSOLIDATED EDISON COMPANY OF NY,8170915,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3828177,N,98.89,Trans Gen Non-Res,Yes,258.52,UTILITY GAS,ConEd
LATIMER GARDENS,QUEENS,LATIMER GARDENS,BLD 01,NONE,,186,290,Q018600,FEDERAL,NY005011860P,CONSOLIDATED EDISON COMPANY OF NY,8166234,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,2412886,N,0.0,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
SMITH,MANHATTAN,SMITH,BLD 06,NONE,,27,531,M002700,FEDERAL,NY005000270P,CONSOLIDATED EDISON COMPANY OF NY,8170915,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3661459,N,0.0,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
SMITH,MANHATTAN,SMITH,BLD 12,NONE,,27,531,M002700,FEDERAL,NY005000270P,CONSOLIDATED EDISON COMPANY OF NY,8170915,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3329958,N,94.55,Trans Gen Non-Res,Yes,247.19,UTILITY GAS,ConEd
SEDGWICK,BRONX,SEDGWICK,BLD 05,NONE,,45,368,B004500,FEDERAL,NY005010450P,CONSOLIDATED EDISON COMPANY OF NY,8166231,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3789572,N,93.75,Trans Gen Non-Res,Yes,188.81,UTILITY GAS,ConEd
SEDGWICK,BRONX,SEDGWICK,BLD 02,NONE,,45,368,B004500,FEDERAL,NY005010450P,CONSOLIDATED EDISON COMPANY OF NY,8166231,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3465684,N,49.93,Trans Gen Non-Res,Yes,100.56,UTILITY GAS,ConEd
SEDGWICK,BRONX,SEDGWICK,BLD 07,NONE,,45,368,B004500,FEDERAL,NY005010450P,CONSOLIDATED EDISON COMPANY OF NY,8166231,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3355878,N,114.14,Trans Gen Non-Res,Yes,229.86,UTILITY GAS,ConEd
SACK WERN,BRONX,SACK WERN,BLD 01,NONE,,280,506,B028000,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8171833,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3516041,N,3207.43,Trans Gen Non-Res,Yes,8594.0,UTILITY GAS,ConEd
LA GUARDIA,MANHATTAN,LA GUARDIA,BLD 07,NONE,,76,221,M007600,FEDERAL,NY005010760P,CONSOLIDATED EDISON COMPANY OF NY,8170618,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,3630161,Y,75.25,Trans Gen Non-Res,Exception,168.9,UTILITY GAS,ConEd
RUTGERS,MANHATTAN,RUTGERS,BLD 05,NONE,,99,439,M009900,MIXED FINANCE/LLC1,NY005020990P,CONSOLIDATED EDISON COMPANY OF NY,8171111,2019-09-01T00:00:00.000,2019-08-22T00:00:00.000,2019-09-23T00:00:00.000,32,2543477,N,1370.93,Trans Gen Non-Res,Exception,2887.0,UTILITY GAS,ConEd
