primaryprojecttype,subtype,projectstatus,startdateactual,finishdateactual,projectsitename,projectsiteaddress,acronym,co2e_mt_calculated,postcode,borough,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta
Energy Audit,None,Completed,,,,,,,,,,,,,,,,
Energy Audit,None,Completed,15-Feb-12,30-Jun-12,,,,220.79,,,,,,,,,,
Energy Audit,None,Completed,,,,,,,,,,,,,,,,
Energy Audit,None,Completed,,,,,,,,,,,,,,,,
Energy Audit,None,Completed,,,,,,,,,,,,,,,,
Energy Audit,None,Completed,,,,,,,,,,,,,,,,
Comprehensive,Retrofit,Design,,,Manhattan 3 Garage,South Street &Pier 36 New York NY 10002,DSNY,259.46,,,,,,,,,,
Energy Audit,None,Completed,24-Jan-11,10-May-11,Cioffe Borough Repair Shop,105-02 Avenue,DSNY,0.0,,,,,,,,,,
Energy Audit,None,Completed,,,,58-50 57th Road,,,,,,,,,,,,
Energy Audit,None,Completed,21-Feb-12,,Ranaqua Garage And Shops - 1 Bronx River Pkwy,1 Bronx River Pkwy,DPR,102.23,,,,,,,,,,
Energy Audit,None,Completed,10-Nov-10,24-Feb-11,Roy Wilkins Recreation Center,Baisley Blvd & Merrick Blvd,DPR,132.41,,,,,,,,,,
Energy Audit,None,Completed,,,,,,,,,,,,,,,,
Other,,Install,,,,,DEP1,,,,,,,,,,,
Other,,Undefined,,,Dep Centrifuge Upgrade - Hunts Point Waste Water Treatment Plant,,DEP1,,,,,,,,,,,
HVAC System Upgrade,,Undefined,,,Dep Engine Generator Conversion - Owls Head Waste Water Treatment Plant,Shore Pkwy & 66th St. Owl's Head WPCP,DEP1,,,,,,,,,,,
Other,Retrofit,Proposed,,,,,DEP1,,,,,,,,,,,
Other,Retrofit,Proposed,,,,,DEP1,,,,,,,,,,,
Other,Cogen,Completed,15-Jan-08,31-Jul-09,Rikers Island Co-Generation Plant 30% Design,,DOC,,,,,,,,,,,
Other,Cogen,Design,31-Jul-09,31-Mar-10,Rikers Island Co-Generation Plant 100% Design,,DOC,,,,,,,,,,,
HVAC System Upgrade,Cogen,Install,13-Sep-11,,Rikers Island Co-Generation Plant Construction,,DOC,37546.28,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,13-May-08,25-Mar-09,Grace H. Dodge Vocational High School,"CROTONA AVE & E 187TH ST GRACE DODGE VHS, 2474 Crotona Avenue",DOE,123.87,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,,20-Mar-08,,,,314.26,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,23-Jan-09,28-Jul-09,Port Richmond H.S.,"Address 1
INNIS ST & ST JOSEPHS AV PT RICHMOND H S, 85 St. Josephs Avenue",DOE,177.14,,,,,,,,,,
Other,Retro-commissioning,Proposed,,,,,,,,,,,,,,,,
Other,Retro-commissioning,Survey,,,P.S. 8R,"12 Lindenwood Rd, 100 Lindenwood Rd",DOE,,,,,,,,,,,
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,09X110 - 580 Crotona Park South,580 Crotona Pkwy South,DOE,85.76,,,,,,,,,,
Other,Retro-commissioning,Survey,,,"Co-op City (PS 153,178,180,181,455)",650-850 Baychester,DOE,,,,,,,,,,,
Comprehensive,Retrofit,Design,,,P.S 174X Eugene T. Maleska,456 White Road,DOE,112.08,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,12-Dec-11,14-Dec-11,John Bowne,142-30 Barcklay Ave.,DOE,68.18,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,John Bowne PS 20 Queens,142-30 Barcklay Ave.,DOE,1.5,,,,,,,,,,
Energy Audit,None,Completed,,,,,HHC,,,,,,,,,,,
Comprehensive,Retrofit,Design,,,,,DOE,168.89,,,,,,,,,,
Other,Retro-commissioning,Proposed,,,,,,,,,,,,,,,,
Other,Retro-commissioning,Survey,,,K302 - IS 302K Rafael Cordero Middle School,350 Linwook St,DOE,,,,,,,,,,,
Comprehensive,Retrofit,Design,,,,,DOE,180.31,,,,,,,,,,
Comprehensive,Retrofit,Design,10-Aug-11,,R080 - The Michael J. Petrides School,715 Ocean Terrrace Staten Island NY,DOE,335.91,,,,,,,,,,
Energy Audit,None,Completed,14-Oct-10,27-May-11,R080 - The Michael J. Petrides School,715 Ocean Terrrace Staten Island NY,DOE,0.0,,,,,,,,,,
Other,Retro-commissioning,Survey,,,R080 - The Michael J. Petrides School,715 Ocean Terrrace,DOE,,,,,,,,,,,
Comprehensive,Retrofit,Design,,,J.H.S.127X The Castle Hill,1560 Purdy Avenue,DOE,38.28,,,,,,,,,,
Energy Audit,None,Completed,24-Feb-11,17-Apr-12,J.H.S.127X The Castle Hill,1560 Purdy Avenue,DOE,38.28,,,,,,,,,,
Other,Retro-commissioning,Survey,,,J.H.S.127X The Castle Hill,1560 Purdy Avenue,DOE,,,,,,,,,,,
Comprehensive,Retrofit,Design,,,Alexander Humboldt,586 West 117th Street,DOE,161.31,,,,,,,,,,
Energy Audit,None,Completed,10-Feb-11,13-Feb-12,Alexander Humboldt,586 West 117th Street,DOE,0.0,,,,,,,,,,
Other,Retro-commissioning,Survey,,,Alexander Humboldt,586 West 117th Street,DOE,,,,,,,,,,,
Comprehensive,Retrofit,Design,,,I.S.33K Mark Hopkins Junior High School,70 Thompkins Avenue,DOE,75.09,,,,,,,,,,
Other,Retro-commissioning,Survey,,,I.S.33K Mark Hopkins Junior High School,70 Thompkins Avenue,DOE,,,,,,,,,,,
Energy Audit,None,Completed,13-Apr-11,14-Feb-12,K225 The Eileen E. Zaglin,1075 Oceanview,DOE,8.93,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,Randall's Island 5 Borough Complex,,DPR,,,,,,,,,,,
HVAC System Upgrade,,Cancelled,,,,,,,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,Brooklyn Cruise Terminal,Conover & Pioneer Street,NYCEDC,209.72,,,,,,,,,,
HVAC System Upgrade,Solar Thermal,Design,,,Engine Company 268,259 116 Street,FDNY,3.34,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,12-Sep-11,31-Oct-11,Human Resources Administration - 260 11th Avenue,"260 11th Avenue, 246 11th Avenue",HRA,92.81,,,,,,,,,,
Lighting System Upgrade,Retrofit,Design,,,Bushwick Multi Service Center,1420 Burswick Ave,HRA,23.19,,,,,,,,,,
Other,Retro-commissioning,Proposed,,,Bushwick Multi Service Center,1420 Burswick Ave,HRA,,,,,,,,,,,
Other,Retro-commissioning,Survey,,,Bushwick Multi Service Center,1420 Burswick Ave,HRA,,,,,,,,,,,
HVAC System Upgrade,,Completed,,,,,,47.45,,,,,,,,,,
HVAC System Upgrade,Retrofit,Completed,13-Sep-10,27-Sep-11,1086 Simpson Street Bronx NY 10459,,NYPD,157.12,,,,,,,,,,
HVAC System Upgrade,Retrofit,Completed,,,,,NYPD,,,,,,,,,,,
Other,Cogen,Install,,,New York Police Academy,"College Point, Queens",NYPD,0.0,,,,,,,,,,
HVAC System Upgrade,Retrofit,Design,,,Staten Island Zoo,"614 Broadway Staten Island, NY",,111.18,,,,,,,,,,
HVAC System Upgrade,Retrofit,Completed,,,Tremont Health Center - 1826 Arthur Avenue,1826 Arthur Avenue,DOHMH,45.96,10457.0,BRONX    ,40.844083000000005,-73.894482,6.0,17.0,36901.0,2009891.0,2029450018.0,East Tremont                                                               
Energy Audit,None,Completed,9-Feb-11,30-Jun-11,George R. Vierno Center,09-09 Hazen St,DOC,0.0,11370.0,QUEENS   ,40.794577000000004,-73.884162,1.0,22.0,1.0,2096863.0,2026050040.0,Rikers Island                                                              
HVAC System Upgrade,Retrofit,Completed,30-Apr-10,30-Jun-10,Horizon Juvenile Center - 560 Brook Avenue,55 St. Anns Ave (560 Brook),ACS,105.27,10454.0,BRONX    ,40.802554,-73.92055699999999,1.0,8.0,19.0,,,Mott Haven-Port Morris                                                     
Energy Audit,None,Completed,,,NYPD 67th Precinct & Eng Co 248,2820 Snyder Avenue,NYPD,,11226.0,BROOKLYN ,40.648843,-73.951015,17.0,40.0,824.0,3117400.0,3051110024.0,Erasmus                                                                    
Lighting System Upgrade,Retrofit,Completed,20-May-09,28-Jan-10,111th Precinct,45-06 215TH STREET,NYPD,26.75,11361.0,QUEENS   ,40.760179,-73.767441,11.0,19.0,1471.0,4157390.0,4073330221.0,Bayside-Bayside Hills                                                      
Energy Audit,None,Completed,26-Sep-11,6-Feb-12,Fort Washington Armory Shelter,216 Fort Washington Avenue New York NY,DHS,342.94,10032.0,MANHATTAN,40.842571,-73.942097,12.0,10.0,251.0,1063381.0,1021380079.0,Washington Heights South                                                   
Lighting System Upgrade,Retrofit,Completed,30-Apr-10,30-Jun-10,Crossroads Juvenile Center,17 Bristol Street,ACS,86.05,11212.0,BROOKLYN ,40.670746,-73.912932,16.0,41.0,924.0,3378202.0,3034980008.0,Brownsville                                                                
Energy Audit,None,Completed,8-Feb-11,10-Nov-11,I.S.33K Mark Hopkins Junior High School,70 Thompkins Avenue,DOE,75.09,,,,,,,,,,
Lighting System Upgrade,Retrofit,Completed,5-Sep-07,15-Sep-08,Old 44th Precinct (Bronx Task Force),1278 SEDGWICK AVENUE,NYPD,13.48,10452.0,BRONX    ,40.840261,-73.928514,4.0,16.0,201.0,2003522.0,2025300021.0,Highbridge                                                                 
HVAC System Upgrade,Retrofit,Completed,10-Mar-08,12-Sep-11,79th Pct.,263 Tompkins Ave.,NYPD,287.26,11216.0,BROOKLYN ,40.688992999999996,-73.945025,3.0,36.0,263.0,3050453.0,3018000003.0,Bedford                                                                    
Other,Retro-commissioning,Survey,,,P.S. 199X The Shakespeare School,1449 Shakespeare Avenue,DOE,,10452.0,BRONX    ,40.842943,-73.920563,4.0,16.0,21302.0,2088263.0,2028730027.0,Highbridge                                                                 
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,K114 - P.S. 114 Ryder Elementary,1077 Remsen Avenue,DOE,40.52,11236.0,BROOKLYN ,40.642792,-73.90880600000001,18.0,46.0,964.0,3229159.0,3081600022.0,Canarsie                                                                   
Energy Audit,None,Completed,2-Feb-12,15-Jun-12,"Brooklyn 1,4 District Garages",161 Varick Ave. Brooklyn NY,DSNY,1351.01,11237.0,BROOKLYN ,40.711118,-73.92854799999999,1.0,34.0,449.0,3400387.0,3029620001.0,East Williamsburg                                                          
Lighting System Upgrade,Retrofit,Completed,3-Jan-11,27-Apr-11,Human Resources Administration - 109 East 16th Street,109 East 16th Street,HRA,126.43,10003.0,MANHATTAN,40.735681,-73.988713,5.0,2.0,50.0,1017821.0,1008720013.0,Gramercy                                                                   
Energy Audit,None,Completed,,,Brooklyn Museum,200 Eastern Parkway,DCLA,0.0,11238.0,BROOKLYN ,40.671834999999994,-73.963042,55.0,35.0,177.0,3029667.0,3011830026.0,park-cemetery-etc-Brooklyn                                                 
HVAC System Upgrade,Solar Thermal,Design,,,Engine Company 265,48-06 Rockaway Beach,FDNY,3.72,11694.0,QUEENS   ,40.570817,-73.85437900000001,14.0,32.0,928.0,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
Other,Retro-commissioning,Survey,,,5 Boro,1 Randalls Island,DPR,,10035.0,MANHATTAN,40.794834,-73.921697,11.0,8.0,240.0,1000000.0,1018190203.0,park-cemetery-etc-Manhattan                                                
Other,Retro-commissioning,Proposed,,,P.S.111X Seton Falls School,3740 Baychester Avenue,DOE,,10466.0,BRONX    ,40.884343,-73.840254,12.0,12.0,484.0,2065992.0,2049160001.0,Eastchester-Edenwald-Baychester                                            
Lighting System Upgrade,Retrofit,Completed,13-May-08,25-Mar-09,P.S. 396X / M.S. 390X,1930 ANDREWS AVE,DOE,148.75,10453.0,BRONX    ,40.854701,-73.913197,5.0,14.0,24502.0,2014692.0,2032160002.0,University Heights-Morris Heights                                          
Lighting System Upgrade,Retrofit,Substantially Completed,5-Jan-11,21-Nov-11,12X092 - 700 East 179th Street,700 East 179th Street,DOE,64.13,10457.0,BRONX    ,40.846711,-73.889815,6.0,17.0,371.0,2012620.0,2030920014.0,East Tremont                                                               
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jun-09,12-May-10,"Bklyn 8, Bklyn 7/10 District Garages",5100 1st Ave,DSNY,108.41,11232.0,BROOKLYN ,40.649977,-74.02011999999999,7.0,38.0,18.0,3000000.0,3007250200.0,Sunset Park West                                                           
Energy Audit,None,Completed,6-Jun-12,2-Jul-12,Fort Totten,Fort Totten Bayside NY,FDNY,397.97,11359.0,QUEENS   ,40.791326,-73.776653,7.0,19.0,999.0,4000000.0,4059170001.0,Ft. Totten-Bay Terrace-Clearview                                           
Energy Audit,None,Completed,2-Mar-11,15-May-12,P.S.21Q Edward Hart School,147-36 26th Avenue,DOE,29.34,11354.0,QUEENS   ,40.774512,-73.819284,7.0,19.0,1047.0,4108665.0,4048030001.0,Murray Hill                                                                
Lighting System Upgrade,Retrofit,Completed,27-Mar-09,30-Jul-09,Engine Company 206,1201 GRAND ST,FDNY,25.27,11211.0,BROOKLYN ,40.715146999999995,-73.92795600000001,1.0,34.0,449.0,3070506.0,3029290053.0,East Williamsburg                                                          
HVAC System Upgrade,Retrofit,Completed,1-Jul-08,30-Dec-09,,,DCLA,871.51,,,,,,,,,,
Lighting System Upgrade,Retrofit,Design,,,P.S. 199X The Shakespeare School,1449 Shakespeare Avenue,DOE,145.35,10452.0,BRONX    ,40.842943,-73.920563,4.0,16.0,21302.0,2088263.0,2028730027.0,Highbridge                                                                 
Lighting System Upgrade,Retrofit,Completed,1-Dec-08,20-Jul-09,123rd Precinct,116 Main Street,NYPD,12.63,10307.0,STATEN IS,40.512,-74.249725,3.0,51.0,248.0,5088926.0,5080280056.0,Charleston-Richmond Valley-Tottenville                                     
Other,Retro-commissioning,Survey,9-Aug-11,,Fleet Services Shop,654 West 158th Street,,,10032.0,MANHATTAN,40.836,-73.947567,12.0,7.0,241.0,1087614.0,1021340218.0,Washington Heights South                                                   
Lighting System Upgrade,Retrofit,Completed,10-Jan-11,21-Nov-11,X430 Walton H.S.,2780 Reservoir Ave @ East 196th Street,DOE,94.85,10468.0,BRONX    ,40.870293,-73.898309,7.0,11.0,409.0,2015241.0,2032470070.0,Van Cortlandt Village                                                      
Lighting System Upgrade,Retrofit,Completed,30-Jun-10,24-Nov-10,Group 5 - 71st/76th/90th/94th/77 Annex Pcts,191 UNION STREET,NYPD,41.78,11231.0,BROOKLYN ,40.683643,-74.000303,6.0,39.0,63.0,3004301.0,3003370027.0,Carroll Gardens-Columbia Street-Red Hook                                   
Energy Audit,None,Completed,9-Feb-11,11-May-12,PS 75M Emily Dickinson School,735 West End Ave,DOE,51.89,10025.0,MANHATTAN,40.795157,-73.973292,7.0,6.0,183.0,1034190.0,1012530065.0,Upper West Side                                                            
Comprehensive,Retrofit,Design,,,PS 13K - Roberto Clemente School,"557 Pennsylvania Ave  Brooklyn, NY",DOE,437.31,11207.0,BROOKLYN ,40.663672999999996,-73.893754,5.0,42.0,1126.0,3085070.0,3038230001.0,East New York (Pennsylvania Ave)                                           
Energy Audit,None,Completed,28-Oct-10,20-May-11,K067 - PS 67K Charles A. Dorsey School,51 Saint Edwards St,DOE,128.03,11205.0,BROOKLYN ,40.695633,-73.978215,2.0,35.0,2901.0,3332507.0,3020390002.0,Fort Greene                                                                
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,X069 - P.S. The New Vision School,560 Theriot Avenue,DOE,39.64,10473.0,BRONX    ,40.816693,-73.860904,9.0,18.0,16.0,2021482.0,2035240020.0,Soundview-Castle Hill-Clason Point-Harding Park                            
Lighting System Upgrade,Retrofit,Completed,4-Jan-11,15-Dec-11,14K147 - 325 Bushwick Avenue,325 Bushwick Avenue,DOE,93.57,11206.0,BROOKLYN ,40.705203999999995,-73.93940699999999,1.0,34.0,485.0,3071418.0,3030910001.0,Bushwick South                                                             
HVAC System Upgrade,Retrofit,Design,2-Mar-11,,60-80-100 Centre Street,60-80-100 Centre Street,DCAS,-97.69,,,,,,,,,,
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,09X002 - 1365 Fulton Avenue,1365 Fulton Ave,DOE,52.42,10456.0,BRONX    ,40.833696,-73.902477,3.0,16.0,14701.0,2009617.0,2029250056.0,Claremont-Bathgate                                                         
Lighting System Upgrade,Retrofit,Completed,27-Mar-09,10-Jul-09,Engine Company 45 & Ladder 58,925 E TREMONT AVE,FDNY,27.45,10460.0,BRONX    ,40.84172,-73.883628,6.0,17.0,363.0,2013192.0,2031260012.0,East Tremont                                                               
Comprehensive,Retrofit,Design,,,Comprehensive Energy Audit at P.S. X-054,"2703 Webster Ave Bronx, NY 10458",DOE,165.09,10458.0,BRONX    ,40.864527,-73.88782900000001,7.0,15.0,40502.0,2113630.0,2032780014.0,Bedford Park-Fordham North                                                 
Lighting System Upgrade,Retrofit,Completed,10-Jan-11,31-Aug-11,Ferry Maintenance Facility,1 Bay Street,DOT,136.37,10301.0,STATEN IS,40.643574,-74.072627,1.0,49.0,3.0,5141706.0,5000020001.0,West New Brighton-New Brighton-St. George                                  
Other,Retro-commissioning,Survey,,,Ko13-P.S. 13K Roberto Clemente School,557 Pennsylvania Ave,,,11207.0,BROOKLYN ,40.663672999999996,-73.893754,5.0,42.0,1126.0,3085070.0,3038230001.0,East New York (Pennsylvania Ave)                                           
Other,Retro-commissioning,Survey,,,M019- PS 019- Asher Levy,179 1st Avenue,,,10003.0,MANHATTAN,40.729469,-73.983937,3.0,2.0,40.0,1006478.0,1004530034.0,East Village                                                               
Energy Audit,None,Completed,7-Oct-10,2-Jun-10,Q120 - PS 120Q,58-01 136 Street,DOE,51.5,11355.0,QUEENS   ,40.745526,-73.829309,7.0,20.0,80301.0,4139491.0,4063730001.0,Queensboro Hill                                                            
Lighting System Upgrade,Retrofit,Completed,1-May-09,30-Sep-09,Q440 - Forest Hills High School,67-01 110th Street,DOE,179.68,11375.0,QUEENS   ,40.729402,-73.845637,6.0,29.0,747.0,4052143.0,4021890002.0,Forest Hills                                                               
Other,Retro-commissioning,Survey,,,"P.S.10K Magnet School of Math, Science and Design Technology",511 7th Avenue,DOE,,11215.0,BROOKLYN ,40.661061,-73.98653399999999,7.0,38.0,149.0,3016509.0,3008690001.0,Park Slope-Gowanus                                                         
Other,Retro-commissioning,Survey,,,K650 - Harry Vanarsdale Vocational HS,257 North 6th Street,DOE,,11211.0,BROOKLYN ,40.715073,-73.95475400000001,1.0,33.0,519.0,3062135.0,3023300011.0,North Side-South Side                                                      
Comprehensive,Retrofit,Design,,,I.S.131X Albert Einstein,885 Bolton Avenue,DOE,95.1,10473.0,BRONX    ,40.823526,-73.859662,9.0,18.0,42.0,2103869.0,2036440001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
HVAC System Upgrade,Retrofit,Install,1-May-09,30-Nov-11,Museum Of The City Of New York,1220 Fifth Avenue,DCLA,111.96,10029.0,MANHATTAN,40.792438,-73.952448,11.0,8.0,168.0,1074157.0,1016090001.0,East Harlem South                                                          
Energy Audit,None,Completed,24-Mar-10,7-Oct-10,X129 Twin Parks Upper School,2055 Mapes Avenue,DOE,137.68,10460.0,BRONX    ,40.845878000000006,-73.886184,6.0,15.0,371.0,2012957.0,2031090001.0,East Tremont                                                               
Energy Audit,None,Completed,16-Dec-10,30-Jun-11,Brownsville Recreation Center,598 Christopher Ave,DPR,,11212.0,BROOKLYN ,40.656816,-73.90257700000001,16.0,42.0,922.0,3085992.0,3038680002.0,Brownsville                                                                
Other,Retro-commissioning,Survey,,,Eugene T.Maleska Middle School,456 White Plains Road,DOE,,10473.0,BRONX    ,40.814833,-73.85658000000001,9.0,18.0,4.0,2020580.0,2034780018.0,Soundview-Castle Hill-Clason Point-Harding Park                            
Other,Photovoltaic,Substantially Completed,14-Dec-11,24-Feb-12,115th Precinct - Photovoltaic,92-15 Northern Blvd,NYPD,22.52,11372.0,QUEENS   ,40.756571,-73.87583599999999,3.0,21.0,351.0,4034862.0,4014220034.0,Jackson Heights                                                            
Comprehensive,Retrofit,Design,,, P.S.112X The Bronxwood School,1925 Schieffelin Avenue,DOE,31.68,10466.0,BRONX    ,40.885008,-73.843193,12.0,12.0,458.0,2065991.0,2049050500.0,Eastchester-Edenwald-Baychester                                            
Energy Audit,None,In Progress,26-Oct-11,15-Feb-12,Franklin Women's Shelter,1122 Franklin Avenue,DHS,0.0,10456.0,BRONX    ,40.828395,-73.905632,3.0,16.0,185.0,2004260.0,2026130001.0,Morrisania-Melrose                                                         
Lighting System Upgrade,Retrofit,Completed,23-Apr-08,27-Feb-09,I.S. 207Q (Rockw Pk)/P.S. 232Q (Lindenw)/P.S. 63Q(Old South),159-15 88th Street,DOE,48.9,11414.0,QUEENS   ,40.658089000000004,-73.844432,10.0,32.0,892.0,4293311.0,4140090060.0,Lindenwood-Howard Beach                                                    
Other,Retro-commissioning,Survey,,,P.S. 138 Brooklyn,760 Prospect Place,DOE,,11216.0,BROOKLYN ,40.67438,-73.95144300000001,8.0,36.0,31701.0,3330794.0,3012330026.0,Crown Heights North                                                        
Other,Retro-commissioning,Proposed,,,122nd Precinct,2320 Hylan Blvd,NYPD,,10306.0,STATEN IS,40.5743,-74.10588800000001,2.0,50.0,11202.0,5107580.0,5039060001.0,New Dorp-Midland Beach                                                     
Energy Audit,None,Completed,12-Oct-10,5-May-11,K009 - PS 9K Teunis G. Bergen School,80 Underhill Ave,DOE,86.38,11238.0,BROOKLYN ,40.678297,-73.965541,8.0,35.0,205.0,3028204.0,3011450026.0,Prospect Heights                                                           
Other,Retro-commissioning,Proposed,,,St. Mary's Rec Center,450 St. Ann's Avenue,DPR,,10455.0,BRONX    ,40.811972,-73.914275,1.0,8.0,37.0,2003692.0,2025570001.0,Mott Haven-Port Morris                                                     
Other,Retro-commissioning,Survey,9-Aug-11,,100 Gold Street,100 Gold Street,DCAS,,10038.0,MANHATTAN,40.710353000000005,-74.004007,1.0,1.0,1501.0,1001289.0,1000940025.0,Battery Park City-Lower Manhattan                                          
Energy Audit,None,Completed,6-Apr-11,17-May-12,"PS 10K Magnet School of Math, Science and Design Technology",511 Seventh Ave,DOE,53.91,11215.0,BROOKLYN ,40.661061,-73.98653399999999,7.0,38.0,149.0,3016509.0,3008690001.0,Park Slope-Gowanus                                                         
Comprehensive,Retrofit,Design,,,Otis Bantun Correctional Facility,16-16 Hazen St.,DOC,2021.92,11370.0,QUEENS   ,40.790301,-73.884412,1.0,22.0,1.0,,,Rikers Island                                                              
Energy Audit,None,Completed,16-Dec-10,30-Jun-11,Chelsea Recreation Center,430-44 West 25th Street,DPR,0.0,10001.0,MANHATTAN,40.748290999999995,-74.001649,4.0,3.0,93.0,1012811.0,1007220057.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
Energy Audit,None,Completed,9-Feb-11,30-Jun-11,Otis Bantun Correctional Facility,16-16 Hazen St.,DOC,2021.92,11370.0,QUEENS   ,40.790301,-73.884412,1.0,22.0,1.0,,,Rikers Island                                                              
Other,Retro-commissioning,Proposed,,,Brooklyn Heights Branch Library,280 Cadman Plaza West,BPL,,11201.0,BROOKLYN ,40.695657000000004,-73.991006,2.0,33.0,502.0,3001939.0,3002390016.0,Brooklyn Heights-Cobble Hill                                               
Energy Audit,None,In Progress,14-Aug-12,,K 251 Paerdegat,1037 East 54th Street,DOE,,11234.0,BROOKLYN ,40.632524,-73.924417,18.0,46.0,722.0,3214729.0,3077580001.0,Flatlands                                                                  
Comprehensive,Retrofit,Design,,,Charles A. Dorsey PS 67,51 Saint Edwards St,DOE,146.94,11205.0,BROOKLYN ,40.695633,-73.978215,2.0,35.0,2901.0,3332507.0,3020390002.0,Fort Greene                                                                
Lighting System Upgrade,Retrofit,Design,,,Brownsville Recreation Center,598 Christopher Ave,DPR,,11212.0,BROOKLYN ,40.656816,-73.90257700000001,16.0,42.0,922.0,3085992.0,3038680002.0,Brownsville                                                                
HVAC System Upgrade,Retrofit,Completed,15-Nov-10,26-Apr-11,Cioffe Borough Shop - 106-01 Avenue D,106-01 Avenue D,DSNY,148.09,11236.0,BROOKLYN ,40.654363000000004,-73.900725,18.0,42.0,1098.0,3252759.0,3038710001.0,East New York                                                              
Energy Audit,None,Completed,19-Oct-10,,X054 - IS 54,2703 Webster Ave,DOE,,10458.0,BRONX    ,40.864527,-73.88782900000001,7.0,15.0,40502.0,2113630.0,2032780014.0,Bedford Park-Fordham North                                                 
Other,Retro-commissioning,Survey,,,Humanities & Social Sciences Library,454 Fifth Avenue,NYPL,,10018.0,MANHATTAN,40.752047,-73.981946,5.0,4.0,84.0,,,Midtown-Midtown South                                                      
HVAC System Upgrade,Retrofit,Design,,,Manhattan Criminal Courthouse,100 Centre Street,DCAS,1545.09,10013.0,MANHATTAN,40.716084,-74.001425,1.0,1.0,29.0,1079000.0,1001670001.0,Chinatown                                                                  
