,sampling_location,sample_date,sample_time,weather_condition_dry_or_wet,top_sample_temperature_c,site_actual_depth_ft,top_sample_depth_ft,top_salinity_psu,top_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,percentage_o2_saturation_top_sample,light_trans_transparency_top_sample,top_sigma_t_kg_m3,top_fluorometer_mg_m3,top_sample_par_ue_s_m2,oxidation_reduction_potential_mv_top_sample,current_speed_knot,current_direction_current_direction,wind_speed_mph,wind_direction_wind_direction,sea_state,winkler_method_top_dissolved_oxygen_mg_l,secchi_depth_ft,top_ph,top_fecal_coliform_bacteria_cells_100ml,top_enterococci_bacteria_cells_100ml,top_nitrate_nitrite_mg_l,top_ammonium_mg_l,top_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,total_phosphorus_mg_l,top_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,top_dissolved_organic_carbon_mg_l,long,lat,type,bottom_sample_temperature_c,bottom_salinity_psu,winkler_method_bottom_dissolved_oxygen_mg_l,top_total_coliform_cells_100_ml,top_bottom_coliform_cells_100_ml,top_five_day_biochemical_oxygen_demand_mg_l,bottom_five_day_biochemical_oxygen_demand_mg_l,oakwood_bod_top_sample_mg_l,oakwood_bod_bottom_sample_mg_l,bottom_sample_depth_ft,bottom_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,percentage_o2_saturation_bottom_sample,bottom_sigma_t_kg_m3,bottom_fluorometer_mg_m3,bottom_ph,bottom_fecal_coliform_bacteria_cells_100ml,enterococcus_top_sample_less_than_or_greater_than_result,enterococcus_bottom_sample_less_than_or_greater_than_result,bottom_enterococci_bacteria_cells_100ml,bottom_total_suspended_solid_mg_l,sampling_comment,top_pcb_plate_count_thous_ml,bottom_pcb_plate_count_thous_ml,oxidation_reduction_potential_mv_bottom_sample,light_trans_transparency_bottom_sample,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,duplicate_sample,bottom_sample_par_ue_s_ue_s_m2,bottom_silica_mg_l,top_sample_salinity_ysi_psu,top_sample_temperature_ysi_c,top_coliform_log_no_ml,bottom_coliform_log_no_ml,fecal_coliform_top_sample_less_than_or_greater_than_result,chlorophyll_top_sample_field_u_l_ysi,top_dissolved_organic_carbon_ysi_mg_l,bottom_dissolved_organic_carbon_ysi_mg_l,bottom_sample_salinity_ysi_psu,bottom_sample_temperature_ysi_c,top_bacteria_per_c_c_1909,bottom_bacteria_per_c_c_1909,top_turbidity_nephelometric_turbidity_units,top_total_organic_carbon_mg_l,chlorophyll_bottom_sample_field_u_l_ysi,bottom_turbidity_ysi_nephelometric_turbidity_units,fecal_coliform_bottom_sample_less_than_or_greater_than_result,bottom_nitrate_nitrite_mg_l,bottom_ammonium_mg_l,bottom_ortho_phosphorus_mg_l,bottom_total_phosphorus_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,top_sample_depth_ysi_ft,bottom_depth_ysi_ft,bottom_active_chlorophyll_a_g_l
27,N1,2000-04-12T00:00:00.000,12:15 PM,Wet,9.21,46.0,3.3,0.42,0.6,18.21,,,0.1,,,,,S,12,NW,1,,1.5,7.78,,,0.609,0.086,0.029,0.665,,0.088,,0.82,,-73.916167,40.9145,Permanent,8.5,0.41,,,,,,,,39.4,0.57,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,J11,1989-08-10T00:00:00.000,11:27 AM,,21.9,24.0,,28.5,,,,,,,,,,W,,,,8.7,4.5,8.12,17,,0.084,0.005,0.098,,,0.13,,17.0,,-73.931333,40.581667,Permanent,21.4,28.8,6.9,110,460,,,,,,,,,,,7.98,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,x702_1909_DO,1909-09-18T00:00:00.000,10:17 AM,,,,,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,-74.031944,40.716667,Permanent,19,,4.12,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,K5,2004-05-26T00:00:00.000,2:35 PM,Wet,19.74,41.0,6.0,19.12,2.76,,52.82,,12.76,,,,0.4,N,0,0,1,8.07,2.0,7.62,151,117,0.447,0.273,0.048,1.71,1.3,0.162,6.4,50.08,3.87,-74.258833,40.508833,Permanent,18.01,21.57,5.99,,,,,,,40.0,2.97,,52.61,15.02,,7.64,,,,,1.4,,,,,,,,,,,,,,,,,35.2,4.3,4.37,,,,,,,,,,,,,,,,,
31,J7,1997-05-28T00:00:00.000,,,15.41,,3.28,25.26,3.23,6.75,78.9,58.58,18.39,7.37,5.16,,,,,,,7.51,3.5,7.58,,,0.323,1.19,0.13,1.96,,0.216,10.0,15.4,,-73.820833,40.645333,Permanent,14.7,25.97,7.25,,,4.6,4.4,,,29.52,3.26,5.3,61.36,19.09,11.86,7.67,,,,,10.0,,,,,59.68,,,5.35,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,N2,1994-07-26T00:00:00.000,11:25 AM,,,51.0,,,,,,,,,,,,N,,,,5.65,2.0,7.58,116,,0.41,0.24,0.098,,,0.14,17.0,10.4,,-73.930268,40.879447,Permanent,,,4.46,1300,500,,,1.4,1.0,,,,,,,7.45,144.0,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,E10,2011-07-05T00:00:00.000,11:08 AM,Dry,19.83,83.0,3.0,23.74,3.37,5.58,70.48,71.96,16.24,26.5155,176.69,344.209,1.4,46,3,90,CALM,5.86,4.0,7.6,60,1,0.13,0.148,,0.712,1.32,0.171,12.0,9.8,3.9,-73.765333,40.843667,Permanent,16.98,24.93,4.74,,,,,,,56.0,3.31,3.75,45.11,17.81,10.2877,7.65,,<,,,8.0,,,,351.348,71.21,7.6,7.52,1899.5,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NC0,2011-10-04T00:00:00.000,10:19 AM,Wet,20.17,16.0,3.0,16.51,2.44,0.29,3.53,65.25,10.68,39.1766,135.79,-236.897,0.1,S,4,N,1,0.0,3.0,6.83,"7,600",1040,0.036,1.25,0.267,2.15,3.94,0.353,10.0,4.4,4.0,-73.931556,40.714961,Permanent,21.56,19.02,0.0,,,,,,,13.0,2.86,0.11,1.45,12.24,36.9809,6.8,24000.0,,,1100.0,12.0,,,,-212.228,75.71,8.06,7.98,1883.7,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,
35,K1,2003-09-10T00:00:00.000,12:54 PM,Dry,,47.0,,,,,,,,,,,,E-0.5,0,O,1,5.62,6.0,7.26,4,5,0.49,0.566,0.174,2.9,1.96,0.22,11.2,2.91,3.58,-74.081945,40.651112,Permanent,,,5.83,,,,,,,,,,,,,7.54,,,,,14.0,,,,,,,,,,,,24.2,21.9,,,,2.15,,,21.6,21.6,,,,,,,,,,,,,,,
36,H4,1967-06-12T00:00:00.000,9:37 AM,,17.2,20.0,,24.5,,,,,,,,,,N,,,,4.8,,,,,,,,,,,,,,-73.929168,40.803613,Permanent,17.2,25.55,4.6,490,330,4.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,N9,2010-03-09T00:00:00.000,11:06 AM,,4.36,16.0,3.0,27.5,2.64,12.48,115.45,84.18,21.79,4.3273,129.13,194.185,0.8,E,6,N,1,11.51,7.0,7.76,,,0.112,0.108,,0.75,0.418,0.05,3.4,2.4,2.1,-73.983333,40.568333,Permanent,4.29,28.97,11.67,,,,,,,14.0,2.77,12.66,118.1,22.97,17.5098,7.8,,,,,4.0,,,,197.481,82.3,9.33,9.36,1816.9,,14.66,,,,,,,,,,,,,,,,,,,,,,,,,,
38,K4,1952-07-15T00:00:00.000,10:50 AM,,28.3,35.0,,21.0,,,,,,,,,,N,,,,0.2,,,,,,,,,,,,,,-74.211667,40.567,Permanent,27.8,20.3,0.2,,,3.0,2.0,,,,,,,,,,,,,,,,1.28,0.23,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
39,J7,2010-10-19T00:00:00.000,2:06 PM,Dry,,,,,,,,,,,,,,,,,,8.86,3.5,,800,62,0.724,0.942,,1.723,1.44,0.291,7.4,17.1,2.8,-73.820833,40.645333,Permanent,,,9.24,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,D,,,,,,,E,,,,,,,,,,,,,,,,,,,,
40,NW,1986-08-13T00:00:00.000,2:10 PM,,24.0,,,21.0,,,,,,,,,,N,,,,5.0,10.0,7.6,,,,,,,,,,,,-74.05233,40.60577,Permanent,23,23,4.3,2300,3300,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SP1,2014-06-11T00:00:00.000,,Wet,,,,,,,,,,,,,,,,,,,,,530,10,0.374,2.624,0.219,2.274,6.23,0.474,3.0,8.6,3.84,-73.860294,40.655069,Permanent,,,,,,,,,,,,,,,,,,E,,,,No Turbidity probe.,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,K2,1979-07-31T00:00:00.000,9:30 AM,,25.6,,,21.4,,,,,,,,,,W,,,,5.7,,,,,,,,,,,,,,-74.153,40.641167,Permanent,25.6,22.1,5.3,4500,4000,,,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,K2,1979-07-31T00:00:00.000,9:30 AM,,25.6,,,21.4,,,,,,,,,,W,,,,5.7,,,,,,,,,,,,,,-74.153,40.641167,Permanent,25.6,22.1,5.3,4500,4000,,,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,N5,1991-12-16T00:00:00.000,3:00 PM,,7.5,42.0,,13.4,,,,,,,,,,N,,,,10.7,2.5,,,,0.47,0.26,0.058,,,0.1,8.0,1.1,,-74.03,40.7045,Permanent,9.7,25.6,9.5,,,,,1.2,1.2,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,H3,1988-09-27T00:00:00.000,2:40 PM,,20.0,29.0,,22.0,,,,,,,,,,E,,,,4.1,4.0,7.25,490,,,,,,,,,,,-73.933833,40.828,Permanent,20,22,3.9,4900,2300,,,2.7,3.1,,,,,,,7.39,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,N16,2000-03-01T00:00:00.000,10:46 AM,Dry,4.32,24.0,3.3,25.28,24.45,15.53,,69.42,20.04,,,,,SE,4,SE,1,12.31,7.5,7.94,4,,0.222,0.112,,0.645,0.721,0.068,3.6,13.5,,-73.943667,40.529667,Permanent,4.13,31.42,11.04,,,,,,,23.0,29.64,11.62,,24.93,,7.86,,,,,2.4,,,,,77.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,K3,2000-08-24T00:00:00.000,11:59 AM,Wet,22.02,39.0,3.3,15.81,24.38,2.91,36.62,0.0,9.7,,,,,SW,4,S,1,6.11,5.0,7.23,587,,0.544,0.322,,0.863,5.54,0.177,12.8,3.51,4.29,-74.195833,40.6375,Permanent,21.88,18.54,5.6,,,,,,,39.4,28.11,4.33,55.14,11.79,,7.22,,,,,15.8,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,E6,1971-09-15T00:00:00.000,9:08 AM,,23.9,,,23.4,,,,,,,,,,S,,,,3.2,,,,,,,,,,,,,,-73.860833,40.7855,Permanent,22.8,24.4,1.6,33000,180000,,,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,N6,1947-08-26T00:00:00.000,9:30 AM,,25.6,56.0,,23.45,,,,,,,,,,S,,,,2.4,,,,,,,,,,,,,,-74.051333,40.664667,Permanent,25,23.8,1.9,,,1.0,2.0,,,,,,,,,,,,,,,,0.99,1.4,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
50,SP2,2013-08-28T00:00:00.000,1:01 PM,Dry,23.89,15.0,3.0,27.81,4.23,6.42,89.24,70.12,18.24,15.5313,193.47,,0.2,E,5,S,1,6.45,3.0,7.53,52,1,0.253,0.55,0.14,1.239,0.803,0.26,9.0,28.7,4.1,-73.854167,40.6445,Permanent,,,,,,,,,,,,,,,,,,<,,,,dark green water,,,,,,,310.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,K5,1992-01-07T00:00:00.000,12:44 PM,,5.2,41.0,,23.6,,,,,,,,,,S,,,,10.18,5.5,7.97,,,0.58,0.47,0.09,,,0.14,13.0,12.7,,-74.258833,40.508833,Permanent,5.3,24.5,9.91,,,,,1.8,1.4,,,,,,,7.85,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,N6,1955-08-29T00:00:00.000,8:30 AM,,22.8,56.0,,17.5,,,,,,,,,,SW,,,,3.5,,,,,,,,,,,,,,-74.051333,40.664667,Permanent,22.8,24.85,2.6,240,1100,4.0,2.0,,,,,,,,,,,,,,,,0.151,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,MVM,1970-08-10T00:00:00.000,8:07 AM,,24.4,,,10.4,,,,,,,,,,S,,,,7.2,,,,,,,,,,,,,,-73.918217,40.917636,Permanent,23.9,18.1,2.9,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,H5,1984-10-03T00:00:00.000,9:25 AM,,17.2,,,25.2,,,,,,,,,,N,,,,5.9,,,,,,,,,,,,,,-73.935832,40.787777,Permanent,17.8,25.4,6.8,13000,780,,,1.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
