project_id,project_name,project_start_date,project_completion_date,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income,low_income_units,moderate_income,middle_income,other,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,senior_units,planned_tax_benefit
69336,CONFIDENTIAL,2019-12-09T00:00:00.000,2019-12-09T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69337,CONFIDENTIAL,2019-12-09T00:00:00.000,2019-12-09T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69388,TROUTMAN STREET APARTMENTS,2019-12-09T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,6,0,6,0,6,18,0,
69419,456 AVENUE P APARTMENTS,2019-12-09T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,9,0,9,0,9,28,0,
69334,CONFIDENTIAL,2019-12-06T00:00:00.000,2019-12-06T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69335,CONFIDENTIAL,2019-12-06T00:00:00.000,2019-12-06T00:00:00.000,No,Non Prevailing Wage,0,1,0,0,0,0,0,1,1,1,0,
69387,19 MALTA STREET,2019-12-06T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,2,0,2,0,2,6,0,
62057,32-34 PUTNAM AVENUE CLUSTER PHASE I,2019-12-05T00:00:00.000,,No,Non Prevailing Wage,0,0,0,18,0,0,5,13,18,18,0,
68079,167-171 CHRYSTIE STREET,2019-12-05T00:00:00.000,,No,Non Prevailing Wage,0,7,8,0,0,0,15,0,15,78,0,
69386,2746 FULTON STREET,2019-12-05T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,9,0,
69385,100 SUYDAM STREET,2019-12-04T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,
61840,LENOX AVENUE CLUSTER (ANCP),2019-12-03T00:00:00.000,,No,Non Prevailing Wage,0,0,0,55,0,0,0,55,55,55,0,
69384,495 ST. JOHNS PLACE,2019-12-03T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,8,0,8,0,8,26,0,
68810,215 AUDUBON AVENUE HDFC.GHPP.FY20,2019-12-02T00:00:00.000,,No,Non Prevailing Wage,24,19,3,0,0,1,47,0,47,47,6,
69383,1329 EAST 13TH STREET,2019-12-02T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,5,0,5,0,5,14,0,
69382,505 UNION AVENUE APARTMENTS,2019-11-29T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,7,0,7,0,7,23,0,
63968,BALTON COMMONS,2019-11-27T00:00:00.000,,No,Non Prevailing Wage,9,4,13,10,0,1,37,0,37,37,0,
69309,CONFIDENTIAL,2019-11-27T00:00:00.000,2019-11-27T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69310,CONFIDENTIAL,2019-11-27T00:00:00.000,2019-11-27T00:00:00.000,No,Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69380,25-34 STEINWAY STREET,2019-11-27T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,
69381,PLG APARTMENTS,2019-11-27T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,141,0,141,0,141,467,0,
60963,FAC. 6309 FOURTH AVENUE,2019-11-26T00:00:00.000,,No,Prevailing Wage,83,0,0,0,0,1,84,0,84,84,83,
68268,HARBOR HILL HDFC,2019-11-26T00:00:00.000,2019-11-26T00:00:00.000,Yes,Non Prevailing Wage,85,1,0,0,0,1,87,0,87,87,86,
69295,CONFIDENTIAL,2019-11-26T00:00:00.000,,No,Non Prevailing Wage,0,0,0,2,0,0,0,2,2,2,1,
69378,251 WEST 117TH STREET,2019-11-26T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,32,0,32,0,32,104,0,
69379,987 WILLOUGHBY AVENUE APARTMENTS,2019-11-26T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,10,0,10,0,10,31,0,
67960,1120 WHEELER AVE.GHPP.FY20,2019-11-25T00:00:00.000,,No,Non Prevailing Wage,0,1,3,0,0,0,4,0,4,4,0,
69375,253-255 NOSTRAND AVENUE APARTMENTS,2019-11-25T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,
69377,73 STARR STREET APARTMENTS,2019-11-25T00:00:00.000,2019-11-27T00:00:00.000,No,Non Prevailing Wage,0,0,0,0,8,0,8,0,8,24,0,
69373,186 ST. GEORGES CRESCENT,2019-11-22T00:00:00.000,,No,Non Prevailing Wage,0,0,6,0,12,0,18,0,18,56,0,
69374,433 EAST 13TH STREET APARTMENTS,2019-11-22T00:00:00.000,,No,Non Prevailing Wage,0,12,12,0,6,0,30,0,30,113,0,
69308,CONFIDENTIAL,2019-11-21T00:00:00.000,2019-11-21T00:00:00.000,No,Non Prevailing Wage,0,1,0,0,0,0,0,1,1,1,0,
69372,THE ELEVEN 11 APARTMENTS,2019-11-20T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,9,0,9,0,9,28,0,
67540,777 GLENMORE AVENUE,2019-11-19T00:00:00.000,,No,Non Prevailing Wage,0,6,0,0,0,0,6,0,6,32,0,
69371,188 PULASKI STREET,2019-11-18T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,2,0,2,0,2,6,0,
69369,74 BLEECKER STREET,2019-11-15T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,
69370,87-65 171ST STREET APARTMENTS,2019-11-15T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,10,0,10,0,10,31,0,
67632,BK WESTCHESTER-HOME STREET LLC.PLP.FY20,2019-11-14T00:00:00.000,,No,Non Prevailing Wage,9,91,13,0,0,2,115,0,115,115,35,
68433,GODDARD RIVERSIDE.HRP.FY20,2019-11-14T00:00:00.000,,No,Non Prevailing Wage,50,133,10,0,0,1,0,194,194,194,0,
69307,CONFIDENTIAL,2019-11-14T00:00:00.000,2019-11-14T00:00:00.000,No,Non Prevailing Wage,0,1,0,0,0,0,0,1,1,1,0,
69367,104-22 ASTORIA BOULEVARD,2019-11-14T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,7,0,
69368,142 ERASMUS STREET,2019-11-14T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,
69366,1666 BROADWAY APARTMENTS,2019-11-13T00:00:00.000,,No,Non Prevailing Wage,0,0,2,0,0,0,2,0,2,5,0,
69364,2920 BRIGHTON 4TH STREET,2019-11-12T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,4,0,4,0,4,13,0,
69365,370 EVERGREEN AVENUE,2019-11-12T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,2,0,2,0,2,6,0,
69270,CONFIDENTIAL,2019-11-08T00:00:00.000,,No,Non Prevailing Wage,0,0,0,1,0,0,0,1,1,1,1,
69362,235 HAWTHORNE STREET APARTMENTS,2019-11-08T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,6,0,6,0,6,17,0,
69363,264 SULLIVAN PLACE APARTMENTS,2019-11-08T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,8,0,8,0,8,25,0,
69356,1117 HOE AVENUE APARTMENTS,2019-11-07T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,4,0,4,0,4,12,0,
67788,PCMH. 972 WASHINGTON AVE,2019-11-06T00:00:00.000,,No,Non Prevailing Wage,65,0,41,0,0,1,107,0,107,107,0,
69354,877 PARK AVENUE,2019-11-06T00:00:00.000,2019-12-11T00:00:00.000,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,
69306,CONFIDENTIAL,2019-11-05T00:00:00.000,2019-11-05T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
67494,PROJECT HOSPITALITY. 221 PORT RICHMOND AVE,2019-11-04T00:00:00.000,,No,Non Prevailing Wage,31,0,16,0,0,1,48,0,48,48,0,
69234,CONFIDENTIAL,2019-10-31T00:00:00.000,2019-10-31T00:00:00.000,No,Non Prevailing Wage,0,1,0,0,0,0,0,1,1,1,0,
69235,CONFIDENTIAL,2019-10-31T00:00:00.000,2019-10-31T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69353,86-57 MIDLAND PARKWAY APARTMENTS,2019-10-31T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,5,0,5,0,5,15,0,
69118,KNICKERBOCKER VILLAGE,2019-10-30T00:00:00.000,2019-10-30T00:00:00.000,Yes,Non Prevailing Wage,0,0,1159,431,0,0,1590,0,1590,1590,0,
65360,SEVENTEENTH STREET HDFC.YR15.FY20,2019-10-29T00:00:00.000,,No,Prevailing Wage,0,6,12,0,0,0,18,0,18,18,0,
64768,WATERSIDE PLAZA.HPO.FY20,2019-10-25T00:00:00.000,2019-10-25T00:00:00.000,Yes,Non Prevailing Wage,0,0,2,104,140,83,329,0,329,1471,40,
69210,CONFIDENTIAL,2019-10-25T00:00:00.000,2020-01-31T00:00:00.000,No,Non Prevailing Wage,0,1,0,0,0,0,0,1,1,1,1,
69351,105-05 NORTHERN BOULEVARD,2019-10-25T00:00:00.000,,No,Non Prevailing Wage,0,0,0,2,0,0,2,0,2,6,0,
69352,348 NOSTRAND AVENUE,2019-10-25T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,9,0,9,0,9,28,0,
69238,CONFIDENTIAL,2019-10-24T00:00:00.000,2019-10-24T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69349,1030-1032 STEBBINS AVENUE APARTMENTS,2019-10-24T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,6,0,6,0,6,20,0,
69350,1068 PUTNAM AVENUE APARTMENTS,2019-10-24T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,
68660,RIVER CROSSING OWNER HDFC.HPO.FY20,2019-10-23T00:00:00.000,2019-10-23T00:00:00.000,Yes,Non Prevailing Wage,0,0,5,458,47,2,512,0,512,761,0,
68661,HERITAGE HOLDINGS HDFC.HPO.FY20,2019-10-23T00:00:00.000,2019-10-23T00:00:00.000,Yes,Non Prevailing Wage,0,0,1,65,336,2,404,0,404,600,0,
68662,MILES & PARKER OWNER HDFC.HPO.FY20,2019-10-23T00:00:00.000,2019-10-23T00:00:00.000,Yes,Non Prevailing Wage,0,0,0,271,1,2,274,0,274,405,0,
69348,62-41 FOREST AVENUE,2019-10-21T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,13,0,13,0,13,42,0,
48143,MMN1802 - CLOTH AMSTERDAM AVENUE,2019-10-17T00:00:00.000,,No,Non Prevailing Wage,0,35,22,0,0,1,58,0,58,58,0,
69237,CONFIDENTIAL,2019-10-16T00:00:00.000,2019-10-16T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69346,2749 CRUGER AVENUE,2019-10-16T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,5,0,5,0,5,16,0,
69347,894/896/900 NEW YORK AVENUE,2019-10-16T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,9,0,9,0,9,24,0,
64745,EAST VILLAGE HOMES - PHASE I,2019-10-15T00:00:00.000,,No,Non Prevailing Wage,8,7,14,15,0,1,45,0,45,45,0,
69344,188 HUMBOLDT STREET,2019-10-15T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,17,0,17,0,17,55,0,
69345,731 BEDFORD AVENUE,2019-10-15T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,7,0,
67890,HARLEN HDFC.HUD MF.FY 20,2019-10-11T00:00:00.000,,No,Non Prevailing Wage,166,32,13,2,0,1,214,0,214,214,0,
68229,2175 BERGEN STREET,2019-10-11T00:00:00.000,,No,Non Prevailing Wage,0,4,7,0,0,0,11,0,11,41,0,
69342,1969 HUGHES AVENUE,2019-10-07T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,9,0,9,0,9,27,0,
69343,340/342 RUTLAND ROAD,2019-10-07T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,5,0,5,0,5,12,0,
69129,CONFIDENTIAL,2019-10-04T00:00:00.000,2019-11-29T00:00:00.000,No,Non Prevailing Wage,0,2,0,0,0,0,0,2,2,2,1,
68382,2 MT. HOPE PLACE,2019-10-03T00:00:00.000,,No,Non Prevailing Wage,0,17,17,6,0,0,40,0,40,164,0,
69341,743 LAFAYETTE AVENUE,2019-10-03T00:00:00.000,2019-12-11T00:00:00.000,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,
66099,21-10 31ST AVE,2019-10-02T00:00:00.000,,No,Non Prevailing Wage,0,0,2,0,0,0,2,0,2,14,0,
69096,141 METROPOLITAN AVENUE,2019-09-30T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,7,0,421a
69097,3470 FORT INDEPENDENCE STREET,2019-09-30T00:00:00.000,,No,Non Prevailing Wage,0,0,12,0,24,0,36,0,36,120,0,421a
69109,CONFIDENTIAL,2019-09-30T00:00:00.000,,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,1,
69124,CONFIDENTIAL,2019-09-30T00:00:00.000,2019-09-30T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69126,CONFIDENTIAL,2019-09-30T00:00:00.000,2019-09-30T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69123,CONFIDENTIAL,2019-09-26T00:00:00.000,2019-09-26T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69177,BAY TOWERS,2019-09-26T00:00:00.000,,No,Non Prevailing Wage,0,0,94,0,278,0,372,0,372,374,0,
69120,CONFIDENTIAL,2019-09-25T00:00:00.000,2019-09-25T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
66137,HP W53 HDFC.HUDMF.FY 19,2019-09-23T00:00:00.000,2019-09-23T00:00:00.000,No,Non Prevailing Wage,27,10,2,1,0,1,41,0,41,41,0,Article XI
69113,CONFIDENTIAL,2019-09-23T00:00:00.000,2019-09-23T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69094,1507 NEW YORK AVENUE,2019-09-19T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,421a
69095,1509 NEW YORK AVENUE,2019-09-19T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,421a
69014,CONFIDENTIAL,2019-09-17T00:00:00.000,2020-01-29T00:00:00.000,No,Non Prevailing Wage,0,0,2,0,0,0,0,2,2,2,1,
68958,CONFIDENTIAL,2019-09-11T00:00:00.000,2019-11-08T00:00:00.000,No,Non Prevailing Wage,1,0,0,0,0,0,0,1,1,1,1,
69092,219 SOUTH 3RD STREET,2019-09-09T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,9,0,421a
69093,3613 BARNES AVENUE APARTMENTS,2019-09-09T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,2,0,2,0,2,6,0,421a
67438,ST. ANN'S APARTMENTS LLC.YR15.FY20,2019-09-06T00:00:00.000,,No,Non Prevailing Wage,11,36,39,1,0,3,90,0,90,90,6,Article XI
69089,3 WEST 128TH STREET,2019-09-06T00:00:00.000,2019-10-18T00:00:00.000,No,Non Prevailing Wage,0,0,0,0,6,0,6,0,6,20,0,421a
69091,1424 VYSE AVENUE APARTMENTS,2019-09-06T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,421a
69122,CONFIDENTIAL,2019-09-06T00:00:00.000,2019-09-06T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69088,340 NEPTUNE AVENUE APARTMENTS,2019-09-03T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,6,0,6,0,6,20,0,421a
67504,HP W 48 HDFC.HUDMF.FY19,2019-08-30T00:00:00.000,,No,Non Prevailing Wage,40,10,2,0,0,2,54,0,54,54,0,Article XI
67575,LANGSAM 11 - 2816 JEROME AVENUE.HPO.FY19,2019-08-30T00:00:00.000,2019-08-30T00:00:00.000,Yes,Non Prevailing Wage,0,2,40,0,0,1,43,0,43,43,0,Article XI
68920,CONFIDENTIAL,2019-08-30T00:00:00.000,2019-08-30T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69086,173 MORNINGSIDE AVENUE APARTMENTS,2019-08-30T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,421a
69087,54 THROOP AVENUE APARTMENTS,2019-08-30T00:00:00.000,,No,Non Prevailing Wage,0,0,5,0,0,0,5,0,5,24,0,421a
69084,1610 NEW YORK AVENUE,2019-08-29T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,421a
69085,1612 NEW YORK AVENUE,2019-08-29T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,421a
68934,CONFIDENTIAL,2019-08-28T00:00:00.000,,No,Non Prevailing Wage,0,0,0,4,0,0,0,4,4,4,1,
69082,111 TROUTMAN STREET APARTMENTS,2019-08-28T00:00:00.000,2019-09-25T00:00:00.000,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,421a
69083,"ORCHARD, THE",2019-08-28T00:00:00.000,,No,Non Prevailing Wage,0,0,3,0,6,0,9,0,9,29,0,421a
69081,52-22 ROOSEVELT AVENUE APARTMENTS,2019-08-27T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,421a
68932,CONFIDENTIAL,2019-08-23T00:00:00.000,2020-01-27T00:00:00.000,No,Non Prevailing Wage,0,3,0,0,0,0,0,3,3,3,1,
69079,1248 NEW YORK AVENUE APARTMENTS,2019-08-23T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,421a
69080,1250 NEW YORK AVENUE APARTMENTS,2019-08-23T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,421a
67572,LANGSAM 9 - 1630 MACOMBS ROAD.HPO.FY20,2019-08-19T00:00:00.000,2019-08-19T00:00:00.000,Yes,Non Prevailing Wage,0,18,33,0,0,1,52,0,52,52,0,Article XI
68918,CONFIDENTIAL,2019-08-19T00:00:00.000,2019-08-19T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69077,133-135 MESEROLE AVENUE APARTMENTS,2019-08-19T00:00:00.000,,No,Non Prevailing Wage,0,0,2,0,0,0,2,0,2,10,0,421a
69078,418 EAST 153RD STREET,2019-08-19T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,421a
69075,223 MANHATTAN AVENUE,2019-08-16T00:00:00.000,2019-12-17T00:00:00.000,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,421a
69076,260 KNICKERBOCKER AVENUE,2019-08-16T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,16,0,16,0,16,53,0,421a
64829,RB.63-85 E 233RD ST.WOODLAWN SENIOR HOUSES,2019-08-15T00:00:00.000,,No,Prevailing Wage,79,0,0,0,0,1,80,0,80,80,79,420c
69074,969 57TH STREET,2019-08-15T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,7,0,421a
69073,WEX18 APARTMENTS,2019-08-14T00:00:00.000,2019-12-20T00:00:00.000,No,Non Prevailing Wage,0,0,0,0,6,0,6,0,6,17,0,421a
69071,2807 SNYDER AVENUE,2019-08-13T00:00:00.000,2019-09-09T00:00:00.000,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,8,0,421a
69072,2809 SNYDER AVENUE,2019-08-13T00:00:00.000,2019-09-09T00:00:00.000,No,Non Prevailing Wage,0,0,0,0,3,0,3,0,3,10,0,421a
68906,CONFIDENTIAL,2019-08-12T00:00:00.000,2019-10-18T00:00:00.000,No,Non Prevailing Wage,0,2,0,0,0,0,0,2,2,2,1,
68917,CONFIDENTIAL,2019-08-09T00:00:00.000,2019-08-09T00:00:00.000,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,1,1,0,
69070,236 STAGG STREET APARTMENTS,2019-08-09T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,6,0,6,0,6,18,0,421a
69069,366 STOCKTON STREET APARTMENTS,2019-08-07T00:00:00.000,,No,Non Prevailing Wage,0,0,3,0,0,0,3,0,3,15,0,421a
68914,CONFIDENTIAL,2019-08-02T00:00:00.000,2019-12-02T00:00:00.000,No,Non Prevailing Wage,0,1,0,0,0,0,0,1,1,1,1,
69068,79-81 STANHOPE STREET APARTMENTS,2019-08-02T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,5,0,5,0,5,16,0,421a
69067,RESIDENCES AT THE GEMINI WEST,2019-08-01T00:00:00.000,,No,Non Prevailing Wage,0,0,0,0,9,0,9,0,9,27,0,421a
68837,CONFIDENTIAL,2019-07-31T00:00:00.000,2019-10-25T00:00:00.000,No,Non Prevailing Wage,2,0,0,0,0,0,0,2,2,2,2,
