development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_therms,es_commodity,underlying_utility
REHAB PROGRAM (TAFT REHABS),MANHATTAN,REHAB PROGRAM (TAFT REHABS),BLD 04,Not Applicable,,516.0,292,M051600,FEDERAL,NY005013170P,EAST COAST POWER & GAS,8186984,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416067501007,N,5.27,,Yes,13.0,BROKERED GAS,ConEd
RED HOOK EAST,BROOKLYN,RED HOOK EAST,BLD 01,Not Applicable,,4.0,202,K000400,FEDERAL,NY005000040P,DIRECT ENERGY BUSINESS (32179),8114385,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00198901000,N,11452.55,,Yes,28250.0,BROKERED GAS,NatGrid NYC
REHAB PROGRAM (TAFT REHABS),MANHATTAN,REHAB PROGRAM (TAFT REHABS),BLD 04,NONE,BLD 04,516.0,292,M051600,FEDERAL,NY005013170P,CONSOLIDATED EDISON COMPANY OF NY,8075764,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3571077,Y,434.95,Trans Gen Non-Res,Yes,827.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 20,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8075237,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,4010790,N,196.26,Trans Res MultiDwell Heat,Exception,225.0,UTILITY GAS,ConEd
STERLING PLACE REHABS (STERLING-BUFFALO),BROOKLYN,STERLING PLACE REHABS (STERLING-BUFFALO),BLD 07,AMR,,368.0,837,K036800,FEDERAL,NY005013510P,National Grid NYC,8107070,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,05152666,N,238.57,T3 TRAN MULT FAM,Yes,438.0,UTILITY GAS,NatGrid NYC
PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,PENNSYLVANIA AVENUE-WORTMAN AVENUE,BLD 01,AMR,BLD 1-4,194.0,305,K019400,FEDERAL,NY005011940P,National Grid NYC,8107288,2019-08,2019-07-17T00:00:00.000,2019-08-27T00:00:00.000,41,06400898,N,3629.03,T3 TRAN MULT FAM,Yes,10584.0,UTILITY GAS,NatGrid NYC
MORRIS PARK SENIOR CITIZENS HOME,MANHATTAN,MORRIS PARK SENIOR CITIZENS HOME,BLD 01,NONE,,277.0,504,M027700,FEDERAL,NY005012410P,CONSOLIDATED EDISON COMPANY OF NY,8168690,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3409219,Y,21.96,Trans Res MultiDwell Heat,Yes,0.0,UTILITY GAS,ConEd
MILL BROOK EXTENSION,BRONX,MILL BROOK/MILL BROOK EXTENSION,MILL BROOK BLD 05,NONE,BLD 1-10,132.0,570,B013200,FEDERAL,NY005010840P,CONSOLIDATED EDISON COMPANY OF NY,8079338,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3333978-10.1%,N,1963.82,Trans Res MultiDwell Heat Dual,Yes,3647.61,UTILITY GAS,ConEd
OCEAN BAY APARTMENTS (BAYSIDE),QUEENS,OCEAN BAY APARTMENTS (BAYSIDE),BLD 22,Not Applicable,,98.0,571,Q009800,FEDERAL,NY005010980P,DIRECT ENERGY BUSINESS (32179),8114292,2019-08,2019-07-25T00:00:00.000,2019-08-22T00:00:00.000,28,1933124005,N,417.56,,Exception,1030.0,BROKERED GAS,NatGrid LI
PENNSYLVANIA AVENUE-WORTMAN AVENUE,BROOKLYN,PENNSYLVANIA AVENUE-WORTMAN AVENUE,BLD 01,Not Applicable,,194.0,305,K019400,FEDERAL,NY005011940P,DIRECT ENERGY BUSINESS (32179),8114512,2019-08,2019-07-18T00:00:00.000,2019-08-27T00:00:00.000,40,00568910000,N,4290.75,,Yes,10584.0,BROKERED GAS,NatGrid NYC
O'DWYER GARDENS,BROOKLYN,ODWYER GARDENS,BLD 06,AMR,BLD 1-6,172.0,582,K017200,FEDERAL,NY005011720P,National Grid NYC,8107393,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,05874469,Y,3549.5,T3 TRAN MULT FAM,Yes,10488.0,UTILITY GAS,NatGrid NYC
PELHAM PARKWAY,BRONX,PELHAM PARKWAY,BLD 06,Not Applicable,,39.0,586,B003900,FEDERAL,NY005010390P,EAST COAST POWER & GAS,8186783,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,395416165500001,N,8547.46,,Yes,21115.0,BROKERED GAS,ConEd
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 01,Not Applicable,,352.0,771,K035200,FEDERAL,NY005011670P,DIRECT ENERGY BUSINESS (32179),8114477,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00348935001,N,139.05,,Yes,343.0,BROKERED GAS,NatGrid NYC
RED HOOK EAST,BROOKLYN,RED HOOK EAST,BLD 07,Not Applicable,,4.0,202,K000400,FEDERAL,NY005000040P,DIRECT ENERGY BUSINESS (32179),8114561,2019-08,2019-07-27T00:00:00.000,2019-09-03T00:00:00.000,38,00198900300,N,6848.42,,Exception,16893.0,BROKERED GAS,NatGrid NYC
REHAB PROGRAM (COLLEGE POINT),QUEENS,REHAB PROGRAM (COLLEGE POINT),BLD 01,Not Applicable,,143.0,297,Q014300,FEDERAL,NY005011860P,EAST COAST POWER & GAS,8186680,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,295416004600005,N,57.08,,Yes,141.0,BROKERED GAS,ConEd
REHAB PROGRAM (TAFT REHABS),MANHATTAN,REHAB PROGRAM (TAFT REHABS),BLD 04,NONE,BLD 04,516.0,292,M051600,FEDERAL,NY005013170P,CONSOLIDATED EDISON COMPANY OF NY,8075689,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3319086,N,31.22,Trans Res MultiDwell Heat,Yes,13.0,UTILITY GAS,ConEd
ROOSEVELT I,BROOKLYN,ROOSEVELT I/ROOSEVELT II,ROOSEVELT I BLD 03,Not Applicable,,135.0,227,K013500,FEDERAL,NY005011350P,DIRECT ENERGY BUSINESS (32179),8114376,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,0148920020-69.7%,N,11140.08,,Yes,27479.23,BROKERED GAS,NatGrid NYC
SACK WERN,BRONX,SACK WERN,BLD 01,NONE,,280.0,506,B028000,FEDERAL,NY005012800P,CONSOLIDATED EDISON COMPANY OF NY,8078653,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3512698,N,32.17,Trans Gen Non-Res,Yes,0.0,UTILITY GAS,ConEd
SACK WERN,BRONX,SACK WERN,,Not Applicable,,280.0,506,B028000,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8186812,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,395416204314000,N,482.94,,Yes,1193.0,BROKERED GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 21,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8075368,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3231469,N,159.36,Trans Res MultiDwell Heat,Yes,172.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 29,NONE,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,CONSOLIDATED EDISON COMPANY OF NY,8074469,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3523129,Y,139.17,Trans Res MultiDwell Heat,Yes,143.0,UTILITY GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 02,Not Applicable,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,EAST COAST POWER & GAS,8186925,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416035631001,N,121.04,,Yes,299.0,BROKERED GAS,ConEd
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 25,Not Applicable,,377.0,650,M037700,MIXED FINANCE/LLC1,NY005023770P,EAST COAST POWER & GAS,8186938,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416036931004,N,109.3,,Yes,270.0,BROKERED GAS,ConEd
SAMUEL (MHOP) II,MANHATTAN,SAMUEL (MHOP) II,BLD 46,NONE,,398.0,871,M039800,FEDERAL,NY005013170P,CONSOLIDATED EDISON COMPANY OF NY,8075027,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3267665,N,120.38,Trans Res MultiDwell Heat,Yes,116.0,UTILITY GAS,ConEd
NOSTRAND,BROOKLYN,SHEEPSHEAD BAY/NOSTRAND,NOSTRAND BLD 17,Not Applicable,,43.0,585,K004300,FEDERAL,NY005010360P,DIRECT ENERGY BUSINESS (32179),8114532,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,2264582161-52.3%,N,14385.63,,Yes,35485.03,BROKERED GAS,NatGrid NYC
SOUTH BRONX AREA (SITE 402),BRONX,SOUTH BRONX AREA (SITE 402),BLD 04,NONE,,305.0,550,B030500,FEDERAL,NY005013420P,CONSOLIDATED EDISON COMPANY OF NY,8065759,2019-08,2018-10-23T00:00:00.000,2019-08-22T00:00:00.000,303,3590187,N,7744.38,GS2,Yes,14875.0,UTILITY GAS,ConEd
STEBBINS AVENUE-HEWITT PLACE,BRONX,STEBBINS AVENUE-HEWITT PLACE,BLD 02,Not Applicable,,353.0,770,B035300,FEDERAL,NY005013420P,EAST COAST POWER & GAS,8186729,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,395416130801005,N,5.67,,Exception,14.0,BROKERED GAS,ConEd
STERLING PLACE REHABS (SAINT JOHNS-STERLING),BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),BLD 03,Not Applicable,,366.0,801,K036600,FEDERAL,NY005013510P,DIRECT ENERGY BUSINESS (32179),8114410,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00304924002,N,164.59,,Yes,406.0,BROKERED GAS,NatGrid NYC
MARCY AVENUE-GREENE AVENUE SITE A,BROOKLYN,MARCY AVENUE-GREENE AVENUE SITE A,BLD 01,Not Applicable,,363.0,803,K036300,FEDERAL,NY005013590P,DIRECT ENERGY BUSINESS (32179),8114389,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00243517006,N,257.83,,Yes,636.0,BROKERED GAS,NatGrid NYC
MANHATTANVILLE REHAB (GROUP 2),MANHATTAN,MANHATTANVILLE REHAB (GROUP 2),BLD 01,Not Applicable,,296.0,557,M029600,FEDERAL,NY005010810P,EAST COAST POWER & GAS,8186895,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416031031008,N,89.87,,Yes,222.0,BROKERED GAS,ConEd
MARCY AVENUE-GREENE AVENUE SITE B,BROOKLYN,MARCY AVENUE-GREENE AVENUE SITE B,BLD 03,AMR,,358.0,804,K035800,FEDERAL,NY005013590P,National Grid NYC,8107029,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,05026048,N,394.38,T3 TRAN MULT FAM,Yes,789.0,UTILITY GAS,NatGrid NYC
LOWER EAST SIDE II,MANHATTAN,LOWER EAST SIDE II,BLD 04,NONE,,337.0,783,M033700,FEDERAL,NY005012920P,CONSOLIDATED EDISON COMPANY OF NY,8085795,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3127495,N,563.11,Trans Res MultiDwell Heat,Yes,752.0,UTILITY GAS,ConEd
LONGFELLOW AVENUE REHAB,BRONX,LONGFELLOW AVENUE REHAB,BLD 01,NONE,,362.0,794,B036200,FEDERAL,NY005015300P,CONSOLIDATED EDISON COMPANY OF NY,8079781,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3192766,N,483.77,Trans Res MultiDwell Heat,Yes,638.0,UTILITY GAS,ConEd
LOWER EAST SIDE II,MANHATTAN,LOWER EAST SIDE II,BLD 04,Not Applicable,,337.0,783,M033700,FEDERAL,NY005012920P,EAST COAST POWER & GAS,8186836,2019-08,2019-07-24T00:00:00.000,2019-08-21T00:00:00.000,28,495416010198000,N,304.41,,Yes,752.0,BROKERED GAS,ConEd
MARCY AVENUE-GREENE AVENUE SITE B,BROOKLYN,MARCY AVENUE-GREENE AVENUE SITE B,BLD 03,Not Applicable,,358.0,804,K035800,FEDERAL,NY005013590P,DIRECT ENERGY BUSINESS (32179),8114388,2019-08,2019-07-27T00:00:00.000,2019-08-27T00:00:00.000,31,00243510226,N,319.86,,Yes,789.0,BROKERED GAS,NatGrid NYC
PINK,BROOKLYN,PINK,BLD 01,AMR,,89.0,235,K008900,FEDERAL,NY005000890P,National Grid NYC,8107286,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,05236552,N,22.81,T3 TRAN MULT FAM,Yes,0.0,UTILITY GAS,NatGrid NYC
LENOX ROAD-ROCKAWAY PARKWAY,BROOKLYN,LENOX ROAD-ROCKAWAY PARKWAY,BLD 01,AMR,,348.0,763,K034800,FEDERAL,NY005011670P,National Grid NYC,8107187,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,06481243,N,300.28,T3 TRAN MULT FAM,Yes,577.0,UTILITY GAS,NatGrid NYC
KING TOWERS,MANHATTAN,KING TOWERS,BLD 05,NONE,BLD 1-10,30.0,518,M003000,FEDERAL,NY005010300P,CONSOLIDATED EDISON COMPANY OF NY,8181152,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,2545250,N,9902.38,Trans Res MultiDwell Heat,Yes,18449.58,UTILITY GAS,ConEd
ISAACS,MANHATTAN,ISAACS,BLD 03,NONE,BLD 1-4,139.0,253,M013900,FEDERAL,NY005011390P,CONSOLIDATED EDISON COMPANY OF NY,8085424,2019-08,2019-07-24T00:00:00.000,2019-08-22T00:00:00.000,29,3512052,N,14149.93,Trans Res MultiDwell Heat Dual,Yes,26001.0,UTILITY GAS,ConEd
KINGSBOROUGH,BROOKLYN,KINGSBOROUGH/KINGSBOROUGH EXTENSION,KINGSBOROUGH BLD 11,AMR,,10.0,205,K001000,FEDERAL,NY005010100P,National Grid NYC,8107138,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,00028150-85.9%,N,8738.62,T3 TRAN MULT FAM,Yes,26689.13,UTILITY GAS,NatGrid NYC
LENOX ROAD-ROCKAWAY PARKWAY,BROOKLYN,LENOX ROAD-ROCKAWAY PARKWAY,BLD 02,AMR,,348.0,763,K034800,FEDERAL,NY005011670P,National Grid NYC,8107189,2019-08,2019-07-26T00:00:00.000,2019-08-27T00:00:00.000,32,06082443,N,99.05,T3 TRAN MULT FAM,Yes,186.3,UTILITY GAS,NatGrid NYC
