development_name,borough,account_name,location,meter_amr,meter_scope,tds,edp,rc_code,funding_source,amp,vendor_name,umis_bill_id,revenue_month,service_start_date,service_end_date,days,meter_number,estimated,current_charges,rate_class,bill_analyzed,consumption_hcf,water_sewer_charges,other_charges
RALPH AVENUE REHAB,BROOKLYN,RALPH AVENUE REHAB,BLD 03,AMR,,352,771,K035200,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8191692,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O78997357,N,4267.98,Basic Water and Sewer,Yes,413,4267.98,0.0
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),117-17 204TH STREET,AMR,,284,521,Q028400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191305,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19423193,N,155.01,Basic Water and Sewer,Yes,15,155.01,0.0
CROWN HEIGHTS,BROOKLYN,CROWN HEIGHTS,BLD 04,AMR,,312,331,K031200,FEDERAL,NY005013510P,NEW YORK CITY WATER BOARD,8190695,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O78610291,N,1074.75,Basic Water and Sewer,Yes,104,1074.75,0.0
LOWER EAST SIDE II,MANHATTAN,LOWER EAST SIDE II,BLD 05,AMR,BLD 05,337,783,M033700,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,8191211,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,K16795588,N,3771.95,Basic Water and Sewer,Yes,365,3771.95,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),119-12 219TH STREET,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191188,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,E20280973,N,36.8,Basic Water and Sewer,Yes,2,36.8,0.0
LOWER EAST SIDE II,MANHATTAN,LOWER EAST SIDE II,BLD 05,AMR,BLD 05,337,783,M033700,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,8190924,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,G13042166,N,9404.03,Basic Water and Sewer,Yes,910,9404.03,0.0
HUNTS POINT AVENUE REHAB,BRONX,HUNTS POINT AVENUE REHAB,BLD 03,AMR,,367,806,B036700,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8191512,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O78997326,N,4474.67,Basic Water and Sewer,Yes,433,4474.67,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),108-15 164TH PLACE,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191223,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,E23129096,N,51.67,Basic Water and Sewer,Yes,5,51.67,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 25,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8191759,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V31665696,N,2015.15,Basic Water and Sewer,Yes,195,2015.15,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 25,AMR,BLD 25,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8191319,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O77670575,N,8112.27,Basic Water and Sewer,Yes,785,8112.27,0.0
UPACA (SITE 5),MANHATTAN,UPACA (SITE 5),BLD 01,AMR,,343,757,M034300,FEDERAL,NY005012410P,NEW YORK CITY WATER BOARD,8191257,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V31987647,N,39.34,Basic Water and Sewer,Exception,0,0.0,39.34
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 02,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8190352,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E12292737,N,5394.4,Basic Water and Sewer,Exception,522,5394.4,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),107-27 132ND STREET,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191713,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20508816,N,72.34,Basic Water and Sewer,Yes,7,72.34,0.0
FHA REPOSSESSED HOUSES (GROUP VIII),FHA,FHA REPOSSESSED HOUSES (GROUP VIII),198-16 116TH AVENUE,AMR,,275,520,Q027500,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191761,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19337618,N,39.34,Basic Water and Sewer,Yes,0,0.0,39.34
WEST FARMS ROAD REHAB,BRONX,WEST FARMS ROAD REHAB,BLD 02,AMR,"BLD 1,2",360,780,B053000,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8191695,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E12466784,N,8122.6,Basic Water and Sewer,Yes,786,8122.6,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 13,AMR,STORE 01-02,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8190721,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,G13039021,N,1808.47,Basic Water and Sewer,Yes,175,1808.47,0.0
FHA REPOSSESSED HOUSES (GROUP VIII),FHA,FHA REPOSSESSED HOUSES (GROUP VIII),118-22 197TH STREET,AMR,,275,520,Q027500,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191518,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48008382,N,155.01,Basic Water and Sewer,Yes,15,155.01,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),133-24 135TH PLACE,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190786,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,V48019845,Y,41.34,Basic Water and Sewer,Yes,4,41.34,0.0
FHA REPOSSESSED HOUSES (GROUP VII),FHA,FHA REPOSSESSED HOUSES (GROUP VII),114-42 200TH STREET,AMR,,274,396,Q027400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191768,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E21225871,N,62.0,Basic Water and Sewer,Yes,6,62.0,0.0
MARCY AVENUE-GREENE AVENUE SITE B,BROOKLYN,MARCY AVENUE-GREENE AVENUE SITE B,BLD 03,NONE,,358,804,K035800,FEDERAL,NY005013590P,NEW YORK CITY WATER BOARD,8176345,2019-09,2019-08-19T00:00:00.000,2019-09-18T00:00:00.000,30,E15220520,N,4050.97,Basic Water and Sewer,Yes,392,4050.97,0.0
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),153 BEACH 59TH STREET,NONE,,284,521,Q028400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190757,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,D88865432,N,237.68,Basic Water and Sewer,Yes,23,237.68,0.0
LOWER EAST SIDE REHAB (GROUP 5),MANHATTAN,LOWER EAST SIDE REHAB (GROUP 5),BLD 01,AMR,"BLD 01, STORE 01-03",292,555,M029200,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,8198711,2019-09,2019-06-30T00:00:00.000,2019-09-23T00:00:00.000,85,G13031843,N,44870.66,Basic Water and Sewer,Yes,434200,44870.66,0.0
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 07,NONE,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8194643,2019-09,2019-08-27T00:00:00.000,2019-09-25T00:00:00.000,29,E15220726,N,2635.2,Basic Water and Sewer,Yes,255,2635.2,0.0
FHA REPOSSESSED HOUSES (GROUP IX),FHA,FHA REPOSSESSED HOUSES (GROUP IX),173-09 143RD ROAD,AMR,,283,376,Q028300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190919,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E21228007,N,382.36,Basic Water and Sewer,Yes,37,382.36,0.0
FHA REPOSSESSED HOUSES (GROUP VI),FHA,FHA REPOSSESSED HOUSES (GROUP VI),113-44 SPRINGFIELD BOULEVARD,AMR,,273,395,Q027300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191565,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V52232165,N,39.34,Basic Water and Sewer,Yes,0,0.0,39.34
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),186-10 FOCH BOULEVARD,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190669,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E23152232,N,113.68,Basic Water and Sewer,Yes,11,113.68,0.0
INTERNATIONAL TOWER,QUEENS,INTERNATIONAL TOWER,BLD 01,AMR,BLD 01,316,296,Q031600,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,8190624,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E13090623,N,10334.1,Basic Water and Sewer,Yes,1000,10334.1,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),174-36 126TH AVENUE,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191449,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48009383,N,103.34,Basic Water and Sewer,Yes,10,103.34,0.0
FHA REPOSSESSED HOUSES (GROUP IX),FHA,FHA REPOSSESSED HOUSES (GROUP IX),165-17 116TH AVENUE,AMR,,283,376,Q028300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191299,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48012112,N,39.34,Basic Water and Sewer,Exception,2,39.34,0.0
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),223-20 FRANCIS LEWIS BOULEVARD,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191782,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E18457366,N,72.34,Basic Water and Sewer,Yes,7,72.34,0.0
FHA REPOSSESSED HOUSES (GROUP III),FHA,FHA REPOSSESSED HOUSES (GROUP III),100-38 FRANCIS LEWIS BOULEVARD,AMR,,213,340,Q021300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191676,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,B15006434,N,39.34,Basic Water and Sewer,Yes,5,39.34,0.0
BAY VIEW,BROOKLYN,BAY VIEW,BLD 25 - Community Center,NONE,Community Center,92,670,K209200,MIXED FINANCE/LLC1,NY005020920P,NEW YORK CITY WATER BOARD,8191313,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E17250205,N,39.34,Basic Water and Sewer,Yes,4,39.34,0.0
STEBBINS AVENUE-HEWITT PLACE,BRONX,STEBBINS AVENUE-HEWITT PLACE,BLD 01,AMR,,353,770,B035300,FEDERAL,NY005013420P,NEW YORK CITY WATER BOARD,8190825,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,K15110471,Y,4019.96,Basic Water and Sewer,Yes,389,4019.96,0.0
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),105-11 171ST PLACE,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190574,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48017452,N,72.34,Basic Water and Sewer,Exception,7,72.34,0.0
FHA REPOSSESSED HOUSES (GROUP VIII),FHA,FHA REPOSSESSED HOUSES (GROUP VIII),111-20 205TH STREET,AMR,,275,520,Q027500,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191542,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19432321,N,39.34,Basic Water and Sewer,Exception,0,0.0,39.34
UPACA (SITE 5),MANHATTAN,UPACA (SITE 5),BLD 01,AMR,,343,757,M034300,FEDERAL,NY005012410P,NEW YORK CITY WATER BOARD,8191257,2019-09,2019-08-30T00:00:00.000,2019-09-27T00:00:00.000,28,WATER & SEWER,N,8.58,Basic Water and Sewer,Exception,0,8.58,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 01,AMR,BLD 01,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8190742,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E22317869,N,248.02,Basic Water and Sewer,Yes,24,248.02,0.0
UNION AVENUE-EAST 166TH STREET,BRONX,UNION AVENUE-EAST 166TH STREET,BLD 01,AMR,,356,768,B035600,FEDERAL,NY005013420P,NEW YORK CITY WATER BOARD,8190909,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,K14040263,N,609.71,Basic Water and Sewer,Yes,59,609.71,0.0
THOMAS APARTMENTS,MANHATTAN,THOMAS APARTMENTS,BLD 01,AMR,,268,387,M026800,FEDERAL,NY005011270P,NEW YORK CITY WATER BOARD,8191509,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E10127758,N,8453.29,Basic Water and Sewer,Yes,818,8453.29,0.0
FHA REPOSSESSED HOUSES (GROUP III),FHA,FHA REPOSSESSED HOUSES (GROUP III),138-17 230TH PLACE,AMR,,213,340,Q021300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191234,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,E21227894,N,36.8,Basic Water and Sewer,Yes,1,36.8,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),116-17 FARMERS BOULEVARD,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190434,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,K15842395,N,330.69,Basic Water and Sewer,Yes,32,330.69,0.0
FHA REPOSSESSED HOUSES (GROUP IX),FHA,FHA REPOSSESSED HOUSES (GROUP IX),182 ADELPHI STREET,AMR,,283,376,Q028300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191500,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20481355,N,165.35,Basic Water and Sewer,Yes,16,165.35,0.0
FHA REPOSSESSED HOUSES (GROUP III),FHA,FHA REPOSSESSED HOUSES (GROUP III),188-23 LEWISTON AVENUE,AMR,,213,340,Q021300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191544,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,B18138683,N,134.34,Basic Water and Sewer,Exception,13,134.34,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),99-19 194TH STREET,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190616,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48002824,N,39.34,Basic Water and Sewer,Yes,0,0.0,39.34
FHA REPOSSESSED HOUSES (GROUP II),FHA,FHA REPOSSESSED HOUSES (GROUP II),171-28 111TH AVENUE,AMR,,212,327,Q021200,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190456,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,K15842657,N,39.34,Basic Water and Sewer,Yes,4,39.34,0.0
FHA REPOSSESSED HOUSES (GROUP I),FHA,FHA REPOSSESSED HOUSES (GROUP I),117-22 133RD STREET,AMR,,209,324,Q020900,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190539,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20580230,N,103.34,Basic Water and Sewer,Exception,10,103.34,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),142-06 FOCH BOULEVARD,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191276,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E17786098,N,39.34,Basic Water and Sewer,Yes,0,0.0,39.34
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 08,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8191689,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V31625178,N,1632.79,Basic Water and Sewer,Yes,158,1632.79,0.0
SAMUEL (MHOP) I,MANHATTAN,SAMUEL (MHOP) I,BLD 42,AMR,,389,847,M038900,MHOP,NY005013170P,NEW YORK CITY WATER BOARD,8191477,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E12324074,N,113.68,Basic Water and Sewer,Yes,11,113.68,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 12,AMR,BLD 12,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8190708,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20179084,N,62.0,Basic Water and Sewer,Exception,6,62.0,0.0
REID APARTMENTS,BROOKLYN,REID APARTMENTS,BLD 01,AMR,,167,283,K016700,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8204564,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O77903108,N,39.34,Basic Water and Sewer,Yes,1,39.34,0.0
FHA REPOSSESSED HOUSES (GROUP III),FHA,FHA REPOSSESSED HOUSES (GROUP III),3027 EDSON AVENUE,AMR,,213,340,Q021300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191800,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E21130072,N,72.34,Basic Water and Sewer,Yes,7,72.34,0.0
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 06,AMR,BLD 06,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,8191715,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E20291369,N,206.68,Basic Water and Sewer,Yes,20,206.68,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),197-22 122ND AVENUE,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191399,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E21225072,N,39.34,Basic Water and Sewer,Exception,4,39.34,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 20,AMR,BLD 20,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8193659,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,K16792337,N,4815.69,Basic Water and Sewer,Yes,466,4815.69,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 17,AMR,BLD 17,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8190854,2019-09,2010-08-22T00:00:00.000,2019-09-22T00:00:00.000,3318,G13008478,N,0.0,Basic Water and Sewer,Yes,0,0.0,0.0
LOWER EAST SIDE REHAB (GROUP 5),MANHATTAN,LOWER EAST SIDE REHAB (GROUP 5),BLD 02,AMR,"BLD 02, STORE 04-05",292,555,M029200,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,8191495,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,G11019423,N,3823.62,Basic Water and Sewer,Yes,370,3823.62,0.0
EAST 173RD STREET-VYSE AVENUE,BRONX,EAST 173RD STREET-VYSE AVENUE,BLD 04,AMR,,338,778,B033800,FEDERAL,NY005015300P,NEW YORK CITY WATER BOARD,8190846,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,E15220843,Y,3017.56,Basic Water and Sewer,Yes,292,3017.56,0.0
FHA REPOSSESSED HOUSES (GROUP VI),FHA,FHA REPOSSESSED HOUSES (GROUP VI),104-14 164TH PLACE,AMR,,273,395,Q027300,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190466,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48001903,N,134.34,Basic Water and Sewer,Yes,13,134.34,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 10,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8191202,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E10052406,N,2521.52,Basic Water and Sewer,Yes,244,2521.52,0.0
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 17,AMR,BLD 17,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,8190854,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E12313507,N,2149.49,Basic Water and Sewer,Yes,208,2149.49,0.0
FHA REPOSSESSED HOUSES (GROUP VIII),FHA,FHA REPOSSESSED HOUSES (GROUP VIII),114-39 203RD STREET,AMR,,275,520,Q027500,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191770,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E18457079,N,82.67,Basic Water and Sewer,Exception,8,82.67,0.0
FHA REPOSSESSED HOUSES (GROUP IV),FHA,FHA REPOSSESSED HOUSES (GROUP IV),120-56 233RD STREET,AMR,,226,345,Q022600,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191649,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19265753,N,217.02,Basic Water and Sewer,Yes,21,217.02,0.0
FHA REPOSSESSED HOUSES (GROUP X),FHA,FHA REPOSSESSED HOUSES (GROUP X),111-37 144TH STREET,AMR,,284,521,Q028400,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8190805,2019-09,2019-08-24T00:00:00.000,2019-09-22T00:00:00.000,29,E20710783,Y,51.67,Basic Water and Sewer,Yes,5,51.67,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),134-17 120TH AVENUE,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191702,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,V48018374,N,103.34,Basic Water and Sewer,Yes,10,103.34,0.0
SAMUEL (CITY),MANHATTAN,SAMUEL (CITY),BLD 44,AMR,,377,650,M037700,MIXED FINANCE/LLC1,NY005023770P,NEW YORK CITY WATER BOARD,8191730,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,O78610228,N,671.72,Basic Water and Sewer,Yes,65,671.72,0.0
FHA REPOSSESSED HOUSES (GROUP V),FHA,FHA REPOSSESSED HOUSES (GROUP V),110-15 169TH STREET,AMR,,260,397,Q026000,FEDERAL,NY005012090P,NEW YORK CITY WATER BOARD,8191707,2019-09,2019-08-22T00:00:00.000,2019-09-22T00:00:00.000,31,E19508239,N,39.34,Basic Water and Sewer,Yes,3,39.34,0.0
