violationid,buildingid,registrationid,boroid,boro,housenumber,lowhousenumber,highhousenumber,streetname,streetcode,zip,story,block,lot,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,latitude,longitude,communityboard,councildistrict,censustract,bin,bbl,nta,apartment,certifieddate,newcertifybydate,newcorrectbydate
10000060,65537,207907,2,BRONX,1742,1742,1758,EAST 172 STREET,26820,10472,3,3784,21,A,2013-09-11T00:00:00.000,2013-10-09T00:00:00.000,2014-01-27T00:00:00.000,2014-01-13T00:00:00.000,556,4705609,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE           SOUTH WALL IN THE BATHROOM  LOCATED AT APT 3M, 3rd STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION  AT  WEST",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2018-02-28T00:00:00.000,Original,Close,40.832584,-73.869201,9,18,76,2025588,2037840021,West Farms-Bronx River,3M,2014-02-18T00:00:00.000,,
10000105,354272,355611,3,BROOKLYN,2488,2488,2488,PITKIN AVENUE,70930,11208,1,4021,19,A,2013-10-07T00:00:00.000,2013-10-09T00:00:00.000,2014-01-27T00:00:00.000,2014-01-13T00:00:00.000,556,4705942,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE 1st ROOM  FROM NORTH,  THE 2nd ROOM  FROM NORTH AT WEST,  THE BATHROOM   LOCATED AT APT 1FL, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2015-07-27T00:00:00.000,Original,Close,40.674161,-73.880485,5,37,1166,3089314,3040210019,East New York,1FL,,,
10564530,240438,300670,3,BROOKLYN,1940,1940,1940,EAST 8 STREET,35130,11223,,7089,23,I,2015-02-18T00:00:00.000,2015-02-18T00:00:00.000,,,780,0,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ï¿½ï¿½27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",,9,VIOLATION DISMISSED,2019-02-20T00:00:00.000,,Close,40.601709,-73.963726,15,47,416,3190527,3070890023,Homecrest,,,,
10565199,216065,319542,3,BROOKLYN,54,54,54,BUSHWICK AVENUE,23930,11211,,2778,18,I,2015-02-18T00:00:00.000,2015-02-18T00:00:00.000,,,780,0,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ï¿½ï¿½27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",,9,VIOLATION DISMISSED,2019-02-20T00:00:00.000,,Close,40.713157,-73.941301,1,34,495,3323008,3027780018,East Williamsburg,,,,
10718765,77657,200319,2,BRONX,40,30,40,FEATHERBED LANE,32320,10452,5,2865,110,A,2015-05-19T00:00:00.000,2015-05-20T00:00:00.000,2015-09-07T00:00:00.000,2015-08-24T00:00:00.000,556,5123671,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT NORTH WALL  IN THE  1st ROOM  FROM EAST LOCATED AT APT 5F, 5th STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION  AT  NORTHEAST",2015-05-21T00:00:00.000,19,VIOLATION CLOSED,2015-08-30T00:00:00.000,Original,Close,40.845947,-73.915572,5,14,217,2008427,2028650110,University Heights-Morris Heights,5F,2015-06-18T00:00:00.000,,
10000177,74898,205177,2,BRONX,231,231,231,ECHO PLACE,29920,10457,6,2810,45,A,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2014-01-27T00:00:00.000,2014-01-13T00:00:00.000,491,4705649,"SECTION 300 M/D LAW  FILE PLANS AND APPLICATION AND LEGALIZE THE FOLLOWING ALTERATION OR RESTORE TO THE LEGAL CONDITION EXISTING PRIOR TO THE MAKING OF SAID ALTERATION  PARTITION  WALL ERECTED  WITH 2BY 4 AND SHEETROCK FROM FLOOR TO CEILING CREATING ADDITIONAL ROOMS  IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 3E, 6th STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION  AT  WEST",2013-10-10T00:00:00.000,22,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2016-11-10T00:00:00.000,Original,Open,40.849718,-73.90455,5,15,23502,2007730,2028100045,Mount Hope,3E,,,
10000178,330345,358832,3,BROOKLYN,804,804,804,MACON STREET,58030,11233,3,1497,26,A,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2014-01-27T00:00:00.000,2014-01-13T00:00:00.000,583,4705920,"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING  IN THE 1st ROOM  FROM NORTH LOCATED AT APT 6C, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2014-11-21T00:00:00.000,Original,Close,40.684617,-73.918794,3,41,377,3040150,3014970026,Stuyvesant Heights,6C,,,
11259306,313702,348224,3,BROOKLYN,217,217,217,THOMAS S BOYLAND STREET,50830,11233,1,1565,10,A,2016-06-02T00:00:00.000,2016-06-03T00:00:00.000,2016-09-23T00:00:00.000,2016-09-09T00:00:00.000,556,5443971,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE 5th ROOM  FROM EAST,  THE 4th ROOM  FROM EAST,  THE PRIVATE HALLWAY ,  THE KITCHEN ,  THE BATHROOM ,  THE 2nd ROOM  FROM EAST  LOCATED AT APT 1R, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",2016-06-06T00:00:00.000,19,VIOLATION CLOSED,2017-07-30T00:00:00.000,Original,Close,40.677098,-73.91363,16,41,301,3042499,3015650010,Ocean Hill,1R,,,
10000184,330345,358832,3,BROOKLYN,804,804,804,MACON STREET,58030,11233,3,1497,26,A,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2014-01-27T00:00:00.000,2014-01-13T00:00:00.000,583,4705920,"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT TOP OF 1ST WINDOW FROM SOUTH AT WEST WALL  IN THE 3rd ROOM  FROM NORTH LOCATED AT APT 6C, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  NORTH",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2014-11-21T00:00:00.000,Original,Close,40.684617,-73.918794,3,41,377,3040150,3014970026,Stuyvesant Heights,6C,,,
10000191,376529,360357,3,BROOKLYN,1679,1679,1679,STERLING PLACE,81430,11233,1,1375,55,B,2013-10-08T00:00:00.000,2013-10-09T00:00:00.000,2013-11-28T00:00:00.000,2013-11-14T00:00:00.000,506,4705968,"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING BALUSTER AT BALUSTRADE  AT PUBLIC HALL STAIRS, 1st STORY",2013-10-10T00:00:00.000,19,VIOLATION CLOSED,2014-09-10T00:00:00.000,Original,Close,40.671058,-73.923129,8,41,359,3036650,3013750055,Crown Heights North,,,,
10000196,74898,205177,2,BRONX,231,231,231,ECHO PLACE,29920,10457,6,2810,45,B,2013-10-08T00:00:00.000,2013-10-12T00:00:00.000,2013-12-03T00:00:00.000,2013-11-19T00:00:00.000,502,4707798,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE EAST AND SOUTH WALL AT BULKHEAD AT EAST SECTION  AT PUBLIC HALL, 6th STORY, SECTION  AT  EAST",2013-10-15T00:00:00.000,19,VIOLATION CLOSED,2016-11-03T00:00:00.000,Original,Close,40.849718,-73.90455,5,15,23502,2007730,2028100045,Mount Hope,,,,
