cultural_institutions_group_cig,fiscal_year_fy,operating_support,energy_support
Jamaica Center for Arts & Learning,2014,558432.0,128838.0
Flushing Town Hall,2014,454220.0,89326.0
El Museo del Barrio,2014,444474.0,205065.0
David H. Koch Theater,2014,1060530.0,1257852.0
Carnegie Hall,2014,479835.0,1274240.0
Brooklyn Museum,2014,5598637.0,2177447.0
Brooklyn Children's Museum,2014,1642175.0,251497.0
Brooklyn Botanic Garden,2014,3404959.0,572883.0
Brooklyn Academy of Music,2014,2006587.0,864833.0
Bronx Museum of the Arts,2014,579384.0,212629.0
