,providertype,dfta_id,contractyear,sponsorname,programname,serviceid,servicename,reportedmonth,reportedunits
16,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EACN,ELDER ABUSE COUNSELING,Sep 2019,77
17,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EALG,ELDER ABUSE LEGAL,Aug 2019,0
18,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EADL,ELDER ABUSE SECURITY DEV,Aug 2019,0
19,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAED,ELDER ABUSE EDUC/OUTREACH,Oct 2019,7
20,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EACN,ELDER ABUSE COUNSELING,Oct 2019,55
21,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAED,ELDER ABUSE EDUC/OUTREACH,Sep 2019,5
22,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAFA,ELDER ABUSE FINANCE ASST,Sep 2019,0
23,ELDER ABUSE SERVICES CONTRACTS,1e+101,2020,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,SHOPP ELDER ABUSE BX 1-8,EAFA,ELDER ABUSE FINANCE ASST,Aug 2019,0
24,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Jul 2019,214
25,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Jul 2019,0
26,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Sep 2019,1
27,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Oct 2019,66
28,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Jul 2019,317
29,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Oct 2019,2
30,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Aug 2019,340
31,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Jul 2019,6
32,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Jul 2019,125
33,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Sep 2019,2
34,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Sep 2019,5
35,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Aug 2019,2
36,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Jul 2019,43
37,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Sep 2019,215
38,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Sep 2019,134
39,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Aug 2019,122
40,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Oct 2019,387
41,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Jul 2019,2
42,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Oct 2019,0
43,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Aug 2019,224
44,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Aug 2019,0
45,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Oct 2019,0
46,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Sep 2019,0
47,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Jul 2019,2
48,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Sep 2019,413
49,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Sep 2019,48
50,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Aug 2019,34
51,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Aug 2019,0
52,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Oct 2019,218
53,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Oct 2019,12
54,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Oct 2019,191
55,ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Aug 2019,5
56,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Oct 2019,6
57,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Jul 2019,4
58,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Sep 2019,8
59,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Aug 2019,0
60,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Jul 2019,7
61,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Aug 2019,16
62,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Sep 2019,0
63,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Oct 2019,1
64,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Aug 2019,4
65,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Jul 2019,0
66,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Jul 2019,3
67,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Sep 2019,68
68,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Jul 2019,77
69,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Sep 2019,388
70,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Aug 2019,323
71,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Oct 2019,62
72,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Oct 2019,16
73,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Sep 2019,16
74,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Aug 2019,12
75,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Aug 2019,89
76,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Oct 2019,4
77,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Aug 2019,5
78,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Oct 2019,396
79,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Jul 2019,16
80,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Jul 2019,408
81,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Sep 2019,3
82,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Oct 2019,12
83,ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Sep 2019,3
84,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Oct 2019,3
85,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Aug 2019,3
86,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Sep 2019,238
87,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Aug 2019,0
88,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Jul 2019,393
89,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Aug 2019,46
90,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Aug 2019,0
91,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Jul 2019,0
92,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Jul 2019,157
93,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Sep 2019,54
94,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Jul 2019,6
95,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Aug 2019,0
96,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Aug 2019,348
97,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Sep 2019,1
98,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Sep 2019,0
99,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Jul 2019,238
100,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Sep 2019,1
101,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Sep 2019,147
102,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Sep 2019,7
103,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Aug 2019,146
104,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Jul 2019,0
105,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Jul 2019,2
106,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Jul 2019,56
107,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Aug 2019,240
108,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Sep 2019,356
109,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Oct 2019,4
110,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Oct 2019,241
111,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Oct 2019,68
112,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Oct 2019,561
113,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Oct 2019,10
114,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Oct 2019,2
115,ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Oct 2019,149
116,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EARS,ELDER ABUSE RESPITE,Sep 2019,0
117,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Sep 2019,197
118,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Aug 2019,96
119,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Sep 2019,0
120,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Aug 2019,1
121,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Jul 2019,6
122,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Oct 2019,0
123,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Jul 2019,9
124,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Oct 2019,81
125,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Sep 2019,0
126,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EARS,ELDER ABUSE RESPITE,Aug 2019,0
127,ELDER ABUSE SERVICES CONTRACTS,5e+101,2020,COMMUNITY AGENCY FOR SENIOR CITIZENS INC,CASC ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Oct 2019,8
