bbl,benchmarking_submission,bin,block,borough,borough_number,building_address,building_name,census_tract,community_board,community_council,council_district,energy_star_score,entry_number,fy15_energy_usage_mmbtu_utility_energy_excluding_fuel_oil,ghg,indoor_water_intensity_all_water_sources_gal_ft2,latitude,longitude,lot,nta,number_of_buildings,primary_property_type_self_selected,property_floor_area_buildngs_and_parking_ft2,reported_bins,reported_building_square_footage,reported_facility_type,reported_water_method,site_eui,site_eui_kbtu_ft2,state,street_name,street_number,total_ghg_emissions_mtco2e,water_per_square_foot,weather_normalized_source_eui,weather_normalized_source_eui_kbtu_ft2,zip,zip_code
1017400017.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,5 AVENUE            ,2367,,,,,10037.0,
1018190040.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,RANDALLS IS ROAD    ,8,,,,,10035.0,
1022150089.0,No DOF Record as of 08/01/12,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,TERRACE VIEW AVENUE ,1271,,,,,10034.0,
2024430091.0,No DOF Record as of 08/01/12,,,BRONX               ,,,,,,,,,,,,,,,,,,,,,,,,,,,CONCOURSE VILLIAGE W,820,,,,,0.0,
2024900001.0,No DOF Record as of 08/01/12,,,BRONX               ,,,,,,,,,,,,,,,,,,,,,,,,,,,RIVER AVENUE        ,45,,,,,10451.0,
2025390002.0,No DOF Record as of 08/01/12,,,BRONX               ,,,,,,,,,,,,,,,,,,,,,,,,,,,MAJ WM DEEGAN BLVD  ,,,,,,0.0,
2026040174.0,No DOF Record as of 08/01/12,,,BRONX               ,,,,,,,,,,,,,,,,,,,,,,,,,,,OAK POINT AVENUE    ,,,,,,0.0,
2027810500.0,Yes,,,BRONX,,,,,,,,22.0,2647.0,,13946.14,,,,,,12.0,,,,952000.0,Warehouse (Refrigerated),,176.9,,,HUNTS POINT AVENUE,,,,479.6,,10474.0,
2028250030.0,No DOF Record as of 08/01/12,,,BRONX               ,,,,,,,,,,,,,,,,,,,,,,,,,,,MORRIS AVENUE       ,,,,,,10457.0,
2028660105.0,No DOF Record as of 08/01/12,,,BRONX               ,,,,,,,,,,,,,,,,,,,,,,,,,,,MACOMBS ROAD        ,,,,,,10453.0,
2028820216.0,No DOF Record as of 08/01/12,,,BRONX               ,,,,,,,,,,,,,,,,,,,,,,,,,,,WEST 176 STREET     ,,,,,,0.0,
2042220005.0,No DOF Record as of 08/01/12,,,BRONX               ,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTCHESTER ROAD    ,1500,,,,,10461.0,
2051410700.0,No DOF Record as of 08/01/12,,,BRONX               ,,,,,,,,,,,,,,,,,,,,,,,,,,,CO-OP CITY BOULEVARD,150,,,,,10475.0,
2052630191.0,No DOF Record as of 08/01/12,,,BRONX               ,,,,,,,,,,,,,,,,,,,,,,,,,,,REEDS MILL LANE     ,,,,,,0.0,
2052860015.0,No DOF Record as of 08/01/12,,,BRONX               ,,,,,,,,,,,,,,,,,,,,,,,,,,,PINKNEY AVENUE      ,2385,,,,,10475.0,
3002450029.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,ATLANTIC AVENUE     ,,,,,,11201.0,
3002550012.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,REMSEN STREET       ,,,,,,11201.0,
3006120250.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,ERIE BASIN          ,5,,,,,0.0,
3029620001.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,SCHOLES STREET      ,,,,,,11237.0,
3029620037.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,VARICK AVENUE       ,,,,,,11237.0,
3029680020.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,VARICK AVENUE       ,,,,,,11237.0,
3044080001.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,FLATLANDS AVENUE    ,1205,,,,,11234.0,
3044110001.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,COZINE AVENUE       ,921,,,,,11208.0,
3044520010.0,Yes,,,BROOKLYN,,,,,,,,,1203.0,,84653.85,,,,,,1.0,,,,7672280.0,Multifamily Housing,,206.6,,,PENNSYLVANIA AVENUE,1266,,,239.4,,11207.0,
3044520125.0,Yes,,,BROOKLYN,,,,,,,,,1203.0,,84653.85,,,,,,1.0,,,,7672280.0,Multifamily Housing,,206.6,,,SCHROEDERS AVENUE,155,,,239.4,,11207.0,
3060620048.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,89 STREET           ,,,,,,0.0,
3079690009.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,UTICA AVENUE        ,5200,,,,,11234.0,
3081340001.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST 101 STREET     ,10101,,,,,11236.0,
3085911500.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,FLATBUSH AVENUE     ,,,,,,0.0,
3087208001.0,No DOF Record as of 08/01/12,,,BROOKLYN            ,,,,,,,,,,,,,,,,,,,,,,,,,,,SEACOAST TERRACE    ,,,,,,0.0,
4000110001.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,55 AVENUE           ,2,,,,,11101.0,
4000130160.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  54 AVENUE         ,     2-39,,,,,11101.0,
4085200175.0,Yes,,,QUEENS,,,,,,,,,342.0,,,,,,,,1.0,,,,381993.0,Senior Care Facility,,,,,  76 AVENUE,   271-11,,,,,11040.0,
4000340001.0,Yes,,,QUEENS,,,,,,,,,2386.0,,415.27,,,,,,1.0,,,4860183.0,120638.0,Multifamily Housing,,40.5,,,BORDEN AVENUE,     5-43,,,114.4,,11101.0,
4000360001.0,Yes,,,QUEENS,,,,,,,,,2395.0,,205.36,,,,,,1.0,,,4000204.0,55498.0,Warehouse (Unrefrigerated),,52.1,,,VERNON BOULEVARD,    54-08,,,102.8,,11101.0,
4000390182.0,Yes,,,QUEENS,,,,,,,,,1493.0,,350.2,,,,,,1.0,,,4000210.0,136500.0,Other,,42.0,,,BORDEN AVENUE,    11-58,,,62.6,,11101.0,
4000500001.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  45 ROAD           ,    10-01,,,,,11101.0,
4000500017.0,Yes,,,QUEENS,,,,,,,,,1959.0,,,,,,,,1.0,,,4000411.0,66800.0,Office,,,,,  45 ROAD,    10-41,,,,,11101.0,
4000610011.0,Yes,,,QUEENS,,,,,,,,95.0,349.0,,768.29,,,,,,1.0,,,4441830.0,199365.0,Office,,45.6,,,  21 STREET,    47-40,,12.66,127.5,,11101.0,
4000680055.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,BORDEN AVENUE       ,    25-20,,,,,11101.0,
4000690001.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,BORDEN AVENUE       ,    21-07,,,,,11101.0,
4000690004.0,Yes,,,QUEENS,,,,,,,,55.0,1734.0,,669.15,,,,,,1.0,,,4000531.0,168000.0,Warehouse (Unrefrigerated),,48.5,,,BORDEN AVENUE,    21-09,,,82.7,,11101.0,
4000710001.0,Yes,,,QUEENS,,,,,,,,,2466.0,,,,,,,,1.0,,,4000539.0,,Warehouse (Unrefrigerated),,,,,  49 AVENUE,    21-02,,,,,11101.0,
4000710124.0,Yes,,,QUEENS,,,,,,,,,1618.0,,,,,,,,1.0,,,,656241.0,Warehouse (Unrefrigerated),,,,,  49 AVENUE,    24-02,,,,,11101.0,
4000830018.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,COURT SQUARE        ,    45-40,,,,,11101.0,
4000840011.0,Yes,,,QUEENS,,,,,,,,,2590.0,,991.57,,,,,,1.0,,,,120000.0,Office,,103.7,,,COURT SQUARE,    45-18,,,265.7,,11101.0,
4000860001.0,Yes,,,QUEENS,,,,,,,,78.0,1009.0,,443.58,,,,,,1.0,,,4000860001.0,168600.0,Warehouse (Unrefrigerated),,41.1,,,JACKSON AVENUE,    22-44,,,72.8,,11101.0,
4000970004.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,AUSTELL PLACE       ,    47-37,,,,,11101.0,
4000980011.0,Yes,,,QUEENS,,,,,,,,45.0,1948.0,,476.66,,,,,,1.0,,,4436642.0,87516.0,Warehouse (Unrefrigerated),,65.8,,,PEARSON PLACE,    47-15,,,111.7,,11101.0,
4000980022.0,Yes,,,QUEENS,,,,,,,,63.0,1036.0,,53.34,,,,,,1.0,,,4000741.0,55576.0,Warehouse (Unrefrigerated),,13.9,,,PEARSON PLACE,    47-61,,,27.7,,11101.0,
4000980030.0,Yes,,,QUEENS,,,,,,,,,1062.0,,142.87,,,,,,1.0,,,4436643.0,75864.0,Office,,27.6,,,AUSTELL PLACE,    47-10,,,53.7,,11101.0,
4001000012.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  49 AVENUE         ,    25-11,,,,,11101.0,
4001050012.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,BORDEN AVENUE       ,    23-23,,,,,11101.0,
4001130001.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  27 STREET         ,    50-09,,,,,11101.0,
4001150048.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,27 STREET           ,    47-25,,,,,11101.0,
4001150187.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  30 STREET         ,    47-50,,,,,11101.0,
4001160021.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,BARNETT AVENUE      ,    38-04,,,,,11101.0,
4001200012.0,Yes,,,QUEENS,,,,,,,,,633.0,,2812.46,,,,,,1.0,,,4000822.0,217599.0,Mall (Strip Mall and Enclosed),,139.0,,,NORTHERN BOULEVARD,    48-18,,,457.6,,11101.0,
4001200028.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHERN BOULEVARD  ,    50-30,,,,,11101.0,
4001250010.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  48 STREET         ,    38-04,,,,,11104.0,
4001430001.0,Yes,,,QUEENS,,,,,,,,,214.0,,775.1,,,,,,1.0,,,4001351.0,126125.0,Storage/Shipping/Non-Refrigerated Warehouse,,82.7,,,NORTHERN BOULEVARD,    47-00,,,183.6,,11101.0,
4001430010.0,Yes,,,QUEENS,,,,,,,,71.0,1973.0,,1116.68,,,,,,2.0,,,,129790.0,Retail,,106.7,,,  48 STREET,    45-10,,,271.8,,11377.0,
4001830040.0,Yes,,,QUEENS,,,,,,,,66.0,1508.0,,114.63,,,,,,1.0,,,,78182.0,Warehouse (Unrefrigerated),,19.7,,,NORTHERN BOULEVARD,    41-02,,,44.1,,11101.0,
4001830051.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHERN BOULEVARD  ,    42-02,,,,,11101.0,
4001830146.0,Yes,,,QUEENS,,,,,,,,,879.0,,211.87,,,,,,1.0,,,4002368.0,55176.0,Retail,,53.2,,,NORTHERN BOULEVARD,    42-52,,8.08,113.9,,11101.0,
4002140016.0,Yes,,,QUEENS,,,,,,,,,2002.0,,,,,,,,1.0,,,4003101.0,101973.0,Self-Storage,,,,,NORTHERN BOULEVARD,    36-02,,1.06,,,11101.0,
4002140021.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHERN BOULEVARD  ,    36-20,,,,,11101.0,
4002140210.0,Yes,,,QUEENS,,,,,,,,95.0,2509.0,,1519.28,,,,,,1.0,,,4003105.0,436814.0,Office,,38.1,,,NORTHERN BOULEVARD,    33-00,,,120.4,,11101.0,
4002140243.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHERN BOULEVARD  ,    34-08,,,,,11101.0,
4002230001.0,Yes,,,QUEENS,,,,,,,,,1604.0,,125.06,,,,,,2.0,,,,82000.0,Self-Storage,,20.0,,,  47 AVENUE,    38-01,,,46.5,,11101.0,
4002300001.0,Yes,,,QUEENS,,,,,,,,,1708.0,,341.88,,,,,,1.0,,,4003273.0,139143.0,Other,,39.6,,,  36 STREET,    47-36,,0.0,63.9,,11101.0,
4002370001.0,Yes,,,QUEENS,,,,,,,,42.0,1797.0,,1025.17,,,,,,1.0,,,4003397.0,255337.0,Warehouse (Unrefrigerated),,46.0,,,  35 STREET,    48-49,,4.73,106.0,,11101.0,
4002390111.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHERN BOULEVARD  ,    32-04,,,,,11101.0,
4016340001.0,Yes,,,QUEENS,,,,,,,,64.0,1660.0,,,,,,,,1.0,,,4040807.0,,Hotel,,,,,DITMARS BOULEVARD,   100-15,,,,,11369.0,
4002430035.0,Yes,,,QUEENS,,,,,,,,,996.0,,305.48,,,,,,1.0,,,2773304.0,53816.0,Warehouse (Unrefrigerated),,92.4,,,  34 STREET,    43-20,,,145.9,,11101.0,
4002470018.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  33 STREET         ,    45-11,,,,,11101.0,
4002510001.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  33 STREET         ,    47-51,,,,,11101.0,
4002510015.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  33 STREET         ,    47-15,,,,,11101.0,
4002520001.0,Yes,,,QUEENS,,,,,,,,100.0,1806.0,,708.01,,,,,,1.0,,,4003446.0,216300.0,Office,,47.1,,,  48 AVENUE,    32-35,,,55.4,,11101.0,
4002520018.0,Yes,,,QUEENS,,,,,,,,100.0,1496.0,,708.01,,,,,,1.0,,,4003447.0,193620.0,Office,,52.6,,,  47 AVENUE,    32-36,,,60.4,,11101.0,
4002530001.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,VAN DAM STREET      ,    47-36,,,,,11101.0,
4002530017.0,Yes,,,QUEENS,,,,,,,,,486.0,,123.83,,,,,,1.0,,,4003449.0,0.0,Other,,0.0,,,  32 PLACE,    47-14,,,0.0,,11101.0,
4002550001.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,HUNTERS POINT AVENUE,    33-01,,,,,11101.0,
4002560021.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,HUNTERS POINT AVENUE,    34-24,,,,,11101.0,
4002650001.0,Yes,,,QUEENS,,,,,,,,65.0,1422.0,,508.49,,,,,,1.0,,,4003482.0,143678.0,Warehouse (Unrefrigerated),,51.2,,,QUEENS STREET,    43-43,,,101.9,,11101.0,
4002650006.0,Yes,,,QUEENS,,,,,,,,76.0,1424.0,,192.78,,,,,,1.0,,,4003483.0,52500.0,Warehouse (Unrefrigerated),,58.0,,,QUEENS STREET,    43-15,,,95.2,,11101.0,
4002660003.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,QUEENS STREET       ,    43-22,,,,,11101.0,
4002740001.0,Yes,,,QUEENS,,,,,,,,,2446.0,,4295.66,,,,,,1.0,,,4003517.0,609247.0,Education,,80.5,,,THOMSON AVENUE,    30-20,,,241.3,,11101.0,
4002850001.0,Yes,,,QUEENS,,,,,,,,97.0,1791.0,,61.01,,,,,,1.0,,,4003544.0,68150.0,Warehouse (Unrefrigerated),,11.6,,,31 PLACE,    31-10,,,17.2,,11106.0,
4002860001.0,Yes,,,QUEENS,,,,,,,,62.0,1104.0,,202.11,,,,,,1.0,,,4003545.0,65415.0,Warehouse (Unrefrigerated),,46.1,,,  48 AVENUE,    30-40,,3.08,84.7,,11101.0,
4002870011.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  30 PLACE          ,    48-02,,,,,11101.0,
4002880056.0,Yes,,,QUEENS,,,,,,,,61.0,1516.0,,86.31,,,,,,1.0,,,,51463.0,Warehouse (Unrefrigerated),,21.5,,,VAN DAM STREET,    49-20,,,52.6,,11101.0,
4002890001.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  31 STREET         ,    49-47,,,,,11101.0,
4002920001.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,BORDEN AVENUE       ,    29-01,,,,,11101.0,
4002920027.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,HUNTERS POINT AVENUE,    29-10,,,,,11101.0,
4002940150.0,Yes,,,QUEENS,,,,,,,,86.0,729.0,,191.97,,,,,,1.0,,,4436712.0,165000.0,Warehouse (Unrefrigerated),,16.3,,,REVIEW AVENUE,    29-00,,0.91,28.7,,11101.0,
4002940173.0,Yes,,,QUEENS,,,,,,,,100.0,2054.0,,,,,,,,1.0,,,4003565.0,,Warehouse (Unrefrigerated),,,,,REVIEW AVENUE,    30-02,,,,,11101.0,
4002940200.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW AVENUE       ,    30-54,,,,,11101.0,
4002950035.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW AVENUE       ,    30-01,,,,,11101.0,
4002950052.0,Yes,,,QUEENS,,,,,,,,,2553.0,,205.65,,,,,,1.0,,,4307188.0,134593.0,Warehouse (Unrefrigerated),,21.6,,,STARR AVENUE,    30-28,,,43.9,,11101.0,
4002950052.0,Yes,,,QUEENS,,,,,,,,,2627.0,,205.65,,,,,,1.0,,,4307188.0,134593.0,Warehouse (Unrefrigerated),,21.6,,,STARR AVENUE,    30-28,,,43.9,,11101.0,
4002970001.0,Yes,,,QUEENS,,,,,,,,,1147.0,,1077.93,,,,,,1.0,,,4436713.0,160000.0,Other,,100.8,,,REVIEW AVENUE,    34-35,,,182.8,,11101.0,
4003020006.0,Yes,,,QUEENS,,,,,,,,72.0,2630.0,,490.7,,,,,,1.0,,,4865484.0,88000.0,Hotel,,75.5,,,STARR AVENUE,    34-01,,,166.9,,11101.0,
4003120079.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW AVENUE       ,    37-88,,,,,11101.0,
4003120089.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW AVENUE       ,    38-20,,,,,11101.0,
4003120330.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW AVENUE       ,    39-30,,,,,11101.0,
4003120350.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW AVENUE       ,    38-60,,,,,11101.0,
4003130001.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,VERNON BOULEVARD    ,    33-26,,,,,11106.0,
4003220118.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,VERNON BOULEVARD    ,    34-24,,,,,11106.0,
4003300019.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  35 AVENUE         ,    10-06,,,,,11106.0,
4003660001.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  24 STREET         ,    37-24,,,,,11101.0,
4003730021.0,Yes,,,QUEENS,,,,,,,,56.0,1404.0,,670.59,,,,,,1.0,,,4004537.0,76243.0,Office,,125.2,,,  37 AVENUE,    37-12,,,246.9,,11101.0,
4003760001.0,Yes,,,QUEENS,,,,,,,,,778.0,,,,,,,,1.0,,,4004564.0,,Office,,,,,  38 AVENUE,    34-01,,,,,11101.0,
4003770013.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  37 AVENUE         ,    35-02,,,,,11101.0,
4003870031.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  27 STREET         ,    38-26,,,,,11101.0,
4003870032.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  27 STREET         ,    38-30,,,,,11101.0,
4003920010.0,Yes,,,QUEENS,,,,,,,,,1605.0,,68.33,,,,,,1.0,,,,85000.0,Self-Storage,,10.4,,,  21 STREET,    39-25,,,25.6,,11101.0,
4003960010.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,CRESCENT STREET     ,    39-21,,,,,11101.0,
4003990017.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  29 STREET         ,    39-05,,,,,11101.0,
4004020012.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  40 ROAD           ,    29-23,,,,,11101.0,
4004020025.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  29 STREET         ,    40-03,,,,,11101.0,
4004070037.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,CRESCENT STREET     ,    40-34,,,,,11101.0,
4004090001.0,Yes,,,QUEENS,,,,,,,,36.0,441.0,,771.91,,,,,,1.0,,,,112589.0,Office,,76.2,,,  41 AVENUE,    22-19,,,222.0,,11101.0,
4004100009.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  21 STREET         ,    40-29,,,,,11101.0,
4004100019.0,No DOF Record as of 08/01/12,,,QUEENS              ,,,,,,,,,,,,,,,,,,,,,,,,,,,  40 AVENUE         ,    21-02,,,,,11101.0,
