program_type,program,site_name,borough_community,agency,contact_number,grade_level_age_group,location_1,number_and_street_address,postcode,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
After-School Programs,Middle School,University Heights School,Bronx,Research Foundation of CUNY,212.417.8425,MiddleSchool,"{'latitude': '40.852786838342', 'longitude': '-73.913426784319', 'human_address': '{""address"": ""495 University Ave & West 181 Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10453""}'}",495 University Ave & West 181 Street,10453,,,,,,,,,10931,6,5,29,29
After-School Programs,Middle School,South Bronx Overall Economic Development Corp.,Bronx,South Bronx Overall Economic Development Corp.,718.585.2600,MiddleSchool,"{'latitude': '40.815944415254', 'longitude': '-73.916415911483', 'human_address': '{""address"": ""555 Bergen Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10455""}'}",555 Bergen Avenue,10455,40.815959,-73.916354,1.0,17.0,71.0,2097027.0,2022940002.0,Melrose South-Mott Haven North                                             ,10933,49,5,43,23
After-School Programs,Middle School,Neighborhood Defender Service of Harlem,New York,Neighborhood Defender Service of Harlem,212.876.5500,MiddleSchool,"{'latitude': '40.808477178137', 'longitude': '-73.945100354507', 'human_address': '{""address"": ""317 Lenox Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10027""}'}",317 Lenox Avenue,10027,40.808291,-73.945122,10.0,9.0,222.0,1085673.0,1019107501.0,Central Harlem South                                                       ,12424,18,4,36,18
After-School Programs,Middle School,"Police Athletic League, Inc.",New York,"Police Athletic League, Inc.",212.477.9450,MiddleSchool,"{'latitude': '40.806694644425', 'longitude': '-73.955618643362', 'human_address': '{""address"": ""441 Manhattan Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10026""}'}",441 Manhattan Avenue,10026,40.806654,-73.955649,10.0,9.0,257.0,1088138.0,1019450051.0,Central Harlem South                                                       ,12423,18,4,36,18
After-School Programs,Middle School,Newton High School - H.S. 455,Queens,"Visiting Neighbors, Inc.",212.260.6200,MiddleSchool,"{'latitude': '40.738710402563', 'longitude': '-73.878351155182', 'human_address': '{""address"": ""48 01 90th Street"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11373""}'}",48-01 90th Street,11373,40.741122,-73.874721,4.0,25.0,461.0,4045629.0,4018490001.0,Elmhurst                                                                   ,14784,66,3,5,68
After-School Programs,Middle School,Echo Park,New York,Association to Benefit Children,212.845.3821,MiddleSchool,"{'latitude': '40.805822302057', 'longitude': '-73.938279714637', 'human_address': '{""address"": ""1841 Park Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10035""}'}",1841 Park Avenue,10035,40.80582,-73.938463,11.0,9.0,242.0,1054495.0,1017750001.0,East Harlem North                                                          ,13093,7,4,36,16
After-School Programs,Middle School,Taft Hope Leadership Academy,New York,The Childrens Aid Society,212.949.4800,MiddleSchool,"{'latitude': '40.79872369709', 'longitude': '-73.94581265708', 'human_address': '{""address"": ""1732 Madison Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10029""}'}",1732 Madison Avenue,10029,40.798844,-73.945696,11.0,9.0,184.0,1080505.0,1016180001.0,East Harlem North                                                          ,12426,7,4,36,14
After-School Programs,Middle School,"Jewish Services Coalition, Inc",Queens,"Jewish Services Coalition, Inc",718.327.6060,MiddleSchool,"{'latitude': '40.605662356989', 'longitude': '-73.751324611595', 'human_address': '{""address"": ""1525 Central Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11691""}'}",1525 Central Avenue,11691,40.605645,-73.751391,14.0,31.0,103202.0,4298051.0,4155450023.0,Far Rockaway-Bayswater                                                     ,20529,51,3,47,59
After-School Programs,Middle School,"Concord Family Services, Inc.",Brooklyn,"Concord Family Services, Inc.",718.398.3499,MiddleSchool,"{'latitude': '40.670802431187', 'longitude': '-73.893841150049', 'human_address': '{""address"": ""583 593 Vermont Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11207""}'}",583-593 Vermont Street,11207,40.664807,-73.892065,5.0,42.0,1126.0,3400390.0,3038250021.0,East New York (Pennsylvania Ave)                                           ,17214,45,2,25,47
After-School Programs,Middle School,Women's Housing and Economic Development Corporation (WHEDCO),Bronx,Women's Housing and Economic Development Corporation (WHEDCO),718.839.1106,MiddleSchool,"{'latitude': '40.836753017008', 'longitude': '-73.919425907825', 'human_address': '{""address"": ""50 168th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10452""}'}",50 East 168th Street,10452,40.836725,-73.919292,4.0,16.0,197.0,2101464.0,2024800001.0,West Concourse                                                             ,10930,50,5,42,27
After-School Programs,Middle School,"Aging In America Community Services, Inc",Bronx,"Aging In America Community Services, Inc",718.824.4004,MiddleSchool,"{'latitude': '40.85710649549', 'longitude': '-73.843675159553', 'human_address': '{""address"": ""1500 Pelham Parkway"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10461""}'}",1500 Pelham Parkway South,10461,40.857026,-73.843125,11.0,13.0,296.0,2047109.0,2042220005.0,Pelham Parkway                                                             ,11270,59,5,12,32
After-School Programs,Middle School,Science Skills Center High School - H.S. 419,Brooklyn,"Visiting Neighbors, Inc.",212.260.6200,MiddleSchool,"{'latitude': '40.697211491518', 'longitude': '-73.984965434827', 'human_address': '{""address"": ""49 Flatbush Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11201""}'}",49 Flatbush Avenue,11201,40.687278,-73.979779,2.0,35.0,33.0,3059161.0,3021060009.0,Fort Greene                                                                ,16865,68,2,38,54
After-School Programs,Middle School,Garcia PAL,Staten Island,"Police Athletic League, Inc.",212.477.9450,MiddleSchool,"{'latitude': '40.641582326676', 'longitude': '-74.085356500747', 'human_address': '{""address"": ""55 Layton Avenue Staten Island"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": ""10301""}'}",55 Layton Avenue,10301,40.641595,-74.085135,1.0,49.0,9.0,5001150.0,5000490182.0,West New Brighton-New Brighton-St. George                                  ,10369,4,1,13,74
After-School Programs,Middle School,United Community Centers,Brooklyn,United Community Centers,718.649.7979,MiddleSchool,"{'latitude': '40.664726498258', 'longitude': '-73.88659110359', 'human_address': '{""address"": ""613 New Lots Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11207""}'}",613 New Lots Avenue,11207,40.664728,-73.886561,5.0,42.0,1124.0,3090717.0,3040890025.0,East New York                                                              ,17214,45,2,25,47
After-School Programs,Middle School,"Community Mediation Services, Inc.",Queens,"Community Mediation Services, Inc.",718.523.6868,MiddleSchool,"{'latitude': '40.71311535449', 'longitude': '-73.792820999789', 'human_address': '{""address"": ""89 64 163rd Street"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11432""}'}",89-64 163rd Street,11432,40.70664,-73.798033,12.0,24.0,44601.0,4208888.0,4097610080.0,Jamaica                                                                    ,24340,25,3,24,65
After-School Programs,Middle School,Central Park East Secondary School,New York,Girls Incorporated of New York City,212.531.7620,MiddleSchool,"{'latitude': '40.7936339869', 'longitude': '-73.94945722406', 'human_address': '{""address"": ""1573 Madison Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10029""}'}",1573 Madison Avenue,10029,40.793763,-73.949381,11.0,8.0,17401.0,1051515.0,1016120050.0,East Harlem South                                                          ,12426,7,4,35,14
After-School Programs,Middle School,Gregorio Luperon Preparatory School,New York,"Washington Heights- Inwood Coalition, Inc",212.781.6722,MiddleSchool,"{'latitude': '40.848612044211', 'longitude': '-73.932056406194', 'human_address': '{""address"": ""516 181st Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10033""}'}",516 West 181st Street,10033,40.848436,-73.93165,12.0,10.0,269.0,1063614.0,1021520067.0,Washington Heights North                                                   ,13091,47,4,39,22
After-School Programs,Middle School,Community Counseling & Mediation,Brooklyn,Community Counseling & Mediation,718.802.0666,MiddleSchool,"{'latitude': '40.672809110684', 'longitude': '-73.960856690292', 'human_address': '{""address"": ""810 Classon Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11238""}'}",810 Classon Avenue,11238,40.672776,-73.960846,8.0,35.0,215.0,3029555.0,3011770031.0,Prospect Heights                                                           ,13829,16,2,48,49
After-School Programs,Middle School,The Valley @ Park,New York,"The Valley, Inc.",212.932.1100,MiddleSchool,"{'latitude': '40.802492219178', 'longitude': '-73.940692978656', 'human_address': '{""address"": ""1735 Park Avenue"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10035""}'}",1735 Park Avenue,10035,40.802355,-73.940987,11.0,9.0,196.0,1086569.0,1017690003.0,East Harlem North                                                          ,13093,7,4,36,16
After-School Programs,Middle School,Jane Addams H.S.,Bronx,"Directions For Our Youth, Inc.",212.362.4020,MiddleSchool,"{'latitude': '40.821823344932', 'longitude': '-73.903478937241', 'human_address': '{""address"": ""900 Tinton Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10456""}'}",900 Tinton Avenue,10456,40.821675,-73.903546,3.0,17.0,133.0,2004807.0,2026680001.0,Morrisania-Melrose                                                         ,10934,34,5,43,25
After-School Programs,Middle School,"Caribbean Women's Health Association, Inc.",Queens,"Caribbean Women's Health Association, Inc.",718.826.2942,MiddleSchool,"{'latitude': '40.603890551263', 'longitude': '-73.752318012613', 'human_address': '{""address"": ""1931 Mott Avenue"", ""city"": ""Queens"", ""state"": ""NEW YORK"", ""zip"": ""11691""}'}",1931 Mott Avenue,11691,40.603937,-73.752344,14.0,31.0,101001.0,4298263.0,4155610029.0,Far Rockaway-Bayswater                                                     ,20529,51,3,47,59
After-School Programs,Middle School,BCA Avenue U Community Service Center ,Brooklyn,Brooklyn Chinese American Association,718.438.9312,MiddleSchool,"{'latitude': '40.59945561594', 'longitude': '-73.956558225028', 'human_address': '{""address"": ""2072 15th Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11229""}'}",2072 E. 15th Street,11229,40.59959,-73.956557,15.0,48.0,580.0,3198079.0,3073190036.0,Madison                                                                    ,13512,32,2,15,36
After-School Programs,Middle School,Police Athletic League (New South Bronx Center),Bronx,"Police Athletic League, Inc.",212.477.9450,MiddleSchool,"{'latitude': '40.817260540417', 'longitude': '-73.897738395898', 'human_address': '{""address"": ""991 Longwood Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10459""}'}",991 Longwood Avenue,10459,40.817185,-73.897667,2.0,17.0,87.0,2100984.0,2027090001.0,Longwood                                                                   ,10937,8,5,43,24
After-School Programs,Middle School,York College of the CUNY,,"Reach Into Cultural Heights, Inc.",718.523.4099,MiddleSchool,"{'latitude': '40.698104881735', 'longitude': '-73.787574033914', 'human_address': '{""address"": ""94 20 Guy R Brewer Boulevard"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": ""11433""}'}",94-20 Guy R Brewer Boulevard,11433,40.702532,-73.795578,12.0,27.0,246.0,4215630.0,4101040043.0,Jamaica                                                                    ,24668,41,3,6,61
After-School Programs,Middle School,Intermediate School 281 - Joseph B. Cavallaro School,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,718.236.5266,MiddleSchool,"{'latitude': '40.595492729469', 'longitude': '-73.993265467648', 'human_address': '{""address"": ""8787 24th Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11214""}'}",8787 24th Avenue,11214,40.595341,-73.993457,11.0,47.0,304.0,3186626.0,3068910001.0,Bensonhurst East                                                           ,17616,1,2,45,37
After-School Programs,Middle School,New York Center for Interpersonal Development,Staten Island,New York Center for Interpersonal Development,718.876.6068,MiddleSchool,"{'latitude': '40.645737961097', 'longitude': '-74.078588152261', 'human_address': '{""address"": ""20 Stuyvesant Place Staten Island"", ""city"": ""NEW YORK"", ""state"": """", ""zip"": ""10301""}'}",20 Stuyvesant Place,10301,40.645651,-74.078542,1.0,49.0,7.0,,,West New Brighton-New Brighton-St. George                                  ,10369,4,1,13,74
After-School Programs,Middle School,JHS Beacon 117 ,Bronx,"Adolescent and Family Comprehensive Services, Inc.",718.299.2327,MiddleSchool,"{'latitude': '40.848548418407', 'longitude': '-73.908435068196', 'human_address': '{""address"": ""1865 Morris Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10453""}'}",1865 Morris Avenue,10453,40.848516,-73.908427,5.0,14.0,23301.0,2007902.0,2028270001.0,Mount Hope                                                                 ,10931,6,5,29,29
After-School Programs,Middle School,CUNY Prepatory Tansitional High School,Bronx,Research Foundation of CUNY,212.417.8425,MiddleSchool,"{'latitude': '40.842258336653', 'longitude': '-73.857996632938', 'human_address': '{""address"": ""2122 White Plains"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10462""}'}",2122 White Plains,10462,,,,,,,,,11271,59,5,12,32
After-School Programs,Middle School,Intermediate School 172,New York,"The Valley, Inc.",212.932.1100,MiddleSchool,"{'latitude': '40.815206697159', 'longitude': '-73.955146464979', 'human_address': '{""address"": ""509 129th Street"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10027""}'}",509 West 129th Street,10027,40.815256,-73.955325,9.0,7.0,219.0,1059723.0,1019840033.0,Manhattanville                                                             ,12424,37,4,23,17
After-School Programs,Middle School,"Associated Beth Rivkah Schools, Inc",Brooklyn,"Associated Beth Rivkah Schools, Inc",718.735.0400,MiddleSchool,"{'latitude': '40.666194797772', 'longitude': '-73.949658701809', 'human_address': '{""address"": ""310 Crown Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11225""}'}",310 Crown Street,11225,40.666214,-73.9496,9.0,35.0,319.0,3034180.0,3012970023.0,Crown Heights South                                                        ,13509,17,2,48,44
After-School Programs,Middle School,St. Francis Xavier Lyceum ,Brooklyn,St. Francis Xavier Parish,718.857.4046,MiddleSchool,"{'latitude': '40.6746111536', 'longitude': '-73.97796038302', 'human_address': '{""address"": ""752 President Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11215""}'}",752 President Street,11215,40.674529,-73.977706,6.0,39.0,157.0,3020355.0,3009600001.0,Park Slope-Gowanus                                                         ,17617,14,2,27,50
After-School Programs,Middle School,Intermediate School 302 - Rafael Cordero Y. Molina School,Brooklyn,"Directions For Our Youth, Inc.",212.362.4020,MiddleSchool,"{'latitude': '40.677050352415', 'longitude': '-73.883435680721', 'human_address': '{""address"": ""350 Linwood Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11208""}'}",350 Linwood Street,11208,40.677104,-73.883433,5.0,37.0,1170.0,3088357.0,3039690001.0,East New York                                                              ,17215,45,2,37,47
After-School Programs,Middle School,Public School 1 - Bergen Elementary School ,Brooklyn,SCO Family of Services,516.671.1253,MiddleSchool,"{'latitude': '40.649194277667', 'longitude': '-74.012497228156', 'human_address': '{""address"": ""309 47th Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11220""}'}",309 47th Street,11220,40.649042,-74.012289,7.0,38.0,80.0,3011821.0,3007550022.0,Sunset Park West                                                           ,18180,9,2,7,45
After-School Programs,Middle School,Junior High School - 57,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.287.2600,MiddleSchool,"{'latitude': '40.691184878421', 'longitude': '-73.933652733309', 'human_address': '{""address"": ""125 Stuyvesant Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11216""}'}",125 Stuyvesant Avenue,11216,40.691274,-73.933697,3.0,36.0,291.0,3043822.0,3016160001.0,Stuyvesant Heights                                                         ,18181,69,2,49,52
After-School Programs,Middle School,The Dunley Milbank Center ,New York,The Childrens Aid Society,212.949.4800,MiddleSchool,"{'latitude': '40.803058121635', 'longitude': '-73.953342776048', 'human_address': '{""address"": ""14 32"", ""city"": ""New York"", ""state"": ""NEW YORK"", ""zip"": ""10026""}'}",14-32 West 118th,10026,,,,,,,,,12423,18,4,36,18
After-School Programs,Middle School,"Little Shepherds Community Services, Inc.",Bronx,"Little Shepherds Community Services, Inc.",718.295.2277,MiddleSchool,"{'latitude': '40.854200809031', 'longitude': '-73.909271227583', 'human_address': '{""address"": ""2051 Grand"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10453""}'}",2051 Grand Concourse,10453,40.85258,-73.903494,5.0,14.0,23501.0,2013744.0,2031600035.0,Mount Hope                                                                 ,10931,6,5,29,29
After-School Programs,Middle School,Baychester Community Center,Bronx,"Aging In America Community Services, Inc",718.824.4004,MiddleSchool,"{'latitude': '40.884596367023', 'longitude': '-73.842732985462', 'human_address': '{""address"": ""1220 229th Street"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10466""}'}",1220 East 229th Street,10466,40.884011,-73.842204,12.0,12.0,460.0,2093741.0,2049050360.0,Eastchester-Edenwald-Baychester                                            ,11275,29,5,2,30
After-School Programs,Middle School,"Mosholu Montefiore Community Center, Inc.",Bronx,"Mosholu Montefiore Community Center, Inc.",718.882.4000,MiddleSchool,"{'latitude': '40.881106944743', 'longitude': '-73.881708466169', 'human_address': '{""address"": ""3450 Dekalb Avenue"", ""city"": ""Bronx"", ""state"": ""NEW YORK"", ""zip"": ""10467""}'}",3450 Dekalb Avenue,10467,40.881486,-73.881226,7.0,11.0,421.0,2096396.0,2033270001.0,Norwood                                                                    ,11605,24,5,40,34
After-School Programs,Middle School,Erasmus High School ,Brooklyn,Research Foundation of CUNY,212.417.8425,MiddleSchool,"{'latitude': '40.649532936565', 'longitude': '-73.958457559936', 'human_address': '{""address"": ""911 Flatbush Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11226""}'}",911 Flatbush Avenue,11226,40.649787,-73.95855,14.0,40.0,794.0,3336215.0,3051030010.0,Erasmus                                                                    ,13510,60,2,11,43
After-School Programs,Middle School,Police Athletic League (Brownsville Beacon) ,Brooklyn,"Police Athletic League, Inc.",212.477.9450,MiddleSchool,"{'latitude': '40.656451255408', 'longitude': '-73.907322828305', 'human_address': '{""address"": ""985 Rockaway Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11212""}'}",985 Rockaway Avenue,11212,40.656068,-73.907245,16.0,42.0,922.0,3082940.0,3036360007.0,Brownsville                                                                ,17614,55,2,25,46
After-School Programs,Middle School,Intermediate School 68 - Isaac Bildersee School ,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.287.2600,MiddleSchool,"{'latitude': '40.635491677837', 'longitude': '-73.910761051161', 'human_address': '{""address"": ""956 82nd Street"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11236""}'}",956 East 82nd Street,11236,40.635553,-73.91079,18.0,46.0,956.0,3224947.0,3080180001.0,Canarsie                                                                   ,13827,5,2,8,42
After-School Programs,Middle School,Middle School 136,Brooklyn,SCO Family of Services,516.671.1253,MiddleSchool,"{'latitude': '40.672024207982', 'longitude': '-73.987467605139', 'human_address': '{""address"": ""404 Fourth Avenue"", ""city"": ""Brooklyn"", ""state"": ""NEW YORK"", ""zip"": ""11215""}'}",404 Fourth Avenue,11215,40.671994,-73.987365,6.0,39.0,119.0,3021562.0,3009920036.0,Park Slope-Gowanus                                                         ,17617,14,2,27,50
