,summons_key,summons_date,offense_description,law_section_number,law_description,summons_category_type,age_group,sex,race,jurisdiction_code,boro,precinct_of_occur,x_coordinate_cd,y_coordinate_cd,latitude,longitude
13,173135602,2017-12-31T00:00:00.000,OTHER PENAL LAW,9999,Penal Law,OTHER PENAL LAW,25-44,M,UNKNOWN,0,BRONX,40,1007168,236692,40.81631908400004,-73.91720429499998
14,173130436,2017-12-31T00:00:00.000,OTHER ABC,9999,ABC,OTHER ABC,25-44,F,UNKNOWN,0,BRONX,40,1006075,236932,40.81698058400008,-73.92115225499998
15,173135646,2017-12-31T00:00:00.000,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,25-44,M,BLACK HISPANIC,0,QUEENS,114,1006432,215383,40.75783347300006,-73.91993364599993
16,173138622,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,F,WHITE,0,QUEENS,105,1055005,200297,40.71617102500005,-73.74476461299997
17,173193695,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,18-24,M,BLACK,0,QUEENS,113,1041715,188851,40.68485081700004,-73.79280352899997
18,173560024,2017-12-31T00:00:00.000,RECKLESS DRIVING,1212,VTL,VTL,45-64,M,UNKNOWN,0,MANHATTAN,5,985689,201030,40.71846574200004,-73.99481032299997
19,173361689,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,BROOKLYN,79,1001139,192775,40.69579171600003,-73.939095905
20,173130383,2017-12-31T00:00:00.000,UNLICENSED VEHICLE FOR HIRE,19-506,Administrative Code,TLC,25-44,M,,0,BROOKLYN,75,1018961,178899,40.657653305000046,-73.87489728499997
21,173193590,2017-12-31T00:00:00.000,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,25-44,M,WHITE HISPANIC,0,QUEENS,103,1036584,196296,40.705317396000055,-73.81124614799995
22,173193626,2017-12-31T00:00:00.000,UNATTENDED VEH. (ENGINE RUNNING),1210,VTL,VTL,25-44,M,,0,BRONX,45,1026676,244181,40.83680208000004,-73.846679393
23,173193698,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,F,BLACK,0,QUEENS,105,1064048,210710,40.74467506900004,-73.71202023499995
24,173193628,2017-12-31T00:00:00.000,UNATTENDED VEH. (ENGINE RUNNING),1210,VTL,VTL,45-64,M,,0,BRONX,45,1026676,244181,40.83680208000004,-73.846679393
25,173138620,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,WHITE HISPANIC,0,QUEENS,105,1054515,200150,40.71577145100008,-73.74653373099994
26,173138645,2017-12-31T00:00:00.000,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,WHITE HISPANIC,0,BRONX,44,1005423,242397,40.83198204100006,-73.92349055099999
27,173151585,2017-12-31T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,,D,,0,BROOKLYN,90,994869,194280,40.69993233400004,-73.96170456199997
28,173193696,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,25-44,M,BLACK,0,QUEENS,113,1041715,188851,40.68485081700004,-73.79280352899997
29,173193702,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,F,BLACK,0,QUEENS,105,1052834,182992,40.66869007400004,-73.75277227099998
30,173193701,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,QUEENS,105,1052834,182992,40.66869007400004,-73.75277227099998
31,173205855,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,25-44,M,WHITE HISPANIC,0,BROOKLYN,83,1009438,191145,40.69129801600008,-73.90917395299994
32,173193620,2017-12-31T00:00:00.000,DISCON: OBSTRUCT PEDESTRIAN,240.205A,Penal Law,DISORDERLY CONDUCT,25-44,M,WHITE HISPANIC,0,MANHATTAN,34,1003466,250306,40.853694405000056,-73.93053971499995
33,173215241,2017-12-31T00:00:00.000,"KNIFE, ANY IN PUBLIC VIEW",10-133C,Administrative Code,KNIFE,25-44,M,BLACK,0,BRONX,47,1025688,268587,40.90379369100003,-73.85009895999997
34,173193551,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,42,1010042,241269,40.82887372500005,-73.90680364799994
35,173193549,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,42,1010042,241269,40.82887372500005,-73.90680364799994
36,173521219,2017-12-31T00:00:00.000,FAILED TO DISPLAY BARBER LICENSE,439-3,General Business Law,BUSINESS,18-24,M,BLACK,0,MANHATTAN,25,1002710,229592,40.796841984000025,-73.93332947899995
37,173355896,2017-12-31T00:00:00.000,DISCON: OBSTRUCT VEHICLE,240.205B,Penal Law,DISORDERLY CONDUCT,45-64,M,BLACK,0,BRONX,47,1024887,267203,40.89999878700007,-73.85300498299993
38,173274246,2017-12-31T00:00:00.000,OTHER VTL,9999,VTL,VTL,25-44,M,BLACK,0,BRONX,47,1022508,261990,40.885701406000074,-73.86164032499995
39,173355899,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BRONX,47,1026387,262634,40.88745131300004,-73.84760778699997
40,173274237,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,U,WHITE,2,BROOKLYN,77,1005118,185998,40.67718191900008,-73.92476772999999
41,173193591,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,QUEENS,103,1037559,194576,40.70059059000005,-73.80774319999993
42,173193629,2017-12-31T00:00:00.000,UNATTENDED VEH. (ENGINE RUNNING),1210,VTL,VTL,25-44,M,,0,BRONX,45,1026550,244293,40.837110092000046,-73.84713403299997
43,173193539,2017-12-31T00:00:00.000,TRESPASS,140.05,Penal Law,TRESPASS,25-44,M,WHITE HISPANIC,0,MANHATTAN,23,999165,225481,40.785565090000034,-73.94614207899998
44,173274249,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,18-24,M,ASIAN / PACIFIC ISLANDER,0,BRONX,47,1024708,266922,40.89922835500005,-73.85365417799993
45,173193519,2017-12-31T00:00:00.000,VENDOR: UNLICENSED,20-453,Administrative Code,VENDING,25-44,M,,0,BRONX,46,1011383,251919,40.858100827000044,-73.90191494099997
46,173274241,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BRONX,43,1025519,242145,40.83121933700004,-73.85087315799996
47,173193678,2017-12-31T00:00:00.000,URINATING IN PUBLIC,16-1186,Administrative Code,URINATING,25-44,M,BLACK,0,BROOKLYN,79,998761,189820,40.68768514100003,-73.94767787199999
48,173193574,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,QUEENS,105,1055162,191613,40.69233432700002,-73.74428970999998
49,173135645,2017-12-31T00:00:00.000,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,25-44,M,WHITE HISPANIC,0,QUEENS,114,1006432,215383,40.75783347300006,-73.91993364599993
50,173135648,2017-12-31T00:00:00.000,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,18-24,M,WHITE HISPANIC,0,QUEENS,114,1006432,215383,40.75783347300006,-73.91993364599993
51,173193550,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,42,1010042,241269,40.82887372500005,-73.90680364799994
52,173193559,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,45-64,M,BLACK HISPANIC,0,QUEENS,113,1042383,189913,40.687761395000045,-73.79038580999998
53,173138635,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,BLACK HISPANIC,0,BRONX,44,1007976,242140,40.83127016100008,-73.91426592599998
54,173193546,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,42,1010042,241269,40.82887372500005,-73.90680364799994
55,173193547,2017-12-31T00:00:00.000,OTHER ABC,9999,ABC,OTHER ABC,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,42,1010042,241269,40.82887372500005,-73.90680364799994
56,173135621,2017-12-31T00:00:00.000,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,18-24,M,WHITE,0,QUEENS,114,1006432,215383,40.75783347300006,-73.91993364599993
57,173135605,2017-12-31T00:00:00.000,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,18-24,M,UNKNOWN,0,BRONX,48,1016402,247804,40.84678953000007,-73.88379087699997
58,173193656,2017-12-31T00:00:00.000,UNLICENSED VEHICLE FOR HIRE,19-506,Administrative Code,TLC,65+,M,BLACK HISPANIC,0,BRONX,42,1010106,241483,40.82946090600007,-73.90657156199995
59,173193684,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,25-44,M,BLACK,0,QUEENS,113,1049416,183677,40.67059605900005,-73.76508667399997
60,173215227,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,<18,M,ASIAN / PACIFIC ISLANDER,0,BROOKLYN,72,983139,172750,40.64084359000003,-74.00400465899996
61,173215242,2017-12-31T00:00:00.000,DISCON: FIGHTING,240.20-1,Penal Law,DISORDERLY CONDUCT,18-24,M,UNKNOWN,0,BRONX,45,1031928,260783,40.882342709000056,-73.82758129999998
62,173274248,2017-12-31T00:00:00.000,EXPOSURE OF PERSON,245.01,Penal Law,EXPOSURE,45-64,M,BLACK,0,BRONX,47,1024268,266204,40.89725968400006,-73.85525006299997
63,173130434,2017-12-31T00:00:00.000,DISORDERLY PREMISE,106-6,ABC,ABC,25-44,F,UNKNOWN,0,BRONX,40,1006075,236932,40.81698058400008,-73.92115225499998
64,173358882,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,BROOKLYN,79,1001139,192775,40.69579171600003,-73.939095905
65,173617964,2017-12-31T00:00:00.000,REVOKED REGISTRATION,510-7,VTL,VTL,25-44,M,WHITE HISPANIC,0,BROOKLYN,60,984357,148759,40.57499326800007,-73.99961626999993
66,174005250,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,WHITE HISPANIC,0,BRONX,41,1012698,240250,40.82606870700005,-73.89721068399997
67,173135643,2017-12-31T00:00:00.000,SPITTING IN PUBLIC,181.03,Health Code,SPITTING,25-44,F,BLACK,2,BRONX,45,1032218,239444,40.82377203300007,-73.82668524399996
68,173130432,2017-12-31T00:00:00.000,DISCON: REFUSE LAWFUL ORDER,240.20-6,Penal Law,DISORDERLY CONDUCT,18-24,M,UNKNOWN,0,BRONX,40,1006075,236932,40.81698058400008,-73.92115225499998
69,173193538,2017-12-31T00:00:00.000,TRESPASS,140.05,Penal Law,TRESPASS,45-64,F,WHITE HISPANIC,0,MANHATTAN,23,999165,225481,40.785565090000034,-73.94614207899998
70,173521218,2017-12-31T00:00:00.000,FAILED TO DISPLAY BARBER LICENSE,439-3,General Business Law,BUSINESS,18-24,M,BLACK,0,MANHATTAN,25,1002710,229592,40.796841984000025,-73.93332947899995
71,173193625,2017-12-31T00:00:00.000,OTHER HEALTH CODE,9999,Health Code,OTHER HEALTH CODE,18-24,M,BLACK,0,MANHATTAN,25,1002710,229592,40.796841984000025,-73.93332947899995
72,173193552,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,42,1010042,241269,40.82887372500005,-73.90680364799994
73,173215244,2017-12-31T00:00:00.000,DISCON: OBSTRUCT VEHICLE,240.205B,Penal Law,DISORDERLY CONDUCT,45-64,M,BLACK,0,BRONX,47,1021569,259724,40.87948596900002,-73.86504886299997
74,173193685,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,25-44,M,BLACK,0,QUEENS,113,1049760,184785,40.673634720000045,-73.76383583799998
75,173193700,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,QUEENS,105,1052834,182992,40.66869007400004,-73.75277227099998
76,173193699,2017-12-31T00:00:00.000,EXPOSURE OF PERSON,245.01,Penal Law,EXPOSURE,45-64,M,WHITE HISPANIC,0,QUEENS,105,1060178,206639,40.733535311000026,-73.72603244599996
77,173193600,2017-12-31T00:00:00.000,RECKLESS DRIVING,1212,VTL,VTL,45-64,M,WHITE,0,QUEENS,102,1024463,187389,40.68093315500005,-73.85501656099996
78,173193654,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,BLACK HISPANIC,0,BRONX,52,1009562,254560,40.865354981000046,-73.90848792599996
79,173193553,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,42,1010042,241269,40.82887372500005,-73.90680364799994
80,173193650,2017-12-31T00:00:00.000,DISCON: OBSTRUCT PEDESTRIAN,240.205A,Penal Law,DISORDERLY CONDUCT,25-44,M,BLACK HISPANIC,0,BRONX,46,1009886,250359,40.85382356700006,-73.90733259799998
81,173193623,2017-12-31T00:00:00.000,OTHER HEALTH CODE,9999,Health Code,OTHER HEALTH CODE,18-24,M,BLACK,0,MANHATTAN,25,1002710,229592,40.796841984000025,-73.93332947899995
82,173138633,2017-12-31T00:00:00.000,OTHER TRAFFIC REG,9999,Traffic Regs,OTHER TRAFFIC REG,25-44,M,BLACK HISPANIC,0,BRONX,44,1011111,246850,40.844188762000044,-73.90291853499998
83,173193697,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,18-24,M,ASIAN / PACIFIC ISLANDER,0,QUEENS,113,1041757,188022,40.68257513400005,-73.79265916699995
84,173193557,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,42,1010042,241269,40.82887372500005,-73.90680364799994
85,173274239,2017-12-31T00:00:00.000,OTHER VTL,9999,VTL,VTL,25-44,M,BLACK,0,BRONX,47,1022508,261990,40.885701406000074,-73.86164032499995
86,173138644,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,BRONX,44,1006657,242805,40.83309883900005,-73.91902999899997
87,173138624,2017-12-31T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,,D,,0,BRONX,45,1032047,242037,40.83088999300003,-73.82728461999993
88,173135586,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,QUEENS,107,1045552,199428,40.713856384000046,-73.77887248699994
89,173135562,2017-12-31T00:00:00.000,DISCON: OBSTRUCT PEDESTRIAN,240.205A,Penal Law,DISORDERLY CONDUCT,45-64,M,BLACK,0,BROOKLYN,67,1002515,176357,40.65072526500006,-73.93417822899994
90,173135606,2017-12-31T00:00:00.000,UNLICENSED VEHICLE FOR HIRE,19-506,Administrative Code,TLC,18-24,M,BLACK,0,BRONX,48,1017978,244925,40.838881644000026,-73.878109049
91,173151587,2017-12-31T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,,D,,0,BROOKLYN,90,994869,194280,40.69993233400004,-73.96170456199997
92,173193677,2017-12-31T00:00:00.000,URINATING IN PUBLIC,16-1186,Administrative Code,URINATING,45-64,M,BLACK,2,BROOKLYN,79,1001477,193239,40.69706463700004,-73.93787581499998
93,173138619,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,WHITE,0,QUEENS,105,1054515,200150,40.71577145100008,-73.74653373099994
94,173193544,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,ASIAN / PACIFIC ISLANDER,0,,52,1017542,255919,40.86905853200005,-73.87963014799993
95,173215226,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,25-44,M,WHITE HISPANIC,0,BROOKLYN,72,981872,174919,40.646796780000045,-74.00857074799995
96,173193558,2017-12-31T00:00:00.000,"KNIFE, ANY IN PUBLIC VIEW",10-133C,Administrative Code,KNIFE,18-24,M,WHITE HISPANIC,0,BRONX,46,1011923,250786,40.85498940600007,-73.89996750499995
97,173193548,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,42,1010042,241269,40.82887372500005,-73.90680364799994
98,173138623,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,WHITE HISPANIC,0,QUEENS,105,1055005,200297,40.71617102500005,-73.74476461299997
99,173135620,2017-12-31T00:00:00.000,DISORDERLY CONDUCT,240.20,Penal Law,DISORDERLY CONDUCT,25-44,M,WHITE HISPANIC,0,QUEENS,114,1006432,215383,40.75783347300006,-73.91993364599993
100,173130453,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,WHITE,0,QUEENS,111,1047718,218256,40.76551912700006,-73.77088167399995
101,173193565,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,18-24,M,WHITE HISPANIC,0,QUEENS,113,1048111,188479,40.683785930000056,-73.76974550299997
102,173130385,2017-12-31T00:00:00.000,AGG. UNLICENSED OPER.,511,VTL,VTL,18-24,M,,0,BROOKLYN,75,1018767,184224,40.67226999500008,-73.87556923099999
103,173350166,2017-12-31T00:00:00.000,"FIREWORKS, POSSESS/USE",270,Penal Law,FIREWORKS,18-24,M,WHITE,0,BROOKLYN,61,996515,160064,40.60601475100003,-73.95583056499999
104,173193694,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,25-44,M,BLACK,0,QUEENS,113,1041715,188851,40.68485081700004,-73.79280352899997
105,173130431,2017-12-31T00:00:00.000,DISCON: REFUSE LAWFUL ORDER,240.20-6,Penal Law,DISORDERLY CONDUCT,18-24,M,UNKNOWN,0,BRONX,40,1006075,236932,40.81698058400008,-73.92115225499998
106,173138636,2017-12-31T00:00:00.000,JAYWALKING,4-04,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BRONX,44,1008053,241673,40.82998817300006,-73.91398933899995
107,173130409,2017-12-31T00:00:00.000,DISCON: FIGHTING,240.20-1,Penal Law,DISORDERLY CONDUCT,18-24,M,,0,BRONX,40,1006075,236932,40.81698058400008,-73.92115225499998
108,173151586,2017-12-31T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,,D,,0,BROOKLYN,90,994869,194280,40.69993233400004,-73.96170456199997
109,173130311,2017-12-31T00:00:00.000,OTHER TRANSIT REG,9999,Transit Regs,OTHER TRANSIT REG,18-24,M,ASIAN / PACIFIC ISLANDER,1,MANHATTAN,19,998908,225000,40.78424530300003,-73.94707117799999
110,173193622,2017-12-31T00:00:00.000,OTHER HEALTH CODE,9999,Health Code,OTHER HEALTH CODE,18-24,M,BLACK,0,MANHATTAN,25,1002710,229592,40.796841984000025,-73.93332947899995
111,173193664,2017-12-31T00:00:00.000,DISCON: OBSTRUCT VEHICLE,240.205B,Penal Law,DISORDERLY CONDUCT,25-44,M,ASIAN / PACIFIC ISLANDER,0,MANHATTAN,5,983202,200110,40.71594061700006,-74.00378191299995
112,173193542,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,BLACK,0,QUEENS,105,1055162,191613,40.69233432700002,-73.74428970999998
113,173274247,2017-12-31T00:00:00.000,OTHER VTL,9999,VTL,VTL,45-64,M,BLACK HISPANIC,0,BRONX,47,1022294,261475,40.88428881900006,-73.86241718499997
114,173151582,2017-12-31T00:00:00.000,IDLING OF VEHICLE,24-163,Administrative Code,TLC,25-44,M,ASIAN / PACIFIC ISLANDER,0,QUEENS,110,1020429,212242,40.74916603900005,-73.86942725099993
115,173151576,2017-12-31T00:00:00.000,DISCON: FIGHTING,240.20-1,Penal Law,DISORDERLY CONDUCT,<18,M,BLACK,0,BROOKLYN,73,1008055,181260,40.66416976200002,-73.91419593899997
116,173138625,2017-12-31T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,,D,,0,BRONX,45,1032047,242037,40.83088999300003,-73.82728461999993
117,173138602,2017-12-31T00:00:00.000,RECKLESS DRIVING,1212,VTL,VTL,25-44,M,BLACK HISPANIC,0,BRONX,44,1007276,245280,40.83989040400007,-73.91678464399996
118,173130410,2017-12-31T00:00:00.000,DISCON: REFUSE LAWFUL ORDER,240.20-6,Penal Law,DISORDERLY CONDUCT,18-24,M,UNKNOWN,0,BRONX,40,1006075,236932,40.81698058400008,-73.92115225499998
119,173358881,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,2,BROOKLYN,79,999634,190253,40.688872153000034,-73.94452903199993
120,173193556,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,42,1010042,241269,40.82887372500005,-73.90680364799994
121,173215235,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,WHITE HISPANIC,0,BROOKLYN,67,998608,171942,40.63861423700007,-73.94826762499997
122,173215234,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,18-24,M,BLACK,0,BROOKLYN,67,999899,175831,40.649286518000046,-73.94360695899996
123,173215233,2017-12-31T00:00:00.000,URINATING IN PUBLIC,16-1186,Administrative Code,URINATING,25-44,M,BLACK,0,BROOKLYN,67,1004559,177850,40.654818772000056,-73.92680758999995
124,173215228,2017-12-31T00:00:00.000,ACCEPT ON HAIL,19-507,Administrative Code,TLC,25-44,M,,0,BROOKLYN,70,995708,176233,40.65039633400005,-73.95870942899995
125,173193578,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,25-44,M,UNKNOWN,0,QUEENS,113,1052479,192205,40.69398031500003,-73.75395867499998
126,173135550,2017-12-31T00:00:00.000,RECKLESS DRIVING,1212,VTL,VTL,25-44,M,ASIAN / PACIFIC ISLANDER,0,MANHATTAN,10,984140,211709,40.747777093000025,-74.00039844299994
127,173135584,2017-12-31T00:00:00.000,REVOKED REGISTRATION,510-7,VTL,VTL,25-44,M,BLACK,0,BROOKLYN,69,1007173,173009,40.641524899000046,-73.91740316199997
128,173138607,2017-12-31T00:00:00.000,"FIREWORKS, POSSESS/USE",270,Penal Law,FIREWORKS,45-64,M,BLACK HISPANIC,0,BRONX,44,1006012,242351,40.83185435200004,-73.92136228599996
129,173193580,2017-12-31T00:00:00.000,KEY IN IGNITION,10-111,Administrative Code,KEY,25-44,M,BLACK,0,QUEENS,113,1042383,189913,40.687761395000045,-73.79038580999998
130,173193555,2017-12-31T00:00:00.000,OTHER ADMIN CODE,9999,Administrative Code,OTHER ADMIN CODE,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,42,1010042,241269,40.82887372500005,-73.90680364799994
131,173135582,2017-12-31T00:00:00.000,REVOKED REGISTRATION,510-7,VTL,VTL,45-64,M,BLACK,0,BROOKLYN,69,1009550,169807,40.632729623000046,-73.90885014699995
132,173193535,2017-12-31T00:00:00.000,"MARIJUANA, POSSESSION OF",221.05,Penal Law,MARIJUANA,25-44,M,ASIAN / PACIFIC ISLANDER,0,BRONX,45,1026294,243759,40.835645641000035,-73.84806253399995
