,requestid,applicationid,requesttype,house,street,borough,bin,block,lot,ownername,expirationdate,make,model,burnermake,burnermodel,primaryfuel,secondaryfuel,quantity,issuedate,status,premisename
10,133648,CA000984,CERTIFICATE TO OPERATE,67-76,BOOTH STREET,QUEENS,75055.0,3167.0,28.0,BOOTH ST OWNER/DARWOOD,1996-06-01T00:00:00.000,FEDERAL FLW3643,FEDERAL FLW3643,RAY PAECR-144-300,RAY PAECR-144-300,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
11,130766,CA000985,CERTIFICATE TO OPERATE,3315,HULL AVENUE,BRONX,18398.0,3348.0,71.0,209 HULL REALTY CORP.,1997-02-28T00:00:00.000,ROCKMILLS MP 80,ROCKMILLS MP 80,RAY PAECR-144 SIZE 80,RAY PAECR-144 SIZE 80,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
12,113486,CA000990,CERTIFICATE TO OPERATE,120-32,83 AVENUE,QUEENS,79568.0,3332.0,13.0,J.C.ASSOCIATES/BELL RTLY,2005-06-26T00:00:00.000,ROCKMILLS MP100,ROCKMILLS MP100,ICI DEG 42P,ICI DEG 42P,NO6FUEL,NONE,1,1990-01-03T00:00:00.000,CANCELLED      ,
13,228569,CA000991,REGISTRATION,41-67A,BOWNE STREET,QUEENS,4117065.0,5183.0,9.0,KI WOONG LEE,2021-02-25T00:00:00.000,FULTON 1990 FB-010A,FULTON 1990 FB-010A,FULTON 1990 FB-010A,FULTON 1990 FB-010A,NO2FUEL,NONE,1,2018-02-23T14:38:22.000,CURRENT        ,K.W.L.CLEANERS INC.
14,58897,CA000993,REGISTRATION,176,IRVING AVENUE,BROOKLYN,74201.0,3258.0,35.0,"LONGO, JOHN",2001-01-07T00:00:00.000,U.S. NATIONAL 525 BAS,U.S. NATIONAL 525 BAS,FAIRFIELD 71880 01,FAIRFIELD 71880 01,NO2FUEL,NONE,1,1993-01-04T00:00:00.000,EXPIRED        ,
15,60048,CA000994,REGISTRATION,527,DEAN ST,BROOKLYN,27626.0,1128.0,72.0,"GUERRA,  VICENTE",2006-01-10T00:00:00.000,H.B.SMITH G300S/W9,H.B.SMITH G300S/W9,INTEGRAL,INTEGRAL,NATURALGAS,NONE,1,1994-01-03T00:00:00.000,EXPIRED        ,
16,269972,CA000995,REGISTRATION,14,HAVEMEYER STREET,BROOKLYN,3061849.0,2314.0,25.0,"D'AGOSTO, DONATO",2022-03-30T00:00:00.000,WEIL MCLAIN,EGH-105,WEIL MCLAIN,EGH-105,NATURALGAS,NONE,1,2019-05-30T10:10:24.000,CURRENT        ,"D'AGOSTO, DONATO"
17,59844,CA000996,REGISTRATION,888,HART STREET,BROOKLYN,73607.0,3236.0,29.0,884 HART STREET CORP.,1999-01-17T00:00:00.000,"WEIL MCLAIN, EGH-105","WEIL MCLAIN, EGH-105",INTEGRAL,INTEGRAL,NATURALGAS,NONE,1,1996-01-02T00:00:00.000,EXPIRED        ,
18,38787,CA000998,REGISTRATION,43-31,57 STREET,QUEENS,31170.0,1330.0,6.0,ALEKO GORO,2016-01-22T00:00:00.000,"WEIL MCLAIN, EG--75-PI","WEIL MCLAIN, EG--75-PI","WEIL MCLAIN, INTEGRAL","WEIL MCLAIN, INTEGRAL",NATURALGAS,NONE,1,2013-02-21T11:03:13.000,EXPIRED        ,43-31 58TH STREET REALTY LLC
19,234187,CA000999,REGISTRATION INSPECTION,235,EAST 46 STREET,MANHATTAN,37603.0,1320.0,18.0,BERDAR EQUITIES LLC/LISA BLUTTAL.,2020-07-13T00:00:00.000,FEDERAL,FST-100,GORDON PIATT,S10-1-GO-30,NATURALGAS,NO2FUEL,1,2018-06-04T11:12:16.000,CURRENT        ,
20,133647,CA001068,CERTIFICATE TO OPERATE,605,EAST 82 STREET,MANHATTAN,51381.0,1590.0,7.0,GRACIE TERRACE APT CORP,1986-08-30T00:00:00.000,,,YORK AHPMD-300,YORK AHPMD-300,NO6FUEL,NO6FUEL,2,1900-01-01T00:00:00.000,CANCELLED      ,
21,176325,CA001070,BOILER REGISTRATION II,1339,BRISTOW STREET,BRONX,10432.0,2972.0,38.0,TABLERUN ESTATES INC,1970-08-02T00:00:00.000,FITZGIBBONS D50,FITZGIBBONS D50,HEVEOIL   AM 4DH,HEVEOIL   AM 4DH,NO4FUEL,NONE,1,1990-01-09T00:01:00.000,EXPIRED        ,
22,130087,CA001072,CERTIFICATE TO OPERATE,2180,GRAND CONCOURSE,BRONX,13705.0,3157.0,17.0,SEE CA 162987,1988-07-19T00:00:00.000,FITZGIBBONS DM-MODEL UNKNOWN,FITZGIBBONS DM-MODEL UNKNOWN,S T JOHNSON - MODEL 30 SIZE 75 12,S T JOHNSON - MODEL 30 SIZE 75 12,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
23,133643,CA001076,CERTIFICATE TO OPERATE,2820,MARION AVENUE,BRONX,16541.0,3284.0,1.0,2820 MARION COMPANY,1999-02-24T00:00:00.000,KEWANEE UNKNOWN,KEWANEE UNKNOWN,RAY AEOR-144 SRE 100,RAY AEOR-144 SRE 100,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
24,121821,CA001083,CERTIFICATE TO OPERATE,122,EAST   23 STREET,MANHATTAN,18013.0,878.0,7501.0,UNITED CEREBRAL PALSY INC,1998-04-07T00:00:00.000,FEDERAL FST 125,FEDERAL FST 125,INDUSTRIAL COMBUSTION-DEG-63(P),INDUSTRIAL COMBUSTION-DEG-63(P),NO6FUEL,NO6FUEL,1,1900-01-01T00:00:00.000,CANCELLED      ,
25,238749,CA001084,CERTIFICATE TO OPERATE,2860,BUHRE AVENUE,BRONX,2045914.0,4162.0,32.0,M&AMP;N MGT. CORP,2017-07-01T00:00:00.000,FEDERAL FST-175,FEDERAL FST-175,HEV-E-OIL DEG-84-P (I.C.I.),HEV-E-OIL DEG-84-P (I.C.I.),NATURALGAS,NONE,1,2018-06-20T13:45:00.000,CANCELLED      ,
26,133642,CA001085,CERTIFICATE TO OPERATE,1861,SEDGWICK AVENUE,BRONX,9250.0,2881.0,75.0,MILBROOK PROPERTIES,1994-07-09T00:00:00.000,PACIFIC 5282,PACIFIC 5282,IND COMB AM5CM,IND COMB AM5CM,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
27,210012,CA001087,REGISTRATION,5015,AVENUE D,BROOKLYN,105764.0,4771.0,42.0,JK CLEANER,2020-01-15T00:00:00.000,FULTON ,FB-015-A,UNKNOWN ,UNKNOWN,NO2FUEL,NONE,1,2017-06-06T11:25:29.000,EXPIRED        ,
28,235526,CA001088,REGISTRATION,621,WEST 113 STREET,MANHATTAN,1081596.0,1895.0,45.0,TRUSTEES OF COLUMBIA UNIV-ATT:M.KERMAN,2021-01-19T00:00:00.000,WEIL MCLAIN,LGB-10,WEIL MCLAIN ,INTEGRAL,NATURALGAS,NONE,1,2018-05-30T10:53:53.000,CURRENT        ,TRUSTEES OF COLUMBIA UNIVERSITY
29,54556,CA001089,REGISTRATION,1303,HERSCHELL STREET,BRONX,27199.0,3844.0,31.0,COUNTRY CHEF FOODS,1998-01-23T00:00:00.000,CYCLOTHERM C-1000 C-N-58,CYCLOTHERM C-1000 C-N-58,CYCLOTHERM INTEGRAL,CYCLOTHERM INTEGRAL,NATURALGAS,NONE,1,1989-01-04T00:00:00.000,EXPIRED        ,
30,236986,CA001090,CERTIFICATE TO OPERATE,41-50,78 STREET,QUEENS,4037029.0,1497.0,23.0,4150 78TH STREET CORP.,2021-02-17T00:00:00.000,ROCKMILLS,MP-250SS,INDUSTRIAL COMBUSTION,DEG-105P,NO2FUEL,NATURALGAS,1,2018-07-17T14:49:37.000,CURRENT        ,41-50 78 STREET CORP.
31,26538,CA001091,REGISTRATION,702,39 STREET,BROOKLYN,17890.0,915.0,8.0,"YU, BYUNG HO",2018-01-28T00:00:00.000,FULTON FB-010A,FULTON FB-010A,FULTON FB-010A,FULTON FB-010A,NO2FUEL,NONE,1,2014-10-14T10:54:16.000,EXPIRED        ,"YU, BYUNG HO"
32,236767,CA001094,CERTIFICATE TO OPERATE,205,3RD AVENUE,MANHATTAN,1019580.0,899.0,1.0,HALSTEAD MANAGEMENT COMPANY,2021-07-05T00:00:00.000,ROCKMILLS,MP-300,INDUSTRIAL COMBUSTION,LN DEG-145P,NO2FUEL,NATURALGAS,2,2018-07-11T13:53:14.000,CURRENT        ,"205 THIRD AVENUE OWNERS, INC."
33,13100,CA001095,REGISTRATION,310,EAST   52 STREET,MANHATTAN,39668.0,1344.0,46.0,GISELA STRAUSS,2016-01-10T00:00:00.000,WEIL MCLAIN,EGH-85-P1,WEIL MCLAIN,EGH-85-P1,NATURALGAS,NONE,1,2012-11-05T13:26:07.000,EXPIRED        ,GISELA  STRAUSS
34,196929,CA001096,REGISTRATION,519,KNICKERBOCKER AVENUE,BROOKLYN,76123.0,3326.0,9.0,WILFREDO RODRIGUEZ,2020-01-17T00:00:00.000,WEIL MCLAIN,BL 578S,CARLIN,301 CRD,NO2FUEL,NONE,1,2016-12-12T09:17:59.000,EXPIRED        ,
35,54807,CA001097,REGISTRATION,1,TIMES SQUARE,MANHATTAN,22581.0,995.0,1.0,V WAGNER COMM%NY INDUSTRI,2000-01-15T00:00:00.000,"FULTON, FB-015-A","FULTON, FB-015-A","FULTON, INTEGRAL","FULTON, INTEGRAL",NATURALGAS,NONE,1,1997-01-02T00:00:00.000,EXPIRED        ,
36,284335,CA001099,REGISTRATION,151,AVENUE B,MANHATTAN,1004763.0,392.0,5.0,JUDITH RHODES,2023-01-12T00:00:00.000,WEIL MCLAIN,EGH-115,WEIL MCLAIN,EGH-115,NATURALGAS,NONE,1,2019-10-28T11:13:38.000,CURRENT        ,JUDITH RHODES
37,233805,CA001158,REGISTRATION,31,MARKET STREET,MANHATTAN,1003340.0,277.0,22.0,31-33 MARKET REALTY CORP,2021-07-03T00:00:00.000,AMERICAN STANDARD,G-613,AMERICAN STANDARD,G-613,NATURALGAS,NONE,1,2018-04-18T08:14:06.000,CURRENT        ,31-33 MARKET REALTY CORP
38,123590,CA001166,CERTIFICATE TO OPERATE,234,EAST 50 STREET,MANHATTAN,38236.0,1323.0,34.0,RSP REALTY ASSOCIATES,1991-03-17T00:00:00.000,SPENCER C 400,SPENCER C 400,ICI AM 4 1/2 DH,ICI AM 4 1/2 DH,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
39,116913,CA001167,CERTIFICATE TO OPERATE,5,BEEKMAN STREET,MANHATTAN,79072.0,90.0,7503.0,RIALTO MANAGEMENT CO.,1998-03-30T00:00:00.000,FEDERAL FST 200,FEDERAL FST 200,HEV-E-OIL AM8E,HEV-E-OIL AM8E,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
40,127005,CA001168,CERTIFICATE TO OPERATE,675,86 STREET,BROOKLYN,153255.0,6037.0,77.0,QUINARY REALTY CORP,1989-01-30T00:00:00.000,NATIONAL RADIATOR OB 673,NATIONAL RADIATOR OB 673,PETRO WD5AH,PETRO WD5AH,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
41,127663,CA001169,CERTIFICATE TO OPERATE,72-11,110 STREET,QUEENS,52577.0,2236.0,1.0,DORIAN ASS &AMP; PARKOFF MGT,1986-10-16T00:00:00.000,PACIFIC #5281,PACIFIC #5281,TODD MODEL B,TODD MODEL B,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
42,274479,CA001179,REGISTRATION INSPECTION,214,WEST 96TH STREET,MANHATTAN,33707.0,1243.0,42.0,BROADWAY EQUITIES LLC % TIME EQUITIES,2022-09-06T00:00:00.000,ROCKMILLS,MP4-89,IRON FIREMAN,C240-SMF-4.2,NO2FUEL,NONE,1,2019-07-22T11:51:08.000,CURRENT        ,
43,117781,CA001183,CERTIFICATE TO OPERATE,86,FORT WASHINGTON AVENUE,MANHATTAN,63365.0,2137.0,91.0,BROADWAY PORTFOLIO II OWNER,2007-04-13T00:00:00.000,ROCKMILLS MP150,ROCKMILLS MP150,ICI DEG 63P,ICI DEG 63P,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
44,116327,CA001184,CERTIFICATE TO OPERATE,780,EAST  134 STREET,BRONX,3981.0,2585.0,1.0,MONTAGUE ASSOC/BLDG MGMT.CORP.,2008-03-07T00:00:00.000,FEDERAL FST-175,FEDERAL FST-175,INDUSTRIAL COMBUSTION DEG 84P,INDUSTRIAL COMBUSTION DEG 84P,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
45,128727,CA001185,CERTIFICATE TO OPERATE,147,35 STREET,BROOKLYN,394175.0,688.0,50.0,PHOENIX CANDY CO,1991-05-29T00:00:00.000,CYCLOTHERM LPF-60C-2N,CYCLOTHERM LPF-60C-2N,CYCLOTHERM LPF-60C-2N,CYCLOTHERM LPF-60C-2N,NO2FUEL,NATURALGAS,1,1900-01-01T00:00:00.000,CANCELLED      ,
46,276046,CA001186,REGISTRATION INSPECTION,640,WEST 139TH STREET,MANHATTAN,79500.0,2087.0,50.0,618 RIVERSIDE DRIVE OWNERS,2022-05-07T00:00:00.000,ROCKMILLS,MP-100,INDUSTRIAL COMBUSTION,MEG-42P,NO4FUEL,NONE,1,2019-09-10T17:32:25.000,CURRENT        ,
47,226107,CA001188,REGISTRATION,352,EAST 8 STREET,BROOKLYN,3125540.0,5359.0,43.0,"IVASILEVICH DE'IVASS, INC",2021-01-19T00:00:00.000,FEDERAL,FST 40,CARLIN,601 CRD,NO2FUEL,NONE,1,2018-01-17T10:22:41.000,CURRENT        ,DE'IVASS INC
48,54557,CA001189,REGISTRATION,1303,HERSCHELL STREET,BRONX,27199.0,3844.0,31.0,COUNTRY CHEF FOODS INC,2001-01-23T00:00:00.000,CYCLOTHERM LPF60,CYCLOTHERM LPF60,CYCLOTHERM INTEGRAL,CYCLOTHERM INTEGRAL,NATURALGAS,NONE,1,1989-01-04T00:00:00.000,EXPIRED        ,
49,113482,CA001190,CERTIFICATE TO OPERATE,3240,RIVERDALE AVENUE,BRONX,83674.0,5759.0,364.0,CLASSIC REALTY FOR 3240,1999-05-08T00:00:00.000,PACIFIC 60L1,PACIFIC 60L1,ICI ME63S,ICI ME63S,NO6FUEL,NONE,1,1990-01-04T00:00:00.000,CANCELLED      ,
50,251159,CA001192,REGISTRATION,416,WOODWARD AVENUE,QUEENS,4081264.0,3402.0,45.0,MICHELE GARGANO,2022-01-08T00:00:00.000,PEERLESS,JOT-TW 275,CARLIN,201 CRD,NO2FUEL,NONE,1,2018-12-14T14:08:55.000,CURRENT        ,"GARGANO, MICHELE & CARMELA"
51,58902,CA001193,REGISTRATION,318,WEST HOUSTON STREET,MANHATTAN,10381.0,600.0,38.0,UNITED PARCEL SERVICE,1996-01-08T00:00:00.000,RAPID 3124,RAPID 3124,RAPID INTEGRAL,RAPID INTEGRAL,NATURALGAS,NONE,2,1993-01-04T00:00:00.000,EXPIRED        ,
52,30912,CA001197,REGISTRATION,359,BAINBRIDGE STREET,BROOKLYN,40487.0,1504.0,1.0,"JAYKU RLTY.CORP.,INC.-ATT: J. CUMMINGS",2015-01-15T00:00:00.000,WEIL MCLAIN,EHG-115,WEIL MCLAIN,EHG-115,NATURALGAS,NONE,1,2012-06-19T15:58:45.000,EXPIRED        ,"JAYKU REALTY CORP., INC."
53,267896,CA001198,REGISTRATION INSPECTION,655,BURKE AVENUE,BRONX,56168.0,4594.0,1.0,"F&AMP;M MANAGEMENT CO. OF NY, LLC",2022-06-12T00:00:00.000,FEDERAL,FST-100,INDUSTRIAL COMBUSTION,MMG-42 P,NATURALGAS,NO4FUEL,1,2019-08-16T10:44:06.000,CURRENT        ,655 BUSH REALTY
54,63259,CA001199,REGISTRATION,519,WEST  152 STREET,MANHATTAN,62228.0,2084.0,20.0,"WEST BRIDGE ASSOC.,LP-ATT:WEST BRIDGE RTY CORP.",2008-01-12T00:00:00.000,"HB SMITH, LO-28A-S-7","HB SMITH, LO-28A-S-7","CARLIN, 801 CRE","CARLIN, 801 CRE",NO2FUEL,NONE,1,1999-01-05T00:00:00.000,EXPIRED        ,
55,133638,CA001204,CERTIFICATE TO OPERATE,3725,,BRONX,,100.0,5904.0,R M T BUILDING CO,1984-12-21T00:00:00.000,TITUSVILLE CM 364,TITUSVILLE CM 364,IRON FIREMAN PAGO 2-15,IRON FIREMAN PAGO 2-15,NO2FUEL,NATURALGAS,1,1900-01-01T00:00:00.000,EXPIRED        ,R M T BUILDING CO
56,133637,CA001270,CERTIFICATE TO OPERATE,1824,MONROE AVENUE,BRONX,7518.0,2800.0,36.0,1824 MONROE AVENUE REATY,2001-12-02T00:00:00.000,FEDERAL #FLW-608,FEDERAL #FLW-608,PETRO #WD4AH,PETRO #WD4AH,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
57,118617,CA001274,CERTIFICATE TO OPERATE,238,EAST 36 STREET,MANHATTAN,20193.0,916.0,37.0,BERDAR EQUITIES CO.,2001-07-22T00:00:00.000,FEDERAL WJB-60,FEDERAL WJB-60,HEV-E-OIL  AMDH 4 1/2,HEV-E-OIL  AMDH 4 1/2,NO4FUEL,NONE,1,1988-04-27T00:00:00.000,CANCELLED      ,
58,131254,CA001278,CERTIFICATE TO OPERATE,116,LENOX ROAD,BROOKLYN,116644.0,5084.0,24.0,75 LENOX REALTY LLC,2000-04-14T00:00:00.000,ROCKMILLS MP4-162,ROCKMILLS MP4-162,IRON FIREMAN A06-6.3RK,IRON FIREMAN A06-6.3RK,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
59,176330,CA001279,REGISTRATION INSPECTION,147-24,79 AVENUE,QUEENS,144770.0,6691.0,11.0,"TESTA, JOSEPH J.",1990-10-23T00:00:00.000,PACIFIC 4781,PACIFIC 4781,TODD MODEL B,TODD MODEL B,NO4FUEL,NONE,1,1900-01-01T00:01:00.000,EXPIRED        ,
60,261594,CA001280,REGISTRATION,543,4TH STREET,BROOKLYN,3025505.0,1081.0,69.0,543 STREET LLC /J.GUARRERA,2021-07-01T00:00:00.000,H.B. SMITH,G300-S/W-9,H.B. SMITH,G300-S/W-9,NATURALGAS,NONE,1,2019-03-19T17:45:46.000,CURRENT        ,543 4TH STREET LLC
61,242634,CA001282,REGISTRATION,23-22,31 AVENUE,QUEENS,4006653.0,569.0,38.0,EMILIA D'URSO,2021-07-01T00:00:00.000,WEIL MCLAIN,486,GORDON-PIATT,WR6.2-GO-03,NO2FUEL,NONE,1,2018-08-13T11:57:09.000,CURRENT        ,EMILIA D'URSO & TITO D'URSO
62,271573,CA001283,REGISTRATION INSPECTION,100,FORT WASHINGTON AVENUE,MANHATTAN,63369.0,2137.0,119.0,100 ASSOCIATES LLC,2022-04-13T00:00:00.000,ROCKMILLS,MP-100,INDUSTRIAL COMBUSTION,DEG-42 P,NATURALGAS,NO4FUEL,1,2019-07-15T14:55:38.000,CURRENT        ,"MOSLIN, MICHAEL"
63,210526,CA001284,CERTIFICATE TO OPERATE,30,3 AVENUE,BROOKLYN,3000753.0,179.0,7503.0,YWCA OF  BROOKLYN/JOHNNY NUNEZ,2020-05-31T00:00:00.000,FEDERAL ,FST 125,IRON FIREMAN ,AGO4-6.3-RK,NATURALGAS,NONE,2,2017-10-26T14:28:27.000,CURRENT        ,YWCA OF BROOKLYN
64,125037,CA001285,CERTIFICATE TO OPERATE,1042,45 STREET,BROOKLYN,136619.0,5614.0,19.0,1042-45 REALTY CORP.,2009-08-06T00:00:00.000,FEDERAL FST 50,FEDERAL FST 50,IND COMB MM-22,IND COMB MM-22,NO4FUEL,NONE,1,1988-07-11T00:00:00.000,CANCELLED      ,
65,122602,CA001286,CERTIFICATE TO OPERATE,370,PARK AVENUE,MANHATTAN,35713.0,1288.0,33.0,RACQUET &AMP; TENNIS CLUB,1995-08-01T00:00:00.000,FEDERAL FST 200,FEDERAL FST 200,KEWANEE 200 KVC 5.0 1163 G06,KEWANEE 200 KVC 5.0 1163 G06,NO6FUEL,NONE,2,1986-10-24T00:00:00.000,CANCELLED      ,
66,113481,CA001290,CERTIFICATE TO OPERATE,609,WEST  186 STREET,MANHATTAN,63982.0,2166.0,83.0,"DIAMONDSTONE,KENNETH",1996-05-29T00:00:00.000,FEDERAL FST 50,FEDERAL FST 50,ICI MMG-22,ICI MMG-22,NO4FUEL,NONE,1,1990-01-04T00:00:00.000,CANCELLED      ,
67,56792,CA001291,REGISTRATION,1573,BUSHWICK AVENUE,BROOKLYN,326365.0,3471.0,1.0,FARHART REALTY,2000-01-29T00:00:00.000,KEWANEE 3R8 ( H.S.= 164 F.S. ),KEWANEE 3R8 ( H.S.= 164 F.S. ),CARLIN 601 CRD (  NEW  ),CARLIN 601 CRD (  NEW  ),NO2FUEL,NONE,1,1991-01-01T00:00:00.000,EXPIRED        ,
68,58903,CA001293,REGISTRATION,143,RUSSELL STREET,BROOKLYN,67046.0,2686.0,10.0,"KARWOWSKI, JERZY",2014-01-08T00:00:00.000,AMERICAN STANDARD 1BJ3,AMERICAN STANDARD 1BJ3,AMERICAN STANDARD 0534A,AMERICAN STANDARD 0534A,NO2FUEL,NONE,1,1993-01-04T00:00:00.000,EXPIRED        ,
69,119828,CA001355,CERTIFICATE TO OPERATE,603,WEST  191 STREET,MANHATTAN,64030.0,2169.0,39.0,SAYRED REALTY CORP,1988-07-22T00:00:00.000,TITUSVILLE A12,TITUSVILLE A12,PETRO WD4AH,PETRO WD4AH,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
70,172943,CA001367,CERTIFICATE TO OPERATE,500,WEST  215 STREET,MANHATTAN,64887.0,2232.0,9.0,PHILIP SAMARCO,1988-05-08T00:00:00.000,ROCKMILLS MP60,ROCKMILLS MP60,HEVE-OIL AMSE,HEVE-OIL AMSE,NO6FUEL,NONE,1,2016-04-28T14:33:46.000,CANCELLED      ,
71,133633,CA001378,CERTIFICATE TO OPERATE,3085,BRIGHTON   13 STREET,BROOKLYN,245643.0,8716.0,64.0,"SCHARFMAN,MARK",1995-01-30T00:00:00.000,ROCKMILLS MP150,ROCKMILLS MP150,IRON FIREMAN A06 6.3,IRON FIREMAN A06 6.3,NO6FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
72,203586,CA001380,REGISTRATION,219,78 STREET,BROOKLYN,149771.0,5959.0,73.0,219 78TH STREET OWNERS INC,2020-07-01T00:00:00.000,ROCKMILLS,MP-60,IRON FIREMAN,C240-GOSM-E-3.5,NATURALGAS,NONE,1,2017-03-27T09:22:46.000,CURRENT        ,
73,215825,CA001381,REGISTRATION,1492,1 AVENUE,MANHATTAN,1046007.0,1472.0,48.0,1492 REALTY CO,2020-10-11T00:00:00.000,WEIL MCLAIN,MGB-5,SAME,SAME,NATURALGAS,NONE,1,2017-08-30T09:25:47.000,CURRENT        ,
74,133632,CA001383,CERTIFICATE TO OPERATE,250,MANHATTAN AVENUE,MANHATTAN,55756.0,1846.0,7502.0,NYC HPD,1986-09-09T00:00:00.000,FEDERAL FST-50,FEDERAL FST-50,INDUSTRIAL COMB AM 4 12 DH,INDUSTRIAL COMB AM 4 12 DH,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
75,129128,CA001384,CERTIFICATE TO OPERATE,461,BROOME STREET,MANHATTAN,7035.0,474.0,10.0,461-63 BROOME ST ASSOC,1999-03-08T00:00:00.000,SPENCER 4F-277-45,SPENCER 4F-277-45,HEVEOIL AM 4 DH,HEVEOIL AM 4 DH,NO4FUEL,NONE,1,1900-01-01T00:00:00.000,CANCELLED      ,
