input_1_output_uniqueid,input_1_input_1_facilityname,input_1_input_1_facility,input_1_input_1_address,input_1_input_1_address_2,input_1_input_1_zipcode,input_1_input_1_borough,phone_number,input_1_input_1_additionalinfo,input_1_input_1_service,input_1_input_1_service_type,input_1_input_1_free_service,input_1_input_1_sliding_scale,input_1_input_1_accepts_walk,input_1_input_1_hepatitis,input_1_output_bbl,input_1_input_1_latitude,input_1_input_1_longitude,output_bbl,output_bin,output_city_council_district,output_community_district
14,Charles B Wang Community Health Center - Flushing,Community Health Center,136-26 37th Avenue,,11354,QUEENS,(718) 298-5100,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.cbwchc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,4049780013.0,40.7617484,-73.830211,4049780013.0,4112477.0,20.0,407.0
15,Damian Family Care Center,Community Health Center,137-50 Jamaica Avenue,,11435,QUEENS,(212) 431-4309,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.damianfcc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,4099700019.0,40.7021832,-73.8150594,4099700019.0,4213644.0,24.0,412.0
16,Ng Medical,Private Practice Physician,139 Centre Street,Suite 611,10013,MANHATTAN,(718) 918-5000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.Gihealthnyc.com/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,1001977502.0,40.7172582,-74.0005626,1001977502.0,1002357.0,1.0,101.0
17,Jacobi Medical Center,Hospital,1400 Pelham Parkway South,2S,10461,BRONX,(718) 636-4500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/jacobi/html/home/home.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2042050001.0,40.8556769,-73.8462363,2042050001.0,2097550.0,13.0,211.0
18,Bedford-Stuyvesant Family Health Center,Community Health Center,1456 Fulton Street,,11216,BROOKLYN,(718) 762-7793,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.bsfhc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,3018630160.0,40.6800179,-73.9426427,3018630160.0,3399697.0,36.0,303.0
19,"Eun Sook Bang, MD",Private Practice Physician,147-03 41st Avenue,,11358,QUEENS,(718) 409-9450,,Hepatitis,Hep B Testing,False,False,False,False,4050270024.0,40.7618169,-73.8179578,4050270024.0,4113948.0,20.0,407.0
20,Montefiore - Division of Substance Abuse,Community Health Center,1510 Waters Place,,10461,BRONX,(855) 681-8700 Ext 3474,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.einstein.yu.edu/departments/psychiatry-behavioral-sciences/dosa.aspx?id=4708/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2042260130.0,40.8456871,-73.8411965,2042260130.0,2115332.0,13.0,211.0
21,Brightpoint Health - Inwood Health Center,Community Health Center,1543 Inwood Avenue,,10452,BRONX,(212) 312-5920,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.brightpointhealth.org"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2028650067.0,40.844025,-73.916732,2028650067.0,2115887.0,14.0,204.0
22,New York Downtown Hospital,Hospital,156 William Street,7th Floor,10013,MANHATTAN,(212) 463-9685,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://nyp.org/lowermanhattan/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,1000937501.0,40.7098108,-74.0053682,1000937501.0,1001281.0,1.0,101.0
23,"Eun Sook Bang, MD",Private Practice Physician,158-08 45th Avenue,,11358,QUEENS,(718) 963-7676,,Hepatitis,Hep B Testing,False,False,False,False,4054370051.0,40.7566533,-73.80782,4054370051.0,4123076.0,20.0,407.0
24,Wyckoff Heights Medical Center - Positive Health Management,Hospital,1610 Dekalb Avenue,,11237,BROOKLYN,(718) 405-8040,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.wyckoffhospital.org/departments/clinical
/gastroenterology"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,True,False,3032487502.0,40.7039797,-73.9195564,3032487502.0,3393931.0,37.0,304.0
25,Montefiore - Comprehensive Family Care Center,Community Health Center,1621 Eastchester Road,,10461,BRONX,(718) 844-7974,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/mmg-comprehensive-family-care-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2040830005.0,40.8454078,-73.8453948,2040830005.0,2044215.0,13.0,211.0
26,Harlem United - The Nest,Community Health Center,169 West 133rd Street,,10030,MANHATTAN,(212) 241-6159,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""https://www.harlemunited.org/get-care/the-nest/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1019180006.0,40.813947,-73.94392,1019180006.0,1090177.0,9.0,110.0
27,Mount Sinai - Jack Martin Fund Clinic,Hospital,17 East 102nd Street,3rd Floor,10029,MANHATTAN,(212) 312-5000,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mountsinai.org/patient-care/service-areas/infectious-diseases/hiv-aids/jack-martin-fund-clinic"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,1016080005.0,40.791484,-73.9520122,1016080005.0,1051492.0,8.0,111.0
28,NewYork-Presbyterian Lower Manhattan Hospital,Hospital,170 William Street,,10038,MANHATTAN,(212) 305-9692,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://nyp.org/lowermanhattan/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,1001000001.0,40.7103592,-74.005103,1001000001.0,1001352.0,1.0,101.0
29,NewYork-Presbyterian Comprehensive Health Program,Hospital,180 Fort Washington,6th floor,10032,MANHATTAN,(718) 670-2903,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyp.org/clinical-services/ambulatory-care-network/comprehensive-health-program"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,,40.8406019,-73.941549,,,,
30,New York Hospital Queens - Liver Center,Hospital,182-15 Horace Harding Expressway,,11365,QUEENS,(212) 423-4500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyhq.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,4070660056.0,40.740006,-73.791704,4070660056.0,4152744.0,20.0,411.0
31,Family Health Center of Harlem,Community Health Center,1824 Madison Avenue,,10035,MANHATTAN,(212) 463-9685,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.institute.org/location/family-health-center-of-harlem/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1017450055.0,40.8016803,-73.9436109,1017450055.0,1053963.0,9.0,111.0
32,Korean Community Services,Community Organization,2 West 32nd Street,6th Floor,10001,MANHATTAN,(917) 564-8750,"Free services are available.<br><a href=""http://www.kcsny.org/en/hepatitis-b-check-and-care/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,True,False,False,False,1008330047.0,40.7472085,-73.9861836,1008330047.0,1015823.0,4.0,105.0
33,Montefiore - Substance Abuse Treatment Program III,Community Health Center,2058 Jerome Avenue,,10453,BRONX,(855) 681-8700 Ext 3474,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/psychiatry-services-substance-abuse-treatment"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2031790004.0,40.8542293,-73.9070002,2031790004.0,2127653.0,14.0,205.0
34,Brightpoint Health - Boom!Health,Community Health Center,226 East 144th Street,2nd Floor,10451,BRONX,(212) 289-6650,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.brightpointhealth.org"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2023400221.0,40.8156756,-73.9255324,2023400221.0,2000997.0,8.0,201.0
35,Boriken Neighborhood Health Center,Community Health Center,2265 3rd Avenue,3rd Floor,10035,MANHATTAN,(212) 238-7897,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.boriken.org/Programs/Programs.html"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1017880001.0,40.8024119,-73.9363319,1017880001.0,1054630.0,8.0,111.0
36,Gouverneur Healthcare Services,Hospital,227 Madison Street,Room 1252,10002,MANHATTAN,(718) 332-3100,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/gouverneur/html/home/home.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1002700032.0,40.713208,-73.987787,1002700032.0,1003224.0,1.0,103.0
37,"Yuriy Pertsovsky, MD",Private Practice Physician,2569 Ocean Avenue,,11229,BROOKLYN,(718) 342-0060,,Hepatitis,Hep B Testing,False,False,False,False,3073537501.0,40.5988457,-73.9513178,3073537501.0,3391180.0,48.0,315.0
38,Brownsville Multiservice Family Health Center,Community Health Center,259 Bristol Street,,11212,BROOKLYN,(718) 409-9452,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://bmsfhc.wixsite.com/bms-family-health/bms-isis"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,3035590011.0,40.6646272,-73.9113718,3035590011.0,3081765.0,41.0,316.0
39,Montefiore - Division of Substance Abuse,Community Health Center,260 East 161st Street,,10451,BRONX,(718) 277-0386,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.einstein.yu.edu/departments/psychiatry-behavioral-sciences/dosa.aspx?id=4708/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2024430100.0,40.8254821,-73.9189897,2024430100.0,2002457.0,16.0,204.0
40,Housing Works - East New York Community Health Center,Community Health Center,2640 Pitkin Avenue,,11208,BROOKLYN,(212) 379-6996,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.housingworks.org/heal/medical-and-dental-care/hep-c/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,3042290016.0,40.6750264,-73.8746104,3042290016.0,3393021.0,42.0,305.0
41,Charles B Wang Community Health Center - Manhattan,Community Health Center,268 Canal Street,,10013,MANHATTAN,(212) 477-8500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.cbwchc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1001960013.0,40.7188699,-74.0011636,1001960013.0,1002344.0,1.0,101.0
42,William F. Ryan Community Health Network - Ryan Nena,Community Health Center,279 East 3rd Street,,10009,MANHATTAN,(212) 227-8401,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.ryancenter.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1003730064.0,40.7214643,-73.9800934,1003730064.0,1004406.0,2.0,103.0
43,Betances Health Center,Community Health Center,280 Henry Street,,10002,MANHATTAN,(212) 803-2850,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.betances.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1002670010.0,40.7136702,-73.9837398,1002670010.0,1003220.0,2.0,103.0
44,Harlem United,Community Health Center,290 Lenox Avenue,Ground Level,10027,MANHATTAN,(929) 210-6120,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://harlemunited.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,True,False,1017220069.0,40.8074667,-73.9456223,1017220069.0,1053487.0,9.0,110.0
45,Mount Sinai - Liver Medical Management Program (RMTI) Brooklyn,Community Health Center,300 Cadman Plaza West,,11201,BROOKLYN,(718) 579-2500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mountsinai.org/brooklyn-heights/brooklyn-heights-services/gastroenterology"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,3002390001.0,40.6951017,-73.9914366,3002390001.0,3001937.0,33.0,302.0
46,Montefiore - Comprehensive Health Care Center,Community Health Center,305 East 161st Street,,10451,BRONX,(718) 882-5482,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/mmg-comprehensive-health-care-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2024210045.0,40.8254275,-73.9169829,2024210045.0,2115808.0,17.0,204.0
47,Montefiore - Oval Center,Community Health Center,3230 Bainbridge Avenue,,10467,BRONX,(718) 920-8542,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/std"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,2033430008.0,40.8765241,-73.8795197,2033430008.0,2018154.0,11.0,207.0
48,Montefiore - Center for Positive Living,Hospital,3444 Kossuth Avenue,3rd Floor,10467,BRONX,(718) 920-2273,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/hiv-aids-contact"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2033270001.0,40.8812402,-73.8811275,2033270001.0,2094749.0,11.0,207.0
49,Montefiore - Family Care Center,Hospital,3444 Kossuth Avenue,,10467,BRONX,(718) 920-4067,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/mmg-family-care-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2033270001.0,40.8812402,-73.8811275,2033270001.0,2094749.0,11.0,207.0
50,Montefiore - Substance Abuse Treatment Program I,Community Health Center,3550 Jerome Avenue,,10467,BRONX,(212) 271-7200,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.montefiore.org/psychiatry-services-substance-abuse-treatment"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2033280025.0,40.8840071,-73.8798805,2033280025.0,2017792.0,11.0,207.0
51,Callen-Lorde Community Health Center,Community Health Center,356 West 18th Street,,10011,MANHATTAN,(718) 933-2400,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://callen-lorde.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1007410063.0,40.7429858,-74.0031626,1007410063.0,1013088.0,3.0,104.0
52,Montefiore - Family Health Center,Community Health Center,360 East 193rd Street,,10458,BRONX,(718) 963-7618,,Hepatitis,Hep B Testing,False,True,False,False,2032750040.0,40.8630819,-73.8910785,2032750040.0,2016318.0,15.0,207.0
53,Wyckoff Heights Medical Center - GI,Hospital,374 Stockholm Street,2nd Floor,11237,BROOKLYN,(212) 334-6029,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.wyckoffhospital.org/departments/clinical/gastroenterology"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,True,False,3032600001.0,40.704168,-73.917684,3032600001.0,3074262.0,37.0,304.0
54,APICHA Community Health Center,Community Health Center,400 Broadway,4th Floor,10013,MANHATTAN,(212) 222-3882,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.apicha.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1001960001.0,40.7187342,-74.0024571,1001960001.0,1002334.0,1.0,101.0
55,African Services Committee,Community Organization,429 West 127th Street,2nd Floor,10027,MANHATTAN,(718) 245-2800,"Free services are available.<br><a href=""http://www.africanservices.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,True,False,True,False,1019670060.0,40.813453,-73.9544556,1019670060.0,1084104.0,7.0,109.0
56,Kings County Hospital Center,Hospital,451 Clarkson Avenue,,11203,BROOKLYN,(212) 263-6804,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/kchc/html/home/home.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,3048290001.0,40.6567192,-73.9461696,3048290001.0,3327711.0,40.0,309.0
57,Bellevue Hospital Center - Hepatitis Clinic,Hospital,462 First Avenue,,10016,MANHATTAN,(718) 369-4850,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyc.gov/html/hhc/bellevue/html/home/home.shtml"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1009620100.0,40.7393782,-73.9756253,1009620100.0,1086515.0,4.0,106.0
58,AHF Brooklyn Healthcare Center,Community Health Center,475 Atlantic Avenue,2nd Floor,11217,BROOKLYN,(718) 210-1030,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.aidshealth.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,3001790053.0,40.6858987,-73.9821743,3001790053.0,3000767.0,33.0,302.0
59,Brooklyn Chinese Family Health Center,Community Health Center,5008 7th Avenue,,11220,BROOKLYN,(212) 781-7979,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.lutheranhealthcare.org/Main/LutheranFamilyHealthCentersSunsetTerrace.aspx"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,3007937503.0,40.6423899,-74.0063458,3007937503.0,3393316.0,38.0,307.0
60,CHN - Community League Health Center,Community Health Center,511 West 157th Street,,10032,MANHATTAN,(718) 613-6843,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.chnnyc.org/our-locations/community-league-health-center"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1021160031.0,40.8333519,-73.942559,1021160031.0,1089242.0,7.0,112.0
61,Interfaith Medical Center - Bishop Orris G. Walker Junior Health Center,Hospital,528 Prospect Place,2nd Floor,11238,BROOKLYN,(718) 670-2559,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.interfaithmedical.com/about/service-centers/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,3011630010.0,40.6753484,-73.9589915,3011630010.0,3393245.0,35.0,308.0
62,NewYork-Presbyterian/Queens - Center for Liver Disease,Hospital,56-45 Main Street,,11365,QUEENS,(718) 907-6243,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.nyhq.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,False,False,False,4051650001.0,40.7470076,-73.8261739,4051650001.0,4439898.0,20.0,407.0
63,Housing Works - Downtown Brooklyn Health Center,Community Health Center,57 Willoughby Street,Lower Level,11201,BROOKLYN,(718) 857-8874,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.housingworks.org/heal/medical-and-dental-care/hep-c/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,3001470036.0,40.6925071,-73.9864748,3001470036.0,3000338.0,33.0,302.0
64,"Joseph Paul, MD",Private Practice Physician,60 Plaza Street East,1F,11238,BROOKLYN,(718) 945-7150,,Hepatitis,Hep B Testing,False,False,False,False,3011710019.0,40.6744787,-73.9688753,3011710019.0,3029333.0,35.0,308.0
65,Addabbo Family Health Center,Community Health Center,6200 Beach Channel Drive,,11692,QUEENS,(718) 401-6578,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.addabbo.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,4160150001.0,40.5930968,-73.7918977,4160150001.0,4302404.0,31.0,414.0
66,Morris Heights Health Center,Community Health Center,625 East 137th Street,,10454,BRONX,(212) 265-4500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.mhhc.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,2025500057.0,40.805521,-73.915898,2025500057.0,2003614.0,8.0,201.0
67,William F. Ryan Community Health Center - Ryan/Chelsea-Clinton,Community Health Center,645 10th Avenue,,10036,MANHATTAN,(718) 596-9800,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.ryancenter.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,1010747502.0,40.7620382,-73.9941371,1010747502.0,1085777.0,3.0,104.0
68,Brooklyn Plaza Medical Center,Community Health Center,650 Fulton Street,,11217,BROOKLYN,(347) 577-6500,"Call for insurance and payment methods. There may be a cost for care.<br><a href=""http://www.brooklynplaza.org/"" target=""_blank""><font size = +1><b>Program Website</b></font></a>",Hepatitis,Hep B Testing,False,True,False,False,3021130022.0,40.6869429,-73.9760239,3021130022.0,3059247.0,35.0,302.0
69,"Jenna Butner, MD",Private Practice Physician,710 Courtlandt Avenue,,10451,BRONX,(212) 677-7999,,Hepatitis,Hep B Testing,False,False,False,False,2024010006.0,40.8203671,-73.9175927,2024010006.0,2001706.0,17.0,201.0
