project_id,project_name,program_group,project_start_date,project_completion_date,building_id,house_number,street_name,borough,postcode,bbl,bin,community_board,council_district,census_tract,neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,building_completion_date,reporting_construction_type,extended_affordability_status,prevailing_wage_status,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,_1_br_units,_2_br_units,_3_br_units,_4_br_units,_5_br_units,_6_br_units,unknown_br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,2019-12-27T00:00:00.000,,326090.0,735,LINCOLN AVENUE,Brooklyn,11208.0,3042719001.0,3343256.0,BK-05,42.0,1208.0,BK82,40.671189,-73.866071,,,,Preservation,No,Non Prevailing Wage,2,42,250,0,0,0,32,115,97,50,0,0,0,0,294,0,294,294
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,2019-12-27T00:00:00.000,,808252.0,790,ELDERT LANE,Brooklyn,11208.0,3042719001.0,3343252.0,BK-05,42.0,1208.0,BK82,40.670554,-73.863105,,,,Preservation,No,Non Prevailing Wage,1,33,260,0,0,0,32,115,97,50,0,0,0,0,294,0,294,294
68432,LINDEN PLAZA PRESERVATION LP.YR15.FY20,Multifamily Finance Program,2019-12-27T00:00:00.000,,808705.0,765,LINCOLN AVENUE,Brooklyn,11208.0,3042719001.0,3343260.0,BK-05,42.0,1208.0,BK82,40.67028,-73.865853,,,,Preservation,No,Non Prevailing Wage,0,32,261,0,0,1,32,115,97,50,0,0,0,0,294,0,294,294
69399,179 NORTH 7TH STREET APARTMENTS,Multifamily Incentives Program,2019-12-27T00:00:00.000,,988014.0,179 REAR,NORTH 7 STREET,Brooklyn,,,,BK-01,33.0,,,,,,,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,3,9
66720,J2,Multifamily Finance Program,2019-12-24T00:00:00.000,,985837.0,147-07,94 AVENUE,Queens,11435.0,4099980025.0,4448835.0,QN-12,27.0,208.0,QN61,40.699143,-73.806639,40.69954,-73.806194,,New Construction,No,Non Prevailing Wage,53,163,0,190,0,2,84,196,128,0,0,0,0,0,408,0,408,543
69397,254 EAST 28TH STREET,Multifamily Incentives Program,2019-12-24T00:00:00.000,,991445.0,254,EAST 28 STREET,Brooklyn,11226.0,3051710036.0,3119147.0,BK-17,45.0,826.0,BK95,40.643831,-73.950752,40.64373,-73.951019,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,10
69398,FENIMORE STREET APARTMENTS,Multifamily Incentives Program,2019-12-24T00:00:00.000,,988958.0,293,FENIMORE STREET,Brooklyn,11225.0,3050390074.0,,BK-09,40.0,802.0,BK60,40.658574,-73.952496,40.65877,-73.952612,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,3
69398,FENIMORE STREET APARTMENTS,Multifamily Incentives Program,2019-12-24T00:00:00.000,,988963.0,289,FENIMORE STREET,Brooklyn,11225.0,3050390076.0,,BK-09,40.0,802.0,BK60,40.658566,-73.95259,40.65876,-73.952767,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,16
69398,FENIMORE STREET APARTMENTS,Multifamily Incentives Program,2019-12-24T00:00:00.000,,990327.0,291,FENIMORE STREET,Brooklyn,11225.0,3050390075.0,,BK-09,40.0,802.0,BK60,40.658568,-73.952543,40.65876,-73.952691,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,3
69355,GOODWILL TERRACE,Multifamily Finance Program,2019-12-23T00:00:00.000,,413164.0,21-Apr,27 AVENUE,Queens,11102.0,4009090001.0,4020648.0,QN-01,22.0,87.0,QN71,40.774582,-73.932957,40.77487,-73.932491,,Preservation,No,Non Prevailing Wage,0,0,0,201,0,1,116,72,13,0,0,0,0,1,202,0,202,202
69395,114 JEFFERSON STREET,Multifamily Incentives Program,2019-12-23T00:00:00.000,,992330.0,114,JEFFERSON STREET,Brooklyn,11206.0,3031720010.0,3072238.0,BK-04,34.0,425.0,BK78,40.699707,-73.930771,40.69938,-73.930742,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,8
69396,HALSEY STREET APARTMENTS,Multifamily Incentives Program,2019-12-23T00:00:00.000,,306102.0,625,HALSEY STREET,Brooklyn,11233.0,3016620059.0,,BK-03,36.0,383.0,BK35,40.684389,-73.927466,40.68462,-73.927336,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,3,10
69396,HALSEY STREET APARTMENTS,Multifamily Incentives Program,2019-12-23T00:00:00.000,,993483.0,625A,HALSEY STREET,Brooklyn,11233.0,3016620059.0,,BK-03,36.0,383.0,BK35,40.684389,-73.927466,40.68462,-73.927336,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,3,10
51582,425 GRAND CONCOURSE,Multifamily Finance Program,2019-12-20T00:00:00.000,,975396.0,425,GRAND CONCOURSE,Bronx,10451.0,2023460001.0,,BX-01,17.0,63.0,BX63,40.817142,-73.927957,40.81698,-73.928521,,New Construction,No,Non Prevailing Wage,56,55,96,69,0,1,45,92,94,46,0,0,0,0,277,0,277,277
58780,DINSMORE CHESTNUT,Multifamily Finance Program,2019-12-20T00:00:00.000,,993573.0,110,DINSMORE PLACE,Brooklyn,11208.0,,,BK-05,37.0,1178.0,BK83,40.681427,-73.875399,,,,New Construction,No,Non Prevailing Wage,104,115,55,0,0,1,47,70,101,57,0,0,0,0,275,0,275,275
64232,RADROC,Multifamily Finance Program,2019-12-20T00:00:00.000,,982787.0,19-38,CORNAGA AVENUE,Queens,11691.0,4155610058.0,,QN-14,31.0,101001.0,QN15,40.602296,-73.752541,40.60253,-73.752573,,New Construction,No,Non Prevailing Wage,18,74,80,0,0,1,39,80,48,6,0,0,0,0,173,0,173,173
64232,RADROC,Multifamily Finance Program,2019-12-20T00:00:00.000,,988401.0,18-Oct,BEACH 20 STREET,Queens,11691.0,4155610008.0,,QN-14,31.0,101001.0,QN15,40.602824,-73.753206,40.60277,-73.752914,,New Construction,No,Non Prevailing Wage,7,27,46,0,0,0,18,38,17,7,0,0,0,0,80,0,80,80
66102,1613 REALTY LTD.GHPP.FY20,Multifamily Finance Program,2019-12-20T00:00:00.000,,85454.0,1135,HOE AVENUE,Bronx,10459.0,2027450046.0,2006069.0,BX-03,17.0,125.0,BX35,40.827139,-73.890913,40.82703,-73.89109,,Preservation,No,Non Prevailing Wage,1,9,21,0,0,1,0,25,5,2,0,0,0,0,32,0,32,32
66970,HUNTERS POINT SOUTH PARCELS F AND G,Multifamily Finance Program,2019-12-20T00:00:00.000,,992321.0,57-28,2 STREET,Queens,11101.0,4000060020.0,,QN-02,26.0,1.0,QN31,40.738823,-73.960598,40.7381,-73.960725,,New Construction,No,Non Prevailing Wage,66,44,22,89,110,1,67,196,47,22,0,0,0,0,332,0,332,443
66970,HUNTERS POINT SOUTH PARCELS F AND G,Multifamily Finance Program,2019-12-20T00:00:00.000,,993728.0,15-Jan,57 AVENUE,Queens,11101.0,4000060030.0,,QN-02,26.0,1.0,QN31,40.739054,-73.961601,40.73929,-73.961175,,New Construction,No,Non Prevailing Wage,104,67,35,138,172,1,152,179,163,23,0,0,0,0,517,0,517,689
67367,BEACH 21ST STREET,Multifamily Finance Program,2019-12-20T00:00:00.000,,992168.0,1047,BEACH 21 STREET,Queens,11691.0,,,QN-14,31.0,100802.0,QN15,40.603358,-73.753866,,,,New Construction,No,Non Prevailing Wage,23,88,112,0,0,1,35,85,71,33,0,0,0,0,224,0,224,224
68080,980 WESTCHESTER AVE.,Multifamily Finance Program,2019-12-20T00:00:00.000,,992352.0,980,WESTCHESTER AVENUE,Bronx,10459.0,2027140030.0,2005661.0,BX-02,17.0,159.0,BX27,40.823204,-73.894731,40.82306,-73.89436,,New Construction,No,Non Prevailing Wage,51,40,59,0,0,1,47,64,23,17,0,0,0,0,151,0,151,151
69339,CONFIDENTIAL,Homeowner Assistance Program,2019-12-20T00:00:00.000,2019-12-20T00:00:00.000,,----,----,Bronx,,,,BX-01,17.0,,,,,,,2019-12-20T00:00:00.000,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
69392,1266 OCEAN PARKWAY APARTMENTS,Multifamily Incentives Program,2019-12-20T00:00:00.000,,984581.0,1266,OCEAN PARKWAY,Brooklyn,11230.0,3065410035.0,3171719.0,BK-12,44.0,448.0,BK46,40.617918,-73.969296,40.61772,-73.969909,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,10
69393,1266 PACIFIC STREET APARTMENTS,Multifamily Incentives Program,2019-12-20T00:00:00.000,,349495.0,1266,PACIFIC STREET,Brooklyn,11216.0,3012070006.0,3030040.0,BK-08,36.0,315.0,BK61,40.677607,-73.949087,40.67737,-73.949357,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,10
49713,SOBRO. 988 WASHINGTON AVE. NEW ROADS PLAZA,Multifamily Finance Program,2019-12-19T00:00:00.000,,950357.0,986,WASHINGTON AVENUE,Bronx,10456.0,2023690001.0,,BX-03,17.0,185.0,BX35,40.825945,-73.909852,40.82589,-73.909628,,New Construction,No,Non Prevailing Wage,57,0,37,0,0,1,57,19,19,0,0,0,0,0,95,0,95,95
65563,LES 278 HDFC.PLP.FY20 (278 EAST 7 STREET),Multifamily Finance Program,2019-12-19T00:00:00.000,,11162.0,276,EAST 7 STREET,Manhattan,10009.0,1003760031.0,1004487.0,MN-03,2.0,2602.0,MN28,40.723448,-73.97738,40.72309,-73.977077,,Preservation,No,Non Prevailing Wage,1,14,2,0,0,0,1,9,2,5,0,0,0,0,0,17,17,17
68157,GREENPOINT LANDING D2,Multifamily Incentives Program,2019-12-19T00:00:00.000,,988654.0,221,WEST STREET,Brooklyn,11222.0,,,BK-01,33.0,563.0,BK76,40.734469,-73.960023,,,,New Construction,No,Non Prevailing Wage,0,0,0,0,83,0,18,42,23,0,0,0,0,0,83,0,83,302
68158,GREENPOINT LANDING D3,Multifamily Incentives Program,2019-12-19T00:00:00.000,,991141.0,213,WEST STREET,Brooklyn,11222.0,3024720002.0,,BK-01,33.0,563.0,BK76,40.73434,-73.960005,40.73467,-73.961748,,New Construction,No,Non Prevailing Wage,0,0,76,0,32,0,23,31,48,6,0,0,0,0,108,0,108,108
69394,103-43 120TH STREET APARTMENTS,Multifamily Incentives Program,2019-12-19T00:00:00.000,,989590.0,103-43,120 STREET,Queens,11419.0,4095580044.0,4203780.0,QN-10,28.0,15802.0,QN55,40.687518,-73.823612,40.68711,-73.823055,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,10
48996,204 AVENUE A & 535 EAST 12TH STREET PROJECT,Multifamily Finance Program,2019-12-18T00:00:00.000,,972405.0,204,AVENUE A,Manhattan,10009.0,1004060006.0,1005201.0,MN-03,2.0,34.0,MN22,40.729512,-73.981,40.72938,-73.980751,,New Construction,No,Non Prevailing Wage,0,0,10,0,0,0,0,8,2,0,0,0,0,0,0,10,10,10
48996,204 AVENUE A & 535 EAST 12TH STREET PROJECT,Multifamily Finance Program,2019-12-18T00:00:00.000,,972406.0,535,EAST 12 STREET,Manhattan,10009.0,1004060047.0,1005227.0,MN-03,2.0,34.0,MN22,40.728708,-73.980405,40.72861,-73.979615,,New Construction,No,Non Prevailing Wage,0,0,0,0,11,0,1,10,0,0,0,0,0,0,11,0,11,11
65306,MARCUS GARVEY PHASE I-BUILDING B + D,Multifamily Incentives Program,2019-12-18T00:00:00.000,,991644.0,169,LIVONIA AVENUE,Brooklyn,11212.0,3035730001.0,3326498.0,BK-16,41.0,924.0,BK81,40.662164,-73.911587,40.66291,-73.91128,,New Construction,No,Non Prevailing Wage,9,12,57,0,0,0,19,32,13,14,0,0,0,0,78,0,78,78
65306,MARCUS GARVEY PHASE I-BUILDING B + D,Multifamily Incentives Program,2019-12-18T00:00:00.000,,993171.0,215,LIVONIA AVENUE,Brooklyn,11212.0,3035740001.0,3345333.0,BK-16,41.0,924.0,BK81,40.662402,-73.909998,40.66311,-73.910509,,New Construction,No,Non Prevailing Wage,1,64,30,0,0,0,20,36,19,20,0,0,0,0,95,0,95,96
67130,COMMUNITY ACCESS. 1159 RIVER AVENUE,Multifamily Finance Program,2019-12-18T00:00:00.000,,988878.0,1159,RIVER AVENUE,Bronx,10452.0,,,BX-04,16.0,197.0,BX63,40.834635,-73.921947,,,,New Construction,No,Non Prevailing Wage,148,0,96,0,0,1,145,28,55,17,0,0,0,0,245,0,245,245
68210,COMUNILIFE. 3395-3401 THIRD AVENUE,Multifamily Finance Program,2019-12-18T00:00:00.000,,989008.0,3401,3 AVENUE,Bronx,10456.0,2023710052.0,2001305.0,BX-03,16.0,185.0,BX35,40.828457,-73.906973,40.82847,-73.90746,,New Construction,No,Non Prevailing Wage,90,29,28,0,0,1,112,36,0,0,0,0,0,0,148,0,148,148
69184,MARCUS GARVEY PHASE I- BUILDING F,Multifamily Incentives Program,2019-12-18T00:00:00.000,,992863.0,449,CHESTER STREET,Brooklyn,11212.0,3036020012.0,,BK-16,42.0,916.0,BK81,40.660422,-73.909334,40.66031,-73.909024,,New Construction,No,Non Prevailing Wage,9,80,84,0,0,0,55,67,34,17,0,0,0,0,173,0,173,174
69338,CONFIDENTIAL,Homeowner Assistance Program,2019-12-17T00:00:00.000,2019-12-17T00:00:00.000,,----,----,Brooklyn,,,,BK-05,37.0,,,,,,,2019-12-17T00:00:00.000,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
69391,753 ELTON AVENUE APARTMENTS,Multifamily Incentives Program,2019-12-17T00:00:00.000,,941699.0,753,ELTON AVENUE,Bronx,10451.0,2023780029.0,,BX-01,17.0,69.0,BX34,40.820766,-73.913779,40.82073,-73.914076,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,2,1,0,0,0,0,0,3,0,3,8
65582,4697 THIRD AVENUE,Small Homes Program,2019-12-12T00:00:00.000,,993492.0,4697,3 AVENUE,Bronx,10458.0,2030410038.0,,BX-06,15.0,385.0,BX01,40.85869,-73.891129,40.85871,-73.891418,,New Construction,No,Non Prevailing Wage,12,12,28,0,0,1,7,19,20,7,0,0,0,0,53,0,53,53
68542,CHATTERTON.HRP.FY20,Multifamily Finance Program,2019-12-12T00:00:00.000,,104641.0,1041,PUGSLEY AVENUE,Bronx,10472.0,2037880021.0,2025666.0,BX-09,18.0,4001.0,BX55,40.827716,-73.856386,40.82781,-73.857094,,Preservation,No,Non Prevailing Wage,6,126,0,0,0,1,0,50,56,25,2,0,0,0,0,133,133,133
68267,SUNSET GARDENS HDFC.HUDMF,Multifamily Finance Program,2019-12-11T00:00:00.000,2019-12-11T00:00:00.000,938231.0,405,44 STREET,Brooklyn,11220.0,3007290072.0,3011001.0,BK-07,38.0,82.0,BK32,40.64955,-74.008627,40.64969,-74.008408,2019-12-11T00:00:00.000,Preservation,Yes,Non Prevailing Wage,80,1,0,0,0,0,0,81,0,0,0,0,0,0,81,0,81,81
69390,177-14 WEXFORD TERRACE,Multifamily Incentives Program,2019-12-11T00:00:00.000,,703836.0,177-14,WEXFORD TERRACE,Queens,11432.0,4098350026.0,4617569.0,QN-08,24.0,466.0,QN06,40.713096,-73.785998,40.71269,-73.786544,,New Construction,No,Non Prevailing Wage,0,0,0,0,12,0,0,6,6,0,0,0,0,0,12,0,12,39
69389,1613 BROOKLYN AVENUE APARTMENTS,Multifamily Incentives Program,2019-12-10T00:00:00.000,,991288.0,1617,BROOKLYN AVENUE,Brooklyn,11210.0,3075640031.0,3206136.0,BK-17,45.0,784.0,BK91,40.633506,-73.941908,40.63358,-73.941608,,New Construction,No,Non Prevailing Wage,0,0,0,0,11,0,0,7,4,0,0,0,0,0,11,0,11,35
68526,PLAZA APARTMENTS,Multifamily Finance Program,2019-12-09T00:00:00.000,2019-12-09T00:00:00.000,228365.0,212,CROWN STREET,Brooklyn,11225.0,3012960008.0,3034160.0,BK-09,35.0,321.0,BK63,40.666421,-73.953403,40.66619,-73.953338,2019-12-09T00:00:00.000,Preservation,Yes,Non Prevailing Wage,29,3,1,2,0,0,4,11,13,7,0,0,0,0,35,0,35,35
68526,PLAZA APARTMENTS,Multifamily Finance Program,2019-12-09T00:00:00.000,2019-12-09T00:00:00.000,373954.0,298,ST JOHNS PLACE,Brooklyn,11238.0,3011720027.0,3029358.0,BK-08,35.0,207.0,BK64,40.674191,-73.967753,40.67395,-73.967594,2019-12-09T00:00:00.000,Preservation,Yes,Non Prevailing Wage,12,2,1,0,0,0,2,6,4,3,0,0,0,0,15,0,15,15
68526,PLAZA APARTMENTS,Multifamily Finance Program,2019-12-09T00:00:00.000,2019-12-09T00:00:00.000,949874.0,304,SAINT JOHNS PLACE,Brooklyn,11238.0,3011720028.0,3029359.0,BK-08,35.0,207.0,BK64,40.674232,-73.967616,40.67399,-73.967446,2019-12-09T00:00:00.000,Preservation,Yes,Non Prevailing Wage,10,0,2,1,0,0,0,4,7,2,0,0,0,0,13,0,13,13
68526,PLAZA APARTMENTS,Multifamily Finance Program,2019-12-09T00:00:00.000,2019-12-09T00:00:00.000,991328.0,308,ST JOHNS PLACE,Brooklyn,11238.0,3011720029.0,3029360.0,BK-08,35.0,207.0,BK64,40.674257,-73.967522,40.67405,-73.967313,2019-12-09T00:00:00.000,Preservation,Yes,Non Prevailing Wage,7,3,2,0,0,1,0,3,7,3,0,0,0,0,13,0,13,13
69336,CONFIDENTIAL,Homeowner Assistance Program,2019-12-09T00:00:00.000,2019-12-09T00:00:00.000,,----,----,Staten Island,,,,SI-01,49.0,,,,,,,2019-12-09T00:00:00.000,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
69337,CONFIDENTIAL,Homeowner Assistance Program,2019-12-09T00:00:00.000,2019-12-09T00:00:00.000,,----,----,Queens,,,,QN-11,23.0,,,,,,,2019-12-09T00:00:00.000,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
69388,TROUTMAN STREET APARTMENTS,Multifamily Incentives Program,2019-12-09T00:00:00.000,,991662.0,31,TROUTMAN STREET,Brooklyn,11206.0,3031710069.0,,BK-04,34.0,391.0,BK78,40.698157,-73.932561,40.69819,-73.933001,,New Construction,No,Non Prevailing Wage,0,0,0,0,6,0,0,6,0,0,0,0,0,0,6,0,6,18
69419,456 AVENUE P APARTMENTS,Multifamily Incentives Program,2019-12-09T00:00:00.000,,193529.0,456,AVENUE P,Brooklyn,11223.0,3066357501.0,3425639.0,BK-15,44.0,422.0,BK25,40.609078,-73.970575,40.60881,-73.970568,,New Construction,No,Non Prevailing Wage,0,0,0,0,9,0,0,6,3,0,0,0,0,0,9,0,9,28
69334,CONFIDENTIAL,Homeowner Assistance Program,2019-12-06T00:00:00.000,2019-12-06T00:00:00.000,,----,----,Bronx,,,,BX-08,11.0,,,,,,,2019-12-06T00:00:00.000,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
69335,CONFIDENTIAL,Homeowner Assistance Program,2019-12-06T00:00:00.000,2019-12-06T00:00:00.000,,----,----,Manhattan,,,,MN-05,4.0,,,,,,,2019-12-06T00:00:00.000,New Construction,No,Non Prevailing Wage,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
69387,19 MALTA STREET,Multifamily Incentives Program,2019-12-06T00:00:00.000,,331378.0,19,MALTA STREET,Brooklyn,11207.0,3042950073.0,3421411.0,BK-05,42.0,1130.0,BK85,40.659854,-73.895883,40.66002,-73.89571,,New Construction,No,Non Prevailing Wage,0,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,2,6
62057,32-34 PUTNAM AVENUE CLUSTER PHASE I,Multifamily Finance Program,2019-12-05T00:00:00.000,,217176.0,55,CARLTON AVENUE,Brooklyn,11205.0,3020310001.0,3057984.0,BK-02,35.0,211.0,BK68,40.6965,-73.973501,40.69632,-73.973245,,Preservation,No,Non Prevailing Wage,0,0,0,6,0,0,0,1,5,0,0,0,0,0,0,6,6,6
62057,32-34 PUTNAM AVENUE CLUSTER PHASE I,Multifamily Finance Program,2019-12-05T00:00:00.000,,230287.0,546,DEKALB AVENUE,Brooklyn,11205.0,3017780014.0,3049600.0,BK-03,36.0,241.0,BK75,40.690974,-73.954774,40.69086,-73.954709,,Preservation,No,Non Prevailing Wage,0,0,0,7,0,0,0,1,6,0,0,0,0,0,0,7,7,7
62057,32-34 PUTNAM AVENUE CLUSTER PHASE I,Multifamily Finance Program,2019-12-05T00:00:00.000,,349463.0,1216,PACIFIC STREET,Brooklyn,11216.0,3012060020.0,3029989.0,BK-08,36.0,315.0,BK61,40.677746,-73.951376,40.67752,-73.951607,,Preservation,No,Non Prevailing Wage,0,0,0,5,0,0,1,4,0,0,0,0,0,0,5,0,5,5
68079,167-171 CHRYSTIE STREET,Multifamily Incentives Program,2019-12-05T00:00:00.000,,991704.0,167,CHRYSTIE STREET,Manhattan,10002.0,1004250031.0,,MN-03,1.0,18.0,MN27,40.720791,-73.992485,40.7208,-73.992857,,New Construction,No,Non Prevailing Wage,0,7,8,0,0,0,5,8,2,0,0,0,0,0,15,0,15,78
69386,2746 FULTON STREET,Multifamily Incentives Program,2019-12-05T00:00:00.000,,988957.0,2746,FULTON STREET,Brooklyn,11207.0,3036740016.0,3083379.0,BK-05,37.0,1198.0,BK82,40.677791,-73.89323,40.67758,-73.893198,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,9
69385,100 SUYDAM STREET,Multifamily Incentives Program,2019-12-04T00:00:00.000,,340553.0,1251,MYRTLE AVENUE,Brooklyn,11221.0,3032170004.0,,BK-04,34.0,423.0,BK78,40.697705,-73.928851,40.69788,-73.928732,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,0,3,10
61840,LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,2019-12-03T00:00:00.000,,23579.0,406,LENOX AVENUE,Manhattan,10037.0,1017280002.0,1053770.0,MN-10,9.0,208.0,MN03,40.811095,-73.943049,40.81093,-73.942677,,Preservation,No,Non Prevailing Wage,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,9,9,9
61840,LENOX AVENUE CLUSTER (ANCP),Multifamily Finance Program,2019-12-03T00:00:00.000,,23593.0,422,LENOX AVENUE,Manhattan,10037.0,1017290101.0,1053873.0,MN-10,9.0,208.0,MN03,40.811699,-73.942612,40.81154,-73.942265,,Preservation,No,Non Prevailing Wage,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,4,4
