,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,nourl,postcode,url,description,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsideloc,address2,outsidelocdesc
10,Malcolm X Day Care Center,N,N,N,Y,N,7186517412.0,7186517880.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,111-12 Northern Blvd.,Corona,,,,,,,,,,,,,,,,,,,,,,
11,Hudson Guild,N,N,Y,N,N,,2127609800.0,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,441 West 26th Street,New York,,10001.0,,,"{'latitude': '40.749196', 'longitude': '-74.001815'}",MANHATTAN,40.749196,-74.001815,4.0,3.0,97.0,1012827.0,1007240010.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,11722.0,12.0,4.0,10.0,6.0,,,
12,Asthma/Emphysema Self-Help Group,N,N,Y,N,N,,2127770486.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"172 East 4th Street, Suite 11th Floor",New York,,,,,,,,,,,,,,,,,,,,,,
13,Women's Forum Inc.,N,N,Y,N,N,2124470925.0,2124479107.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Published,6 E. 39 St. 6th Fl.,New York,,,http://www.wfnewyork.org/index_2.cfm,"The Women's Forum is a community where pre-eminent New York women leaders of diverse achievement come together to make a difference for each other and to take an active, leadership role in matters of importance to them.",,,,,,,,,,,,,,,,,,
14,"United Community Day Care Center, Inc",Y,N,N,N,N,,7183851201.0,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,613 New Lots Avenue,Brooklyn,,11207.0,,,"{'latitude': '40.664728', 'longitude': '-73.886561'}",BROOKLYN ,40.664728,-73.886561,5.0,42.0,1124.0,3090717.0,3040890025.0,East New York                                                              ,17214.0,45.0,2.0,25.0,47.0,,,
15,Childrens Art Carnival,N,N,Y,N,N,,2122344093.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,62 Hamilton Terrace,New York,,10031.0,,,"{'latitude': '40.823075', 'longitude': '-73.946309'}",MANHATTAN,40.823075,-73.946309,9.0,7.0,227.0,1060961.0,1020500064.0,Hamilton Heights                                                           ,12428.0,37.0,4.0,23.0,19.0,,,
16,YWCA of the City of New York,Y,N,Y,N,Y,2122236438.0,2127554500.0,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,Family Resource Center,New York,N,10019.0,http://www.ywcanyc.org,"Established in 1858, the YWCA of the City of New York is one of the nationï¿½s oldest non-profit organizations. Our mission is to address the critical needs of New York City women and to empower them for success and leadership in their lives, jobs and communities. We focus on underserved families through job training, educational child care and after school programs; partnerships with business, government and other not-for-profits; and advocacy on behalf of the clients we serve.",,,,,,,,,,,,,,,,N,500 West 56th Street,
17,Women's Desk,N,N,Y,N,N,2127277668.0,2126336700.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,112 West 27th Street,New York,,,,,,,,,,,,,,,,,,,,,,
18,"Lincoln Square Neighborhood Center, Inc.",N,N,Y,N,N,,2128740860.0,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,250 West 65th Street,New York,,10023.0,http://www.lsncny.org/,"The vision that shaped Lincoln Square Neighborhood Center in 1949 also shaped the Settlement House movement begun over 100 years ago. Throughout this city, neighbors stood up and took responsibility for each other, working cooperatively to build networks ","{'latitude': '40.77501', 'longitude': '-73.98689'}",MANHATTAN,40.77501,-73.98689,7.0,6.0,151.0,1030340.0,1011560020.0,Lincoln Square                                                             ,12420.0,20.0,4.0,19.0,12.0,,,
19,"Aging In America, Inc.",N,Y,N,N,N,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1500 Pelham Parkway South,Bronx,N,10461.0,,"Our Title V program is to assist seniors 55 and older to
train then, and place them in
part time meaningful employment in the Private sector","{'latitude': '40.857026', 'longitude': '-73.843125'}",BRONX    ,40.857026,-73.843125,11.0,13.0,296.0,2047109.0,2042220005.0,Pelham Parkway                                                             ,11270.0,59.0,5.0,12.0,32.0,N,TITLE V program for 55 & over,
20,North General Hospital,N,N,Y,N,N,,2124234796.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1879 Madison Ave.,New York,,,http://www.northgeneral.org/index.html,"North General Hospital is committed to quality in health care delivery, the provision of primary, secondary and select tertiary care services, the creation of a broader health care delivery system and the promotion of health and health related education. ",,,,,,,,,,,,,,,,,,
21,National Multiple Sclerosis Society,N,N,Y,N,N,,2124637787.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"733 Third Avenue, 3rd Floor",New York,,,http://www.nationalmssociety.org/NYN,The New York City Chapter of the National MS Society is committed to helping the thousands of New Yorkers impacted by MS continue moving their lives forward. The chapter raises funds locally to support the Society’s critical research initiatives and to pr,,,,,,,,,,,,,,,,,,
22,"Gamma Phi Delta Sorority, Inc. - Beta Lambda Chapter",Y,Y,Y,Y,Y,,5168492321.0,Y,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Published,,Manhattan,N,,http://www.gpd-newyork.org,"Gamma Phi Delta Sorority Inc. is a sisterhood of Business and Professional Women across many industries/ disciplines that come together to promote change and advancement.  We help assist youth further their scholastic efforts through training, mentorship, and financial assistance.  Our organization encourages all of its members and affiliates to advance themselves; politically, socially, and financially.

Our national organization has several affiliations with prominent organizations throughout the African-American community.  Our National Affiliates include, but are not limited to: NCNW (National Council of Negro Women), Urban League, United Negro College Fund, and the NAACP (National Association for the Advancement of Colored People).

Our Sorority operates with the goals of our National Five Point Program M.E.E.P.S.  Each chapter around the country strives to implement programs and activities that uphold the teaching of this program.",,,,,,,,,,,,,,,,Y,,National Organization/Chapters throughout the Country
23,Savvy Ladies,N,N,Y,N,N,6462196799.0,6462168988.0,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Published,"111 John Street, Suite 240",New York,N,10038.0,http://www.savvyladies.org,"Savvy Ladies is a non-profit organization dedicated to empowering women through financial education. 

The free monthly newsletters, seminars, webinars and events foster a sense of community and are designed to educate, amuse, and fulfill savvy women who want to take control of their financial future. 

SavvyLadies.org is a premier destination for women to learn about money, investing and personal growth. Savvy Ladies takes women through all facets of financial planning from starting a investment program to understanding the ins and outs of a workable budget!","{'latitude': '40.707671', 'longitude': '-74.005764'}",MANHATTAN,40.707671,-74.005764,1.0,1.0,1502.0,1001167.0,1000750030.0,Battery Park City-Lower Manhattan                                          ,13096.0,56.0,4.0,32.0,1.0,N,,
24,Children for Children,N,N,Y,N,N,2128504180.0,2128504170.0,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"6 East 43rd Street, 25th Floor",New York,N,10017.0,http://www.childrenforchildren.org,"Children for Children mobilizes the energy, ingenuity and compassion of young people, beginning at an early age, to discover their power and potential to solve real world problems through volunteer opportunities and service learning programs that instill a lifelong commitment to service.","{'latitude': '40.753979', 'longitude': '-73.979997'}",MANHATTAN,40.753979,-73.979997,5.0,4.0,94.0,1035347.0,1012770008.0,Midtown-Midtown South                                                      ,12079.0,11.0,4.0,51.0,8.0,N,,
25,"Morningside Center for Teaching Social Responsibility, Inc.",N,N,Y,N,N,,2128703318.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"475 Riverside Drive, Ste. 550",New York,,10115.0,,"MORNINGSIDE CENTER for Teaching Social Responsibility works in public schools and communities to help teachers, students, and parents build skills, knowledge and community. Through our programs, people learn to solve conflicts nonviolently, challenge bias","{'latitude': '40.811101', 'longitude': '-73.964168'}",MANHATTAN,40.811101,-73.964168,9.0,7.0,205.0,1059835.0,1019910001.0,Morningside Heights                                                        ,10097.0,37.0,4.0,23.0,17.0,,,
26,"HANAC, Inc.",Y,Y,N,Y,N,2128408384.0,2128408005.0,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,49 West 45 Street 4Fl.,New York,N,10036.0,http://hanac.org,"Non profit social service agency funded by city, state and federal funds providing services to youth and elderly.","{'latitude': '40.756087', 'longitude': '-73.981072'}",MANHATTAN,40.756087,-73.981072,5.0,4.0,96.0,1034242.0,1012610015.0,Midtown-Midtown South                                                      ,13094.0,11.0,4.0,51.0,10.0,N,,
27,Queens Pride House,N,N,N,Y,N,7184295013.0,7184295309.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,76-11 37th Ave. Suite 206,Jackson Heights,,,http://www.queenspridehouse.org/,,,,,,,,,,,,,,,,,,,
28,New Life Child Development Corporation,Y,N,N,N,N,,7188213432.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,295 Woodbine Street,Brooklyn,,11237.0,,,"{'latitude': '40.696412', 'longitude': '-73.912941'}",BROOKLYN ,40.696412,-73.912941,4.0,37.0,435.0,3076869.0,3033620055.0,Bushwick North                                                             ,13828.0,42.0,2.0,37.0,53.0,,,
29,West Bronx Housing & Neighborhood Resource Center,N,Y,N,N,N,,7187980929.0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,3176 Bainbridge Avenue,Bronx,,10467.0,,,"{'latitude': '40.875377', 'longitude': '-73.879498'}",BRONX    ,40.875377,-73.879498,7.0,11.0,423.0,2018126.0,2033420007.0,Norwood                                                                    ,11605.0,24.0,5.0,40.0,34.0,,,
30,Girls Global Education Fund,N,N,Y,N,N,,,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,128 West 88th Street,New York,N,10024.0,,,"{'latitude': '40.788204', 'longitude': '-73.972222'}",MANHATTAN,40.788204,-73.972222,7.0,6.0,173.0,1032252.0,1012180042.0,Upper West Side                                                            ,12421.0,20.0,4.0,19.0,15.0,N,,
31,Office of Financial Empowerment,Y,Y,Y,Y,Y,2124873184.0,2122329580.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Published,NYC Department of Consumer Affairs,New York,N,10004.0,http://nyc.gov/ofe,"The Department of Consumer Affairs' Office of Financial Empowerment (OFE) is the first local government initiative in the nation aimed expressly at educating, empowering, and protecting those with low incomes, so they can build assets and make the most of their financial resources. OFE is the first program to be implemented under the Center for Economic Opportunity as part of Mayor Bloomberg's aggressive efforts to fight poverty in New York City.",,,,,,,,,,,,,,,,N,"42 Broadway, 8th floor",
32,Legal Momentum,Y,Y,Y,Y,Y,,2129256635.0,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,395 Hudson Street,New York,N,10014.0,http://www.legalmomentum.org,"Founded in 1970 as NOW Legal Defense and Education Fund, Legal Momentum is the nation's oldest legal advocacy organization dedicated to advancing the rights of women and girls. Legal Momentum is a leader in establishing litigation and public policy strategies to secure equality and justice for women. Its groundbreaking work on behalf of women and girls is currently focused on freedom from violence against women, equal work and equal pay, the health of women and girls, strong families, and strong communities. Its ambitious and wide-ranging legal program is known for its cutting-edge legal theories and as a source of expert assistance to other women?s rights attorneys and organizations.

Legal Momentum occupies a unique position as a multi-issue organization dedicated solely to women?s rights. Its strategic litigation, advocacy and public education programs use the power of law to open opportunities closed to women and to ensure that all women can build safe and secure lives for themselves.","{'latitude': '40.729135', 'longitude': '-74.007043'}",MANHATTAN,40.729135,-74.007043,2.0,3.0,69.0,1010382.0,1006007501.0,West Village                                                               ,12077.0,57.0,4.0,10.0,3.0,Y,,"Washington, D.C."
33,New York Center for Interpersonal Development,N,N,N,N,Y,,7188766068.0,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"130 Stuyvesant Place, 5th Fl.",Staten Island,,10301.0,http://www.nycid.org/,"he New York Center for Interpersonal Development promotes the improvement of human relationships and the strengthening of communities as fundamental to achieving a civil society. We provide youth, community, and professional development programs, and disp","{'latitude': '40.642891', 'longitude': '-74.076874'}",STATEN IS,40.642891,-74.076874,1.0,49.0,3.0,5000085.0,5000080070.0,West New Brighton-New Brighton-St. George                                  ,10369.0,4.0,1.0,13.0,74.0,,,
34,"Young Dancers In Repertory, Inc.",Y,N,N,N,N,,3477027155.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,PO Box 205037 Sunset Station,Brooklyn,,11220.0,,,,,,,,,,,,,,,,,,,,
35,District Eight NAPFE,N,Y,Y,Y,N,2129263880.0,9178170763.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Published,P. O. Box 749,Bronx,N,10451.0,http://www.napfe.com,Labor Union within in the United States Postal Service and Federal Sector,,,,,,,,,,,,,,,,Y,,"Washington, DC"
36,Amvets,Y,N,N,N,N,,7187881792.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Published,103 President Street,Brooklyn,N,11231.0,http://www.amvets-ny.com,"For more than 60 years, we in AMVETS have taken to heart the credo of service set forth by our organizationâ€™s founding fathers. In so doing, we endeavor to provide our fellow veterans with the type of support they truly deserve. This outreach effort takes many forms, from the professional advice our service officers offer on earned veterans benefits to our legislative efforts on Capitol Hill to the work done by our hospital volunteers. Other AMVETS members involve themselves in a range of initiatives aimed at contributing to the quality of life in their local communities. 

These two areasâ€”veterans service and community serviceâ€”drive the commitment we have to make a difference in the lives of others. The pages of this website provide more detailed information on each area, as well as a wealth of information for veterans, their families and other interested citizens. Please take a few minutes to review what makes AMVETS the distinctive organization it is. Our aim of building for a better America is an undertaking to which all can contribute.","{'latitude': '40.683555', 'longitude': '-74.002708'}",BROOKLYN ,40.683555,-74.002708,6.0,39.0,51.0,3004465.0,3003420045.0,Carroll Gardens-Columbia Street-Red Hook                                   ,13514.0,14.0,2.0,27.0,48.0,N,,
37,National Latina Institute for Reproductive Health,Y,Y,Y,Y,Y,2124222556.0,2124222553.0,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,50 Broad Street - Suite 1825,New York,N,10004.0,http://www.latinainstitute.org,"The mission of NLIRH is to ensure the fundamental human right to reproductive health and justice for Latinas, their families and their communities through public education, community mobilization and policy advocacy.",,,,,,,,,,,,,,,,Y,,"1634 Eye Street, NW Suite 1001 , Washington DC "
38,Beth Israel Rape Crisis and Domestic Violence Intervention Program,N,N,Y,N,N,2124202012.0,2124204516.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,16th Street and First Avenue,New York,Y,10003.0,,"Provides counseling to individuals who have experienced trauma from sexual assualt, childhood sexual abuse, or intimate partner violence. Services are free and confidential. Program operates an anonymous helpline for Orthodox survivors of rape and incest.",,,,,,,,,,,,,,,,N,,
39,TOP Development Corporation,Y,N,N,N,N,7184515524.0,7184511020.0,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Published,1274 Utica Avenue,Brooklyn,N,11203.0,http://www.topdevelopment.org,"TOP DEVELOPMENT CORPORATION
""Working to build the Community for the New Millennium""

TOP Development is a non-profit organization that is committed to assisting individuals and families to improve their lives and strengthen their communities.  

We are committed to implementing programs, providing services and resources that will uplift, empower, motivate and equipped individuals to improve their quality of life.

For further information about our services and or workshop dates please contact us.","{'latitude': '40.641355', 'longitude': '-73.929282'}",BROOKLYN ,40.641355,-73.929282,17.0,45.0,840.0,3106175.0,3047800015.0,East Flatbush-Farragut                                                     ,16866.0,61.0,2.0,26.0,40.0,N,,
40,Kiwanis International,N,N,N,Y,N,7188680229.0,7188680229.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,2324 Healy Ave,Far Rockaway,,,http://www.kiwanis.org/,"Kiwanis is a global organization of volunteers dedicated to changing the world, one child and one community at a time.",,,,,,,,,,,,,,,,,,
41,OPUS Dance Theatre and Community Services Inc.,N,N,Y,N,N,,2129968413.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1405 5th Ave STE 2S,New York,,10029.0,,"The organization provides professional and rigorous training for young dancers in all dance forms, artistic development for professional dancers, and youth-focused outreach and education initiatives. ","{'latitude': '40.800187', 'longitude': '-73.946797'}",MANHATTAN,40.800187,-73.946797,11.0,9.0,184.0,1088766.0,1016217501.0,East Harlem North                                                          ,12426.0,7.0,4.0,36.0,16.0,,,
42,Women's Network for a Sustainable Future,N,N,Y,N,N,,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,New York,N,,http://www.wnsf.org,"Our mission is to mobilize businesswomen to support social responsibility and advance sustainable development by giving women in the workplace a voice in the sustainability debate.

 

WNSF believes that integrating responsible, sustainable practices throughout organizations is key to building sustainable enterprises and a sustainable future. That's why WNSF welcomes participation from women in all parts of business including marketing, communications, legal affairs, investor relations, human resources, finance, strategy, philanthropy, environment health and safety, and corporate citizenship",,,,,,,,,,,,,,,,N,,
43,Pride Senior Network,N,N,Y,N,N,6463366685.0,2126751936.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"132 W. 22nd Street, 4th Floor",New York,,,,,,,,,,,,,,,,,,,,,,
44,Samaritan Village - Veterans Program,N,N,Y,N,N,,7186576195.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Published,327 West 43rd Street,New York,,,http://www.samvill.org/index2.htm,Veterans Program,,,,,,,,,,,,,,,,,,
45,St. George's Society of New York,N,N,Y,N,N,2126823465.0,2126826110.0,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"216 East 45th Street, Suite 901",New York,,,http://www.stgeorgessociety.org,,,,,,,,,,,,,,,,,,,
46,"International Women's Tribune Centre, Inc.",N,N,Y,N,N,2126612704.0,2126878633.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"777 U.N. Plaza, 3rd Fl.",New York,,,http://www.iwtc.org/,,,,,,,,,,,,,,,,,,,
47,US Department of Commerce/Harlem US Export Assistance Center,Y,Y,Y,Y,N,2128606203.0,2128606200.0,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Published,"163 West 125th Street, Suite 901",New York,N,10027.0,http://www.Export.gov,US Government agency that assists US companies with exporting US-made goods and services overseas.,"{'latitude': '40.808644', 'longitude': '-73.947524'}",MANHATTAN,40.808644,-73.947524,10.0,9.0,222.0,1081602.0,1019100001.0,Central Harlem South                                                       ,12424.0,18.0,4.0,36.0,18.0,Y,,World Wide
48,NYC Commission on Human Rights,Y,Y,Y,Y,Y,,2126399675.0,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nyc.gov/html/cchr/home.html,"The New York City Human Rights Law is one of the most comprehensive civil rights laws in the nation. The Law prohibits discrimination in employment, housing and public accommodations based on race, color, creed, age, national origin, alienage or citizenship status, gender (including gender identity and sexual harassment), sexual orientation, disability, marital status, and partnership status. In addition, the Law affords protection against discrimination in employment based on arrest or conviction record and status as a victim of domestic violence, stalking and sex offenses. In housing, the Law affords additional protections based on lawful occupation, family status, and any lawful source of income. The City Human Rights Law also prohibits retaliation and bias-related harassment.",,,,,,,,,,,,,,,,N,,
49,The Maurer Foundation,Y,Y,Y,Y,Y,5165355895.0,5165355370.0,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,114 old country road,Mineola,N,10003.0,http://maurerfoundation.org,"Since 1995, The Maurer Foundation for Breast Health Education has been helping communities in the New York Metropolitan area conquer breast cancer. Through our breast health education programs, we champion early detection, risk reduction and healthy lifestyle choices. In order to reach a range of audiences, we offer 3 categories of programs: corporate, campus and community, and youth.",,,,,,,,,,,,,,,,Y,Suite 400,Long Island
50,Ryer Avenue Housing Development Fund Corporation,N,Y,N,N,N,7183290101.0,7183290600.0,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,2386 Ryer Avenue,Bronx,Y,10458.0,,Residential Housing Facility,"{'latitude': '40.859583', 'longitude': '-73.89796'}",BRONX    ,40.859583,-73.89796,5.0,15.0,23702.0,2013579.0,2031520007.0,Bedford Park-Fordham North                                                 ,10936.0,6.0,5.0,22.0,29.0,N,,
51,"Imeinu, Inc.",Y,N,N,N,N,,7182535364.0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,3815 Avenue P,Brooklyn,,11234.0,,"Transitional Independent Living Group Residence

Capacity: 7 females only","{'latitude': '40.617337', 'longitude': '-73.936994'}",BROOKLYN ,40.617337,-73.936994,18.0,45.0,648.0,3211944.0,3077000003.0,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,13825.0,5.0,2.0,26.0,38.0,,,
