,year,leading_cause,sex,race_ethnicity,deaths,death_rate,age_adjusted_death_rate
43,2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Other Race/ Ethnicity,10,.,.
44,2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",Male,Other Race/ Ethnicity,10,.,.
45,2014,Certain Conditions originating in the Perinatal Period (P00-P96),Male,Other Race/ Ethnicity,8,.,.
46,2014,Cerebrovascular Disease (Stroke: I60-I69),Male,Other Race/ Ethnicity,7,.,.
47,2014,All Other Causes,Male,Other Race/ Ethnicity,74,.,.
48,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Not Stated/Unknown,115,.,.
49,2014,Malignant Neoplasms (Cancer: C00-C97),Male,Not Stated/Unknown,73,.,.
50,2014,Certain Conditions originating in the Perinatal Period (P00-P96),Male,Not Stated/Unknown,25,.,.
51,2014,Chronic Lower Respiratory Diseases (J40-J47),Male,Not Stated/Unknown,14,.,.
52,2014,Influenza (Flu) and Pneumonia (J09-J18),Male,Not Stated/Unknown,14,.,.
53,2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Not Stated/Unknown,10,.,.
54,2014,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Not Stated/Unknown,9,.,.
55,2014,Septicemia (A40-A41),Male,Not Stated/Unknown,8,.,.
56,2014,Diabetes Mellitus (E10-E14),Male,Not Stated/Unknown,8,.,.
57,2014,Cerebrovascular Disease (Stroke: I60-I69),Male,Not Stated/Unknown,8,.,.
58,2014,All Other Causes,Male,Not Stated/Unknown,96,.,.
59,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Hispanic,1230,97.1,106.7
60,2014,Malignant Neoplasms (Cancer: C00-C97),Female,Hispanic,1154,91.1,97.4
61,2014,Cerebrovascular Disease (Stroke: I60-I69),Female,Hispanic,220,17.4,19
62,2014,Influenza (Flu) and Pneumonia (J09-J18),Female,Hispanic,218,17.2,18.8
63,2014,Diabetes Mellitus (E10-E14),Female,Hispanic,209,16.5,17.9
64,2014,Chronic Lower Respiratory Diseases (J40-J47),Female,Hispanic,193,15.2,16.8
65,2014,Alzheimer's Disease (G30),Female,Hispanic,142,11.2,12.5
66,2014,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Hispanic,116,9.2,10.1
67,2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",Female,Hispanic,66,5.2,5.4
68,2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",Male,Hispanic,164,13.7,16.7
69,2014,Diabetes Mellitus (E10-E14),Male,Hispanic,186,15.6,23.2
70,2014,All Other Causes,Female,Hispanic,1135,89.6,96
71,2014,Malignant Neoplasms (Cancer: C00-C97),Female,Asian and Pacific Islander,502,80.2,80.6
72,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Asian and Pacific Islander,462,73.8,81.1
73,2014,Cerebrovascular Disease (Stroke: I60-I69),Female,Asian and Pacific Islander,112,17.9,19.1
74,2014,Influenza (Flu) and Pneumonia (J09-J18),Female,Asian and Pacific Islander,80,12.8,14.1
75,2014,Diabetes Mellitus (E10-E14),Female,Asian and Pacific Islander,50,8,8.5
76,2014,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Asian and Pacific Islander,42,6.7,6.9
77,2014,Chronic Lower Respiratory Diseases (J40-J47),Female,Asian and Pacific Islander,36,5.8,6.3
78,2014,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Asian and Pacific Islander,29,4.6,5.1
79,2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Female,Asian and Pacific Islander,28,4.5,4.2
80,2014,Alzheimer's Disease (G30),Female,Asian and Pacific Islander,26,4.2,4.7
81,2014,All Other Causes,Female,Asian and Pacific Islander,339,54.2,59
82,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,White Non-Hispanic,4507,318,161
83,2014,Malignant Neoplasms (Cancer: C00-C97),Female,White Non-Hispanic,3153,222.5,150.2
84,2014,Influenza (Flu) and Pneumonia (J09-J18),Female,White Non-Hispanic,563,39.7,20.4
85,2014,Chronic Lower Respiratory Diseases (J40-J47),Female,White Non-Hispanic,515,36.3,21
86,2014,Cerebrovascular Disease (Stroke: I60-I69),Female,White Non-Hispanic,418,29.5,15.6
87,2014,Alzheimer's Disease (G30),Female,White Non-Hispanic,276,19.5,8.6
88,2014,Diabetes Mellitus (E10-E14),Female,White Non-Hispanic,228,16.1,10
89,2014,"Essential Hypertension and Renal Diseases (I10, I12)",Female,White Non-Hispanic,180,12.7,6.7
90,2014,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,White Non-Hispanic,169,11.9,7.4
91,2014,Septicemia (A40-A41),Female,White Non-Hispanic,118,8.3,4.7
92,2014,All Other Causes,Female,White Non-Hispanic,2578,181.9,110.7
93,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Black Non-Hispanic,2194,209.1,169.1
94,2014,Malignant Neoplasms (Cancer: C00-C97),Female,Black Non-Hispanic,1852,176.5,148.4
95,2014,Diabetes Mellitus (E10-E14),Female,Black Non-Hispanic,398,37.9,31.6
96,2014,Cerebrovascular Disease (Stroke: I60-I69),Female,Black Non-Hispanic,274,26.1,21.4
97,2014,Influenza (Flu) and Pneumonia (J09-J18),Female,Black Non-Hispanic,266,25.3,20.6
98,2014,Chronic Lower Respiratory Diseases (J40-J47),Female,Black Non-Hispanic,220,21,17.9
99,2014,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Black Non-Hispanic,207,19.7,15.9
100,2014,Alzheimer's Disease (G30),Female,Black Non-Hispanic,123,11.7,9.2
101,2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),Female,Black Non-Hispanic,102,9.7,8.5
102,2014,"Nephritis, Nephrotic Syndrome and Nephrosis (N00-N07, N17-N19, N25-N27)",Female,Black Non-Hispanic,90,8.6,7.1
103,2014,All Other Causes,Female,Black Non-Hispanic,1536,146.4,126.4
104,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Other Race/ Ethnicity,68,.,.
105,2014,Malignant Neoplasms (Cancer: C00-C97),Female,Other Race/ Ethnicity,66,.,.
106,2014,Diabetes Mellitus (E10-E14),Female,Other Race/ Ethnicity,11,.,.
107,2014,Influenza (Flu) and Pneumonia (J09-J18),Female,Other Race/ Ethnicity,9,.,.
108,2014,Cerebrovascular Disease (Stroke: I60-I69),Female,Other Race/ Ethnicity,8,.,.
109,2014,Chronic Lower Respiratory Diseases (J40-J47),Female,Other Race/ Ethnicity,6,.,.
110,2014,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Other Race/ Ethnicity,6,.,.
111,2014,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Female,Other Race/ Ethnicity,5,.,.
112,2014,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Other Race/ Ethnicity,.,.,.
113,2014,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",Female,Other Race/ Ethnicity,.,.,.
114,2014,All Other Causes,Female,Other Race/ Ethnicity,59,.,.
115,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Not Stated/Unknown,95,.,.
116,2014,Malignant Neoplasms (Cancer: C00-C97),Female,Not Stated/Unknown,50,.,.
117,2014,Chronic Lower Respiratory Diseases (J40-J47),Female,Not Stated/Unknown,12,.,.
118,2014,Influenza (Flu) and Pneumonia (J09-J18),Female,Not Stated/Unknown,11,.,.
119,2014,Cerebrovascular Disease (Stroke: I60-I69),Female,Not Stated/Unknown,10,.,.
120,2014,Certain Conditions originating in the Perinatal Period (P00-P96),Female,Not Stated/Unknown,10,.,.
121,2014,Diabetes Mellitus (E10-E14),Female,Not Stated/Unknown,9,.,.
122,2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),Female,Not Stated/Unknown,7,.,.
123,2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Not Stated/Unknown,6,.,.
124,2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",Female,Not Stated/Unknown,.,.,.
125,2014,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Not Stated/Unknown,.,.,.
126,2014,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Not Stated/Unknown,.,.,.
127,2014,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",Female,Not Stated/Unknown,.,.,.
128,2014,Alzheimer's Disease (G30),Female,Not Stated/Unknown,.,.,.
129,2014,All Other Causes,Female,Not Stated/Unknown,48,.,.
130,2014,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Hispanic,191,16,16.6
131,2014,Influenza (Flu) and Pneumonia (J09-J18),Male,Hispanic,199,16.7,26.6
132,2014,Malignant Neoplasms (Cancer: C00-C97),Male,Hispanic,1146,96,143.5
133,2014,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Hispanic,64,5.1,5.4
134,2014,Chronic Lower Respiratory Diseases (J40-J47),Male,Hispanic,145,12.1,19.3
135,2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Hispanic,92,7.7,8.7
136,2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Hispanic,1281,107.3,170.5
137,2014,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Hispanic,176,14.7,16.9
138,2014,Cerebrovascular Disease (Stroke: I60-I69),Male,Hispanic,165,13.8,20.4
139,2013,Diabetes Mellitus (E10-E14),Male,Hispanic,192,16.3,24.9
140,2013,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Hispanic,189,16,19
141,2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Hispanic,188,15.9,16.6
142,2013,Cerebrovascular Disease (Stroke: I60-I69),Male,Hispanic,158,13.4,20.8
143,2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",Male,Hispanic,149,12.6,15.7
144,2013,Chronic Lower Respiratory Diseases (J40-J47),Male,Hispanic,142,12,20
145,2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Hispanic,122,10.3,11.3
146,2013,All Other Causes,Male,Hispanic,1193,101,146.4
147,2013,Malignant Neoplasms (Cancer: C00-C97),Male,Asian and Pacific Islander,633,114.2,130.9
148,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Asian and Pacific Islander,531,95.8,123.7
149,2013,Influenza (Flu) and Pneumonia (J09-J18),Male,Asian and Pacific Islander,102,18.4,26.8
150,2013,Diabetes Mellitus (E10-E14),Male,Asian and Pacific Islander,96,17.3,21.1
151,2013,Chronic Lower Respiratory Diseases (J40-J47),Male,Asian and Pacific Islander,72,13,18.5
152,2013,Cerebrovascular Disease (Stroke: I60-I69),Male,Asian and Pacific Islander,71,12.8,16.1
153,2013,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Asian and Pacific Islander,63,11.4,12.8
154,2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Male,Asian and Pacific Islander,41,7.4,7.2
155,2013,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Asian and Pacific Islander,33,6,8.4
156,2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",Male,Asian and Pacific Islander,29,5.2,5.4
157,2013,All Other Causes,Male,Asian and Pacific Islander,395,71.3,89.8
158,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,White Non-Hispanic,4085,303.5,244.3
159,2013,Malignant Neoplasms (Cancer: C00-C97),Male,White Non-Hispanic,3132,232.7,194.5
160,2013,Influenza (Flu) and Pneumonia (J09-J18),Male,White Non-Hispanic,618,45.9,36.7
161,2013,Chronic Lower Respiratory Diseases (J40-J47),Male,White Non-Hispanic,437,32.5,26.4
162,2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,White Non-Hispanic,286,21.2,19.5
163,2013,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,White Non-Hispanic,271,20.1,17.9
164,2013,Diabetes Mellitus (E10-E14),Male,White Non-Hispanic,265,19.7,16.4
165,2013,Cerebrovascular Disease (Stroke: I60-I69),Male,White Non-Hispanic,249,18.5,15.1
166,2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Male,White Non-Hispanic,204,15.2,13.6
167,2013,"Essential Hypertension and Renal Diseases (I10, I12)",Male,White Non-Hispanic,156,11.6,9.3
168,2013,All Other Causes,Male,White Non-Hispanic,2293,170.3,143.3
169,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Black Non-Hispanic,1868,217.7,258.5
170,2013,Malignant Neoplasms (Cancer: C00-C97),Male,Black Non-Hispanic,1592,185.5,212.8
171,2013,Diabetes Mellitus (E10-E14),Male,Black Non-Hispanic,300,35,41.1
172,2013,Influenza (Flu) and Pneumonia (J09-J18),Male,Black Non-Hispanic,274,31.9,40
173,2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Black Non-Hispanic,204,23.8,23.2
174,2013,Cerebrovascular Disease (Stroke: I60-I69),Male,Black Non-Hispanic,191,22.3,25
175,2013,Chronic Lower Respiratory Diseases (J40-J47),Male,Black Non-Hispanic,184,21.4,26.1
176,2013,"Assault (Homicide: Y87.1, X85-Y09)",Male,Black Non-Hispanic,174,20.3,20.6
177,2013,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Black Non-Hispanic,159,18.5,19.1
178,2013,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Black Non-Hispanic,148,17.2,20.9
179,2013,All Other Causes,Male,Black Non-Hispanic,1341,156.3,175.7
180,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Other Race/ Ethnicity,72,.,.
181,2013,Malignant Neoplasms (Cancer: C00-C97),Male,Other Race/ Ethnicity,32,.,.
182,2013,Diabetes Mellitus (E10-E14),Male,Other Race/ Ethnicity,17,.,.
183,2013,Cerebrovascular Disease (Stroke: I60-I69),Male,Other Race/ Ethnicity,10,.,.
184,2013,Influenza (Flu) and Pneumonia (J09-J18),Male,Other Race/ Ethnicity,8,.,.
185,2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Male,Other Race/ Ethnicity,6,.,.
186,2013,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Other Race/ Ethnicity,5,.,.
187,2013,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Other Race/ Ethnicity,5,.,.
188,2013,Chronic Lower Respiratory Diseases (J40-J47),Male,Other Race/ Ethnicity,.,.,.
189,2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",Male,Other Race/ Ethnicity,.,.,.
190,2013,Alzheimer's Disease (G30),Male,Other Race/ Ethnicity,.,.,.
191,2013,All Other Causes,Male,Other Race/ Ethnicity,42,.,.
192,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Not Stated/Unknown,151,.,.
193,2013,Malignant Neoplasms (Cancer: C00-C97),Male,Not Stated/Unknown,99,.,.
194,2013,Certain Conditions originating in the Perinatal Period (P00-P96),Male,Not Stated/Unknown,25,.,.
195,2013,Influenza (Flu) and Pneumonia (J09-J18),Male,Not Stated/Unknown,24,.,.
196,2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Not Stated/Unknown,21,.,.
197,2013,Diabetes Mellitus (E10-E14),Male,Not Stated/Unknown,19,.,.
198,2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Male,Not Stated/Unknown,17,.,.
199,2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",Male,Not Stated/Unknown,16,.,.
200,2013,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Not Stated/Unknown,15,.,.
201,2013,Chronic Lower Respiratory Diseases (J40-J47),Male,Not Stated/Unknown,15,.,.
202,2013,All Other Causes,Male,Not Stated/Unknown,139,.,.
203,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Hispanic,1261,101,113.6
204,2013,Malignant Neoplasms (Cancer: C00-C97),Female,Hispanic,1149,92.1,99.9
205,2013,Cerebrovascular Disease (Stroke: I60-I69),Female,Hispanic,222,17.8,19.8
206,2013,Diabetes Mellitus (E10-E14),Female,Hispanic,221,17.7,19.6
207,2013,Influenza (Flu) and Pneumonia (J09-J18),Female,Hispanic,204,16.3,18.5
208,2013,Chronic Lower Respiratory Diseases (J40-J47),Female,Hispanic,168,13.5,14.8
209,2013,Alzheimer's Disease (G30),Female,Hispanic,120,9.6,11
210,2013,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Hispanic,103,8.3,9.3
211,2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Hispanic,63,5,4.9
212,2013,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Hispanic,60,4.8,5.1
213,2013,All Other Causes,Female,Hispanic,1082,86.7,94
214,2013,Malignant Neoplasms (Cancer: C00-C97),Female,Asian and Pacific Islander,467,77.8,79.6
215,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Asian and Pacific Islander,437,72.8,81.8
216,2013,Cerebrovascular Disease (Stroke: I60-I69),Female,Asian and Pacific Islander,80,13.3,14.4
217,2013,Influenza (Flu) and Pneumonia (J09-J18),Female,Asian and Pacific Islander,78,13,14.6
218,2013,Diabetes Mellitus (E10-E14),Female,Asian and Pacific Islander,60,10,10.9
219,2013,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Asian and Pacific Islander,50,8.3,9.3
220,2013,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Asian and Pacific Islander,35,5.8,6.3
221,2013,Chronic Lower Respiratory Diseases (J40-J47),Female,Asian and Pacific Islander,27,4.5,5.2
222,2013,Septicemia (A40-A41),Female,Asian and Pacific Islander,16,2.7,2.9
223,2013,Viral Hepatitis (B15-B19),Female,Asian and Pacific Islander,15,2.5,2.5
224,2013,All Other Causes,Female,Asian and Pacific Islander,320,53.3,59
225,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,White Non-Hispanic,4535,319,160.6
226,2013,Malignant Neoplasms (Cancer: C00-C97),Female,White Non-Hispanic,3187,224.2,153.3
227,2013,Influenza (Flu) and Pneumonia (J09-J18),Female,White Non-Hispanic,622,43.7,22.1
228,2013,Chronic Lower Respiratory Diseases (J40-J47),Female,White Non-Hispanic,521,36.6,21.6
229,2013,Cerebrovascular Disease (Stroke: I60-I69),Female,White Non-Hispanic,427,30,16.4
230,2013,Alzheimer's Disease (G30),Female,White Non-Hispanic,263,18.5,8.4
231,2013,Diabetes Mellitus (E10-E14),Female,White Non-Hispanic,238,16.7,10.4
232,2013,"Essential Hypertension and Renal Diseases (I10, I12)",Female,White Non-Hispanic,206,14.5,7.5
233,2013,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,White Non-Hispanic,166,11.7,8.1
234,2013,Septicemia (A40-A41),Female,White Non-Hispanic,135,9.5,5
235,2013,All Other Causes,Female,White Non-Hispanic,2595,182.5,111.1
236,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Black Non-Hispanic,2365,226.4,187.3
237,2013,Malignant Neoplasms (Cancer: C00-C97),Female,Black Non-Hispanic,1784,170.8,145.5
238,2013,Diabetes Mellitus (E10-E14),Female,Black Non-Hispanic,410,39.3,33.1
239,2013,Influenza (Flu) and Pneumonia (J09-J18),Female,Black Non-Hispanic,285,27.3,22.5
240,2013,Cerebrovascular Disease (Stroke: I60-I69),Female,Black Non-Hispanic,271,25.9,21.7
241,2013,Chronic Lower Respiratory Diseases (J40-J47),Female,Black Non-Hispanic,258,24.7,20.8
242,2013,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Black Non-Hispanic,240,23,18.9
243,2013,Human Immunodeficiency Virus Disease (HIV: B20-B24),Female,Black Non-Hispanic,107,10.2,8.7
244,2013,Alzheimer's Disease (G30),Female,Black Non-Hispanic,106,10.1,8
245,2013,"Nephritis, Nephrotic Syndrome and Nephrosis (N00-N07, N17-N19, N25-N27)",Female,Black Non-Hispanic,93,8.9,7.6
246,2013,All Other Causes,Female,Black Non-Hispanic,1557,149.1,129.5
247,2013,Malignant Neoplasms (Cancer: C00-C97),Female,Other Race/ Ethnicity,43,.,.
248,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Other Race/ Ethnicity,41,.,.
249,2013,Diabetes Mellitus (E10-E14),Female,Other Race/ Ethnicity,10,.,.
250,2013,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Other Race/ Ethnicity,8,.,.
251,2013,Cerebrovascular Disease (Stroke: I60-I69),Female,Other Race/ Ethnicity,7,.,.
252,2013,Influenza (Flu) and Pneumonia (J09-J18),Female,Other Race/ Ethnicity,6,.,.
253,2013,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Female,Other Race/ Ethnicity,5,.,.
254,2013,"Nephritis, Nephrotic Syndrome and Nephrosis (N00-N07, N17-N19, N25-N27)",Female,Other Race/ Ethnicity,.,.,.
255,2013,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Other Race/ Ethnicity,.,.,.
256,2013,Certain Conditions originating in the Perinatal Period (P00-P96),Female,Other Race/ Ethnicity,.,.,.
257,2013,All Other Causes,Female,Other Race/ Ethnicity,39,.,.
258,2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Not Stated/Unknown,106,.,.
259,2013,Malignant Neoplasms (Cancer: C00-C97),Female,Not Stated/Unknown,94,.,.
260,2013,Influenza (Flu) and Pneumonia (J09-J18),Female,Not Stated/Unknown,18,.,.
261,2013,Diabetes Mellitus (E10-E14),Female,Not Stated/Unknown,15,.,.
262,2013,Cerebrovascular Disease (Stroke: I60-I69),Female,Not Stated/Unknown,14,.,.
263,2013,Chronic Lower Respiratory Diseases (J40-J47),Female,Not Stated/Unknown,9,.,.
264,2013,Certain Conditions originating in the Perinatal Period (P00-P96),Female,Not Stated/Unknown,9,.,.
265,2013,Alzheimer's Disease (G30),Female,Not Stated/Unknown,8,.,.
266,2013,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Not Stated/Unknown,7,.,.
267,2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Not Stated/Unknown,6,.,.
268,2013,All Other Causes,Female,Not Stated/Unknown,79,.,.
269,2013,Malignant Neoplasms (Cancer: C00-C97),Male,Hispanic,1146,97.1,148.5
