,service_area,service_description
14,Parenting Services,"Parenting Services consist of services that provide specialized support for individuals caring for dependents. Parenting Services often include counseling, home-based assessments and support, and guidance on parent-child relationships. Examples include Home Visiting and Parental Counseling."
15,Outreach,"Outreach consists of planned activities designed to bring the existing service delivery system to a defined population or program participants in a designated area. Outreach services are intended to engage or assess individuals potentially in need and provide information or linkages to community-based services. Examples include Street Outreach, Enrollment and Recruitment, Individual Client Outreach (such as Friendly Visiting or Individual Crisis Intervention), Materials Design and Development (such as distribution of informational pamphlets about programs), and Soliciting Referral Options (such as creating a resource directory)."
16,Nursing,"Nursing consists of services provided by accredited nurses to promote health, the prevention of illness, and the care of clients with diseases, disabilities, or terminal illness. Examples include Nurse-Family Programming, Nursing Home, Hospital-based Nursing Services and Home-based Nursing Services."
17,Non-secure Placement,"Non-secure Placement consists of an alternative to secure detention that provides structured residential care in a less restrictive setting. Non-secure Placement provides juvenile clients with close supervision in a family-like supportive environment when they have been remanded to ACS custody, are awaiting disposition of court cases, or other reasons for requiring supervision. Examples include Foster Care Group Homes and Non-secure Detention for Juvenile Offenders."
18,Mental Health Services,"Mental Health Services consists of services to support the diagnosis, treatment, and prevention of mental disease and illness by means of psychiatric or psychological services and education, care coordination, rehabilitation, supportive housing services, advocacy, and other supports provided by a psychiatrist, psychologist, registered nurse, nurse practitioner, social worker, mental health aide or peer. Examples include Psychiatric Treatment Services and Psychological Treatment Services, including Anger Management, Applied Behavioral Analysis, Behavioral Counseling and Clinical Counseling."
19,Medication Management,"Medication Management consists of services to administer, regulate, order, dispense, deliver and store medications, often in a pharmacy setting, in accordance with state laws. Examples include Treatment Management and Prescription Management."
20,Literacy,"Literacy consists of services to provide clients with reading, writing, speaking, and math skills that are critical to academic achievement and/or career development. Examples include Adult Basic Education, Literacy Classes, and Math Courses."
21,Life Skills,"Life Skills consist of socialization and educational services to provide social, financial, interpersonal, and activities of daily living training that help individuals achieve self-sufficiency, contribute to the community, make informed decisions, and establish healthy relationships with others. Examples include Financial Literacy, Independent Living Skills, Leadership Development, Mentoring and Parenting Skills."
22,Legal Services,"Legal Services consist of work performed by legal professionals and may include processing paperwork and documentation, court-based services, representation, or other services to assist with legal matters on behalf of a client and his/her needs. Legal Services may include advocacy services to ensure that clients are aware of rights and entitlements for which they are eligible. Examples include Citizenship Assistance, Legal Mediation and Legal Representation."
23,Language Skills,"Language Skills consists of services to provide educational programming to facilitate the acquisition of language skills. Language Skills services are often provided to clients with limited native language literacy and limited proficiency in speaking, reading and writing English. Language Skills services may also help clients develop basic reading and writing skills in their native language in addition to English. Examples include English as a Second Language (ESL) courses, English for Speakers of Other Languages (ESOL) courses and Basic Education in Native Language (BENL) courses."
24,Job/Vocational Training,"Job/Vocational Training consists of services to develop or enhance skills needed to meet the hiring requirements of industries/employers and participate in the workforce. Job/Vocational Training may be provided to obtain specific credentials or more general skill sets. Examples include Credential Based Training, Customized Training, Entrepreneurial Training, On-the-Job Training and Sheltered Workshops."
25,Job Placement Services,"Job Placement Services provide clients with access to job placements that will allow clients to participate in the workforce immediately or following appropriate assessment or training. Job Placement types range, including direct employment, post-secondary education, or vocational training. Services may also include building relationships with placement providing organizations, conducting job searches and matching for clients and working with clients to understand workforce interests and goals. Successful placements allow clients to enhance their career options and workforce participation. Examples include Career Exploration, Employer Recruitment, Internship, Job Search, Job Matching, Placement Development, Post Placement Support/Retention Services, Transitional Employment and Volunteering."
26,Interpretation,"Interpretation consists of the verbal rendering from one language to another to facilitate communication and reduce language barriers in the delivery of services. Interpretation Services may include providing live daytime and evening interpretation services at service locations, including health-related meetings, forums and hearings. Examples include Language Bank and Medical Appointment Accompaniment by an Interpreter."
27,Housing,"Housing consists of longer-term or permanent residential placement for individuals in need. Housing may include supportive services, such as medical services, case management, and other services that promote self-sufficiency and enable special needs populations to live as independently as possible in a permanent setting. Examples include Supportive Housing, Supported Housing, NORC, Senior Housing, HIV/AIDS Housing, MICA Housing, and other long-term or permanent housing and residential services."
28,Housekeeping,"Housekeeping consists of services to maintain a safe and clean abode for clients. Housekeeping providers often offer cleaning services for homebound clients on a regular basis, such as weekly or daily. Housekeeping may also be provided on a one-time basis. Services are often provided to individuals who are unable to independently perform household chores and activities. Examples include Heavy-Duty Housekeeping and Light/Daily Housekeeping."
29,Homemaking Services,"Homemaking Services consist of services to provide parents and guardians with teaching and training in appropriate childcare, parenting, and household management responsibilities. Examples include Home-based Assessment and Household Management Training."
30,Homelessness Prevention,"Homelessness Prevention consists of using risk factors to target households at risk of shelter entry and addressing the emergency housing crisis with services that help the clients avoid homelessness. Homelessness Prevention services are provided to assist clients in achieving long-term housing stability. Examples include Eviction Prevention, Housing Financial Assistance (including Tenant-Based Rental Assistance, Emergency Rental Assistance, and Start-Up Rental Assistance), and Housing Identification and Placement."
31,Home Attendant Services,"Home Attendant Services consist of home-based personal care to stabilize clients who have exceptional needs and/or are in exceptional circumstances so they can remain safely at home, maintain a degree of independence, and/or avoid being institutionalized. Home attendants may be responsible for assisting clients with physical, mental, social, behavioral and/or environmental problems by supporting activities of daily living. Examples include Personal Care, Feeding, Ambulation Assistance, Bathing, Personal Grooming, Dressing, Marketing, Laundry, Meal Preparation, and Errands."
32,Health Education and Supports,"Health Education and Supports consist of information and guidance in areas that affect community health. Examples include Health Care Access Services, Health Promotion, and Nutrition Education and Counseling."
33,Foster Care Services,"Foster Care Services consist of services that provide placement and support to families and children/dependent individuals in the foster care system. Foster Care Services providers often maintain regular contact with dependent individuals, assess the quality of the relationship between parents and dependent individuals, and monitor safety. Foster Care Services also include supportive services for youth transitioning out of foster care. Examples include Foster Care Placement, including Family-Based (General, Specialized, and Treatment) and Residential, Foster Family Recruitment, including General and Special Needs, and Transitional Living Skills."
34,Food and Nutrition,"Food and Nutrition services consists of services to provide meals and/or nutrition information to promote health and well-being. Food Services may be offered at program locations or in clients homes. Examples include Catering, Delivery, Meal Preparation, Nutrition and Menu Planning, and Pantry."
35,Financial Counseling,"Financial Counseling consists of services to provide information on personal finance management to promote self-sufficiency through management of personal funds. Examples include Client Fiscal Management, Home Finance Management, Debt Counseling, Foreclosure Prevention, and Small Business Financing Counseling."
36,Family Planning,"Family Planning consists of services in areas of contraception, healthy pregnancy, pregnancy options, and making choices about having children to promote development of healthy families. Examples include Reproductive Health Services and Emergency Contraception."
37,Facility Management,"Facility Management consists of the coordination of the physical facility with the people who work and/or live there. Facility Management may include the maintenance and oversight of all aspects of a building, including its structural integrity and operational capacity. Examples include Accessibility Services (such as Assistive Technologies, Home Modification, and Vehicular Modification), Buildout/Facility Development, Property Management, Facility Operations, and Weatherization and Repairs."
38,Environmental Health,"Environmental Health consists of services to provide for the prevention and control of environmental health risks such as disease, animal, food-borne or other risks to public health. Examples include Environmental Health Control (such as Extermination), Epidemiology, Environmental Health Inspections, and Prevention (such as providing hand sanitizer in public venues)."
39,Entitlements Assistance,"Entitlements Assistance consists of Case Management services to help clients to obtain benefits, entitlements and help them to meet financial obligations or avoid crises. Entitlements Assistance may include help obtaining unemployment benefits, health and disability insurance, food assistance, veterans' benefits, SSI/SSD, and other forms of public assistance. Examples include Public Health Insurance Enrollment, Public Assistance Eligibility Screenings, and Benefits Advocacy."
40,Emergency Treatment,"Emergency Treatment consists of services provided to clients in need of emergency acute medical care. Emergency Treatment involves triage, patient stabilization and appropriate transfer of client to the next care setting. Examples include Hospital Emergency Room, Urgent Care Center, and Emergency Walk-In Clinic."
41,Emergency Preparedness and Response,"Emergency Preparedness and Response consists of services to provide outreach, engagement, and support in response to or in preparation for major events, including traumatic life events, disasters, and emergencies (natural or man-made). Examples include Crisis Counseling, Emergency Planning Courses and Disaster Relief Services."
42,Drop-In Center,Drop-in Center consists of a day-only service hub where street homeless and those at risk can receive case management and referrals to temporary emergency shelter in a safe environment. Examples include Homeless Reception Centers and Walk-in Personal Care Services.
43,Disease Control,"Disease Control consists of services to prevent, detect and stop the progress of diseases affecting the general or specific populations. Disease Control services may include immunizations, testing and information. Examples include Disease Prevention services and Testing."
44,Discharge/Re-Entry,"Discharge/Re-Entry consists of services to help people who have been released from a correctional facility make a successful transition to living in the community. Services may include an assessment of client needs and short-term case management, including coordination of needed services, including housing location assistance, job training, job placement and retention services, legal assistance, literacy skills development, GED courses, parenting classes, life skills training, access to food and shelter resources, and other support services. Examples include Transition Planning, Ex-Offenders Case Management and Family Reunification."
45,Diploma/HSE Training,Diploma/HSE Training consists of services to assist in the preparation for registering and completing the New York State High School Equivalency (HSE) examination. Diploma/HSE Training may include preparatory classes and assistance in scheduling the examination. Examples include HSE Classes and Individual HSE Preparation.
46,Diploma/GED Training,Diploma/GED Training consists of services to assist in the preparation for registering for and completing the New York State High School Equivalency examination. Diploma/GED Training may include preparatory classes and assistance in scheduling the examination. Examples include GED Classes and Individual GED Preparation.
47,Diagnostic Testing,"Diagnostic Testing consists of services provided to obtain objective evidence of the presence of a condition and determine diagnosis. Examples include HIV/AIDS Testing, Mental Health Assessment, and Hearing Testing."
48,Dental Services,"Dental Services consist of preventive and clinical dentistry services provided by dentists, dental hygienists and technicians to prevent and treat oral disease and injury. Examples include Dental Cleaning, Examination, and Treatment."
49,Court Appointed Guardian Services,"Court Appointed Guardian Services consists of services to assign an individual or institution authorized by a court to manage the personal and/or financial affairs of a person who cannot manage for himself or herself because of incapacity. Court Appointed Guardian Services also consist of monitoring and overseeing the services provided. Court Appointed Guardian Services may prevent financial exploitation and help individuals maintain financial health. Examples include Adult Protective Services, Community Court Appointed Guardian Services and Private Court Appointed Guardian Services."
50,Conflict Resolution/Mediation,"Conflict Resolution/Mediation consists of services to provide methods of negotiation and objective intervention to resolve social disputes. Conflict Resolution/Mediation may include assistance with disputes in areas of landlord-tenant conflicts, family-related matters, and workplace disputes. Examples include Group Conflict Resolution/Mediation and Single/Interpersonal Conflict Resolution/Mediation."
51,Community Engagement,"Community Engagement consists of the facilitation and oversight of clients' meaningful participation in community processes and programs to provide enrichment, socialization, and development. Community Engagement may include projects to support local community spaces, including park revitalization and green spaces, and enables clients to become active and engaged members of their community. Examples include Civic Engagement and Community Service opportunities."
52,Child Support Enforcement,"Child Support Enforcement consists of services to ensure that children receive financial and medical support from both parents. Services may include establishing paternity; locating noncustodial parents; establishing child support and medical support orders; and collecting, distributing, and enforcing child support payments. Examples also include programs to assist noncustodial parents in managing their child support obligation."
53,Child Care,"Child Care consists of services to provide supervision to children and promote family well being by allowing parents to maintain employment, supporting protective, foster care, and preventive services, and serving families that are homeless or need child care for medical or social reasons. Child Care services may also include educational programming and family support. Examples include Day Care, Family Day Care, Head Start, Pre-Kindergarten and Children's Room in a Service Location."
54,Case Management,"Case Management consists of services to help persons and families achieve or maintain optimum social, psychological, and physical functioning by planning, securing, coordinating, and monitoring services from different organizations and personnel on behalf of those served. Case Management may include services to establish and maintain client engagement in needed services. Services may also include client team communications to facilitate the exchange of information between two or more parties in relation to the status of or service delivery to a client. Examples include Advocacy (Community and Individual), Aftercare, Case Assistance, Case Conferencing, Client Evaluation/Assessment, Client Monitoring, Client Referrals, Counseling, Crisis Intervention/Management, Diversion Services, Intake, Safety Planning, Service/Care Planning and Transition/Discharge Planning."
55,Caregiver Support,"Caregiver Support Services consist of supportive counseling and assistance provided to help individuals who care for a family member or loved one who has physical, mental, or developmental issues. Examples include Caregiver Support Group and Caregiver Counseling."
56,Alternative Justice Management,"Alternative Justice Management consists of services to provide alternatives to incarceration for individuals involved in the adult or juvenile justice system. Alternative Justice Management may include the formal supervision of offenders released conditionally on probation or parole or confined to their homes or other venues in the community. Services may also provide the option of participating in counseling, educational or work programs as an alternative to incarceration in a correctional facility, payment of a fine or other sanctions. Examples include Community Service Management, Parole Management, Probation Management, Alternative Placement, and Alternatives to Incarceration."
57,Adoption Services,"Adoption Services consist of services to provide information, counseling, and support to birth parents, children, youth, and prospective adoptive parents to facilitate permanent caring relationships for children within families. Adoption services also provide support to birth parents, adopted individuals, and adoptive parents after an adoption has been finalized. Examples include Family Finding and Post Adoption Support."
58,Academic Supports,"Academic Supports consist of education and enrichment to promote academic performance and advancement. Examples include Academic Counseling, Academic Engagement, Continuing Education/Lifelong Learning, Educational Neglect Prevention, Homework Help, Post-Secondary/College Awareness, Project Based Learning, Truancy Prevention and Tutoring."
