,providertype,dfta_id,contractyear,sponsorname,programname,serviceid,servicename,reportedmonth,reportedunits
17,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Aug 2019,661
18,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHCL,MH THERA CLINICAL,Jul 2019,212
19,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHCL,MH THERA CLINICAL,Aug 2019,123
20,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHCL,MH THERA CLINICAL,Jul 2019,85
21,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHSC,MH SCREENINGS,Jul 2019,18
22,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,NONE,EQUIPMENT-IMPROVEMENT,Aug 2019,0
23,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Sep 2019,0
24,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHSC,MH SCREENINGS,Sep 2019,37
25,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Jul 2019,0
26,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Sep 2019,107
27,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,NONE,EQUIPMENT-IMPROVEMENT,Sep 2019,0
28,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,NONE,EQUIPMENT-IMPROVEMENT,Jul 2019,0
29,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Aug 2019,0
30,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Aug 2019,81
31,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Jul 2019,51
32,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,PYMT,ONE TIME PAYMENT,Jul 2019,0
33,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHSC,MH SCREENINGS,Aug 2019,56
34,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHSC,MH SCREENINGS,Aug 2019,18
35,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,NONE,EQUIPMENT-IMPROVEMENT,Aug 2019,0
36,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHSC,MH SCREENINGS,Aug 2019,0
37,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Sep 2019,751
38,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Aug 2019,124
39,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHSC,MH SCREENINGS,Oct 2019,18
40,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHSC,MH SCREENINGS,Jul 2019,12
41,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Sep 2019,11
42,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHSC,MH SCREENINGS,Oct 2019,55
43,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,PYMT,ONE TIME PAYMENT,Oct 2019,0
44,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Sep 2019,50
45,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,PYMT,ONE TIME PAYMENT,Jul 2019,0
46,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,NONE,EQUIPMENT-IMPROVEMENT,Aug 2019,0
47,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHSC,MH SCREENINGS,Aug 2019,21
48,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Oct 2019,26
49,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,PYMT,ONE TIME PAYMENT,Sep 2019,0
50,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHCL,MH THERA CLINICAL,Jul 2019,116
51,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHCL,MH THERA CLINICAL,Oct 2019,119
52,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHSC,MH SCREENINGS,Oct 2019,18
53,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHCL,MH THERA CLINICAL,Oct 2019,195
54,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Oct 2019,610
55,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHCL,MH THERA CLINICAL,Aug 2019,130
56,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Oct 2019,17
57,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,NONE,EQUIPMENT-IMPROVEMENT,Oct 2019,0
58,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Oct 2019,80
59,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHCL,MH THERA CLINICAL,Sep 2019,192
60,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Jul 2019,99
61,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Sep 2019,5
62,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Jul 2019,28
63,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHSC,MH SCREENINGS,Sep 2019,17
64,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHSC,MH SCREENINGS,Sep 2019,18
65,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Oct 2019,1
66,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,NONE,EQUIPMENT-IMPROVEMENT,Jul 2019,0
67,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Sep 2019,73
68,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHCL,MH THERA CLINICAL,Sep 2019,117
69,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,NONE,EQUIPMENT-IMPROVEMENT,Sep 2019,0
70,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Oct 2019,2
71,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,PYMT,ONE TIME PAYMENT,Aug 2019,0
72,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,MHCL,MH THERA CLINICAL,Oct 2019,52
73,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Aug 2019,27
74,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHCL,MH THERA CLINICAL,Jul 2019,53
75,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHSC,MH SCREENINGS,Jul 2019,13
76,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHEP,MH STRUCT ENGAGE PARTICIP,Jul 2019,251
77,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,MHES,MH STRUCT ENGAGE SESSION,Jul 2019,31
