,domain,indicator,dimension_category,dimension,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,defintion,source,notes
18,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity/Gender,White non-Hispanic Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,12.1%,16.5%,17.2%,18.1%,The percentage of students enrolled in Pre-K by Race/Ethnicity/Gender,NYC Department of Education,*
19,Education,Enrolled Full Day Pre-K Students,Race/Ethnicity/Gender,White non-Hispanic Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,12.7%,16.7%,18.3%,18.6%,The percentage of students enrolled in Pre-K by Race/Ethnicity/Gender,NYC Department of Education,*
20,Education,Enrolled Pre-K Students’ Family Income Quintile,Income,"First Quintile ($36,837)",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,36.0%,29.0%,*,First  quintile of Pre-K students' family income.,NYC Department of Education,*
21,Education,Enrolled Pre-K Students’ Family Income Quintile,Income,"Second Quintile ($50,876)",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,28.0%,30.0%,*,Second  quintile of Pre-K students' family income.,NYC Department of Education,*
22,Education,Enrolled Pre-K Students’ Family Income Quintile,Income,"Third Quintile ($62,143)",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,19.0%,21.0%,*,Third  quintile of Pre-K students' family income.,NYC Department of Education,*
23,Education,Enrolled Pre-K Students’ Family Income Quintile,Income,"Fourth Quintile ($83,532)",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,13.0%,14.0%,*,Fourth quintile of Pre-K students' family income.,NYC Department of Education,*
24,Education,Enrolled Pre-K Students’ Family Income Quintile,Income,"Fifth Quintile ($245,556)",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5.0%,6.0%,*,Fifth  quintile of Pre-K students' family income.,NYC Department of Education,*
25,Education,Grades 3 to 8 Proficiency in ELA,Citywide,Citywide,*,*,*,*,*,*,*,*,*,*,*,*,*,26.4%,28.4%,30.4%,38.0%,40.6%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
26,Education,Grades 3 to 8 Proficiency in ELA,Disability Status,Students with Disability,*,*,*,*,*,*,*,*,*,*,*,*,*,5.7%,6.7%,6.9%,9.3%,10.7%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
27,Education,Grades 3 to 8 Proficiency in ELA,Disability Status,Students without Disability,*,*,*,*,*,*,*,*,*,*,*,*,*,31.3%,34.2%,36.8%,46.0%,48.6%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
28,Education,Grades 3 to 8 Proficiency in ELA,English Language Ability,Current English Language Learner,*,*,*,*,*,*,*,*,*,*,*,*,*,3.4%,3.6%,4.4%,4.4%,5.6%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
29,Education,Grades 3 to 8 Proficiency in ELA,English Language Ability,Ever English Language Learner,*,*,*,*,*,*,*,*,*,*,*,*,*,*,31.1%,34.2%,43.2%,49.1%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
30,Education,Grades 3 to 8 Proficiency in ELA,English Language Ability,Never English Language Learner,*,*,*,*,*,*,*,*,*,*,*,*,*,*,32.0%,33.8%,42.1%,44.7%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
31,Education,Grades 3 to 8 Proficiency in ELA,Gender,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,30.3%,32.6%,35.3%,44.0%,46.7%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
32,Education,Grades 3 to 8 Proficiency in ELA,Gender,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,22.7%,24.5%,25.8%,32.3%,34.8%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
33,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity,Asian/Pacific Islander,*,*,*,*,*,*,*,*,*,*,*,*,*,47.8%,49.1%,52.0%,58.8%,61.0%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
34,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity,Black non-Hispanic,*,*,*,*,*,*,*,*,*,*,*,*,*,16.3%,18.1%,19.0%,26.6%,28.9%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
35,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity,Hispanic,*,*,*,*,*,*,*,*,*,*,*,*,*,16.6%,18.3%,19.8%,27.2%,29.7%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
36,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity,White non-Hispanic,*,*,*,*,*,*,*,*,*,*,*,*,*,46.8%,49.4%,51.3%,58.9%,61.0%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
37,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity/Gender,Asian Female,*,*,*,*,*,*,*,*,*,*,*,*,*,53.0%,54.3%,57.6%,64.4%,66.7%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
38,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity/Gender,Asian Male,*,*,*,*,*,*,*,*,*,*,*,*,*,42.9%,44.3%,46.8%,53.4%,55.6%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
39,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity/Gender,Black non-Hispanic Female,*,*,*,*,*,*,*,*,*,*,*,*,*,20.3%,22.5%,24.1%,33.1%,35.8%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
40,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity/Gender,Black non-Hispanic Male,*,*,*,*,*,*,*,*,*,*,*,*,*,12.5%,13.9%,14.2%,20.4%,22.3%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
41,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity/Gender,Hispanic Female,*,*,*,*,*,*,*,*,*,*,*,*,*,19.4%,21.5%,23.9%,32.8%,35.4%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
42,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity/Gender,Hispanic Male,*,*,*,*,*,*,*,*,*,*,*,*,*,13.9%,15.2%,16.0%,21.9%,24.2%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
43,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity/Gender,White non-Hispanic Female,*,*,*,*,*,*,*,*,*,*,*,*,*,52.6%,55.1%,57.7%,65.9%,67.8%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
44,Education,Grades 3 to 8 Proficiency in ELA,Race/Ethnicity/Gender,White non-Hispanic Male,*,*,*,*,*,*,*,*,*,*,*,*,*,41.6%,44.0%,45.3%,52.2%,54.7%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
45,Education,Grades 3 to 8 Proficiency in ELA,Poverty Status,Poverty,*,*,*,*,*,*,*,*,*,*,*,*,*,21.3%,23.1%,24.1%,31.4%,33.7%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
46,Education,Grades 3 to 8 Proficiency in ELA,Poverty Status,Not Poverty,*,*,*,*,*,*,*,*,*,*,*,*,*,49.9%,53.4%,47.4%,54.8%,57.7%,Proficiency rate of students in Department of Education Schools in grades 3 to 8 on New York State Common Core English Language Arts (ELA) Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
47,Education,Grades 3 to 8 Proficiency in Math,Citywide,Citywide,*,*,*,*,*,*,*,*,*,*,*,*,*,29.6%,34.2%,35.2%,36.4%,37.8%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
48,Education,Grades 3 to 8 Proficiency in Math,Disability Status,Students with Disability,*,*,*,*,*,*,*,*,*,*,*,*,*,8.4%,11.4%,11.3%,11.4%,11.8%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
49,Education,Grades 3 to 8 Proficiency in Math,Disability Status,Students without Disability,*,*,*,*,*,*,*,*,*,*,*,*,*,34.6%,40.3%,41.8%,43.4%,44.6%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
50,Education,Grades 3 to 8 Proficiency in Math,English Language Ability,Current English Language Learner,*,*,*,*,*,*,*,*,*,*,*,*,*,11.4%,14.0%,14.6%,13.0%,14.7%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
51,Education,Grades 3 to 8 Proficiency in Math,English Language Ability,Ever English Language Learner,*,*,*,*,*,*,*,*,*,*,*,*,*,*,45.3%,44.3%,46.8%,49.7%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
52,Education,Grades 3 to 8 Proficiency in Math,English Language Ability,Never English Language Learner,*,*,*,*,*,*,*,*,*,*,*,*,*,*,36.3%,37.3%,38.7%,40.1%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
53,Education,Grades 3 to 8 Proficiency in Math,Gender,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,30.0%,35.2%,36.1%,37.3%,38.6%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,The numbers for Male and Female were switched in the 2016 SIR
54,Education,Grades 3 to 8 Proficiency in Math,Gender,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,29.3%,33.3%,34.3%,35.6%,37.0%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,The numbers for Male and Female were switched in the 2016 SIR
55,Health & Wellbeing,Premature Mortality Rate,Race/Ethnicity and Gender,Black non-Hispanic Male,*,*,*,*,*,*,*,*,*,405.1,390.2,387.5,366.6,353.6,346.2,351.8,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population","NYC DOHMH, Bureau of Vital Statistics",
56,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity,Asian/Pacific Islander,*,*,*,*,*,*,*,*,*,*,*,*,*,60.9%,66.0%,66.8%,67.2%,67.8%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
57,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity,Black non-Hispanic,*,*,*,*,*,*,*,*,*,*,*,*,*,15.3%,18.6%,19.1%,20.0%,20.7%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
58,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity,Hispanic,*,*,*,*,*,*,*,*,*,*,*,*,*,18.6%,23.1%,23.7%,24.3%,25.3%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
59,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity,White non-Hispanic,*,*,*,*,*,*,*,*,*,*,*,*,*,50.1%,55.8%,56.7%,57.8%,59.0%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
60,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity/Gender,Asian Female,*,*,*,*,*,*,*,*,*,*,*,*,*,61.6%,67.2%,67.8%,67.9%,68.3%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
61,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity/Gender,Asian Male,*,*,*,*,*,*,*,*,*,*,*,*,*,60.3%,64.9%,65.8%,66.5%,67.4%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
62,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity/Gender,Black non-Hispanic Female,*,*,*,*,*,*,*,*,*,*,*,*,*,16.8%,20.5%,21.2%,22.0%,22.7%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
63,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity/Gender,Black non-Hispanic Male,*,*,*,*,*,*,*,*,*,*,*,*,*,13.8%,16.7%,17.2%,18.1%,18.8%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
64,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity/Gender,Hispanic Female,*,*,*,*,*,*,*,*,*,*,*,*,*,18.4%,23.6%,24.1%,24.7%,25.7%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
65,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity/Gender,Hispanic Male,*,*,*,*,*,*,*,*,*,*,*,*,*,18.7%,22.7%,23.3%,24.0%,24.9%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
66,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity/Gender,White non-Hispanic Female,*,*,*,*,*,*,*,*,*,*,*,*,*,50.7%,56.8%,57.7%,59.1%,60.3%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
67,Education,Grades 3 to 8 Proficiency in Math,Race/Ethnicity/Gender,White non-Hispanic Male,*,*,*,*,*,*,*,*,*,*,*,*,*,49.6%,55.0%,55.9%,56.6%,57.9%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
68,Education,Grades 3 to 8 Proficiency in Math,Poverty Status,Poverty,*,*,*,*,*,*,*,*,*,*,*,*,*,24.8%,29.5%,29.4%,30.3%,31.1%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
69,Education,Grades 3 to 8 Proficiency in Math,Poverty Status,Not Poverty,*,*,*,*,*,*,*,*,*,*,*,*,*,53.0%,57.6%,51.5%,52.5%,54.3%,Proficiency rate of students enrolled in Department of Education Schools in grades 3 to 8 on New York State  Mathematics Tests.,NYC Department of Education; http://schools.nyc.gov/Accountability/data/TestResults/ELAandMathTestResults,*
70,Education,Chronic Absenteeism (20+ days) (<90%),Citywide,Citywide,*,*,*,*,*,*,*,*,*,*,*,28.8%,25.6%,27.3%,27.6%,25.5%,25.0%,25.8%,The percentage of students present less than 90% of school days in a school year,NYC Department of Education,"In the past few years, NYC DOE has had some consistency issues in their public reporting of attendance. In order to ensure that the numbers in the Social Indicators Report matches their publicly reported numbers, they have changed the metric to <90% of days for students in all districts from what it is now, which is the percentage of students absent 20+ days in districts 1-32."
71,Education,Chronic Absenteeism (20+ days) (<90%),Poverty Status,Not Poverty,*,*,*,*,*,*,*,*,*,*,*,22.3%,20.0%,20.2%,20.1%,18.5%,18.8%,19.2%,The percentage of students present less than 90% of school days in a school year,NYC Department of Education,"In the past few years, NYC DOE has had some consistency issues in their public reporting of attendance. In order to ensure that the numbers in the Social Indicators Report matches their publicly reported numbers, they have changed the metric to <90% of days for students in all districts from what it is now, which is the percentage of students absent 20+ days in districts 1-32."
72,Education,Chronic Absenteeism (20+ days) (<90%),Poverty Status,Poverty,*,*,*,*,*,*,*,*,*,*,*,31.4%,27.7%,29.5%,29.9%,27.9%,27.4%,28.4%,The percentage of students present less than 90% of school days in a school year,NYC Department of Education,"In the past few years, NYC DOE has had some consistency issues in their public reporting of attendance. In order to ensure that the numbers in the Social Indicators Report matches their publicly reported numbers, they have changed the metric to <90% of days for students in all districts from what it is now, which is the percentage of students absent 20+ days in districts 1-32."
73,Education,Chronic Absenteeism (20+ days) (<90%),Race/Ethnicity,Asian/Pacific Islander,*,*,*,*,*,*,*,*,*,*,*,12.4%,10.7%,12.1%,12.2%,11.4%,11.6%,12.2%,The percentage of students present less than 90% of school days in a school year,NYC Department of Education,"In the past few years, NYC DOE has had some consistency issues in their public reporting of attendance. In order to ensure that the numbers in the Social Indicators Report matches their publicly reported numbers, they have changed the metric to <90% of days for students in all districts from what it is now, which is the percentage of students absent 20+ days in districts 1-32."
74,Education,Chronic Absenteeism (20+ days) (<90%),Race/Ethnicity,Black non-Hispanic,*,*,*,*,*,*,*,*,*,*,*,34.0%,31.1%,32.8%,33.6%,31.9%,31.4%,32.4%,The percentage of students present less than 90% of school days in a school year,NYC Department of Education,"In the past few years, NYC DOE has had some consistency issues in their public reporting of attendance. In order to ensure that the numbers in the Social Indicators Report matches their publicly reported numbers, they have changed the metric to <90% of days for students in all districts from what it is now, which is the percentage of students absent 20+ days in districts 1-32."
75,Education,Chronic Absenteeism (20+ days) (<90%),Race/Ethnicity,Hispanic,*,*,*,*,*,*,*,*,*,*,*,33.3%,29.9%,31.7%,32.5%,30.1%,29.6%,30.5%,The percentage of students present less than 90% of school days in a school year,NYC Department of Education,"In the past few years, NYC DOE has had some consistency issues in their public reporting of attendance. In order to ensure that the numbers in the Social Indicators Report matches their publicly reported numbers, they have changed the metric to <90% of days for students in all districts from what it is now, which is the percentage of students absent 20+ days in districts 1-32."
76,Education,Chronic Absenteeism (20+ days) (<90%),Race/Ethnicity,White non-Hispanic,*,*,*,*,*,*,*,*,*,*,*,19.2%,16.3%,18.5%,18.0%,16.1%,16.5%,17.3%,The percentage of students present less than 90% of school days in a school year,NYC Department of Education,"In the past few years, NYC DOE has had some consistency issues in their public reporting of attendance. In order to ensure that the numbers in the Social Indicators Report matches their publicly reported numbers, they have changed the metric to <90% of days for students in all districts from what it is now, which is the percentage of students absent 20+ days in districts 1-32."
77,Education,Chronic Absenteeism (20+ days) (<90%),Gender,Female,*,*,*,*,*,*,*,*,*,*,*,27.5%,24.5%,26.2%,26.6%,24.5%,24.1%,24.9%,The percentage of students present less than 90% of school days in a school year,NYC Department of Education,"In the past few years, NYC DOE has had some consistency issues in their public reporting of attendance. In order to ensure that the numbers in the Social Indicators Report matches their publicly reported numbers, they have changed the metric to <90% of days for students in all districts from what it is now, which is the percentage of students absent 20+ days in districts 1-32."
78,Education,Chronic Absenteeism (20+ days) (<90%),Gender,Male,*,*,*,*,*,*,*,*,*,*,*,29.2%,26.0%,27.7%,27.9%,26.1%,25.7%,26.4%,The percentage of students present less than 90% of school days in a school year,NYC Department of Education,"In the past few years, NYC DOE has had some consistency issues in their public reporting of attendance. In order to ensure that the numbers in the Social Indicators Report matches their publicly reported numbers, they have changed the metric to <90% of days for students in all districts from what it is now, which is the percentage of students absent 20+ days in districts 1-32."
