project_id,project_name,project_start_date,extended_affordability_status,prevailing_wage_status,planned_tax_benefit,extremely_low_income_units,very_low_income,low_income_units,moderate_income,middle_income,other,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,senior_units,project_completion_date
68697,CONFIDENTIAL,2019-06-28T00:00:00.000,No,Non Prevailing Wage,,0,0,0,2,0,0,0,2,2,2,0,
68701,CONFIDENTIAL,2019-06-28T00:00:00.000,No,Non Prevailing Wage,,0,0,2,0,0,0,0,2,2,2,0,
68702,CONFIDENTIAL,2019-06-28T00:00:00.000,No,Non Prevailing Wage,,0,2,0,0,0,0,0,2,2,2,0,
68705,CONFIDENTIAL,2019-06-28T00:00:00.000,No,Non Prevailing Wage,,0,0,2,0,0,0,0,2,2,2,0,
68707,CONFIDENTIAL,2019-06-28T00:00:00.000,No,Non Prevailing Wage,,0,0,0,1,0,0,0,1,1,1,0,
68713,CONFIDENTIAL,2019-06-28T00:00:00.000,No,Non Prevailing Wage,,0,0,3,0,0,0,0,3,3,3,0,
63151,SPOFFORD DETENTION CENTER PHASE 1,2019-06-27T00:00:00.000,No,Non Prevailing Wage,420c,36,36,110,0,0,1,183,0,183,183,0,
64027,SENDERO VERDE B,2019-06-27T00:00:00.000,No,Non Prevailing Wage,420c,108,72,108,72,0,1,361,0,361,361,0,
64406,1184 RIVER AVE,2019-06-27T00:00:00.000,No,Non Prevailing Wage,420c,62,51,136,0,0,1,250,0,250,250,0,
65392,TAINO TOWERS.HUDMF.FY19,2019-06-27T00:00:00.000,Yes,Non Prevailing Wage,Article XI,520,91,35,7,2,1,656,0,656,656,0,2019-06-27T00:00:00.000
66644,EBENEZER PLAZA PHASE 1B,2019-06-27T00:00:00.000,No,Non Prevailing Wage,420c,30,24,64,0,0,0,118,0,118,118,0,
66670,JOE CENTRAL BROOKLYN LLC.YR15.FY19,2019-06-27T00:00:00.000,No,Non Prevailing Wage,Article XI,64,298,147,4,0,11,524,0,524,524,41,
67459,5 TELLERS HDFC INC.GHPP.FY19,2019-06-27T00:00:00.000,No,Non Prevailing Wage,Article XI,18,20,3,0,0,1,42,0,42,42,0,
67523,SUS. 1769 JEROME AVE,2019-06-27T00:00:00.000,No,Non Prevailing Wage,420c,105,0,69,0,0,1,175,0,175,175,0,
67636,2BT HDFC.YR15.FY19,2019-06-27T00:00:00.000,No,Non Prevailing Wage,Article XI,0,68,123,6,0,1,198,0,198,198,21,
68657,128 HURON STREET,2019-06-27T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,7,0,
68658,BOERUM RESIDENCE LLC,2019-06-27T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,7,0,7,0,7,23,0,
68711,CONFIDENTIAL,2019-06-27T00:00:00.000,No,Non Prevailing Wage,,0,0,0,2,0,0,0,2,2,2,0,
63777,APEX PLACE,2019-06-26T00:00:00.000,No,Non Prevailing Wage,Article XI,44,89,88,220,0,1,442,0,442,442,0,
67154,2126 MAPES AVENUE,2019-06-26T00:00:00.000,No,Non Prevailing Wage,420c,8,4,17,0,0,1,30,0,30,30,0,
67805,1520 SEDGWICK AVENUE HDFC.PLP.FY19,2019-06-26T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,0,87,14,0,1,102,0,102,102,0,2019-06-26T00:00:00.000
68698,CONFIDENTIAL,2019-06-26T00:00:00.000,No,Non Prevailing Wage,,0,0,0,1,0,0,0,1,1,1,0,
68700,CONFIDENTIAL,2019-06-26T00:00:00.000,No,Non Prevailing Wage,,0,1,0,0,0,0,0,1,1,1,0,
68709,CONFIDENTIAL,2019-06-26T00:00:00.000,No,Non Prevailing Wage,,0,0,0,2,0,0,0,2,2,2,0,
61678,PARK HAVEN,2019-06-25T00:00:00.000,No,Non Prevailing Wage,420c,67,34,76,0,0,1,178,0,178,178,0,
68211,HALLETTS POINT 7,2019-06-25T00:00:00.000,No,Non Prevailing Wage,421a,0,81,81,0,0,0,162,0,162,163,0,
68347,HIGHBRIDGE-1133 OGDEN AVENUE.HPO.FY19,2019-06-25T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,20,291,88,0,1,400,0,400,400,0,2019-06-25T00:00:00.000
68649,1176 NELSON AVENUE,2019-06-25T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,10,0,10,0,10,31,0,
68650,669 MACDONOUGH STREET,2019-06-25T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,7,0,
68694,CONFIDENTIAL,2019-06-25T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,
68703,CONFIDENTIAL,2019-06-25T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,
68718,CONFIDENTIAL,2019-06-25T00:00:00.000,No,Non Prevailing Wage,,0,0,0,1,0,0,0,1,1,1,0,
54577,1019 FULTON STREET,2019-06-24T00:00:00.000,No,Non Prevailing Wage,421a,0,0,10,5,0,0,15,0,15,50,0,
65320,BREAKING GROUND.453 EAST 142ND ST.BETANCES V,2019-06-24T00:00:00.000,No,Prevailing Wage,Article XI,151,0,0,0,0,1,152,0,152,152,151,
67458,RB HARMAN HDFC.GHPP.FY19,2019-06-24T00:00:00.000,No,Non Prevailing Wage,,6,9,3,0,0,0,18,0,18,18,1,
59104,THE BRONXWOOD TOWER INC.HRP.FY19,2019-06-21T00:00:00.000,No,Non Prevailing Wage,,1,107,0,0,0,1,0,109,109,109,0,
60824,CONFIDENTIAL,2019-06-21T00:00:00.000,No,Non Prevailing Wage,,37,24,0,0,0,1,62,0,62,62,0,
66565,MHANY DUMONT HDFC.PLP.FY19,2019-06-21T00:00:00.000,No,Non Prevailing Wage,Article XI,3,19,20,2,0,1,45,0,45,45,22,
68641,1857 BARNES AVENUE APARTMENTS,2019-06-21T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,2,0,0,2,0,2,6,0,
68714,CONFIDENTIAL,2019-06-21T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,
61641,CASA PASIVA LLC.YR15.FY19,2019-06-20T00:00:00.000,No,Non Prevailing Wage,420c,20,81,42,0,0,3,146,0,146,146,36,
67462,368 E 8TH ST HDFC.GHPP.FY19,2019-06-20T00:00:00.000,No,Non Prevailing Wage,Article XI,25,4,0,0,0,0,2,27,29,29,0,
67483,STAGG 1 - AMANDA'S COVE.HPO.FY19,2019-06-20T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,0,142,15,0,0,157,0,157,157,0,2019-06-20T00:00:00.000
67484,STAGG 2 - JUSTIN'S CORNER.HPO.FY19,2019-06-20T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,0,101,13,0,0,114,0,114,114,0,2019-06-20T00:00:00.000
67487,STAGG 4 - TYLER'S BRONX.HPO.FY19,2019-06-20T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,0,87,3,0,0,90,0,90,90,0,2019-06-20T00:00:00.000
67618,STAGG 3 - MICKEY'S CORNER.HPO.FY19,2019-06-20T00:00:00.000,Yes,Non Prevailing Wage,Article XI,0,0,42,1,0,0,43,0,43,43,0,2019-06-20T00:00:00.000
68651,CONFIDENTIAL,2019-06-20T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-06-20T00:00:00.000
68696,CONFIDENTIAL,2019-06-20T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,
67752,JENNINGS TERRACE GARDENS HDFC.GHPP.FY19,2019-06-19T00:00:00.000,No,Non Prevailing Wage,Article XI,0,41,0,0,0,0,0,41,41,41,0,
68640,15 CEDAR STREET APARTMENTS,2019-06-19T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,8,0,8,0,8,25,0,
68654,CONFIDENTIAL,2019-06-19T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-06-19T00:00:00.000
68679,CONFIDENTIAL,2019-06-19T00:00:00.000,No,Non Prevailing Wage,,0,0,0,1,0,0,0,1,1,1,0,
68715,CONFIDENTIAL,2019-06-19T00:00:00.000,No,Non Prevailing Wage,,0,0,0,1,0,0,0,1,1,1,0,
68717,CONFIDENTIAL,2019-06-19T00:00:00.000,No,Non Prevailing Wage,,0,0,2,0,0,0,0,2,2,2,0,
68638,14-45 31ST AVENUE,2019-06-18T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,18,0,
68639,2825 SNYDER AVENUE,2019-06-18T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0,
65275,1025-1027 LEGGETT AVE HDFC.PLP.FY19,2019-06-17T00:00:00.000,No,Non Prevailing Wage,Article XI,0,43,4,0,0,1,0,48,48,48,39,
68635,2823 SNYDER AVENUE,2019-06-17T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0,
68637,76 PALMETTO STREET APARTMENTS,2019-06-17T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
68653,CONFIDENTIAL,2019-06-17T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0,2019-06-17T00:00:00.000
67685,601 WEST 29TH STREET,2019-06-14T00:00:00.000,No,Non Prevailing Wage,421a,0,94,94,46,0,0,234,0,234,931,0,
68633,1207 BROADWAY,2019-06-14T00:00:00.000,No,Non Prevailing Wage,421a,0,0,2,0,0,0,2,0,2,7,0,2019-07-08T00:00:00.000
68634,2325 BEAUMONT AVENUE APARTMENTS,2019-06-14T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,17,0,
68688,CONFIDENTIAL,2019-06-14T00:00:00.000,No,Non Prevailing Wage,,0,1,0,0,0,0,0,1,1,1,0,
68719,CONFIDENTIAL,2019-06-14T00:00:00.000,No,Non Prevailing Wage,,0,0,2,0,0,0,0,2,2,2,0,
63252,37 AVENUE B HDFC.HRP.FY19,2019-06-13T00:00:00.000,No,Non Prevailing Wage,Article XI,4,2,0,0,0,0,6,0,6,6,0,
68107,HP ACP HDFC.HPO.FY19 (BLACK SPRUCE),2019-06-13T00:00:00.000,Yes,Non Prevailing Wage,Article XI,7,50,30,93,41,3,224,0,224,224,0,2019-06-13T00:00:00.000
68269,HP WH HDFC.HPO.FY19 (BLACK SPRUCE - WASHINGTON HEIGHTS),2019-06-13T00:00:00.000,Yes,Non Prevailing Wage,Article XI,26,133,157,76,21,7,420,0,420,420,0,2019-06-13T00:00:00.000
68631,378 HARMAN STREET,2019-06-13T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0,
68632,GLORIA WILLOUGHBY APARTMENTS,2019-06-13T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,10,0,10,0,10,32,0,
68685,CONFIDENTIAL,2019-06-13T00:00:00.000,No,Non Prevailing Wage,,0,0,0,2,0,0,0,2,2,2,0,
68695,CONFIDENTIAL,2019-06-13T00:00:00.000,No,Non Prevailing Wage,,2,0,0,0,0,0,0,2,2,2,0,
67399,1425 MACOMBS ROAD.HPO.FY19,2019-06-12T00:00:00.000,Yes,Non Prevailing Wage,Article XI,3,10,24,0,0,1,38,0,38,38,0,2019-06-12T00:00:00.000
