,contract_type,provider_id,program_name,sponsor_name,program_address,program_borough,program_zipcode,program_phone
13,CAREGIVER,4K301,CAREGIVER PROGRAM OF SNAP,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER BOULEVARD,QUEENS VILLAGE,11427,718-527-5380
14,CAREGIVER,5K101,JCC OF SI CAREGIVER SERVICES,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,1297 ARTHUR KILL ROAD,STATEN ISLAND,10312,718-475-5287
15,CAREGIVER,6K101,HMH CAREGIVER SERVICES CITYWIDE,HAMILTON MADISON HOUSE INC  ,100 GOLD STREET,NEW YORK,10038,212-788-5580
16,CAREGIVER,6K301,PARTNERS IN CARING AT SAGE,"SERVICES AND ADVOCACY FOR GAY,LESBIAN,BISEXUAL AND",305 7TH AVENUE,NEW YORK,10001,212-741-2247
17,CAREGIVER,6K501,VISIONS CAREGIVER PROGRAM,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIR,500 GREENWICH STREET,NEW YORK,10013,212-625-1616
18,CASE MANAGEMENT ONLY,1M901,NEIGHBORHOOD SHOPP CASE MANAGEMENT BX-1,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,910 EAST 172ND STREET,BRONX,10460,718-542-0006
19,CASE MANAGEMENT ONLY,1MA01,RAIN CASE MANAGEMENT BX-2,REGIONAL AID FOR INTERIM NEEDS INC ,3377A WHITE PLAINS ROAD,BRONX,10467,347-346-9676
20,CASE MANAGEMENT ONLY,1MB01,JASA CASE MANAGEMENT BX-03,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1351 WHITE PLAINS ROAD,BRONX,10462,347-547-7140
21,CASE MANAGEMENT ONLY,2ME01,HEIGHTS AND HILLS CASE MANAGEMENT BK-02,"HEIGHTS AND HILLS, INC. ",57 WILLOUGHBY STREET,BROOKLYN,11201,718-596-8789
22,CASE MANAGEMENT ONLY,2MF01,SPECIAL SVCS. FOR SR. CASE MANG. BK-3,RECREATION ROOMS AND SETTLEMENT INC ,1304 EAST 57TH STREET,BROOKLYN,11234,718-257-1600
23,CASE MANAGEMENT ONLY,2MG01,JASA CASE MANAGEMENT BK-4,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1090 CONEY ISLAND AVENUE,BROOKLYN,11230,718-934-4294
24,CASE MANAGEMENT ONLY,2MH01,BENSON RIDGE CASE MANAGEMENT BK-5,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,6823 FIFTH AVENUE,BROOKLYN,11220,718-680-3530
25,CASE MANAGEMENT ONLY,2MJ01,JASA CASE MANAGEMENT BK-6,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3161 BRIGHTON 6TH STREET,BROOKLYN,11235,718-943-1615
26,CASE MANAGEMENT ONLY,2MK01,JASA CASE MANAGEMENT BK-7,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,161 CORBIN PLACE,BROOKLYN,11235,718-934-4295
27,CASE MANAGEMENT ONLY,2MP01,RIDGEWOOD BUSHWICK CASE MANAGEMENT BK-01,RISEBORO COMMUNITY PARTNERSHIP INC,1175 Gates Avenue,BROOKLYN,11221,929-251-6626
28,CASE MANAGEMENT ONLY,3M801,NEW YORK FOUNDATION CASE MANAGEMENT MN-1,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,11 PARK PLACE,NEW  YORK,10007,212-962-7817
29,CASE MANAGEMENT ONLY,3M901,SELFHELP PROJECT CASE MANAGEMENT MN-2,SELFHELP COMMUNITY SERVICES INC ,"520 EIGHTH AVENUE,",NEW  YORK,10018,212-787-8106
30,CASE MANAGEMENT ONLY,3MA01,LENOX HILL CASE MANAGEMENT MN-3,LENOX HILL NEIGHBORHOOD HOUSE INC ,331 EAST 70TH STREET,NEW  YORK,10021,212-218-0506
31,CASE MANAGEMENT ONLY,3MB01,ISABELLA CASE MANAGEMENT MN-4,ISABELLA GERIATRIC CENTER INC  ,515 AUDUBON AVENUE,NEW YORK,10040,212-342-9525
32,CASE MANAGEMENT ONLY,4MB01,SUNNYSIDE CASE MANAGEMENT,SUNNYSIDE COMMUNITY SERVICES INC ,43-31 39TH STREET,SUNNYSIDE,11104,718-784-6173
33,CASE MANAGEMENT ONLY,4MD01,QUEENS COMM. HOUSE CASE MANAGEMENT QNS-3,QUEENS COMMUNITY HOUSE INC. ,107-20 71ST ROAD,FOREST HILLS,11375,718-896-8511
34,CASE MANAGEMENT ONLY,4ME01,SELFHELP PROJECT QUEENS,SELFHELP COMMUNITY SERVICES INC ,45-25 KISSENA BOULEVARD,FLUSHING,11355,718-321-8194
35,CASE MANAGEMENT ONLY,4MF01,SOUTHWEST QUEENS CASE MANAGEMENT-QN 5,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,183-16 JAMAICA AVENUE,HOLLIS,11423,718-217-0126
36,CASE MANAGEMENT ONLY,4MG01,SNAP CASE MANAGEMENT QNS-06,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER BOULEVARD,QUEENS VIALLAGE,11427,718-527-5380
37,CASE MANAGEMENT ONLY,4MH01,JASA CASE MANAGEMENT-QN 7,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,131 BEACH 19TH STREET,FAR ROCKAWAY,11691,718-713-3413
38,CASE MANAGEMENT ONLY,5M401,CASC CSMG,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,56 BAY STREET,STATEN ISLAND,10301,718-981-6226
39,CONGREGATE SITES,14N02,NYCHA SITE HIGHBRIDGE GARDENS,PRESBYTERIAN SENIOR SERVICES  ,1181 NELSON AVENUE,BRONX,10452,718-588-3004
40,CONGREGATE SITES,21H02,GLENMORE SOCIAL CLUB,WAYSIDE OUT-REACH DEVELOPMENT INC ,1777 PITKIN AVENUE,BROOKLYN,11212,718-000-0000
41,CONGREGATE SITES,25L02,Cypress Hills Social Club ,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER,3208 FULTON STREET,BROOKLYN,11208,718-235-0064
42,CONGREGATE SITES,27P02,GLENMORE SOCIAL CLUB,WAYSIDE OUT-REACH DEVELOPMENT INC ,1777 PITKIN AVENUE,BROOKLYN,11212,718-345-5665
43,CONGREGATE SITES,35C04,Lincoln Social Club ,"CENTRAL HARLEM SENIOR CITIZENS CENTERS, INC.",34 WEST 134TH STREET,NEW YORK,10037,212-926-4871
44,CONGREGATE SITES,41H02,RAICES CORONA NEIGHBORHOOD SENIOR CENT,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,10724 10724 Corona Ave,Corona,11368,718-458-7259
45,CONGREGATE SITES,43S02,ASTORIA NYCHA SITE 9,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,21-21 30TH DRIVE,LONG ISLAND CIT,11102,718-726-9642
46,CONGREGATE SITES,44T02,ASTORIA NYCHA SITE 9,THE SPANISH SPEAKING ELDERLY COUNCIL-RAICES INC.,21-21 30TH DRIVE,LONG ISLAND CIT,11102,718-726-9642
47,DELIVER SYSTEM REFORM,4C401,SELFHELP NY CONNECTS,SELFHELP COMMUNITY SERVICES INC ,45-35 KISSENA BOULEVARD ,Queens,11367,718-639-2000
48,GERIATRIC MENTAL HEALTH ,1G701,JASA MENTAL HEALTH,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1 Fordham Plaza,Bronx,10458,718-365-4044
49,GERIATRIC MENTAL HEALTH ,3G101,SPOP MENTAL HEALTH,SERVICE PROGRAM FOR OLDER PEOPLE INC ,302 WEST 91ST STREET,NEW YORK,10024,212-787-7120
50,GERIATRIC MENTAL HEALTH ,4G801,SAMUEL FIELD MENTAL HEALTH,SAMUEL FIELD YM & YWHA INC  ,58-20   Little Neck Parkway,Little Neck  ,11362,718-225-6750
51,GERIATRIC MENTAL HEALTH ,5G301,WEILL CORNELL MENTAL HEALTH,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,478 1st Street,NEW Y ORK,10010,914-997-4333
52,HOME CARE,1H501,PERSONAL TOUCH -BRONX,PERSONAL-TOUCH HOME CARE OF N.Y. INC.,186-18 HILLSIDE AVENUE,JAMAICA,11432,718-468-2500
53,HOME CARE,2HB01,PERSONAL TOUCH-BROOKLYN,PERSONAL-TOUCH HOME CARE OF N.Y. INC.,186-18 HILLSIDE AVENUE,JAMAICA,11432,718-468-2500
54,HOME CARE,3HD01,NEW YORK FOUNDATION-MANHATTAN,NEW YORK FOUNDATION FOR SENIOR CITIZENS HOME ATTEN,11 PARK PLACE,NEW YORK,10007,212-962-7559
55,HOME CARE,4H701,PEOPLE CARE-QUEENS,PEOPLE CARE INCORPORATED,116 WEST 32ND STREET,NEW YORK,10001,212-600-9424
56,HOME CARE,5H601,RICHMOND HOME NEEDS,RICHMOND HOME NEED SERVICES INC ,3155 AMBOY ROAD,STATEN ISLAND,10306,718-313-1381
57,HOME DELIVERED MEALS,15X01,MID BRONX HOME DELIVERED MEALS,MID BRONX SENIOR CITIZENS COUNCIL INC ,900 GRAND CONCOURSE,BRONX,10451,718-992-2057
58,HOME DELIVERED MEALS,15Y01,RAIN HOME DELIVERED MEALS,REGIONAL AID FOR INTERIM NEEDS INC ,3450 BOSTON ROAD,BRONX,10469,718-231-7246
59,HOME DELIVERED MEALS,15Z01,RAIN HOME DELIVERED MEALS,REGIONAL AID FOR INTERIM NEEDS INC ,3450 BOSTON ROAD,BRONX,10469,718-231-7246
60,HOME DELIVERED MEALS,27Y01,JCCGCI HOME DELIVERED MEALS,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,1960 EAST 7TH STREET,BROOKLYN,11223,718-627-2500
61,HOME DELIVERED MEALS,29D01,WAYSIDE HOME DELIVERED MEALS,WAYSIDE OUT-REACH DEVELOPMENT INC ,460 DUMONT AVENUE,BROOKLYN,11212,929-234-6333
62,HOME DELIVERED MEALS,29E01,JASA HOME DELIVERED MEALS,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1201 PENNSYLVANIA AVENUE,BROOKLYN,11239,718-769-7455
63,HOME DELIVERED MEALS,29F01,BAYRIDGE HOME DELIVERED MEALS,BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,411 OVINGTON AVENUE,BROOKLYN,11209,718-748-0650
64,HOME DELIVERED MEALS,29G01,JASA HOME DELIVERED MEALS,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1201 PENNSYLVANIA AVENUE,BROOKLYN,11239,718-337-1989
65,HOME DELIVERED MEALS,29H01,RIDGEWOOD BUSHWICK HOME DELIVERED MEALS,RISEBORO COMMUNITY PARTNERSHIP INC,80 SEIGEL STREET,BROOKLYN,11206,718-782-6334
66,HOME DELIVERED MEALS,29R01,RIDGEWOOD BUSHWICK HOME DELIVERED MEALS,RISEBORO COMMUNITY PARTNERSHIP INC,319 STANHOPE STREET,BROOKLYN,11237,718-782-6334
67,HOME DELIVERED MEALS,36F01,HENRY ST HOME DELIVERED MEALS,HENRY STREET SETTLEMENT  ,265 HENRY STREET,NEW YORK,10002,212-473-1474
68,HOME DELIVERED MEALS,36G01,ENCORE HOME DELIVERED MEALS,ENCORE COMMUNITY SERVICES  ,220 WEST 49TH STREET,NEW YORK,10019,212-581-2910
69,HOME DELIVERED MEALS,36H01,STANLEY ISAACS HOME DELIVERED MEALS,STANLEY M ISAACS NEIGHBORHOOD CENTER INC ,415 EAST 93RD STREET,NEW YORK,10128,212-360-7620
70,HOME DELIVERED MEALS,36J01,CHARLES WALBURG HOME DELIVERED MEALS,CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC ,163 WEST 125TH STREET,NEW YORK,10027,212-222-2552
71,HOME DELIVERED MEALS,46E01,CCNS SWQ HOME DELIVERED MEALS PROGRAM,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-02 101ST AVENUE,OZONE PARK,11416,718-806-1080
72,HOME DELIVERED MEALS,46G01,JASA HOME DELIVERED MEALS,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,131 BEACH 19TH STREET,FAR ROCKAWAY,11691,718-327-6023
73,HOME DELIVERED MEALS,46H01,CCNS HOME DELIVERED MEALS,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,168-01B HILLSIDE AVENUE,JAMAICA,11432,718-357-4903
74,HOME DELIVERED MEALS,46J01,SNAP HOME DELIVERED MEALS,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER BOULEVARD,QUEENS VILLAGE,11427,718-454-2385
75,HOME DELIVERED MEALS,46N01,CCNS HOME DELIVERED MEALS,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,89-18 ASTORIA BOULEVARD,ELMHURST,11369,718-806-1080
76,HOME DELIVERED MEALS,46P01,PETER CARDELLA HOME DELIVERED MEALS,PETER CARDELLA SENIOR CITIZEN CENTER INC ,68-52 FRESH POND ROAD,RIDGEWOOD,11385,718-497-2908
77,HOME DELIVERED MEALS,46R01,QUEENS COMM HOUSE HOME DELIVERED MEALS,QUEENS COMMUNITY HOUSE INC. ,108-25 62nd DRIVE,FOREST HILLS,11375,718-592-5757
78,HOME DELIVERED MEALS,46S01,FLORENCE E. SMITH HOME DELIVERED MEALS,CORONA CONGREGATIONAL CHURCH  ,102-19 34TH AVENUE,CORONA,11368,718-899-0553
79,HOME DELIVERED MEALS,55601,MEALS ON WHEELS OF S.I.,MEALS ON WHEELS OF STATEN ISLAND INC ,304 PORT RICHMOND AVENUE,STATEN ISLAND,10302,718-727-4435
80,INNOVATIVE SENIOR CENTERS,15E01,Neighborhood SHOPP Innovative Senior Center,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,910 EAST 172ND STREET,BRONX,10460,718-542-0222
81,INNOVATIVE SENIOR CENTERS,15G01,BronxWorks Innovative Senior Center,BRONXWORKS INC,80 EAST 181ST STREET,BRONX,10453,718-933-5300
82,INNOVATIVE SENIOR CENTERS,28A01,CCNS Riverway Innovative Senior Center,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,230 RIVERDALE AVENUE,BROOKLYN,11212,718-942-5345
83,INNOVATIVE SENIOR CENTERS,28B01,JCCGCI Innovative Senior Center,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3001 WEST 37TH STREET,BROOKLYN,11224,718-449-5000
84,INNOVATIVE SENIOR CENTERS,28G01,Ridgewood Bushwick Innovative Senior Center,RISEBORO COMMUNITY PARTNERSHIP INC,9 NOLL STREET,BROOKLYN,11206,718-782-3601
85,INNOVATIVE SENIOR CENTERS,35D01,Carter Burden Innovative Senior Center,"CARTER BURDEN NETWORK, INC.",312 EAST 109 STREET,NEW YORK,10029,212-423-9665
86,INNOVATIVE SENIOR CENTERS,35E01,Sirovich Innovative Senior Center,THE EDUCATIONAL ALLIANCE INC  ,331 EAST 12TH STREET,NEW YORK,10003,646-395-4523
87,INNOVATIVE SENIOR CENTERS,35F01,FIND Aid Innovative Senior Center,FIND AID FOR THE AGED  ,141 WEST 73RD STREET,NEW YORK,10023,212-787-7710
88,INNOVATIVE SENIOR CENTERS,35K01,Lenox Hill Innovative Senior Center,LENOX HILL NEIGHBORHOOD HOUSE INC ,343 EAST 70TH STREET,NEW YORK,10021,212-744-5905
89,INNOVATIVE SENIOR CENTERS,35M01,YM YWHA INNOVATIVE SENIOR CENTER,YM YWHA OF WASHINGTON HEIGHTS AND INWOOD INC ,54 NAGLE AVENUE,NEW YORK,10040,212-569-6200
90,INNOVATIVE SENIOR CENTERS,45N01,HANAC Harmony JVL Innovative Senior Center,"HANAC, INC. ",27-40 HOYT AVENUE SOUTH,ASTORIA,11102,718-396-5002
91,INNOVATIVE SENIOR CENTERS,45T01,Selfhelp Innovative Senior Center,SELFHELP COMMUNITY SERVICES INC ,45-25 KISSENA BOULEVARD,FLUSHING,11355,718-886-5777
92,INNOVATIVE SENIOR CENTERS,45V01,SNAP Innovative Senior Center,SERVICES NOW FOR ADULT PERSONS INC ,80-45 WINCHESTER  BOULEVARD,QUEENS VILLAGE,11427,718-454-2100
93,INNOVATIVE SENIOR CENTERS,57401,JCC of Staten Island Innovative Senior Center,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,1466 MANOR ROAD,STATEN ISLAND,10314,718-475-5200
94,INNOVATIVE SENIOR CENTERS,64801,VISIONS Innovative Senior Center,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIR,135 WEST 23RD STREET,NEW YORK,10011,646-486-4444
95,INNOVATIVE SENIOR CENTERS,64901,SAGE Innovative Senior Center,"SERVICES AND ADVOCACY FOR GAY,LESBIAN,BISEXUAL AND",305 SEVENTH AVENUE,NEW YORK,10001,212-741-2247
96,LEGAL SERVICES,1AA01,LSNY BRONX,LSNY-BRONX CORPORATION,349 EAST 149TH STREET,BRONX,10451,917-661-4500
97,LEGAL SERVICES,20I01,SOUTH BROOKLYN LEGAL SERVICES INC,BROOKLYN LEGAL SERVICES INC,105 Court Street,Brooklyn,11201,646-442-3563
98,LEGAL SERVICES,22D01,LEGAL SERVICES FOR NEW YORK CITY,LEGAL SERVICES NYC D/B/A LEGAL SERVICES FOR NEW YO,40  WORTH STR,New Yok,10013,646-442-3563
99,LEGAL SERVICES,32V01,MOBILIZATION FOR JUSTICE INC,MOBILIZATION FOR JUSTICE INC  ,100 WILLIAM STREET,NEW YORK,10038,212-417-3700
100,LEGAL SERVICES,40A01,JASA LEGAL SERVICES,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,97-77 QUEENS BOULEVARD,FLUSHING,11374,718-286-1500
101,NEIGHBORHOOD SENIOR CENTE,10101,YM YWHA RIVERDALE Y SENIOR CENTER,YM YWHA OF THE BRONX dba RIVERDALE YM YWHA ,5625 ARLINGTON AVENUE,BRONX,10471,718-548-8200
102,NEIGHBORHOOD SENIOR CENTE,10401,MARBLE HILL NEIGHBORHOOD SENIOR CENTER,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,5365 BROADWAY,Bronx,10463,718-562-8551
103,NEIGHBORHOOD SENIOR CENTE,10A01,MITCHELL NEIGHBORHOOD SENIOR CENTER,EAST SIDE HOUSE INC  ,188 LINCOLN AVENUE,BRONX,10454,718-665-2168
104,NEIGHBORHOOD SENIOR CENTE,10C01,N SHOPP LEON NEIGHBORHOOD SENIOR CENTE,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,735 EAST 152ND STREET,BRONX,10455,718-708-6897
105,NEIGHBORHOOD SENIOR CENTE,10D01,VAN CORTLANDT NEIGHBORHOOD SENIOR CENT,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3880 SEDGWICK AVENUE,BRONX,10463,718-549-4700
106,NEIGHBORHOOD SENIOR CENTE,10H01,E. ROBERT MOORE NEIGHBORHOOD SENIOR CENT,BRONXWORKS INC,515 JACKSON AVENUE,BRONX,10455,718-665-5559
107,NEIGHBORHOOD SENIOR CENTE,10K01,THOMAS GUESS NEIGHBORHOOD SENIOR CENT,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,2070 CLINTON AVENUE,BRONX,10457,718-584-2357
108,NEIGHBORHOOD SENIOR CENTE,11T01,BETANCES NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,607 CONCORD AVE,BRONX,10455,718-292-4922
109,NEIGHBORHOOD SENIOR CENTE,12801,SISTER ANNUNCIATA BETHEL NSC,BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZ,243 EAST 204TH STREET,BRONX,10458,718-365-3725
110,NEIGHBORHOOD SENIOR CENTE,12A01,ARTURO SCHOMBURG NEIGHBORHOOD SENIOR,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1315 FRANKLIN AVENUE,BRONX,10456,718-842-6880
111,NEIGHBORHOOD SENIOR CENTE,12M01,RAIN MT CARMEL NEIGHBORHOOD SENIOR CTR,REGIONAL AID FOR INTERIM NEEDS INC ,2405  SOUTHERN BLVD,BRONX,10458,718-733-8852
112,NEIGHBORHOOD SENIOR CENTE,12R01,BRONX RIVER NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1619 EAST 174TH ST,BRONX,10472,718-617-6334
113,NEIGHBORHOOD SENIOR CENTE,13201,THROGS NECK NEIGHBORHOOD SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2705 SCHLEY AVENUE,BRONX,10465,718-823-1771
114,NEIGHBORHOOD SENIOR CENTE,13D01,DREISER NEIGHBORHOOD SENIOR CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,177 DREISER LOOP,BRONX,10475,718-320-1345
115,NEIGHBORHOOD SENIOR CENTE,13H01,Sister Annunciata Bethell Neighborhood Senior Cent,BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZ,243 EAST 204TH ST,BRONX,10458,718-365-3725
116,NEIGHBORHOOD SENIOR CENTE,13J01,Bronx House Weinberg Neighborhood Senior Center,BRONX HOUSE INC  ,990 PELHAM PARKWAY SOUTH,BRONX,10461,718-792-1800
117,NEIGHBORHOOD SENIOR CENTE,13K01,Heights Neighborhood Senior Center,BRONXWORKS INC,200 WEST TREMONT AVENUE,BRONX,10453,718-299-0300
118,NEIGHBORHOOD SENIOR CENTE,13L01,E. Roberts Moore Neighborhood Senior Center,BRONXWORKS INC,515 JACKSON AVENUE,BRONX,10455,718-665-5559
119,NEIGHBORHOOD SENIOR CENTE,13M01,East Concourse Neighborhood Senior Center,BRONXWORKS INC,236 EAST TREMONT AVENUE,BRONX,10457,718-731-6300
120,NEIGHBORHOOD SENIOR CENTE,13N01,Marble Hill Neighborhood Senior Center,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,5365 BROADWAY,BRONX,10463,718-562-8551
121,NEIGHBORHOOD SENIOR CENTE,13P01,Mosholu Montefiore Neighborhood Senior Center,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,3450 DEKALB AVENUE,BRONX,10467,718-798-6601
122,NEIGHBORHOOD SENIOR CENTE,13Q01,Mitchell Neighborhood Senior Center,EAST SIDE HOUSE INC  ,188 LINCOLN AVENUE,BRONX,10454,718-665-2168
123,NEIGHBORHOOD SENIOR CENTE,13R01,Melrose Mott Haven Neighborhood Senior Center,EAST SIDE HOUSE INC  ,372 EAST 152 STREET,BRONX,10455,718-665-2280
124,NEIGHBORHOOD SENIOR CENTE,13S01,Hope of Israel Neighborhood Senior Center,HOPE OF ISRAEL SENIOR CITIZENS CENTER INC ,1068 GERARD AVENUE,BRONX,10452,718-665-8400
125,NEIGHBORHOOD SENIOR CENTE,13T01,Bronx River Neighborhood Senior Center,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1619 EAST 174TH ST,BRONX,10472,718-617-6334
126,NEIGHBORHOOD SENIOR CENTE,13U01,James Monroe Neighborhood Senior Center,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1776 STORY AVENUE,BRONX,10472,718-893-3484
127,NEIGHBORHOOD SENIOR CENTE,13V01,Arturo Schomburg Neighborhood Senior Center,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,1315 FRANKLIN AVENUE,BRONX,10456,718-842-6880
128,NEIGHBORHOOD SENIOR CENTE,13X01,Betances Neighborhood Senior Center,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY IN,607 CONCORD AVE,BRONX,10455,718-292-4922
129,NEIGHBORHOOD SENIOR CENTE,13Y01,Van Cortlandt Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,3880 SEDGWICK AVENUE,BRONX,10463,718-549-4700
130,NEIGHBORHOOD SENIOR CENTE,13Z01,Coop City Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2049 BARTOW AVENUE,BRONX,10475,718-320-2066
131,NEIGHBORHOOD SENIOR CENTE,14A01,Concourse Plaza Wellness Neighborhood Senior Cente,MID BRONX SENIOR CITIZENS COUNCIL INC ,900 GRAND CONCOURSE,BRONX,10451,718-588-8200
132,NEIGHBORHOOD SENIOR CENTE,14B01,Thomas Guess Neighborhood Senior Center,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,2070 CLINTON AVENUE,BRONX,10457,718-584-2357
133,NEIGHBORHOOD SENIOR CENTE,14C01,Bay Eden Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1220 EAST 229TH STREET,BRONX,10466,718-882-3815
134,NEIGHBORHOOD SENIOR CENTE,14D01,Dreiser Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,177 DREISER LOOP,BRONX,10475,718-320-1345
135,NEIGHBORHOOD SENIOR CENTE,14E01,Throggs Neck Neighborhood Senior Center,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2705 SCHLEY AVENUE,BRONX,10465,718-823-1771
