,row_id,product_type,product_name,metal,concentration,units,manufacturer,made_in_country,collection_date,deleted
20,616,Food Other,Yellow Food Coloring,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2012-10-11T00:00:00.000,No
21,1468,Dietary Supplement/Medications/Remedy,Herbal mixture,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-03-26T00:00:00.000,No
22,211,Food Other,Bon Bon Bum,Lead,-1.0,ppm,Colombina,DOMINICAN REPUBLIC,2011-06-07T00:00:00.000,No
23,852,Dietary Supplement/Medications/Remedy,Sahacharadi Thailam Mezhupakam (Ayurvedic),Mercury,-1.0,ppm,Vaidyaratnam Oushadhasala (P) Ltd,INDIA,2013-07-17T00:00:00.000,No
24,1262,Food-Spice,Turmeric,Lead,790.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2015-01-26T00:00:00.000,No
25,793,Food-Spice,Fried Rice Seasoning,Lead,-1.0,ppm,Chief,TRINIDAD AND TOBAGO,2013-06-03T00:00:00.000,No
26,1410,Dietary Supplement/Medications/Remedy,Arshoghni Bati (Ayurvedic),Mercury,23.0,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd",INDIA,2015-02-25T00:00:00.000,No
27,768,Food Other,Rice and lentil,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2013-03-29T00:00:00.000,No
28,515,Toys/Children's Products,Princess Dominoes,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-06-15T00:00:00.000,No
29,427,Jewelry,Bracelet,Lead,1300.0,ppm,Sammi,UNKNOWN OR NOT STATED,2012-04-11T00:00:00.000,No
30,1014,Tableware/Pottery,Clay cup,Lead,2900.0,ppm,UNKNOWN OR NOT STATED,MEXICO,2013-12-23T00:00:00.000,No
31,905,Dietary Supplement/Medications/Remedy,Herbal remedy for reproductive health (dark brown powder),Mercury,0.079,ppm,UNKNOWN OR NOT STATED,PAKISTAN,2013-09-24T00:00:00.000,No
32,1422,Religious powder,Holi Color - Pink,Lead,1.5,ppm,UNKNOWN OR NOT STATED,INDIA,2015-02-25T00:00:00.000,No
33,722,Food-Spice,Turmeric,Lead,640.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2013-02-20T00:00:00.000,No
34,955,Dietary Supplement/Medications/Remedy,Vasant Kusumakar Ras With Gold & Pearl (Ayurvedic),Mercury,39000.0,ppm,Dabur India Ltd.,INDIA,2013-11-15T00:00:00.000,No
35,472,Other,Sacred candle,Lead,16.0,ppm,UNKNOWN OR NOT STATED,DOMINICAN REPUBLIC,2012-05-30T00:00:00.000,No
36,253,Food Other,Churritos,Lead,-1.0,ppm,Kipi,UNKNOWN OR NOT STATED,2011-07-20T00:00:00.000,No
37,116,Food Other,Ambroxol Hydrochloride BP,Lead,-1.0,ppm,Square Pharmacuetical,BANGLADESH,2011-04-18T00:00:00.000,No
38,644,Religious powder,Red Sindoor,Lead,2.9,ppm,UNKNOWN OR NOT STATED,INDIA,2012-11-21T00:00:00.000,No
39,909,Food-Candy,Huevitos,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,ECUADOR,2013-09-25T00:00:00.000,No
40,630,Food-Spice,Black pepper,Lead,2.6,ppm,UNKNOWN OR NOT STATED,MOROCCO,2012-10-22T00:00:00.000,No
41,1415,Dietary Supplement/Medications/Remedy,Shankh Bati (Ayurvedic),Mercury,6200.0,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd.",INDIA,2015-02-25T00:00:00.000,No
42,331,Food-Spice,Georgian spice (Utsko Suneli),Lead,260.0,ppm,UNKNOWN OR NOT STATED,GEORGIA,2011-12-05T00:00:00.000,No
43,762,Dietary Supplement/Medications/Remedy,Piperine 4 (Homeopathic),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2013-03-29T00:00:00.000,No
44,1224,Food-Spice,Turmeric powder,Lead,16.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2014-10-10T00:00:00.000,No
45,185,Food Other,Chinese Mushrooms,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,CHINA,2011-05-20T00:00:00.000,No
46,184,Food-Spice,Turmeric powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2011-05-17T00:00:00.000,No
47,1294,Food-Spice,Turmeric powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2015-02-25T00:00:00.000,No
48,865,Toys/Children's Products,Crayon,Lead,1.2,ppm,Crayola,UNITED STATES,2013-07-23T00:00:00.000,No
49,927,Food-Spice,Pink Milk Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-10-22T00:00:00.000,No
50,626,Food-Spice,Ginger powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MOROCCO,2012-10-22T00:00:00.000,No
51,468,Dietary Supplement/Medications/Remedy,Loratadina,Lead,-1.0,ppm,"PRODUCTOS MAVER, S.A. DE C.V.",MEXICO,2012-05-23T00:00:00.000,No
52,1120,Food-Spice,Georgian 'Adjeeka',Lead,45.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2014-04-29T00:00:00.000,No
53,1196,Food-Spice,Tandoori Masala,Lead,0.45,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2014-08-22T00:00:00.000,No
54,164,Food-Spice,Red pepper,Lead,9.9,ppm,UNKNOWN OR NOT STATED,GEORGIA,2011-05-04T00:00:00.000,No
55,113,Food-Spice,Turmeric,Lead,5.5,ppm,Radhuni,BANGLADESH,2011-04-18T00:00:00.000,No
56,558,Toys/Children's Products,Modeling Clay,Lead,4.3,ppm,UNKNOWN OR NOT STATED,CHINA,2012-08-10T00:00:00.000,No
57,1552,Dietary Supplement/Medications/Remedy,Suvarmu Prasan (Ayurvedic),Mercury,0.15,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-10-07T00:00:00.000,No
58,570,Food-Spice,Spice,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-08-31T00:00:00.000,No
59,968,Dietary Supplement/Medications/Remedy,Madhunashini Vati (Ayurvedic),Lead,6.7,ppm,Divya Pharmacy,INDIA,2013-11-15T00:00:00.000,No
60,1626,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/ Tian Wang Bu Xin Wan,Lead,1.1,ppm,Lanzhou Traditional Herbs,CHINA,2015-12-16T00:00:00.000,No
61,112,Food-Spice,Cumin,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-04-15T00:00:00.000,No
62,321,Food Other,Mole Poblano,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MEXICO,2011-11-15T00:00:00.000,No
63,929,Food-Spice,Vegetable soup powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-10-22T00:00:00.000,No
64,622,Food-Spice,Unlabeled Green Leafy Herb,Lead,5.4,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-10-16T00:00:00.000,No
65,758,Dietary Supplement/Medications/Remedy,Homeopathic remedy for stomach disorder,Arsenic,-1.0,ppm,Kapsons Homoeo Clinics & Pharmacies,INDIA,2013-03-29T00:00:00.000,No
66,235,Toys/Children's Products,Toy bus,Lead,22.0,ppm,Devrian Global Industries LLC,CHINA,2011-06-25T00:00:00.000,No
67,378,Food-Spice,Asafoetida (Hing),Lead,3.6,ppm,UNKNOWN OR NOT STATED,INDIA,2012-01-23T00:00:00.000,No
68,1285,Toys/Children's Products,Sensory Toy (yellow banana),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNITED STATES,2015-02-25T00:00:00.000,No
69,782,Cosmetics,Surma (Hashmi),Lead,930000.0,ppm,HASHMI,PAKISTAN,2013-04-17T00:00:00.000,No
70,878,Food Other,Donitas,Lead,-1.0,ppm,"Fritos Totis, S.A. DE C.V.",MEXICO,2013-07-26T00:00:00.000,No
71,510,Food-Spice,Seasoned Salt,Lead,410.0,ppm,UNKNOWN OR NOT STATED,GEORGIA,2012-06-15T00:00:00.000,No
72,1015,Food Other,Chapulines,Lead,1800.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-12-24T00:00:00.000,No
73,573,Toys/Children's Products,Crayon,Lead,0.96,ppm,UNKNOWN OR NOT STATED,CHINA,2012-09-04T00:00:00.000,No
74,1214,Toys/Children's Products,Painted metal car,Lead,0.81,ppm,Mattel,THAILAND,2014-09-11T00:00:00.000,No
75,274,Dietary Supplement/Medications/Remedy,Ovarin (Ayurvedic),Arsenic,5.2,ppm,Ban Labs Ltd.,INDIA,2011-08-25T00:00:00.000,No
76,216,Dietary Supplement/Medications/Remedy,Kankayan Bati (Gulma) (Ayurvedic),Lead,12.0,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2011-06-13T00:00:00.000,No
77,996,Dietary Supplement/Medications/Remedy,VigoRoyal (Ayurvedic),Arsenic,5.9,ppm,UNKNOWN OR NOT STATED,INDIA,2013-12-10T00:00:00.000,No
78,669,Dietary Supplement/Medications/Remedy,Abhrak Bhasma (Ayurvedic),Arsenic,1200.0,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2012-12-03T00:00:00.000,No
79,1212,Toys/Children's Products,Painted metal car,Lead,-1.0,ppm,Hot Wheels,THAILAND,2014-09-11T00:00:00.000,No
80,405,Food-Spice,Mixed spices,Lead,23.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-03-30T00:00:00.000,No
81,1328,Dietary Supplement/Medications/Remedy,Agnitundi Bati (Ayurvedic),Mercury,14000.0,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2015-02-25T00:00:00.000,No
82,363,Dietary Supplement/Medications/Remedy,Phal (Ayurvedic),Mercury,-1.0,ppm,Shree Aushadh Pratisthan,INDIA,2012-01-23T00:00:00.000,No
83,962,Dietary Supplement/Medications/Remedy,Gita Madhumehantak Vati (Ayurvedic),Cadmium,-1.0,ppm,Gita Bhawan Ayurved Sansthan,INDIA,2013-11-15T00:00:00.000,No
84,393,Toys/Children's Products,Mario Toy,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-02-23T00:00:00.000,No
85,940,Food-Spice,Mixed spices,Lead,1.0,ppm,UNKNOWN OR NOT STATED,JORDAN,2013-10-25T00:00:00.000,No
86,150,Food Other,Chocolate,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-05-03T00:00:00.000,No
87,1118,Food-Spice,Svanuri Mareeli - Svanetian salt,Lead,4400.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2014-04-29T00:00:00.000,No
88,82,Food Other,Orange food coloring,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MOROCCO,2011-04-06T00:00:00.000,No
89,1019,Toys/Children's Products,Toy car,Lead,-1.0,ppm,Melissa and Doug,UNITED STATES,2013-12-27T00:00:00.000,No
90,377,Food Other,Gooseberry,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2012-01-23T00:00:00.000,No
91,465,Jewelry,Necklace,Lead,1.4,ppm,UNKNOWN OR NOT STATED,MEXICO,2012-05-16T00:00:00.000,No
92,892,Food-Spice,Cinnamon stick,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2013-08-29T00:00:00.000,No
93,79,Food-Spice,Safflower-yellow flower,Lead,12.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-04-04T00:00:00.000,No
94,895,Food-Spice,Yellow mustard,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MALI,2013-09-04T00:00:00.000,No
95,1117,Food-Spice,Georgian 'Tkemali' - Red plum sauce,Lead,1.1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2014-04-29T00:00:00.000,No
96,159,Cosmetics,Lipstick,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,GEORGIA,2011-05-04T00:00:00.000,No
97,1177,Food-Spice,Saunuri Marili,Lead,1500.0,ppm,UNKNOWN OR NOT STATED,GEORGIA,2014-08-14T00:00:00.000,No
98,72,Dietary Supplement/Medications/Remedy,Vasant Kusumakar Ras with Gold and Pearl (Ayur),Mercury,31000.0,ppm,Dabur India LTD.,INDIA,2011-03-30T00:00:00.000,No
99,1502,Food Other,Farina (cereal),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNITED STATES,2015-06-09T00:00:00.000,No
100,338,Food-Spice,Georgian spice,Lead,420.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-12-12T00:00:00.000,No
101,461,Jewelry,Necklace,Lead,1.2,ppm,UNKNOWN OR NOT STATED,MEXICO,2012-05-16T00:00:00.000,No
102,1039,Food-Spice,Black pepper powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,SAUDI ARABIA,2014-01-17T00:00:00.000,No
103,78,Food-Spice,Turmeric,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-04-04T00:00:00.000,No
104,1481,Food-Spice,Georgian spice,Lead,0.57,ppm,UNKNOWN OR NOT STATED,GEORGIA,2015-04-02T00:00:00.000,No
105,1414,Dietary Supplement/Medications/Remedy,Shankh Bati (Ayurvedic),Lead,36.0,ppm,"Shree Baidyanath, Ayurved Bhawan Pvt. Ltd.",INDIA,2015-02-25T00:00:00.000,No
106,685,Food-Spice,Garam Masala,Lead,8.8,ppm,MOHO?,UNKNOWN OR NOT STATED,2012-12-18T00:00:00.000,No
107,115,Food-Spice,Cumin Powder,Lead,-1.0,ppm,Radhuni,BANGLADESH,2011-04-18T00:00:00.000,No
108,815,Food-Candy,Zaza cream chewy candy,Lead,-1.0,ppm,PECCIN,BRAZIL,2013-06-19T00:00:00.000,No
109,1346,Religious powder,Kumkuman,Lead,-1.0,ppm,Y.V.S.,INDIA,2015-02-25T00:00:00.000,No
110,1546,Food-Spice,Jaifal (Nutmeg),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-10-07T00:00:00.000,No
111,488,Cosmetics,Mud Facial,Lead,14.0,ppm,UNKNOWN OR NOT STATED,LIBERIA,2012-06-07T00:00:00.000,No
112,1319,Dietary Supplement/Medications/Remedy,Arogyavardhini Bati (Ayurvedic),Lead,82.0,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2015-02-25T00:00:00.000,No
113,165,Food-Spice,Georgian spice (yellow flower),Lead,1700.0,ppm,UNKNOWN OR NOT STATED,GEORGIA,2011-05-04T00:00:00.000,No
114,1124,Food Other,Georgian 'Kaklis Muraba' or 'Walnut Jam',Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2014-04-29T00:00:00.000,No
115,294,Food-Spice,Spice,Lead,0.76,ppm,UNKNOWN OR NOT STATED,UZBEKISTAN,2011-09-08T00:00:00.000,No
116,13,Food-Spice,Garam masala,Lead,3.8,ppm,UNKNOWN OR NOT STATED,INDIA,2011-01-19T00:00:00.000,No
117,1206,Religious powder,Saffron,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2014-09-08T00:00:00.000,No
118,1610,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/Tian Wang Bu Xin Wan,Arsenic,2.3,ppm,Lanzhou Traditional Herbs,CHINA,2015-12-16T00:00:00.000,No
119,1302,Dietary Supplement/Medications/Remedy,Gaisantak Bati (Ayurvedic),Lead,3.1,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2015-02-25T00:00:00.000,No
120,47,Dietary Supplement/Medications/Remedy,Adusol (Ayurvedic),Lead,0.015,ppm,Ajanta Medicals PVT. LTD,INDIA,2011-03-10T00:00:00.000,No
121,186,Food Other,Chinese yams (dried),Lead,2.2,ppm,UNKNOWN OR NOT STATED,CHINA,2011-05-20T00:00:00.000,No
122,928,Food-Spice,Vegetable Hot Soup Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-10-22T00:00:00.000,No
123,998,Dietary Supplement/Medications/Remedy,VigoRoyal (Ayurvedic),Mercury,96.0,ppm,UNKNOWN OR NOT STATED,INDIA,2013-12-10T00:00:00.000,No
124,1158,Dietary Supplement/Medications/Remedy,Bo Ying Compund,Lead,2.2,ppm,Eu Yan Sang International Limited,UNITED STATES,2014-07-29T00:00:00.000,No
125,251,Food-Candy,Tarrito Lollipop (Dulces Vero) candy,Lead,-1.0,ppm,Dulces Vero,MEXICO,2011-07-20T00:00:00.000,No
126,1421,Religious powder,Holi Color - Pink,Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2015-02-25T00:00:00.000,No
127,857,Dietary Supplement/Medications/Remedy,Chandraprabha Vati (B.R.) (Ayurvedic),Mercury,12.0,ppm,Divya Pharmacy,INDIA,2013-07-17T00:00:00.000,No
128,1068,Other,Miss Dior Perfume,Lead,-1.0,ppm,Dior,FRANCE,2014-04-01T00:00:00.000,No
129,1574,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/Tian Wang Bu Xin Wan,Arsenic,1.7,ppm,Lanzhou Traditional Herbs,CHINA,2015-12-03T00:00:00.000,No
130,191,Food Other,Black cloud Ears Fungus,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,CHINA,2011-05-20T00:00:00.000,No
131,957,Dietary Supplement/Medications/Remedy,Gita Madhumehantak Vati (Ayurvedic),Arsenic,-1.0,ppm,Gita Bhawan Ayurved Sansthan,INDIA,2013-11-15T00:00:00.000,No
132,304,Food Other,Seeds (Semilla de Calabasa),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-10-06T00:00:00.000,No
133,445,Food-Spice,Jumbo Aroma,Lead,0.84,ppm,Jumbo UK Limited,UNITED KINGDOM,2012-05-02T00:00:00.000,No
134,723,Food Other,Spicy Trail Mix,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2013-02-20T00:00:00.000,No
135,1037,Dietary Supplement/Medications/Remedy,Katinko Ointment,Lead,-1.0,ppm,Greenstone Pharmaceutical H.K. inc,PHILIPPINES,2014-01-17T00:00:00.000,No
136,1317,Dietary Supplement/Medications/Remedy,Arogyavardhini Bati (Ayurvedic),Arsenic,13.0,ppm,Shree Baidyanath Ayurved Bhawan (P) Ltd.,INDIA,2015-02-25T00:00:00.000,No
137,1060,Food-Spice,Chili powder,Lead,-1.0,ppm,National Chili,PAKISTAN,2014-02-27T00:00:00.000,No
138,1582,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/Tian Wang Bu Xin Wan,Mercury,-1.0,ppm,Lanzhou Traditional Herbs,CHINA,2015-12-03T00:00:00.000,No
139,808,Dietary Supplement/Medications/Remedy,Herbs (Fleeceflower Tea),Lead,-1.0,ppm,Jiangyin Tianjiang herb Work Co,CHINA,2013-06-12T00:00:00.000,No
140,449,Food-Spice,Coriander,Lead,-1.0,ppm,Swad,INDIA,2012-05-11T00:00:00.000,No
141,718,Food-Spice,Turmeric Powder,Lead,2.7,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-02-14T00:00:00.000,No
142,845,Dietary Supplement/Medications/Remedy,Kapikachhu (Ayurvedic),Mercury,0.31,ppm,The Himalaya Drug Company,INDIA,2013-07-17T00:00:00.000,No
143,1485,Tableware/Pottery,Kansa Bowl and Spoon Set,Lead,4.6,MG/CM^2,UNKNOWN OR NOT STATED,INDIA,2015-04-16T00:00:00.000,No
144,1090,Cosmetics,Dermaline Skin Lighting Cream,Mercury,-1.0,ppm,"Leivon Cosmetics,Inc Division",DOMINICAN REPUBLIC,2014-04-01T00:00:00.000,No
145,373,Food-Spice,Turmeric powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2012-01-23T00:00:00.000,No
146,579,Food-Spice,Oregano,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,DOMINICAN REPUBLIC,2012-09-05T00:00:00.000,No
147,580,Food Other,Soil from potted plants,Lead,13.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2012-09-05T00:00:00.000,No
148,786,Dietary Supplement/Medications/Remedy,Sleep aid (Herbal capsules),Lead,1400.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-05-03T00:00:00.000,No
149,1355,Dietary Supplement/Medications/Remedy,Marichyadi Bati (Ayurvedic),Arsenic,6.5,ppm,Shree Baidyanath; Ayurved Bhawan Pvt. Ltd.,INDIA,2015-02-25T00:00:00.000,No
150,309,Food-Spice,Seasoning,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-10-20T00:00:00.000,No
151,730,Food-Spice,Turmeric,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2013-03-05T00:00:00.000,No
152,1571,Dietary Supplement/Medications/Remedy,Emperor's Tea Pill (Conc)/Tian Wang Bu Xin Wan,Arsenic,1.6,ppm,Lanzhou Traditional Herbs,CHINA,2015-12-03T00:00:00.000,No
153,1518,Toys/Children's Products,Crayon,Lead,1.6,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2015-08-06T00:00:00.000,No
154,1062,Food-Spice,Chili powder,Lead,1.1,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2014-02-28T00:00:00.000,No
155,125,Food Other,Dried fish,Lead,2.2,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-04-19T00:00:00.000,No
156,1517,Dietary Supplement/Medications/Remedy,Talco,Lead,-1.0,ppm,Simonds,CHILE,2015-07-24T00:00:00.000,No
157,1203,Food-Spice,Black Pepper,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2014-09-05T00:00:00.000,No
158,231,Dietary Supplement/Medications/Remedy,Garbhapal Ras (Ayurvedic),Mercury,19000.0,ppm,UNKNOWN OR NOT STATED,INDIA,2011-06-21T00:00:00.000,No
159,441,Food-Candy,Rebanaditas lollipop,Lead,-1.0,ppm,Candy Pops S.A. DE C.V.,MEXICO,2012-04-30T00:00:00.000,No
160,635,Cosmetics,Kumkum powder,Lead,15.0,ppm,UNKNOWN OR NOT STATED,INDIA,2012-11-21T00:00:00.000,No
161,182,Dietary Supplement/Medications/Remedy,Bal Sathi Children's Capillary (Ayurvedic),Lead,0.79,ppm,M/S. Vaidya Jagannath G. Dwivedi,INDIA,2011-05-17T00:00:00.000,No
162,701,Food-Spice,Chili powder,Lead,-1.0,ppm,National Foods Limited (intl division),PAKISTAN,2013-01-25T00:00:00.000,No
163,1541,Toys/Children's Products,Wooden toy block,Lead,52.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-10-02T00:00:00.000,No
164,349,Food-Spice,Coriander powder,Lead,-1.0,ppm,SQUARE CONSUMER PRODUCTS LTD,BANGLADESH,2011-12-15T00:00:00.000,No
165,947,Food-Spice,Yellow brown spice,Lead,1.7,ppm,UNKNOWN OR NOT STATED,PAKISTAN,2013-11-01T00:00:00.000,No
166,121,Food-Spice,Coriander powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2011-04-19T00:00:00.000,No
167,936,Food-Spice,Georgian spice (Hot Pepper),Lead,1.8,ppm,UNKNOWN OR NOT STATED,GEORGIA,2013-10-25T00:00:00.000,No
168,1046,Food-Spice,Red hot rouge chaud,Lead,-1.0,ppm,Al-Durra food products co.,IRAN (ISLAMIC REPUBLIC OF),2014-01-17T00:00:00.000,No
169,1551,Dietary Supplement/Medications/Remedy,Suvarmu Prasan (Ayurvedic),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2015-10-07T00:00:00.000,No
170,704,Food-Spice,Curry,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,GUYANA,2013-02-02T00:00:00.000,No
