providertype,dfta_id,contractyear,sponsorname,programname,serviceid,servicename,reportedmonth,reportedunits
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Sep 2019,2
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Jul 2019,125
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Sep 2019,215
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Aug 2019,0
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Sep 2019,1
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Jul 2019,317
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Aug 2019,34
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Sep 2019,0
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Aug 2019,122
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Jul 2019,6
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Aug 2019,5
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Aug 2019,340
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Aug 2019,0
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Sep 2019,413
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Sep 2019,48
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Jul 2019,2
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Jul 2019,0
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Jul 2019,214
ELDER ABUSE SERVICES CONTRACTS,2e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Jul 2019,2
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Oct 2019,1
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Oct 2019,62
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Oct 2019,16
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Oct 2019,4
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Oct 2019,396
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Oct 2019,12
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Oct 2019,6
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Jul 2019,7
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Aug 2019,16
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Aug 2019,0
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Sep 2019,8
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Jul 2019,4
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Sep 2019,3
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Aug 2019,5
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Aug 2019,89
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Sep 2019,16
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Aug 2019,323
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Sep 2019,388
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Sep 2019,68
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Jul 2019,3
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Aug 2019,4
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Jul 2019,408
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Jul 2019,77
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Sep 2019,0
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Sep 2019,3
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Jul 2019,16
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Aug 2019,12
ELDER ABUSE SERVICES CONTRACTS,3e+201,2020,CARTER BURDEN NETWORK INC.,CARTER BURDEN ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Jul 2019,0
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Nov 2019,73
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Nov 2019,6
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Nov 2019,377
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Nov 2019,204
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Nov 2019,3
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Nov 2019,238
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Nov 2019,0
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Nov 2019,0
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Oct 2019,149
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Oct 2019,2
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Oct 2019,10
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Oct 2019,561
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Oct 2019,3
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Oct 2019,68
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Oct 2019,241
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Oct 2019,4
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Sep 2019,356
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Aug 2019,240
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EATR,ELDER ABUSE TRANSPORT,Jul 2019,56
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Jul 2019,2
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Jul 2019,0
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Aug 2019,146
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EADL,ELDER ABUSE SECURITY DEV,Sep 2019,7
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EACN,ELDER ABUSE COUNSELING,Sep 2019,147
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAED,ELDER ABUSE EDUC/OUTREACH,Sep 2019,1
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EALG,ELDER ABUSE LEGAL,Jul 2019,238
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAOT,ELDER ABUSE OTHER,Sep 2019,0
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Sep 2019,1
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,SCCA,SR CTR CASE ASSISTANCE,Aug 2019,348
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Aug 2019,0
ELDER ABUSE SERVICES CONTRACTS,4e+101,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA ELDER ABUSE,EAFA,ELDER ABUSE FINANCE ASST,Jul 2019,6
