,material,aggregate_percent,refuse_percent,mgp_percent,paper_percent,organic_percent,material_group,dsny_diversion_summary,loacation
32,Empty Aerosol Cans,0.002,0.001,0.006,0.0,0.0,Metal,Designated MGP,Citywide
33,Other Ferrous,0.011,0.005,0.072,0.002,0.0,Metal,Designated MGP,Citywide
34,Mixed Metals,0.008,0.007,0.027,0.0,0.0,Metal,Designated MGP,Citywide
35,Appliances: Ferrous,0.003,0.001,0.025,0.0,0.0,Metal,Designated MGP,Citywide
36,Appliances: Non-Ferrous,0.001,0.001,0.006,0.0,0.0,Metal,Designated MGP,Citywide
37,Yard Waste,0.055,0.065,0.0,0.0,0.599,Organic,Organics Suitable for Composting,Citywide
38,Food,0.207,0.251,0.025,0.009,0.31,Organic,Organics Suitable for Composting,Citywide
39,Non-C&D Wood,0.004,0.005,0.002,0.002,0.0,Organic,Other,Citywide
40,Textiles: Non-Clothing,0.023,0.029,0.002,0.001,0.001,Organic,Textiles,Citywide
41,Textiles: Clothing,0.029,0.035,0.002,0.001,0.002,Organic,Textiles,Citywide
42,Carpet/Upholstery,0.014,0.017,0.0,0.0,0.002,Organic,Other,Citywide
43,Disposable Diapers/Sanitary Products,0.042,0.052,0.001,0.001,0.003,Organic,Other,Citywide
44,Animal By-Products,0.014,0.017,0.001,0.0,0.001,Organic,Other,Citywide
45,Shoes/Rubber/Leather,0.011,0.012,0.005,0.001,0.001,Organic,Textiles,Citywide
46,Fines,0.028,0.033,0.015,0.002,0.004,Organic,Other,Citywide
47,Miscellaneous Organics,0.006,0.007,0.002,0.0,0.004,Organic,Other,Citywide
48,Audio/Visual Equipment-TV Peripherals (Covered),0.0,0.0,0.0,0.0,0.0,E-Waste,E-Waste,Citywide
49,Audio/Visual Equipment-Other (Non-Covered),0.001,0.001,0.003,0.0,0.001,E-Waste,E-Waste,Citywide
50,Computer Monitors,0.0,0.0,0.001,0.0,0.0,E-Waste,E-Waste,Citywide
51,Televisions,0.0,0.0,0.0,0.0,0.0,E-Waste,E-Waste,Citywide
52,Other Computer Equipment,0.001,0.001,0.003,0.001,0.0,E-Waste,E-Waste,Citywide
53,Untreated Dimensional Lumber/Pallets/Crates,0.004,0.004,0.0,0.0,0.0,C&D,C&D,Citywide
54,Treated/Contaminated Wood,0.02,0.024,0.001,0.0,0.0,C&D,C&D,Citywide
55,Other C&D Debris Not Elsewhere Classified,0.021,0.026,0.003,0.001,0.001,C&D,C&D,Citywide
56,Oil Filters,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Citywide
57,Antifreeze,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Citywide
58,Wet-Cell Batteries,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Citywide
59,Water-Based Adhesives/Glues,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Citywide
60,Latex Paint,0.001,0.001,0.001,0.0,0.0,Special Waste,HHW,Citywide
61,Oil-Based Paint/Solvent,0.0,0.0,0.001,0.0,0.0,Special Waste,HHW,Citywide
62,Pesticides/Herbicides/Rodenticides,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Citywide
63,Dry-Cell Batteries,0.001,0.001,0.001,0.0,0.0,Special Waste,HHW,Citywide
64,Fluorescent Tubes/CFLs,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Citywide
65,Mercury-Laden Wastes,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Citywide
66,Compressed Gas Cylinders/Fire Extinguishers,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Citywide
67,Home Medical Products,0.002,0.002,0.001,0.0,0.0,Special Waste,HHW,Citywide
68,Other Potentially Harmful Wastes,0.001,0.001,0.001,0.0,0.0,Special Waste,HHW,Citywide
69,Miscellaneous Inorganics,0.008,0.008,0.011,0.001,0.001,Miscellaneous Inorganics,Other,Citywide
70,Newspaper,0.018,0.011,0.004,0.101,0.0,Paper,Designated Paper,Brooklyn
71,Plain OCC/Kraft Paper,0.056,0.012,0.016,0.481,0.0,Paper,Designated Paper,Brooklyn
72,High Grade Paper,0.004,0.004,0.0,0.017,0.0,Paper,Designated Paper,Brooklyn
73,Mixed Low Grade Paper,0.085,0.066,0.026,0.32,0.008,Paper,Designated Paper,Brooklyn
74,Paper: Compostable/Soiled/Waxed OCC/Kraft,0.084,0.081,0.007,0.011,0.023,Paper,Organics Suitable for Composting,Brooklyn
75,Other Nonrecyclable Paper,0.01,0.01,0.008,0.005,0.004,Paper,Other,Brooklyn
76,Paper Beverage Cartons/Aseptic Boxes,0.004,0.003,0.013,0.004,0.001,Paper,Designated MGP,Brooklyn
77,#1 PET Bottles,0.014,0.013,0.063,0.002,0.001,Plastic,Designated MGP,Brooklyn
78,#2 HDPE Natural Bottles,0.005,0.003,0.031,0.0,0.0,Plastic,Designated MGP,Brooklyn
79,#2 HDPE Pigmented Bottles,0.005,0.003,0.029,0.0,0.0,Plastic,Designated MGP,Brooklyn
80,Other Plastic Bottles,0.001,0.001,0.006,0.0,0.0,Plastic,Designated MGP,Brooklyn
81,Rigid Plastic Containers/Packaging,0.018,0.015,0.062,0.004,0.004,Plastic,Designated MGP,Brooklyn
82,#6 EPS Containers/Packaging (including Single Use),0.008,0.01,0.002,0.003,0.001,Plastic,Other,Brooklyn
83,Film Plastic: Retail Bags/Sleeves,0.021,0.026,0.01,0.002,0.005,Plastic,Plastic Bags,Brooklyn
84,Film Plastic: Garbage Bags,0.024,0.03,0.025,0.01,0.009,Plastic,Other,Brooklyn
85,Film Plastic: Food/Drink Pouches,0.0,0.0,0.001,0.0,0.0,Plastic,Other,Brooklyn
86,Film Plastic: All Other Film,0.026,0.028,0.012,0.003,0.007,Plastic,Other,Brooklyn
87,Single Use Plastic Plates/Cups/Cutlery (excluding EPS),0.008,0.005,0.007,0.001,0.001,Plastic,Designated MGP,Brooklyn
88,Appliances: Plastic,0.001,0.002,0.003,0.0,0.0,Plastic,Designated MGP,Brooklyn
89,Bulk/Rigid Plastic,0.011,0.013,0.055,0.005,0.005,Plastic,Designated MGP,Brooklyn
90,Other Plastics,0.012,0.012,0.023,0.002,0.001,Plastic,Designated MGP,Brooklyn
91,Clear Container Glass,0.017,0.01,0.096,0.002,0.001,Glass,Designated MGP,Brooklyn
92,Green Container Glass,0.005,0.002,0.041,0.001,0.0,Glass,Designated MGP,Brooklyn
93,Brown Container Glass,0.003,0.003,0.018,0.0,0.0,Glass,Designated MGP,Brooklyn
94,Other Color Container Glass,0.001,0.0,0.003,0.0,0.0,Glass,Designated MGP,Brooklyn
95,Mixed Cullet,0.012,0.004,0.107,0.003,0.0,Glass,Designated MGP,Brooklyn
96,Other Glass,0.003,0.003,0.008,0.001,0.0,Glass,Other,Brooklyn
97,Aluminum Cans,0.003,0.003,0.011,0.0,0.0,Metal,Designated MGP,Brooklyn
98,Aluminum Foil/Containers,0.009,0.008,0.014,0.0,0.0,Metal,Designated MGP,Brooklyn
99,Other Aluminum,0.0,0.0,0.002,0.0,0.0,Metal,Designated MGP,Brooklyn
100,Other Non-Ferrous,0.002,0.004,0.009,0.001,0.0,Metal,Designated MGP,Brooklyn
101,Steel/Tin Food Cans,0.008,0.007,0.044,0.001,0.0,Metal,Designated MGP,Brooklyn
102,Empty Aerosol Cans,0.001,0.001,0.005,0.0,0.0,Metal,Designated MGP,Brooklyn
103,Other Ferrous,0.013,0.003,0.092,0.004,0.0,Metal,Designated MGP,Brooklyn
104,Mixed Metals,0.008,0.005,0.023,0.0,0.0,Metal,Designated MGP,Brooklyn
105,Appliances: Ferrous,0.004,0.001,0.026,0.0,0.0,Metal,Designated MGP,Brooklyn
106,Appliances: Non-Ferrous,0.001,0.0,0.006,0.0,0.0,Metal,Designated MGP,Brooklyn
107,Yard Waste,0.045,0.039,0.0,0.0,0.567,Organic,Organics Suitable for Composting,Brooklyn
108,Food,0.207,0.264,0.028,0.008,0.343,Organic,Organics Suitable for Composting,Brooklyn
109,Non-C&D Wood,0.003,0.002,0.002,0.001,0.0,Organic,Other,Brooklyn
110,Textiles: Non-Clothing,0.023,0.035,0.002,0.001,0.0,Organic,Textiles,Brooklyn
111,Textiles: Clothing,0.026,0.057,0.004,0.001,0.0,Organic,Textiles,Brooklyn
112,Carpet/Upholstery,0.017,0.019,0.0,0.0,0.0,Organic,Other,Brooklyn
113,Disposable Diapers/Sanitary Products,0.044,0.059,0.002,0.0,0.002,Organic,Other,Brooklyn
114,Animal By-Products,0.015,0.015,0.001,0.0,0.001,Organic,Other,Brooklyn
115,Shoes/Rubber/Leather,0.013,0.011,0.009,0.001,0.003,Organic,Textiles,Brooklyn
116,Fines,0.031,0.026,0.014,0.002,0.005,Organic,Other,Brooklyn
117,Miscellaneous Organics,0.007,0.005,0.002,0.0,0.001,Organic,Other,Brooklyn
118,Audio/Visual Equipment-TV Peripherals (Covered),0.0,0.0,0.0,0.0,0.0,E-Waste,E-Waste,Brooklyn
119,Audio/Visual Equipment-Other (Non-Covered),0.001,0.001,0.004,0.0,0.002,E-Waste,E-Waste,Brooklyn
120,Computer Monitors,0.0,0.002,0.0,0.0,0.0,E-Waste,E-Waste,Brooklyn
121,Televisions,0.0,0.001,0.0,0.0,0.0,E-Waste,E-Waste,Brooklyn
122,Other Computer Equipment,0.001,0.001,0.002,0.0,0.001,E-Waste,E-Waste,Brooklyn
123,Untreated Dimensional Lumber/Pallets/Crates,0.005,0.0,0.0,0.0,0.0,C&D,C&D,Brooklyn
124,Treated/Contaminated Wood,0.023,0.03,0.001,0.0,0.0,C&D,C&D,Brooklyn
125,Other C&D Debris Not Elsewhere Classified,0.021,0.019,0.002,0.002,0.0,C&D,C&D,Brooklyn
126,Oil Filters,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Brooklyn
127,Antifreeze,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Brooklyn
128,Wet-Cell Batteries,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Brooklyn
129,Water-Based Adhesives/Glues,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Brooklyn
130,Latex Paint,0.001,0.001,0.001,0.0,0.0,Special Waste,HHW,Brooklyn
131,Oil-Based Paint/Solvent,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Brooklyn
132,Pesticides/Herbicides/Rodenticides,0.0,0.0,0.001,0.0,0.0,Special Waste,HHW,Brooklyn
133,Dry-Cell Batteries,0.0,0.001,0.001,0.0,0.0,Special Waste,HHW,Brooklyn
134,Fluorescent Tubes/CFLs,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Brooklyn
135,Mercury-Laden Wastes,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Brooklyn
136,Compressed Gas Cylinders/Fire Extinguishers,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Brooklyn
137,Home Medical Products,0.001,0.002,0.001,0.0,0.0,Special Waste,HHW,Brooklyn
138,Other Potentially Harmful Wastes,0.0,0.001,0.0,0.0,0.0,Special Waste,HHW,Brooklyn
139,Miscellaneous Inorganics,0.009,0.007,0.012,0.001,0.0,Miscellaneous Inorganics,Other,Brooklyn
140,Newspaper,0.018,0.01,0.011,0.095,0.0,Paper,Designated Paper,Queens
141,Plain OCC/Kraft Paper,0.055,0.013,0.014,0.463,0.004,Paper,Designated Paper,Queens
142,High Grade Paper,0.006,0.004,0.001,0.026,0.001,Paper,Designated Paper,Queens
143,Mixed Low Grade Paper,0.077,0.056,0.034,0.306,0.013,Paper,Designated Paper,Queens
144,Paper: Compostable/Soiled/Waxed OCC/Kraft,0.08,0.097,0.007,0.013,0.021,Paper,Organics Suitable for Composting,Queens
145,Other Nonrecyclable Paper,0.01,0.011,0.008,0.006,0.006,Paper,Other,Queens
146,Paper Beverage Cartons/Aseptic Boxes,0.003,0.002,0.015,0.004,0.0,Paper,Designated MGP,Queens
147,#1 PET Bottles,0.011,0.006,0.058,0.003,0.001,Plastic,Designated MGP,Queens
148,#2 HDPE Natural Bottles,0.005,0.001,0.038,0.0,0.0,Plastic,Designated MGP,Queens
149,#2 HDPE Pigmented Bottles,0.005,0.002,0.041,0.0,0.001,Plastic,Designated MGP,Queens
150,Other Plastic Bottles,0.001,0.001,0.005,0.0,0.0,Plastic,Designated MGP,Queens
151,Rigid Plastic Containers/Packaging,0.017,0.012,0.065,0.006,0.002,Plastic,Designated MGP,Queens
152,#6 EPS Containers/Packaging (including Single Use),0.007,0.009,0.002,0.002,0.001,Plastic,Other,Queens
153,Film Plastic: Retail Bags/Sleeves,0.019,0.022,0.009,0.005,0.012,Plastic,Plastic Bags,Queens
154,Film Plastic: Garbage Bags,0.019,0.02,0.024,0.009,0.007,Plastic,Other,Queens
155,Film Plastic: Food/Drink Pouches,0.0,0.0,0.0,0.0,0.0,Plastic,Other,Queens
156,Film Plastic: All Other Film,0.023,0.026,0.015,0.005,0.009,Plastic,Other,Queens
157,Single Use Plastic Plates/Cups/Cutlery (excluding EPS),0.004,0.004,0.008,0.001,0.0,Plastic,Designated MGP,Queens
158,Appliances: Plastic,0.001,0.001,0.004,0.0,0.0,Plastic,Designated MGP,Queens
159,Bulk/Rigid Plastic,0.01,0.006,0.053,0.005,0.001,Plastic,Designated MGP,Queens
160,Other Plastics,0.014,0.014,0.027,0.003,0.001,Plastic,Designated MGP,Queens
161,Clear Container Glass,0.016,0.008,0.101,0.003,0.001,Glass,Designated MGP,Queens
162,Green Container Glass,0.005,0.001,0.04,0.001,0.0,Glass,Designated MGP,Queens
163,Brown Container Glass,0.003,0.002,0.017,0.001,0.0,Glass,Designated MGP,Queens
164,Other Color Container Glass,0.001,0.0,0.003,0.0,0.0,Glass,Designated MGP,Queens
165,Mixed Cullet,0.011,0.003,0.082,0.002,0.0,Glass,Designated MGP,Queens
166,Other Glass,0.003,0.003,0.007,0.002,0.002,Glass,Other,Queens
167,Aluminum Cans,0.002,0.002,0.007,0.0,0.0,Metal,Designated MGP,Queens
168,Aluminum Foil/Containers,0.007,0.007,0.012,0.0,0.0,Metal,Designated MGP,Queens
169,Other Aluminum,0.0,0.0,0.003,0.0,0.0,Metal,Designated MGP,Queens
170,Other Non-Ferrous,0.003,0.002,0.011,0.0,0.0,Metal,Designated MGP,Queens
171,Steel/Tin Food Cans,0.007,0.003,0.045,0.003,0.0,Metal,Designated MGP,Queens
172,Empty Aerosol Cans,0.002,0.001,0.006,0.0,0.0,Metal,Designated MGP,Queens
173,Other Ferrous,0.01,0.004,0.063,0.002,0.0,Metal,Designated MGP,Queens
174,Mixed Metals,0.012,0.01,0.04,0.0,0.0,Metal,Designated MGP,Queens
175,Appliances: Ferrous,0.003,0.0,0.029,0.0,0.0,Metal,Designated MGP,Queens
176,Appliances: Non-Ferrous,0.002,0.001,0.009,0.0,0.0,Metal,Designated MGP,Queens
177,Yard Waste,0.088,0.104,0.0,0.002,0.525,Organic,Organics Suitable for Composting,Queens
178,Food,0.217,0.262,0.028,0.013,0.368,Organic,Organics Suitable for Composting,Queens
179,Non-C&D Wood,0.005,0.006,0.002,0.002,0.0,Organic,Other,Queens
180,Textiles: Non-Clothing,0.02,0.024,0.001,0.001,0.001,Organic,Textiles,Queens
181,Textiles: Clothing,0.026,0.032,0.001,0.002,0.003,Organic,Textiles,Queens
182,Carpet/Upholstery,0.009,0.011,0.0,0.0,0.0,Organic,Other,Queens
183,Disposable Diapers/Sanitary Products,0.044,0.054,0.002,0.002,0.004,Organic,Other,Queens
184,Animal By-Products,0.014,0.017,0.003,0.0,0.001,Organic,Other,Queens
185,Shoes/Rubber/Leather,0.011,0.013,0.005,0.002,0.0,Organic,Textiles,Queens
186,Fines,0.028,0.032,0.012,0.003,0.005,Organic,Other,Queens
187,Miscellaneous Organics,0.006,0.006,0.004,0.001,0.008,Organic,Other,Queens
188,Audio/Visual Equipment-TV Peripherals (Covered),0.001,0.001,0.0,0.0,0.0,E-Waste,E-Waste,Queens
189,Audio/Visual Equipment-Other (Non-Covered),0.001,0.001,0.002,0.0,0.0,E-Waste,E-Waste,Queens
190,Computer Monitors,0.0,0.0,0.002,0.0,0.0,E-Waste,E-Waste,Queens
191,Televisions,0.0,0.0,0.0,0.0,0.0,E-Waste,E-Waste,Queens
192,Other Computer Equipment,0.001,0.001,0.001,0.001,0.0,E-Waste,E-Waste,Queens
193,Untreated Dimensional Lumber/Pallets/Crates,0.004,0.006,0.0,0.0,0.0,C&D,C&D,Queens
194,Treated/Contaminated Wood,0.023,0.028,0.001,0.0,0.0,C&D,C&D,Queens
195,Other C&D Debris Not Elsewhere Classified,0.024,0.029,0.005,0.0,0.001,C&D,C&D,Queens
196,Oil Filters,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Queens
197,Antifreeze,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Queens
198,Wet-Cell Batteries,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Queens
199,Water-Based Adhesives/Glues,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Queens
200,Latex Paint,0.001,0.001,0.0,0.0,0.001,Special Waste,HHW,Queens
201,Oil-Based Paint/Solvent,0.001,0.001,0.001,0.0,0.0,Special Waste,HHW,Queens
202,Pesticides/Herbicides/Rodenticides,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Queens
203,Dry-Cell Batteries,0.001,0.001,0.001,0.0,0.0,Special Waste,HHW,Queens
204,Fluorescent Tubes/CFLs,0.0,0.0,0.0,0.001,0.0,Special Waste,HHW,Queens
205,Mercury-Laden Wastes,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Queens
206,Compressed Gas Cylinders/Fire Extinguishers,0.0,0.0,0.0,0.0,0.0,Special Waste,HHW,Queens
207,Home Medical Products,0.001,0.001,0.001,0.001,0.0,Special Waste,HHW,Queens
208,Other Potentially Harmful Wastes,0.0,0.0,0.002,0.002,0.0,Special Waste,HHW,Queens
209,Miscellaneous Inorganics,0.007,0.007,0.012,0.0,0.001,Miscellaneous Inorganics,Other,Queens
210,Newspaper,0.028,0.018,0.001,0.105,,Paper,Designated Paper,Manhattan
211,Plain OCC/Kraft Paper,0.075,0.017,0.002,0.469,,Paper,Designated Paper,Manhattan
212,High Grade Paper,0.014,0.013,0.0,0.03,,Paper,Designated Paper,Manhattan
213,Mixed Low Grade Paper,0.118,0.098,0.012,0.317,,Paper,Designated Paper,Manhattan
214,Paper: Compostable/Soiled/Waxed OCC/Kraft,0.086,0.108,0.004,0.02,,Paper,Organics Suitable for Composting,Manhattan
215,Other Nonrecyclable Paper,0.013,0.015,0.005,0.006,,Paper,Other,Manhattan
216,Paper Beverage Cartons/Aseptic Boxes,0.005,0.004,0.014,0.003,,Paper,Designated MGP,Manhattan
217,#1 PET Bottles,0.014,0.011,0.052,0.001,,Plastic,Designated MGP,Manhattan
218,#2 HDPE Natural Bottles,0.004,0.002,0.023,0.0,,Plastic,Designated MGP,Manhattan
219,#2 HDPE Pigmented Bottles,0.005,0.003,0.027,0.0,,Plastic,Designated MGP,Manhattan
220,Other Plastic Bottles,0.001,0.001,0.004,0.0,,Plastic,Designated MGP,Manhattan
221,Rigid Plastic Containers/Packaging,0.027,0.025,0.079,0.003,,Plastic,Designated MGP,Manhattan
222,#6 EPS Containers/Packaging (including Single Use),0.005,0.006,0.001,0.001,,Plastic,Other,Manhattan
223,Film Plastic: Retail Bags/Sleeves,0.017,0.021,0.005,0.002,,Plastic,Plastic Bags,Manhattan
224,Film Plastic: Garbage Bags,0.033,0.035,0.038,0.016,,Plastic,Other,Manhattan
225,Film Plastic: Food/Drink Pouches,0.0,0.0,0.0,0.0,,Plastic,Other,Manhattan
226,Film Plastic: All Other Film,0.023,0.029,0.009,0.003,,Plastic,Other,Manhattan
227,Single Use Plastic Plates/Cups/Cutlery (excluding EPS),0.007,0.008,0.007,0.001,,Plastic,Designated MGP,Manhattan
228,Appliances: Plastic,0.001,0.001,0.001,0.0,,Plastic,Designated MGP,Manhattan
229,Bulk/Rigid Plastic,0.007,0.004,0.034,0.002,,Plastic,Designated MGP,Manhattan
230,Other Plastics,0.012,0.013,0.022,0.001,,Plastic,Designated MGP,Manhattan
231,Clear Container Glass,0.017,0.011,0.082,0.001,,Glass,Designated MGP,Manhattan
232,Green Container Glass,0.013,0.007,0.074,0.002,,Glass,Designated MGP,Manhattan
233,Brown Container Glass,0.005,0.003,0.019,0.0,,Glass,Designated MGP,Manhattan
234,Other Color Container Glass,0.001,0.001,0.002,0.001,,Glass,Designated MGP,Manhattan
235,Mixed Cullet,0.03,0.004,0.272,0.0,,Glass,Designated MGP,Manhattan
236,Other Glass,0.003,0.003,0.008,0.0,,Glass,Other,Manhattan
237,Aluminum Cans,0.003,0.003,0.008,0.0,,Metal,Designated MGP,Manhattan
238,Aluminum Foil/Containers,0.006,0.006,0.007,0.0,,Metal,Designated MGP,Manhattan
239,Other Aluminum,0.001,0.002,0.001,0.0,,Metal,Designated MGP,Manhattan
240,Other Non-Ferrous,0.003,0.002,0.011,0.0,,Metal,Designated MGP,Manhattan
241,Steel/Tin Food Cans,0.006,0.004,0.033,0.0,,Metal,Designated MGP,Manhattan
242,Empty Aerosol Cans,0.001,0.001,0.005,0.0,,Metal,Designated MGP,Manhattan
243,Other Ferrous,0.009,0.006,0.046,0.001,,Metal,Designated MGP,Manhattan
244,Mixed Metals,0.003,0.003,0.006,0.0,,Metal,Designated MGP,Manhattan
245,Appliances: Ferrous,0.002,0.0,0.021,0.0,,Metal,Designated MGP,Manhattan
246,Appliances: Non-Ferrous,0.001,0.001,0.002,0.0,,Metal,Designated MGP,Manhattan
247,Yard Waste,0.01,0.014,0.0,0.0,,Organic,Organics Suitable for Composting,Manhattan
248,Food,0.19,0.245,0.011,0.006,,Organic,Organics Suitable for Composting,Manhattan
249,Non-C&D Wood,0.007,0.009,0.001,0.001,,Organic,Other,Manhattan
250,Textiles: Non-Clothing,0.028,0.035,0.002,0.001,,Organic,Textiles,Manhattan
251,Textiles: Clothing,0.022,0.029,0.0,0.002,,Organic,Textiles,Manhattan
252,Carpet/Upholstery,0.018,0.023,0.0,0.0,,Organic,Other,Manhattan
253,Disposable Diapers/Sanitary Products,0.034,0.044,0.0,0.0,,Organic,Other,Manhattan
254,Animal By-Products,0.011,0.014,0.001,0.0,,Organic,Other,Manhattan
255,Shoes/Rubber/Leather,0.008,0.01,0.002,0.0,,Organic,Textiles,Manhattan
256,Fines,0.028,0.034,0.021,0.002,,Organic,Other,Manhattan
257,Miscellaneous Organics,0.005,0.006,0.001,0.0,,Organic,Other,Manhattan
258,Audio/Visual Equipment-TV Peripherals (Covered),0.0,0.0,0.002,0.0,,E-Waste,E-Waste,Manhattan
259,Audio/Visual Equipment-Other (Non-Covered),0.001,0.001,0.002,0.0,,E-Waste,E-Waste,Manhattan
260,Computer Monitors,0.0,0.0,0.0,0.0,,E-Waste,E-Waste,Manhattan
261,Televisions,0.0,0.0,0.0,0.0,,E-Waste,E-Waste,Manhattan
262,Other Computer Equipment,0.003,0.003,0.008,0.0,,E-Waste,E-Waste,Manhattan
263,Untreated Dimensional Lumber/Pallets/Crates,0.001,0.001,0.0,0.0,,C&D,C&D,Manhattan
264,Treated/Contaminated Wood,0.004,0.006,0.0,0.0,,C&D,C&D,Manhattan
265,Other C&D Debris Not Elsewhere Classified,0.016,0.02,0.001,0.0,,C&D,C&D,Manhattan
266,Oil Filters,0.0,0.0,0.0,0.0,,Special Waste,HHW,Manhattan
267,Antifreeze,0.0,0.0,0.0,0.0,,Special Waste,HHW,Manhattan
268,Wet-Cell Batteries,0.0,0.0,0.0,0.0,,Special Waste,HHW,Manhattan
269,Water-Based Adhesives/Glues,0.0,0.0,0.0,0.0,,Special Waste,HHW,Manhattan
270,Latex Paint,0.0,0.0,0.0,0.0,,Special Waste,HHW,Manhattan
271,Oil-Based Paint/Solvent,0.0,0.0,0.0,0.0,,Special Waste,HHW,Manhattan
272,Pesticides/Herbicides/Rodenticides,0.0,0.0,0.0,0.0,,Special Waste,HHW,Manhattan
273,Dry-Cell Batteries,0.001,0.001,0.001,0.0,,Special Waste,HHW,Manhattan
274,Fluorescent Tubes/CFLs,0.0,0.0,0.0,0.0,,Special Waste,HHW,Manhattan
275,Mercury-Laden Wastes,0.0,0.0,0.0,0.0,,Special Waste,HHW,Manhattan
276,Compressed Gas Cylinders/Fire Extinguishers,0.0,0.0,0.0,0.0,,Special Waste,HHW,Manhattan
