,providertype,dfta_id,contractyear,sponsorname,programname,lineitem,lineitemname,reportedmonth,reportedamount
48,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,6,Equipment Rental,Sep 2019,0.0
49,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,11,Raw Food/Disposables,Aug 2019,0.0
50,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,8,Other Occupancy,Aug 2019,251.58
51,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,4,Consultants,Jul 2019,0.0
52,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,9,Communications,Aug 2019,412.79
53,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,12,Catered Food/Disposables,Aug 2019,0.0
54,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,12,Catered Food/Disposables,Sep 2019,0.0
55,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,81,Rent,Aug 2019,584.16
56,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,8,Other Occupancy,Sep 2019,0.0
57,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,14,Program Insurance,Aug 2019,0.0
58,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,10,Printing/Supplies,Jul 2019,0.0
59,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,12,Catered Food/Disposables,Jul 2019,0.0
60,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,10,Printing/Supplies,Aug 2019,214.9
61,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,8,Other Occupancy,Sep 2019,235.58
62,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,18,Other Expenses,Aug 2019,0.0
63,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,4,Consultants,Aug 2019,0.0
64,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,82,Utilities,Aug 2019,316.66
65,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,82,Utilities,Aug 2019,0.0
66,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,81,Rent,Jul 2019,584.16
67,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,7,Travel,Aug 2019,0.0
68,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,7,Travel,Sep 2019,23.34
69,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,10,Printing/Supplies,Jul 2019,280.79
70,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,9,Communications,Sep 2019,367.29
71,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,12,Catered Food/Disposables,Sep 2019,0.0
72,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,3,Personnel,Sep 2019,39188.93
73,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,81,Rent,Jul 2019,460.0
74,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,14,Program Insurance,Aug 2019,89.43
75,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,81,Rent,Aug 2019,0.0
76,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,83,Rent Usage Charges,Aug 2019,0.0
77,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,11,Raw Food/Disposables,Aug 2019,0.0
78,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,5,Vehicles,Sep 2019,0.0
79,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,14,Program Insurance,Aug 2019,0.0
80,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,5,Vehicles,Aug 2019,0.0
81,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,6,Equipment Rental,Aug 2019,0.0
82,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,6,Equipment Rental,Sep 2019,0.0
83,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,8,Other Occupancy,Aug 2019,0.0
84,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,4,Consultants,Aug 2019,0.0
85,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,81,Rent,Aug 2019,790.0
86,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,8,Other Occupancy,Aug 2019,0.0
87,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,14,Program Insurance,Sep 2019,100.16
88,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,12,Catered Food/Disposables,Aug 2019,0.0
89,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,5,Vehicles,Jul 2019,0.0
90,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,7,Travel,Aug 2019,64.67
91,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,14,Program Insurance,Jul 2019,104.09
92,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,4,Consultants,Aug 2019,0.0
93,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,9,Communications,Aug 2019,268.85
94,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,7,Travel,Sep 2019,0.0
95,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,82,Utilities,Sep 2019,0.0
96,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,18,Other Expenses,Sep 2019,59.85
97,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,3,Personnel,Aug 2019,26916.37
98,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,7,Travel,Aug 2019,178.41
99,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,82,Utilities,Sep 2019,0.0
100,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,81,Rent,Sep 2019,584.16
101,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,6,Equipment Rental,Aug 2019,0.0
102,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,12,Catered Food/Disposables,Jul 2019,0.0
103,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,9,Communications,Sep 2019,0.0
104,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,6,Equipment Rental,Jul 2019,0.0
105,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,9,Communications,Aug 2019,102.66
106,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,14,Program Insurance,Oct 2019,61.71
107,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,82,Utilities,Sep 2019,233.33
108,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,5,Vehicles,Oct 2019,0.0
109,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,83,Rent Usage Charges,Oct 2019,0.0
110,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,14,Program Insurance,Sep 2019,0.0
111,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,18,Other Expenses,Oct 2019,0.0
112,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,3,Personnel,Sep 2019,17817.78
113,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,12,Catered Food/Disposables,Oct 2019,0.0
114,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,4,Consultants,Oct 2019,0.0
115,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,81,Rent,Oct 2019,625.0
116,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,3,Personnel,Aug 2019,27394.56
117,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,5,Vehicles,Sep 2019,0.0
118,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,4,Consultants,Oct 2019,0.0
119,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,7,Travel,Oct 2019,117.46
120,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,6,Equipment Rental,Jul 2019,0.0
121,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,3,Personnel,Oct 2019,44971.76
122,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,6,Equipment Rental,Oct 2019,0.0
123,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,83,Rent Usage Charges,Sep 2019,0.0
124,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,14,Program Insurance,Oct 2019,0.0
125,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,4,Consultants,Sep 2019,0.0
126,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,7,Travel,Jul 2019,0.0
127,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,11,Raw Food/Disposables,Sep 2019,0.0
128,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,2020,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,JASA MENTAL HEALTH,5,Vehicles,Oct 2019,0.0
129,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,5G301,2020,WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,WEILL CORNELL MENTAL HEALTH,3,Personnel,Oct 2019,51690.14
130,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,4G801,2020,SAMUEL FIELD YM & YWHA INC,SAMUEL FIELD MENTAL HEALTH,7,Travel,Aug 2019,0.0
131,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,3G101,2020,SERVICE PROGRAM FOR OLDER PEOPLE INC,SPOP MENTAL HEALTH,8,Other Occupancy,Sep 2019,0.0
