summons_key,summons_date,offense_description,law_section_number,law_description,summons_category_type,age_group,jurisdiction_code,boro,precinct_of_occur,x_coordinate_cd,y_coordinate_cd,latitude,longitude,sex,race
203058126,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,10,984456,215989,40.75952460900004,-73.99925785699998,,
203175735,2019-09-30T00:00:00.000,LITTERING,16-118,Administrative Code,LITTERING,18-24,0,BRONX,50,1011244,256820,40.871553006000056,-73.90239768799995,M,BLACK HISPANIC
203152122,2019-09-30T00:00:00.000,POLICE/PRESS CARD; UNLAWFUL USE OR POSSESSION OF,14-108(6),,,25-44,0,NEW YORK,10,981895,210342,40.744024707000044,-74.008500257,M,WHITE HISPANIC
203136406,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,2,BROOKLYN,79,999812,193525,40.697852725000075,-73.94387963199993,M,WHITE HISPANIC
203095279,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203074137,2019-09-30T00:00:00.000,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),,,45-64,0,BROOKLYN,79,997880,192557,40.69519897600002,-73.95084903199995,M,BLACK
203072364,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,0,BRONX,42,1009174,239145,40.823046444000056,-73.90994799999999,M,BLACK
203274542,2019-09-30T00:00:00.000,RECKLESS OPERATION OF A BICYCLE *( C SUMMONS)*,19-176(B),,,25-44,0,BROOKLYN,76,984958,185343,40.67540865700005,-73.99744901799994,M,WHITE
203058130,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,1002923,189224,40.686041456000055,-73.93267224399995,,
203152130,2019-09-30T00:00:00.000,NON PAYMENT OF FARE (OTHER),1050.4(A),,,18-24,1,BRONX,46,1011698,251174,40.856055051000055,-73.90077925899999,M,WHITE HISPANIC
203070749,2019-09-30T00:00:00.000,SPITTING,181.03,Health Code,SPITTING,45-64,0,QUEENS,115,988082,200814,40.71787216100006,-73.98617781499998,M,ASIAN / PACIFIC ISLANDER
203070755,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203090332,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,0,NEW YORK,23,998829,226859,40.78934789300007,-73.94735241299998,M,BLACK
203078226,2019-09-30T00:00:00.000,UNLICENSED VEHICLE FOR HIRE,19-506,Administrative Code,TLC,25-44,0,BROOKLYN,77,1003382,183287,40.669744755000075,-73.93103408199994,M,BLACK
203078062,2019-09-30T00:00:00.000,UNLICENSED VEHICLE FOR HIRE,19-506,Administrative Code,TLC,25-44,0,BROOKLYN,77,997259,184031,40.67179798300003,-73.95310493699996,M,BLACK
203077711,2019-09-30T00:00:00.000,OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,512,,,18-24,0,BRONX,44,1008692,243109,40.83392783400007,-73.911675082,F,BLACK
203075836,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,0,BRONX,47,1022165,258767,40.87685676300004,-73.86289903499993,M,UNKNOWN
203072383,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203072384,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,1009060,180294,40.66151554700008,-73.910576957,,
203072369,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203072350,2019-09-30T00:00:00.000,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,45-64,0,BROOKLYN,79,997242,193691,40.69831250200008,-73.95314759599995,M,BLACK
203068768,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203075837,2019-09-30T00:00:00.000,SPITTING IN PUBLIC,181.03,Health Code,SPITTING,<18,0,BROOKLYN,73,1000215,193000,40.69641100300004,-73.94242752399998,M,BLACK
203083300,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,0,BROOKLYN,69,1004997,253144,40.861480398000026,-73.92499669499993,M,BLACK
203074142,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,25-44,0,BRONX,48,998515,227786,40.79189277000006,-73.94848438999998,M,WHITE HISPANIC
203063501,2019-09-30T00:00:00.000,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),,,45-64,0,BROOKLYN,75,1011755,250279,40.85359836700008,-73.90057688099995,M,BLACK
203058035,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,0,BRONX,40,1006362,235446,40.81290121700005,-73.92012027999994,M,BLACK
203072381,2019-09-30T00:00:00.000,NO TAX STAMP,11-809,Administrative Code,TLC,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058096,2019-09-30T00:00:00.000,NO TAX STAMP,11-809,Administrative Code,TLC,UNKNOWN,0,NEW YORK,19,995582,219012,40.76781470600001,-73.95909151199999,,
203058122,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,10,984456,215989,40.75952460900004,-73.99925785699998,,
203068763,2019-09-30T00:00:00.000,"LICENSE, OPERATE WITH SUSPENDED/REVOKED/NONE",19-506(D),,,25-44,0,BRONX,42,1011854,242120,40.83120399800004,-73.90025260099996,M,WHITE HISPANIC
203070752,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203072375,2019-09-30T00:00:00.000,NO NAME OR ADDRESS DISPLAYED,10-127,Administrative Code,VENDING,UNKNOWN,0,NEW YORK,23,999989,226965,40.78963684400002,-73.94316306599995,,
203072378,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,5,985825,200973,40.718309267000045,-73.99431972299993,,
203072382,2019-09-30T00:00:00.000,NO TAX STAMP,11-809,Administrative Code,TLC,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058058,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,995582,219012,40.76781470600001,-73.95909151199999,,
203074145,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,5,984947,199408,40.71401382900007,-73.99748722099997,,
203077717,2019-09-30T00:00:00.000,CREATES A HAZARDOUS OR PHYSICALLY OFFENSIVE CONDITION WITHOUT A LEGITIMATE PURPO,240.20(7),,,25-44,0,BROOKLYN,77,998097,184951,40.67432190500005,-73.95008211799995,M,BLACK
203078230,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,0,BROOKLYN,69,1013115,174381,40.64527337000004,-73.89598654399998,M,BLACK
203077718,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,0,QUEENS,105,1007649,243339,40.83456194200004,-73.91544337999993,M,BLACK
203075831,2019-09-30T00:00:00.000,CONSUMPTION OF ALCOHOL,10-125,Administrative Code,ALCOHOL,45-64,0,BROOKLYN,79,1056492,198457,40.711108668000065,-73.73942028499994,F,BLACK
203058111,2019-09-30T00:00:00.000,NO TAX STAMP,11-809,Administrative Code,TLC,UNKNOWN,0,NEW YORK,10,996245,187936,40.68251775900006,-73.95675338399997,,
203058065,2019-09-30T00:00:00.000,NO TAX STAMP,11-809,Administrative Code,TLC,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058085,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058097,2019-09-30T00:00:00.000,OTHER NYS TRANSPORTATION,999,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,995582,219012,40.76781470600001,-73.95909151199999,,
203058104,2019-09-30T00:00:00.000,OTHER NYS TRANSPORTATION,999,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,995582,219012,40.76781470600001,-73.95909151199999,,
203058109,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,10,983927,215961,40.75944775100004,-74.00116737299999,,
203058132,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,996768,219607,40.76944622800004,-73.95480879699994,,
203058082,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203070751,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203072370,2019-09-30T00:00:00.000,COMMERCIAL VEHICLE; NAME/ADDRESS NOT DISPLAYED,10-127,Administrative Code,VENDING,UNKNOWN,0,NEW YORK,23,999989,226965,40.78963684400002,-73.94316306599995,,
203075829,2019-09-30T00:00:00.000,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),,,45-64,0,BROOKLYN,79,1000517,188857,40.68503887400004,-73.941348437,M,BLACK
203075832,2019-09-30T00:00:00.000,NON PAYMENT OF FARE (OTHER),1050.4(A),,,18-24,1,QUEENS,100,1042852,155178,40.592418432000045,-73.78899638899996,M,BLACK
203077945,2019-09-30T00:00:00.000,RECKLESS OPERATION OF A BICYCLE *( C SUMMONS)*,19-176(B),,,18-24,0,BRONX,47,1022187,261218,40.88358389500007,-73.86280560099993,M,BLACK
203352135,2019-09-30T00:00:00.000,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,25-44,0,NEW YORK,7,987418,201134,40.71875074700006,-73.98857299099996,M,WHITE HISPANIC
203058080,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058060,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203058056,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,995519,218898,40.76750188600005,-73.95931914099998,,
203043417,2019-09-30T00:00:00.000,OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,512,,,25-44,0,BRONX,43,1025659,241359,40.82906133900008,-73.85037211199995,M,BLACK HISPANIC
203058098,2019-09-30T00:00:00.000,OTHER NYS TRANSPORTATION,999,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,983632,214507,40.75545687600004,-74.00223209299998,,
203037647,2019-09-30T00:00:00.000,ALCOHOLIC BEVERAGE IN PUBLIC,10-125(2B),,,25-44,0,STATEN ISLAND,120,988082,200814,40.71787216100006,-73.98617781499998,M,WHITE HISPANIC
203058083,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203072371,2019-09-30T00:00:00.000,OTHER TRAFFIC REG,9999,ABC,OTHER ABC,UNKNOWN,0,NEW YORK,23,999989,226965,40.78963684400002,-73.94316306599995,,
203095280,2019-09-30T00:00:00.000,NO TAX STAMP,11-809,Administrative Code,TLC,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203095277,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203092618,2019-09-30T00:00:00.000,OPERATION WHILE REGISTRATION OR PRIVILEGE IS SUSPENDED OR REVOKED,512,,,25-44,0,QUEENS,113,1045109,182550,40.66753335900006,-73.78062294399997,M,BLACK
203058125,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,10,1019950,184443,40.67286640900005,-73.87130341499993,,
203077953,2019-09-30T00:00:00.000,"LICENSE, OPERATE WITH SUSPENDED/REVOKED/NONE",19-506(D),,,25-44,0,QUEENS,113,1041165,189807,40.68747836500006,-73.79477854599996,M,BLACK
203077716,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,0,BRONX,46,1010591,250447,40.85406302600006,-73.90478382299993,M,WHITE HISPANIC
203072359,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,QUEENS,109,1032051,217053,40.762315800000074,-73.82744800199998,,
203058064,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,983206,160761,40.60793629800003,-74.00376138399997,,
203063500,2019-09-30T00:00:00.000,TRESPASS,140.05,Penal Law,TRESPASS,25-44,0,BROOKLYN,73,1008643,186540,40.67866057400005,-73.91205737799999,F,BLACK
203058131,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,996768,219607,40.76944622800004,-73.95480879699994,,
203058119,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,10,984456,215989,40.75952460900004,-73.99925785699998,,
203058116,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,995519,218898,40.76750188600005,-73.95931914099998,,
203058102,2019-09-30T00:00:00.000,OTHER NYS TRANSPORTATION,999,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,19,995582,219012,40.76781470600001,-73.95909151199999,,
203058084,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,988082,200814,40.71787216100006,-73.98617781499998,,
203101529,2019-09-30T00:00:00.000,"ENGAGES IN FIGHTING, OR VIOLENT, TUMULTUOUS OR THREATENING BEHAVIOR",240.20(1),,,45-64,0,BROOKLYN,60,991394,153480,40.587948604000076,-73.97428017099996,M,WHITE
203058123,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,10,1047603,179284,40.65855144500005,-73.77166354699995,,
203058114,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,10,984456,215989,40.75952460900004,-73.99925785699998,,
203058092,2019-09-30T00:00:00.000,FEDERAL MOTOR VEH. SAFETY REG,CFR 49,NYS Transportation,NYS TRANS,UNKNOWN,0,NEW YORK,7,983632,214507,40.75545687600004,-74.00223209299998,,
203199911,2019-09-30T00:00:00.000,OBSTRUCTS VEHICULAR OR PEDESTRIAN TRAFFIC,240.20(5),,,<18,0,BRONX,44,1007850,241218,40.82873987300008,-73.91472447899997,M,BLACK
203098630,2019-09-30T00:00:00.000,CONGREGATES WITH OTHER PERSONS IN PUBLIC AND REFUSES TO DISPERSE BY LAWFUL POLIC,240.20(6),,,25-44,0,BROOKLYN,67,998608,171942,40.63861423700007,-73.94826762499997,M,BLACK
203078222,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,0,BRONX,47,1023047,263277,40.88923145900003,-73.85968356299998,M,BLACK
203078063,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,0,BROOKLYN,69,1013115,174381,40.64527337000004,-73.89598654399998,M,BLACK
203072365,2019-09-30T00:00:00.000,"MARIJUANA, UNLAWFUL POSSESSION 2ND DEGREE",221.05,Penal Law,MARIJUANA,18-24,0,BRONX,42,1009174,239145,40.823046444000056,-73.90994799999999,M,BLACK
