,camis,dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,score,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,violation_code,violation_description,critical_flag,grade,grade_date
11,40754486,ELEGANTE PIZZA,Brooklyn,6922,5 AVENUE,11209.0,7187459715,Pizza,2016-08-17T00:00:00.000,Violations were cited in the following area(s).,24.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.633261993676,-74.02110542781,310.0,43.0,13000.0,3145761.0,3058730051,BK31,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,,
12,40366396,DESMOND'S TAVERN,Manhattan,433,PARK AVENUE SOUTH,10016.0,2126849472,American,2017-05-11T00:00:00.000,Violations were cited in the following area(s).,19.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.744264110037,-73.983373961911,105.0,2.0,7200.0,1018295.0,1008850092,MN20,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,B,2017-05-11T00:00:00.000
13,41381335,ISLAND ROTI SHOP,Queens,11811,ROCKAWAY BOULEVARD,11420.0,7186592906,Caribbean,2018-12-12T00:00:00.000,Violations were cited in the following area(s).,22.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.676251235436,-73.819950483343,410.0,28.0,10200.0,4438883.0,4116620014,QN55,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,,
14,40931920,BROADWAY DELI & CAFE,Manhattan,515,WEST   42 STREET,10036.0,2125640503,Delicatessen,2018-01-17T00:00:00.000,Violations were cited in the following area(s).,18.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.759899404009,-73.996112337224,104.0,3.0,12900.0,1026914.0,1010710023,MN15,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,,
15,50072798,HONG KONG STATION,Manhattan,157,W 47TH ST,10036.0,6464298277,Chinese,2019-09-16T00:00:00.000,Violations were cited in the following area(s).,16.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.75867135363,-73.983341474695,105.0,4.0,12500.0,1022676.0,1010000007,MN17,04M,Live roaches present in facility's food and/or non-food areas.,Y,,
16,50053557,LENWICH,Manhattan,10,HANOVER SQ,10005.0,2123852828,American,2019-08-07T00:00:00.000,Violations were cited in the following area(s).,4.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.704320354959,-74.009229528969,101.0,1.0,700.0,1000859.0,1000310001,MN25,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,A,2019-08-07T00:00:00.000
17,41566307,FAMOUS FAMIGLIA PIZZERIA,Manhattan,488,8 AVENUE,10001.0,2125644144,Pizza,2019-09-26T00:00:00.000,Violations were cited in the following area(s).,9.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.752510376894,-73.99321449193,105.0,3.0,10900.0,1083620.0,1007840005,MN17,09B,Thawing procedures improper.,N,A,2019-09-26T00:00:00.000
18,41013755,RUMOURS,Manhattan,933,8 AVENUE,10019.0,2127572373,American,2019-11-21T00:00:00.000,Violations were cited in the following area(s).,21.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.765566240453,-73.983722405932,104.0,3.0,13900.0,1025435.0,1010460030,MN15,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,,
19,50002558,FOOTPRINTS CAFE EXPRESS,Brooklyn,1377,FLATBUSH AVE,11210.0,7184620120,Caribbean,2018-06-07T00:00:00.000,Violations were cited in the following area(s).,22.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.637187270221,-73.952277584629,314.0,45.0,78800.0,3120856.0,3052270003,BK42,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,,
20,41162227,TEA SHOP 168 & BAKERY,Queens,5920,MAIN STREET,11355.0,7184600689,Chinese,2016-07-25T00:00:00.000,Violations were cited in the following area(s).,19.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.743649761859,-73.825650044202,407.0,20.0,80301.0,4139669.0,4063810043,QN62,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,,
21,50013782,NEW STAR BAKERY,Queens,4121A,KISSENA BLVD,11355.0,7189618868,Bakery,2019-01-28T00:00:00.000,Violations were cited in the following area(s).,14.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.758166286354,-73.828936367418,407.0,20.0,85300.0,4309526.0,4050447501,QN22,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,B,2019-01-28T00:00:00.000
22,40666155,LOESER'S KOSHER DELI & CATERER,Bronx,214,WEST  231 STREET,10463.0,7186016665,Delicatessen,2019-10-28T00:00:00.000,Violations were cited in the following area(s).,19.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.879157931001,-73.905294940359,208.0,11.0,28900.0,2083141.0,2057010120,BX29,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,,
23,41253552,KAIETEUR RESTAURANT,Queens,8712,LEFFERTS BOULEVARD,11418.0,7188500787,Caribbean,2018-10-17T00:00:00.000,Violations were cited in the following area(s).,45.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.699576275145,-73.830695757131,409.0,29.0,12200.0,4442217.0,4093280010,QN54,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,C,2018-10-17T00:00:00.000
24,40782091,STARBUCKS,Queens,3144,STEINWAY STREET,11103.0,7182745700,Café/Coffee/Tea,2018-03-02T00:00:00.000,Violations were cited in the following area(s).,5.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.760229727862,-73.91798686074,401.0,22.0,15500.0,4010531.0,4006580059,QN70,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,A,2018-03-02T00:00:00.000
25,50057195,CAT LOUNGE,Manhattan,96,GREENWICH ST,10006.0,9173272832,American,2019-10-15T00:00:00.000,Violations were cited in the following area(s).,13.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.708135159507,-74.013525878099,101.0,1.0,1300.0,1001056.0,1000530039,MN25,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,A,2019-10-15T00:00:00.000
26,50009526,NISHIDA SHO-TEN,Manhattan,302,E 49TH ST,10017.0,2123080791,Japanese,2017-02-21T00:00:00.000,Violations were cited in the following area(s).,13.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.754070793161,-73.96859463016,106.0,4.0,9000.0,1038934.0,1013410150,MN19,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,A,2017-02-21T00:00:00.000
27,50068567,1.5 DAK GALBI,Queens,15803,NORTHERN BLVD,11358.0,9172852772,Korean,2017-09-28T00:00:00.000,Violations were cited in the following area(s).,31.0,2019-11-28T06:01:01.000,Pre-permit (Operational) / Initial Inspection,40.763448408622,-73.807183836343,407.0,19.0,117100.0,4119308.0,4052740006,QN51,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,,
28,50057635,LA AMISTAD BAKERY AND RESTAURANT,Queens,16204,NORTHERN BLVD,11358.0,7184632477,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2019-04-24T00:00:00.000,Violations were cited in the following area(s).,24.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.761720771552,-73.803254150099,407.0,20.0,117100.0,4120470.0,4053360027,QN51,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,N,B,2019-04-24T00:00:00.000
29,40512425,MCDONALD'S,Brooklyn,5713,CHURCH AVENUE,11203.0,7189226085,Hamburgers,2016-04-18T00:00:00.000,Violations were cited in the following area(s).,16.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.652525984176,-73.923511182349,317.0,41.0,86400.0,3102422.0,3046830042,BK96,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,,
30,50047161,KENNEDY FRIED CHICKEN & PIZZA,Bronx,2843,GRAND CONCOURSE,10468.0,7184503959,American,2018-11-19T00:00:00.000,Violations were cited in the following area(s).,17.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.869983586824,-73.891232074303,207.0,14.0,40303.0,2017462.0,2033150051,BX28,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,B,2018-11-19T00:00:00.000
31,50099605,TEMKINS,Brooklyn,155,GREENPOINT AVE,11222.0,9293970330,Other,1900-01-01T00:00:00.000,,,2019-11-28T06:01:09.000,,40.730260373585,-73.953585360688,301.0,33.0,57500.0,3064779.0,3025590056,BK76,,,,,
32,41696660,CITIZENS OF GRAMERCY,Manhattan,362,2 AVENUE,10010.0,6464768416,Café/Coffee/Tea,2017-09-19T00:00:00.000,Violations were cited in the following area(s).,32.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.736682830027,-73.981766491244,106.0,2.0,6400.0,1020543.0,1009270001,MN21,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,,
33,50059268,CAKE BOI,Brooklyn,627,THROOP AVE,11216.0,7185130595,Bakery,2018-05-16T00:00:00.000,Violations were cited in the following area(s).,10.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.680343365989,-73.940406473461,303.0,36.0,27300.0,3338752.0,3018580003,BK35,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Y,A,2018-05-16T00:00:00.000
34,50066413,SARITA'S MAC & CHEESE,Manhattan,197,1ST AVE,10003.0,2123587917,American,2019-08-22T00:00:00.000,Violations were cited in the following area(s).,12.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.730101143043,-73.983474927753,103.0,2.0,4000.0,1006498.0,1004540045,MN22,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",N,A,2019-08-22T00:00:00.000
35,40841272,SYLVIA'S RESTAURANT,Manhattan,328,LENOX AVENUE,10027.0,2129960660,Soul Food,2019-08-20T00:00:00.000,Violations were cited in the following area(s).,13.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.808729055981,-73.944770422745,110.0,9.0,20800.0,1077374.0,1017240004,MN03,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,A,2019-08-20T00:00:00.000
36,41185798,SUNDAES AND CONES,Manhattan,95,EAST   10 STREET,10003.0,2129799398,"Ice Cream, Gelato, Yogurt, Ices",2019-03-25T00:00:00.000,Violations were cited in the following area(s).,10.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.730870377161,-73.989392079643,103.0,2.0,4200.0,1008975.0,1005560028,MN22,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,A,2019-03-25T00:00:00.000
37,40364362,21 CLUB,Manhattan,21,WEST   52 STREET,10019.0,2125827200,American,2019-01-10T00:00:00.000,Violations were cited in the following area(s).,10.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.7604078386,-73.977753157345,105.0,4.0,10400.0,1034519.0,1012680023,MN17,02B,Hot food item not held at or above 140º F.,Y,,
38,50087893,DA PLACE CUISINE,Brooklyn,1695,PRESIDENT ST,11213.0,7182218380,Caribbean,2019-03-19T00:00:00.000,Violations were cited in the following area(s).,13.0,2019-11-28T06:01:01.000,Pre-permit (Non-operational) / Initial Inspection,40.666984538886,-73.930653409317,309.0,41.0,34900.0,3037787.0,3014030001,BK61,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,,
39,41473931,WHISKEY REBEL,Manhattan,129,LEXINGTON AVENUE,10016.0,2126863800,American,2018-02-15T00:00:00.000,Violations were cited in the following area(s).,16.0,2019-11-28T06:01:01.000,Inter-Agency Task Force / Initial Inspection,40.743017806947,-73.982168936048,106.0,2.0,7200.0,1018229.0,1008840063,MN20,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,,
40,40656139,TRIBECA ROOFTOP (10 DESBROSSES STREET),Manhattan,480,CANAL STREET,10013.0,2126252600,American,2018-04-27T00:00:00.000,Violations were cited in the following area(s).,12.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.72388789009,-74.00819682317,101.0,1.0,3900.0,1002933.0,1002250008,MN24,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,A,2018-04-27T00:00:00.000
41,41520844,POP'S COFFEE DINER,Queens,4429B,KISSENA BOULEVARD,11355.0,7184637719,American,2019-02-06T00:00:00.000,Violations were cited in the following area(s).,30.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.753311361905,-73.822087482721,407.0,20.0,85900.0,4117219.0,4051920015,QN22,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Y,,
42,50036379,HOUSE OF THAI,Queens,2501,40TH AVE,11101.0,2012565165,Thai,2019-05-15T00:00:00.000,Violations were cited in the following area(s).,18.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.753426947698,-73.937817894944,401.0,26.0,3300.0,4004782.0,4003960001,QN68,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,,
43,41006765,DOS CAMINOS,Manhattan,675,HUDSON STREET,10014.0,2126992400,Mexican,2017-08-17T00:00:00.000,Violations were cited in the following area(s).,12.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.740359398089,-74.005232545431,102.0,3.0,7900.0,1011691.0,1006290001,MN23,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,A,2017-08-17T00:00:00.000
44,41590317,THAI ROCK,Queens,375,BEACH   92 STREET,11693.0,7189455111,Thai,2018-12-15T00:00:00.000,Violations were cited in the following area(s).,21.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.588745646215,-73.817123353242,414.0,32.0,94202.0,4435932.0,4161090043,QN12,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,,
45,41500338,MCDONALD'S,Queens,15901,JAMAICA AVENUE,11432.0,7185263725,Hamburgers,2019-07-22T00:00:00.000,Violations were cited in the following area(s).,10.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.703402555624,-73.800051101349,412.0,24.0,44601.0,4208835.0,4097560001,QN61,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,A,2019-07-22T00:00:00.000
46,50079007,MILE END DELICATESSEN,Brooklyn,97A,HOYT ST,11217.0,7188527510,American,2019-09-11T00:00:00.000,Violations were cited in the following area(s).,,2019-11-28T06:01:01.000,Administrative Miscellaneous / Initial Inspection,40.687500043028,-73.987167027854,302.0,33.0,4100.0,3000872.0,3001830007,BK38,18G,Manufacture of frozen dessert not authorized on Food Service Establishment permit.,N,,
47,50018449,SPRING FISH VILLAGE,Queens,13621,41ST AVE,11355.0,7189393633,Chinese,2018-12-10T00:00:00.000,Violations were cited in the following area(s).,11.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.758671536159,-73.829079451028,407.0,20.0,85300.0,4113577.0,4050190108,QN22,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,A,2018-12-10T00:00:00.000
48,50015973,SEAMORHEN RESTAURANT,Queens,19007,109TH RD,11412.0,7182178100,Seafood,2019-07-24T00:00:00.000,Violations were cited in the following area(s).,8.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.703426719236,-73.766375679377,412.0,27.0,50400.0,4233796.0,4109230001,QN07,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,A,2019-07-24T00:00:00.000
49,50067555,SABOR GUATEMALTECO,Queens,10316,ROOSEVELT AVE,11368.0,3474443752,Spanish,2018-06-05T00:00:00.000,Violations were cited in the following area(s).,22.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.749538008207,-73.862541812933,404.0,21.0,40500.0,4048557.0,4019750009,QN26,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Y,,
50,50018604,MR. NOSH,Brooklyn,3323,AVENUE N,11234.0,7182531400,Jewish/Kosher,2019-07-24T00:00:00.000,Violations were cited in the following area(s).,12.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.617554556943,-73.941961173165,318.0,45.0,74600.0,3210449.0,3076690001,BK58,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,,
51,50078971,LOBSTER JOINT,Brooklyn,103,N 3RD ST,11249.0,9175830322,Seafood,2018-06-12T00:00:00.000,Violations were cited in the following area(s).,,2019-11-28T06:01:01.000,Trans Fat / Initial Inspection,40.716792178083,-73.962075706378,301.0,34.0,55500.0,3335727.0,3023500026,BK73,16A,"A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served.",N,,
52,40945123,FRANK'S PIZZA,Bronx,4106,EAST TREMONT AVENUE,10465.0,7188248070,Pizza,2017-12-06T00:00:00.000,Violations were cited in the following area(s).,13.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.818754973012,-73.8170741383,210.0,13.0,13200.0,2080749.0,2055890005,BX52,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,A,2017-12-06T00:00:00.000
53,41290190,NRGIZE LIFE STYLE CAFE,Staten Island,145,EAST SERVICE ROAD,10314.0,7183702380,"Juice, Smoothies, Fruit Salads",2018-08-23T00:00:00.000,Violations were cited in the following area(s).,4.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.587876450371,-74.192372082859,502.0,50.0,29102.0,5107392.0,5026380050,SI05,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,A,2018-08-23T00:00:00.000
54,40380628,PISA PIZZERIA,Queens,6568,MYRTLE AVENUE,11385.0,7183816368,Pizza/Italian,2019-01-15T00:00:00.000,Violations were cited in the following area(s).,23.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.70131289975,-73.888255235301,405.0,30.0,62900.0,4090148.0,4036980035,QN19,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,,
55,41710099,INDIGO MURPHY'S,Brooklyn,7102,FORT HAMILTON PARKWAY,11228.0,7189211013,American,2018-03-15T00:00:00.000,Violations were cited in the following area(s).,5.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.627650038268,-74.013693233034,310.0,43.0,13200.0,3146986.0,3059010042,BK30,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,A,2018-03-15T00:00:00.000
56,41334692,PANCHO VILLA RESTAURANT,Bronx,2274,JEROME AVENUE,10453.0,7185633251,Mexican,2016-03-11T00:00:00.000,Violations were cited in the following area(s).,12.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,40.85850535283,-73.903802509908,205.0,14.0,23900.0,2014064.0,2031860059,BX40,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,,
57,41380885,MAMA TINA'S PIZZA,Manhattan,2649,FRDERICK DOUGLASS BOULEVARD,,2123682820,Pizza,2016-11-23T00:00:00.000,Violations were cited in the following area(s).,17.0,2019-11-28T06:01:01.000,Cycle Inspection / Initial Inspection,0.0,0.0,,,,,1,,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,,
58,50058819,FAMOUS FAMIGLIA PIZZA,Manhattan,1248,LEXINGTON AVE,10028.0,2127377777,Pizza/Italian,2019-06-18T00:00:00.000,Violations were cited in the following area(s).,13.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.77827285406,-73.95648366598,108.0,4.0,14801.0,1047673.0,1015130016,MN40,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,A,2019-06-18T00:00:00.000
59,40639085,JEAN DANET FRENCH PASTRY,Brooklyn,7526,5 AVENUE,11209.0,7188367566,Bakery,2018-01-18T00:00:00.000,Violations were cited in the following area(s).,10.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.629218611909,-74.02275774653,310.0,43.0,13400.0,3148789.0,3059410049,BK31,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,A,2018-01-18T00:00:00.000
60,41139255,HUDSON FOOD COURT,Manhattan,333,HUDSON STREET,10013.0,2123672192,American,2018-12-19T00:00:00.000,Violations were cited in the following area(s).,10.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.727022468914,-74.007378210775,102.0,3.0,3700.0,1010374.0,1005970055,MN24,02B,Hot food item not held at or above 140º F.,Y,A,2018-12-19T00:00:00.000
61,50071314,HANG CHOU,Manhattan,2266,3RD AVE,10035.0,2125345266,Chinese,2019-08-16T00:00:00.000,Violations were cited in the following area(s).,12.0,2019-11-28T06:01:01.000,Cycle Inspection / Re-inspection,40.802584857292,-73.936637615845,111.0,8.0,19600.0,1054456.0,1017720134,MN34,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,A,2019-08-16T00:00:00.000
