,id,survey_number,survey_instance_id,survey_status,survey_language,dt_submitted,question,answer,answer_is_optional,data_source,create_dt
77,65085,50003666,1826,Complete,English,2018-11-01T00:00:00.000,What other languages do you speak?,Spanish,False,OnLine,2019-01-11T00:00:00.000
78,120870,76,90005122,Complete,Spanish,2019-01-22T00:00:00.000,What is the language you speak most at home?,Spanish,False,Paper,2019-02-19T00:00:00.000
79,227668,106,90011399,Complete,English,2019-07-29T00:00:00.000,What NYC agency did you apply for services with today?,DFTA - Department for The Aging,False,Paper,2019-09-10T00:00:00.000
80,31088,17,90000809,Complete,English,,What service did you apply for?,Senior Center,False,Paper,2018-12-18T00:00:00.000
81,217497,106,90010548,Complete,English,2019-09-10T00:00:00.000,What is the language you speak most at home?,English,False,Paper,2019-09-10T00:00:00.000
82,24470,25,90000290,Complete,Chinese,,What ancestries or heritages do you identify with?,Italian,False,Paper,2018-12-18T00:00:00.000
83,227802,107,90011412,Complete,English,2019-09-10T00:00:00.000,What other languages do you speak?,English,False,Paper,2019-09-10T00:00:00.000
84,80004,55,90002411,Complete,Spanish,2018-12-04T00:00:00.000,How would you describe your gender?,Male,False,Paper,2019-01-23T00:00:00.000
85,78304,53,90002277,Complete,English,2002-02-08T00:00:00.000,What races or ethnicities do you identify with?,None,False,Paper,2019-01-23T00:00:00.000
86,61827,50003666,1592,Complete,English,2018-10-16T00:00:00.000,What service did you apply for?,Public school,False,OnLine,2019-01-11T00:00:00.000
87,220345,50003666,9296,Complete,English,2019-08-27T00:00:00.000,What sex were you given at birth?,Female,False,OnLine,2019-09-10T00:00:00.000
88,126849,73,90005661,Complete,Spanish,2019-01-24T00:00:00.000,What other languages do you speak?,Spanish,False,Paper,2019-02-19T00:00:00.000
89,227709,107,90011404,Complete,English,2019-08-19T00:00:00.000,What service did you apply for?,Public school,False,Paper,2019-09-10T00:00:00.000
90,233970,50003666,10539,Complete,English,2019-10-05T00:00:00.000,What sex were you given at birth?,Male,False,OnLine,2019-10-08T00:00:00.000
91,106486,63,90004050,Complete,English,2019-01-10T00:00:00.000,What races or ethnicities do you identify with?,Hispanic or Latino,False,Paper,2019-02-07T00:00:00.000
92,68339,50003666,2057,Complete,English,2018-11-20T00:00:00.000,What service did you apply for?,Public school,False,OnLine,2019-01-11T00:00:00.000
93,70869,50003666,2234,Complete,English,2018-12-11T00:00:00.000,What service did you apply for?,Public school,False,OnLine,2019-01-11T00:00:00.000
94,43773,22,90001816,Complete,English,,How well do you speak English?,Fluently/Very well,False,Paper,2018-12-18T00:00:00.000
95,121459,50003666,3206,Complete,English,2019-02-13T00:00:00.000,Has anyone in your household served Write in:,English,False,OnLine,2019-02-19T00:00:00.000
96,71851,50003666,2303,Complete,English,2018-12-11T00:00:00.000,What service did you apply for?,Public school,False,OnLine,2019-01-11T00:00:00.000
97,98702,63,90003444,Complete,Spanish,2018-12-10T00:00:00.000,What service did you apply for?,Senior Center,False,Paper,2019-02-07T00:00:00.000
98,218687,50003666,9078,Complete,English,2019-08-19T00:00:00.000,What NYC agency did you apply for services with today?,HRA - Human Resources Administration / Social Services,False,OnLine,2019-09-10T00:00:00.000
99,104047,61,90003867,Complete,English,1950-06-01T00:00:00.000,What service did you apply for?,Preventive Services,False,Paper,2019-02-07T00:00:00.000
100,222271,50003666,9575,Complete,English,2019-09-05T00:00:00.000,Do you want to answer the questions?,Yes,False,OnLine,2019-09-10T00:00:00.000
101,73927,54,90001934,Complete,Chinese,2019-01-23T00:00:00.000,What other languages do you speak?,English,False,Paper,2019-01-23T00:00:00.000
102,220277,107,90010785,Complete,English,2019-09-10T00:00:00.000,What is the language you speak most at home?,English,False,Paper,2019-09-10T00:00:00.000
103,124126,75,90005416,Complete,Chinese,2018-12-17T00:00:00.000,What other languages do you speak?,Chinese Mandarin,False,Paper,2019-02-19T00:00:00.000
104,122251,76,90005245,Complete,Korean,0019-01-09T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-02-19T00:00:00.000
105,78510,54,90002293,Complete,Russian,1945-08-01T00:00:00.000,What is the language you speak most at home?,Russian,False,Paper,2019-01-23T00:00:00.000
106,133303,50003666,4168,Complete,English,2019-03-19T00:00:00.000,Do you want to answer the questions?,Yes,False,OnLine,2019-03-19T00:00:00.000
107,99525,64,90003509,Complete,Chinese,2018-12-10T00:00:00.000,How would you describe your gender?,Male,False,Paper,2019-02-07T00:00:00.000
108,221245,50003666,9428,Complete,English,2019-09-01T00:00:00.000,What service did you apply for?,Supplemental Nutrition Assistance Program (SNAP) alone,False,OnLine,2019-09-10T00:00:00.000
109,111846,60,90004472,Complete,English,2019-02-07T00:00:00.000,Are you intersex?,No,False,Paper,2019-02-07T00:00:00.000
110,223328,108,90011043,Complete,English,2019-08-13T00:00:00.000,How well do you speak English?,Fluently/Very well,False,Paper,2019-09-10T00:00:00.000
111,72323,50003666,2335,Complete,English,2018-12-11T00:00:00.000,Has anyone in your household served Write in:,Other - Write-in: no one,True,OnLine,2019-01-11T00:00:00.000
112,86266,50,90002887,Complete,English,2019-01-23T00:00:00.000,What is the language you speak most at home?,English,False,Paper,2019-01-23T00:00:00.000
113,77041,51,90002179,Complete,English,2018-11-05T00:00:00.000,How would you describe your gender?,Male,False,Paper,2019-01-23T00:00:00.000
114,21222,26,90000026,Complete,English,,What ancestries or heritages do you identify with?,American,False,Paper,2018-12-18T00:00:00.000
115,106577,61,90004059,Complete,English,2019-02-07T00:00:00.000,What is the language you speak most at home?,Spanish,False,Paper,2019-02-07T00:00:00.000
116,220802,108,90010827,Complete,English,2019-07-01T00:00:00.000,What NYC agency did you apply for services with today?,HRA - Human Resources Administration / Social Services,False,Paper,2019-09-10T00:00:00.000
117,24451,22,90000288,Complete,English,,Do you want to answer the questions?,Yes,False,Paper,2018-12-18T00:00:00.000
118,79911,54,90002404,Complete,Spanish,2018-11-08T00:00:00.000,What is the language you speak most at home?,Spanish,False,Paper,2019-01-23T00:00:00.000
119,82717,55,90002617,Complete,English,2019-01-23T00:00:00.000,What races or ethnicities do you identify with?,Hispanic or Latino,False,Paper,2019-01-23T00:00:00.000
120,86072,50,90002872,Complete,English,2018-11-30T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-01-23T00:00:00.000
121,110296,63,90004350,Complete,Spanish,2019-02-07T00:00:00.000,How well do you speak English?,Not at all,False,Paper,2019-02-07T00:00:00.000
122,110268,63,90004348,Complete,English,2019-02-07T00:00:00.000,What sex were you given at birth?,Male,False,Paper,2019-02-07T00:00:00.000
123,230745,50003666,10087,Complete,English,2019-09-19T00:00:00.000,Has anyone in your household served Write in:,English,False,OnLine,2019-10-08T00:00:00.000
124,111635,60,90004456,Complete,English,2019-02-07T00:00:00.000,What races or ethnicities do you identify with?,White,False,Paper,2019-02-07T00:00:00.000
125,126655,76,90005647,Complete,Spanish,2004-01-03T00:00:00.000,What sex were you given at birth?,Female,False,Paper,2019-02-19T00:00:00.000
126,128957,50003666,3588,Complete,English,2019-02-26T00:00:00.000,What sex were you given at birth?,Female,False,OnLine,2019-03-08T00:00:00.000
127,41933,33,90001672,Complete,Spanish,,What races or ethnicities do you identify with?,White,False,Paper,2018-12-18T00:00:00.000
128,61833,50003666,1594,Complete,English,2018-10-16T00:00:00.000,Do you want to answer the questions?,Yes,False,OnLine,2019-01-11T00:00:00.000
129,109484,61,90004285,Complete,English,2019-02-07T00:00:00.000,How would you describe your gender?,Female,False,Paper,2019-02-07T00:00:00.000
130,104870,62,90003925,Complete,English,2002-12-18T00:00:00.000,What ancestries or heritages do you identify with?,Cuban,False,Paper,2019-02-07T00:00:00.000
131,107481,60,90004128,Complete,English,2019-02-07T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-02-07T00:00:00.000
132,84183,54,90002728,Complete,Spanish,2019-01-23T00:00:00.000,Are you intersex?,Yes,False,Paper,2019-01-23T00:00:00.000
133,82080,52,90002569,Complete,English,2019-01-23T00:00:00.000,What service did you apply for?,Senior Center,False,Paper,2019-01-23T00:00:00.000
134,63968,50003666,1743,Complete,English,2018-10-22T00:00:00.000,How would you describe your gender?,Male,False,OnLine,2019-01-11T00:00:00.000
135,84008,54,90002716,Complete,English,2018-10-04T00:00:00.000,What sex were you given at birth?,Male,False,Paper,2019-01-23T00:00:00.000
136,68604,50003666,2075,Complete,English,2018-11-20T00:00:00.000,What sex were you given at birth?,Female,False,OnLine,2019-01-11T00:00:00.000
137,73432,54,90001894,Complete,Chinese,2019-01-23T00:00:00.000,How well do you speak English?,Not well,False,Paper,2019-01-23T00:00:00.000
138,128932,50003666,3583,Complete,English,2019-02-26T00:00:00.000,What sex were you given at birth?,Female,False,OnLine,2019-03-08T00:00:00.000
139,85548,52,90002829,Complete,Spanish,2018-11-20T00:00:00.000,What races or ethnicities do you identify with?,Native Hawaiian or Other Pacific Islander,False,Paper,2019-01-23T00:00:00.000
140,42986,29,90001754,Complete,English,,What is the language you speak most at home?,English,False,Paper,2018-12-18T00:00:00.000
141,41674,34,90001650,Complete,Chinese,,What sex were you given at birth?,Female,False,Paper,2018-12-18T00:00:00.000
142,38314,33,90001391,Complete,Chinese,,What service did you apply for?,Senior Center,False,Paper,2018-12-18T00:00:00.000
143,133944,50003666,4266,Complete,English,2019-03-21T00:00:00.000,What NYC agency did you apply for services with today?,HRA - Human Resources Administration / Social Services,False,OnLine,2019-03-22T00:00:00.000
144,216982,50003666,8808,Complete,English,2019-08-10T00:00:00.000,What service did you apply for?,Supplemental Nutrition Assistance Program (SNAP) alone,False,OnLine,2019-09-10T00:00:00.000
145,24012,27,90000250,Complete,English,,What service did you apply for?,Senior Center,False,Paper,2018-12-18T00:00:00.000
146,220136,108,90010773,Complete,English,2019-09-10T00:00:00.000,What is the language you speak most at home?,Spanish,False,Paper,2019-09-10T00:00:00.000
147,102326,60,90003730,Complete,Spanish,2018-12-20T00:00:00.000,What is the language you speak most at home?,Spanish,False,Paper,2019-02-07T00:00:00.000
148,98923,58,90003461,Complete,English,2019-02-07T00:00:00.000,What races or ethnicities do you identify with?,Hispanic or Latino,False,Paper,2019-02-07T00:00:00.000
149,41484,26,90001636,Complete,English,,How would you describe your gender?,Female,False,Paper,2018-12-18T00:00:00.000
150,70658,50003666,2220,Complete,English,2018-12-11T00:00:00.000,Do you want to answer the questions?,Yes,False,OnLine,2019-01-11T00:00:00.000
151,221161,50003666,9416,Complete,English,2019-08-31T00:00:00.000,What races or ethnicities do you identify with?,Black / African American / African,False,OnLine,2019-09-10T00:00:00.000
152,227490,108,90011386,Complete,English,2019-07-24T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-09-10T00:00:00.000
153,88082,53,90003027,Complete,English,2019-01-23T00:00:00.000,Are you intersex?,No,False,Paper,2019-01-23T00:00:00.000
154,30341,33,90000749,Complete,English,,What other languages do you speak?,French,False,Paper,2018-12-18T00:00:00.000
155,67847,50003666,2023,Complete,English,2018-11-20T00:00:00.000,What sex were you given at birth?,Female,False,OnLine,2019-01-11T00:00:00.000
156,64364,50003666,1773,Complete,English,2018-10-27T00:00:00.000,What other languages do you speak?,French,False,OnLine,2019-01-11T00:00:00.000
157,219645,50003666,9205,Complete,English,2019-08-23T00:00:00.000,What other languages do you speak?,English,False,OnLine,2019-09-10T00:00:00.000
158,121986,50003666,3281,Complete,English,2019-02-15T00:00:00.000,What NYC agency did you apply for services with today?,HRA - Human Resources Administration / Social Services,False,OnLine,2019-02-19T00:00:00.000
159,85113,53,90002797,Complete,English,2019-01-23T00:00:00.000,What sex were you given at birth?,Female,False,Paper,2019-01-23T00:00:00.000
160,31670,21,90000857,Complete,English,,How would you describe your gender?,Female,False,Paper,2018-12-18T00:00:00.000
161,25244,26,90000351,Complete,Russian,,What is the language you speak most at home?,English,False,Paper,2018-12-18T00:00:00.000
162,77898,50,90002246,Complete,English,2018-11-27T00:00:00.000,What service did you apply for?,Public school,False,Paper,2019-01-23T00:00:00.000
163,62251,50003666,1621,Complete,English,2018-10-18T00:00:00.000,What is the language you speak most at home?,English,False,OnLine,2019-01-11T00:00:00.000
164,94256,50003666,2548,Complete,English,2019-01-25T00:00:00.000,What NYC agency did you apply for services with today?,HRA - Human Resources Administration / Social Services,False,OnLine,2019-02-07T00:00:00.000
165,81219,51,90002500,Complete,Spanish,2018-12-06T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-01-23T00:00:00.000
166,91890,55,90003318,Complete,English,2019-01-23T00:00:00.000,What ancestries or heritages do you identify with?,African American,False,Paper,2019-01-23T00:00:00.000
167,73461,54,90001896,Complete,Chinese,2019-01-23T00:00:00.000,What sex were you given at birth?,Female,False,Paper,2019-01-23T00:00:00.000
168,89102,50,90003107,Complete,English,2018-11-14T00:00:00.000,What service did you apply for?,Public school,False,Paper,2019-01-23T00:00:00.000
169,133679,50003666,4229,Complete,English,2019-03-20T00:00:00.000,What ancestries or heritages do you identify with?,Hispanic or Latino not listed Write-in: Hispanic or Latino not listed (write-in optional),True,OnLine,2019-03-22T00:00:00.000
170,94491,50003666,2578,Complete,English,2019-01-26T00:00:00.000,Do you want to answer the questions?,No,False,OnLine,2019-02-07T00:00:00.000
171,105623,62,90003980,Complete,English,2002-11-15T00:00:00.000,How well do you speak English?,Fluently/Very well,False,Paper,2019-02-07T00:00:00.000
172,94302,50003666,2555,Complete,English,2019-01-25T00:00:00.000,Has anyone in your household served Write in:,English,False,OnLine,2019-02-07T00:00:00.000
173,112560,58,90004529,Complete,English,2019-02-07T00:00:00.000,Are you intersex?,No,False,Paper,2019-02-07T00:00:00.000
174,67349,50003666,1989,Complete,English,2018-11-20T00:00:00.000,What is your sexual orientation?,Heterosexual (straight),False,OnLine,2019-01-11T00:00:00.000
175,41968,21,90001675,Complete,English,,What ancestries or heritages do you identify with?,Hispanic or Latino not listed,False,Paper,2018-12-18T00:00:00.000
176,219286,50003666,9154,Complete,English,2019-08-21T00:00:00.000,Do you want to answer the questions?,Yes,False,OnLine,2019-09-10T00:00:00.000
177,73771,55,90001923,Complete,English,2018-11-20T00:00:00.000,What ancestries or heritages do you identify with?,Puerto Rican,False,Paper,2019-01-23T00:00:00.000
178,91807,52,90003313,Complete,English,2018-10-29T00:00:00.000,What ancestries or heritages do you identify with?,Puerto Rican,False,Paper,2019-01-23T00:00:00.000
179,102494,63,90003747,Complete,Spanish,2018-12-20T00:00:00.000,What races or ethnicities do you identify with?,Hispanic or Latino,False,Paper,2019-02-07T00:00:00.000
180,101319,64,90003641,Complete,English,2019-02-07T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-02-07T00:00:00.000
181,74729,52,90001996,Complete,English,2019-01-23T00:00:00.000,What sex were you given at birth?,Female,False,Paper,2019-01-23T00:00:00.000
182,86898,52,90002935,Complete,Spanish,1925-10-07T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-01-23T00:00:00.000
183,70423,50003666,2203,Complete,English,2018-11-30T00:00:00.000,What ancestries or heritages do you identify with?,Unknown/unsure,False,OnLine,2019-01-11T00:00:00.000
184,34377,34,90001079,Complete,Chinese,,What races or ethnicities do you identify with?,Asian,False,Paper,2018-12-18T00:00:00.000
185,34862,28,90001118,Complete,Spanish,,What service did you apply for?,Senior Center,False,Paper,2018-12-18T00:00:00.000
186,101396,63,90003649,Complete,Spanish,2018-12-18T00:00:00.000,What service did you apply for?,Public school,False,Paper,2019-02-07T00:00:00.000
187,95421,50003666,2690,Complete,English,2019-01-29T00:00:00.000,Do you want to answer the questions?,No,False,OnLine,2019-02-07T00:00:00.000
188,223173,50003666,9698,Complete,English,2019-09-09T00:00:00.000,How well do you speak English?,Fluently/Very well,False,OnLine,2019-09-10T00:00:00.000
189,63846,50003666,1735,Complete,English,2018-10-22T00:00:00.000,What ancestries or heritages do you identify with?,Russian,False,OnLine,2019-01-11T00:00:00.000
190,39924,19,90001516,Complete,Spanish,,What races or ethnicities do you identify with?,Native American or Alaska Native,False,Paper,2018-12-18T00:00:00.000
191,126736,73,90005653,Complete,Spanish,2019-01-24T00:00:00.000,What is the language you speak most at home?,Spanish,False,Paper,2019-02-19T00:00:00.000
192,79698,53,90002387,Complete,English,2019-01-23T00:00:00.000,Do you want to answer the questions?,Yes,False,Paper,2019-01-23T00:00:00.000
193,41700,28,90001652,Complete,English,,What is the language you speak most at home?,English,False,Paper,2018-12-18T00:00:00.000
194,115035,64,90004720,Complete,Chinese,2018-12-12T00:00:00.000,What service did you apply for?,Senior Center,False,Paper,2019-02-07T00:00:00.000
195,39180,21,90001458,Complete,Chinese,,What is the language you speak most at home?,English,False,Paper,2018-12-18T00:00:00.000
196,98265,62,90003412,Complete,English,2019-02-07T00:00:00.000,What ancestries or heritages do you identify with?,Cuban,False,Paper,2019-02-07T00:00:00.000
197,222367,50003666,9586,Complete,English,2019-09-06T00:00:00.000,What service did you apply for?,Supplemental Nutrition Assistance Program (SNAP) alone,False,OnLine,2019-09-10T00:00:00.000
198,104844,63,90003923,Complete,English,2018-12-20T00:00:00.000,What sex were you given at birth?,Female,False,Paper,2019-02-07T00:00:00.000
