,survey,question,year,prevalence,lower95_ci,upper95_ci
55,CHS,"Colon cancer screening, adults age 50+ (colonoscopy)",2012,68.5,66.3,70.5
56,CHS,Self-reported Health Status (excellent/very good/good),2012,78.7,77.5,79.9
57,CHS,Self-reported Health Status (excellent/very good/good),2012,78.7,77.5,79.9
58,CHS,"Flu shot in last 12 months, adults ages 65+ (not age-adjusted)",2012,61.8,58.5,64.9
59,CHS,"Flu shot in last 12 months, adults ages 65+ (not age-adjusted)",2012,61.8,58.5,64.9
60,CHS,Health Insurance Coverage,2013,79.1,77.8,80.3
61,CHS,Health Insurance Coverage,2013,79.1,77.8,80.3
62,CHS,Did not get needed medical care,2013,11.2,10.3,12.2
63,CHS,Did not get needed medical care,2013,11.2,10.3,12.2
64,CHS,No Personal Doctor,2013,19.1,18.0,20.3
65,CHS,No Personal Doctor,2013,19.1,18.0,20.3
66,CHS,Drinks 1 or more sugar-sweetened beverages per day,2013,23.3,22.1,24.6
67,CHS,Drinks 1 or more sugar-sweetened beverages per day,2013,23.3,22.1,24.6
68,CHS,Smoking Status (current smokers),2013,16.1,15.0,17.2
69,CHS,Smoking Status (current smokers),2013,16.1,15.0,17.2
70,CHS,Binge Drinking,2013,18.2,17.0,19.4
71,CHS,Binge Drinking,2013,18.2,17.0,19.4
72,CHS,Obesity,2013,23.4,22.2,24.7
73,CHS,Obesity,2013,23.4,22.2,24.7
74,CHS,"Colon cancer screening, adults age 50+ (colonoscopy)",2013,69.0,67.0,71.0
75,CHS,"Colon cancer screening, adults age 50+ (colonoscopy)",2013,69.0,67.0,71.0
76,CHS,Self-reported Health Status (excellent/very good/good),2013,76.9,75.7,78.0
77,CHS,Self-reported Health Status (excellent/very good/good),2013,76.9,75.7,78.0
78,CHS,"Flu shot in last 12 months, adults ages 65+ (not age-adjusted)",2013,66.8,63.7,69.8
79,CHS,"Flu shot in last 12 months, adults ages 65+ (not age-adjusted)",2013,66.8,63.7,69.8
80,CHS,Health Insurance Coverage,2014,86.2,85.2,87.2
81,CHS,Health Insurance Coverage,2014,86.2,85.2,87.2
82,CHS,Did not get needed medical care,2014,9.6,8.7,10.5
83,CHS,Did not get needed medical care,2014,9.6,8.7,10.5
84,CHS,No Personal Doctor,2014,15.6,14.5,16.7
85,CHS,No Personal Doctor,2014,15.6,14.5,16.7
86,CHS,Drinks 1 or more sugar-sweetened beverages per day,2014,22.5,21.2,23.8
87,CHS,Drinks 1 or more sugar-sweetened beverages per day,2014,22.5,21.2,23.8
88,CHS,Smoking Status (current smokers),2014,13.9,12.8,14.9
89,CHS,Smoking Status (current smokers),2014,13.9,12.8,14.9
90,CHS,Binge Drinking,2014,16.5,15.4,17.7
91,CHS,Binge Drinking,2014,16.5,15.4,17.7
92,CHS,Obesity,2014,24.7,23.4,26.0
93,CHS,Obesity,2014,24.7,23.4,26.0
94,CHS,"Colon cancer screening, adults age 50+ (colonoscopy)",2014,69.9,67.8,72.0
95,CHS,"Colon cancer screening, adults age 50+ (colonoscopy)",2014,69.9,67.8,72.0
96,CHS,Self-reported Health Status (excellent/very good/good),2014,77.8,76.6,78.9
97,CHS,Self-reported Health Status (excellent/very good/good),2014,77.8,76.6,78.9
98,CHS,"Flu shot in last 12 months, adults ages 65+ (not age-adjusted)",2014,64.2,60.7,67.6
99,CHS,"Flu shot in last 12 months, adults ages 65+ (not age-adjusted)",2014,64.2,60.7,67.6
