,school_year,school_dbn,community_school_district,city_council_district,school_name,of_students_in_grades_9_12,of_students_in_grades_9_12_1,_,of_15_16_june_and_august,of_15_16_june_and_august_1,__1
59,2015-16,02M533,2.0,2.0,Union Square Academy for Health Sciences,409,407,99.50%,89,89,100.00%
60,2015-16,02M534,2.0,3.0,Harvest Collegiate High School,445,323,72.60%,108,108,100.00%
61,2015-16,02M542,2.0,3.0,Manhattan Bridges High School,505,346,68.50%,115,115,100.00%
62,2015-16,02M543,2.0,1.0,New Design High School,397,392,98.70%,76,76,100.00%
63,2015-16,02M544,2.0,3.0,Independence High School,271,214,79.00%,71,70,98.60%
64,2015-16,02M545,2.0,1.0,High School for Dual Language and Asian Studies,418,201,48.10%,114,114,100.00%
65,2015-16,02M546,2.0,2.0,Academy for Software Engineering,447,439,98.20%,113,113,100.00%
66,2015-16,02M550,2.0,3.0,Liberty High School Academy for Newcomers,410,140,34.20%,62,62,100.00%
67,2015-16,02M551,2.0,1.0,Urban Assembly New York Harbor School,402,382,95.00%,77,77,100.00%
68,2015-16,02M560,2.0,3.0,High School M560 - City As School,502,466,92.80%,133,131,98.50%
69,2015-16,02M565,2.0,5.0,Urban Academy Laboratory High School,158,85,53.80%,20,20,100.00%
70,2015-16,02M570,2.0,3.0,Satellite Academy High School,220,166,75.40%,37,37,100.00%
71,2015-16,02M575,2.0,2.0,Manhattan Comprehensive Night and Day High School,608,512,84.20%,150,150,100.00%
72,2015-16,02M580,2.0,1.0,Richard R. Green High School of Teaching,492,406,82.50%,83,83,100.00%
73,2015-16,02M586,2.0,2.0,Harvey Milk High School,56,42,75.00%,s,s,s
74,2015-16,02M600,2.0,3.0,The High School of Fashion Industries,"1,741","1,275",73.20%,443,443,100.00%
75,2015-16,02M605,2.0,3.0,Humanities Preparatory Academy,199,145,72.90%,36,36,100.00%
76,2015-16,02M615,2.0,3.0,Chelsea Career and Technical Education High School,419,400,95.50%,79,79,100.00%
77,2015-16,02M625,2.0,3.0,High School of Graphic Communication Arts,95,82,86.30%,70,70,100.00%
78,2015-16,02M630,2.0,4.0,Art and Design High School,"1,413","1,274",90.20%,304,304,100.00%
79,2015-16,02M655,2.0,5.0,Life Sciences Secondary School,508,263,51.80%,91,91,100.00%
80,2015-16,03M299,3.0,6.0,The Maxine Greene HS for Imaginative Inquiry,411,285,69.30%,65,65,100.00%
81,2015-16,03M307,3.0,6.0,"Urban Assembly School for Media Studies, The",390,148,38.00%,72,72,100.00%
82,2015-16,03M402,3.0,6.0,The Urban Assembly School for Green Careers,324,303,93.50%,58,58,100.00%
83,2015-16,03M403,3.0,6.0,The Global Learning Collaborative,427,225,52.70%,80,80,100.00%
84,2015-16,03M404,3.0,6.0,Innovation Diploma Plus,162,153,94.40%,s,s,s
85,2015-16,03M415,3.0,9.0,Wadleigh Secondary School for the Performing & Visual Arts,290,147,50.70%,64,64,100.00%
86,2015-16,03M417,3.0,6.0,Frank Mccourt High School,370,260,70.30%,67,67,100.00%
87,2015-16,03M479,3.0,3.0,Beacon High School,"1,303",659,50.60%,363,363,100.00%
88,2015-16,03M485,3.0,6.0,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,"2,681",759,28.30%,652,652,100.00%
89,2015-16,03M492,3.0,6.0,"High School for Law, Advocacy and Community Justice",483,s,s,88,88,100.00%
90,2015-16,03M494,3.0,6.0,High School of Arts and Technology,541,332,61.40%,90,90,100.00%
91,2015-16,03M505,3.0,7.0,Edward A. Reynolds West Side High School,390,340,87.20%,81,81,100.00%
92,2015-16,03M541,3.0,6.0,Manhattan / Hunter Science High School,440,434,98.60%,98,98,100.00%
93,2015-16,03M859,3.0,6.0,Special Music School,135,s,s,s,s,s
94,2015-16,03M860,3.0,9.0,Frederick Douglass Academy II Secondary School,304,214,70.40%,s,s,s
95,2015-16,04M372,4.0,8.0,Esperanza Preparatory Academy,322,186,57.80%,51,51,100.00%
96,2015-16,04M409,4.0,8.0,Coalition School for Social Change,212,201,94.80%,51,51,100.00%
97,2015-16,04M435,4.0,8.0,Manhattan Center for Science and Mathematics,"1,600",663,41.40%,369,368,99.70%
98,2015-16,04M495,4.0,8.0,Park East High School,399,239,59.90%,86,86,100.00%
99,2015-16,04M555,4.0,8.0,Central Park East High School,463,342,73.90%,98,98,100.00%
100,2015-16,04M610,4.0,8.0,Young Women's Leadership School,329,245,74.50%,72,72,100.00%
101,2015-16,04M680,4.0,8.0,"Heritage School, The",307,240,78.20%,63,63,100.00%
102,2015-16,05M157,5.0,9.0,The Urban Assembly School for Global Commerce,196,146,74.50%,s,s,s
103,2015-16,05M285,5.0,9.0,Harlem Renaissance High School,178,149,83.70%,44,44,100.00%
104,2015-16,05M304,5.0,9.0,Mott Hall High School,392,211,53.80%,70,70,100.00%
105,2015-16,05M362,5.0,7.0,Columbia Secondary School,371,179,48.20%,79,79,100.00%
106,2015-16,05M367,5.0,7.0,Academy for Social Action,162,114,70.40%,29,29,100.00%
107,2015-16,05M369,5.0,7.0,Urban Assembly School for the Performing Arts,323,77,23.80%,54,54,100.00%
108,2015-16,05M469,5.0,9.0,Choir Academy of Harlem,31,31,100.00%,27,27,100.00%
109,2015-16,05M499,5.0,9.0,Frederick Douglass Academy,"1,094",431,39.40%,192,188,97.90%
110,2015-16,05M670,5.0,9.0,Thurgood Marshall Academy for Learning and Social Change,382,191,50.00%,68,67,98.50%
111,2015-16,05M685,5.0,9.0,Bread & Roses Integrated Arts High School,22,s,s,s,s,s
112,2015-16,05M692,5.0,9.0,"High School for Mathematics, Science and Engineering at City College",470,356,75.70%,134,134,100.00%
113,2015-16,06M211,6.0,10.0,Inwood Early College for Health and Information Technologies,197,s,s,s,s,s
114,2015-16,06M293,6.0,10.0,City College Academy of the Arts,340,s,s,89,89,100.00%
115,2015-16,06M346,6.0,7.0,Community Health Academy of the Heights,369,277,75.10%,79,79,100.00%
116,2015-16,06M348,6.0,10.0,Washington Heights Expeditionary Learning School,379,363,95.80%,64,62,96.90%
117,2015-16,06M423,6.0,10.0,High School for Excellence and Innovation,207,140,67.60%,s,s,s
118,2015-16,06M462,6.0,10.0,The College Academy,453,437,96.50%,65,65,100.00%
119,2015-16,06M463,6.0,10.0,High School for Media and Communications,389,224,57.60%,72,72,100.00%
120,2015-16,06M467,6.0,10.0,High School for Law and Public Service,571,267,46.80%,106,106,100.00%
121,2015-16,06M468,6.0,10.0,High School for Health Careers and Sciences,473,432,91.30%,98,98,100.00%
122,2015-16,06M540,6.0,9.0,A. Philip Randolph Campus High School,"1,351",361,26.70%,245,245,100.00%
123,2015-16,06M552,6.0,10.0,Gregorio Luperon High School for Science and Mathematics,476,127,26.70%,87,87,100.00%
124,2015-16,07X221,7.0,8.0,South Bronx Preparatory: A College Board School,351,257,73.20%,77,77,100.00%
125,2015-16,07X223,7.0,8.0,M.S. 223 The Laboratory School of Finance and Technology,305,243,79.70%,s,s,s
126,2015-16,07X259,7.0,8.0,"H.E.R.O. High (Health, Education, and Research Occupations High School)",334,325,97.30%,s,s,s
127,2015-16,07X321,7.0,17.0,Crotona Academy High School,144,126,87.50%,s,s,s
128,2015-16,07X334,7.0,8.0,International Community High School,428,100,23.40%,81,81,100.00%
129,2015-16,07X379,7.0,17.0,Jill Chaifetz Transfer High School,170,161,94.70%,34,34,100.00%
130,2015-16,07X381,7.0,17.0,Bronx Haven High School,166,125,75.30%,38,38,100.00%
131,2015-16,07X427,7.0,8.0,Community School for Social Justice,303,227,74.90%,54,53,98.20%
132,2015-16,07X473,7.0,17.0,Mott Haven Village Preparatory High School,320,150,46.90%,25,22,88.00%
133,2015-16,07X495,7.0,17.0,University Heights Secondary School,474,282,59.50%,118,118,100.00%
134,2015-16,07X500,7.0,17.0,Hostos-Lincoln Academy of Science,328,154,47.00%,69,69,100.00%
135,2015-16,07X520,7.0,8.0,Foreign Language Academy of Global Studies,94,38,40.40%,26,26,100.00%
136,2015-16,07X522,7.0,17.0,Bronx Design and Construction Academy,540,378,70.00%,86,86,100.00%
137,2015-16,07X527,7.0,17.0,Bronx Leadership Academy II High School,478,345,72.20%,109,109,100.00%
138,2015-16,07X547,7.0,17.0,New Explorers High School,377,152,40.30%,45,45,100.00%
139,2015-16,07X548,7.0,17.0,Careers in Sports High School,557,530,95.10%,115,114,99.10%
140,2015-16,07X551,7.0,8.0,The Urban Assembly Bronx Academy of Letters,327,318,97.30%,47,47,100.00%
141,2015-16,07X557,7.0,8.0,Mott Haven Community High School,208,184,88.50%,60,60,100.00%
142,2015-16,07X600,7.0,17.0,Alfred E. Smith Career and Technical Education High School,395,245,62.00%,55,55,100.00%
143,2015-16,07X670,7.0,8.0,Health Opportunities High School,519,397,76.50%,99,99,100.00%
144,2015-16,08X269,8.0,17.0,Bronx Studio School for Writers and Artists,340,311,91.50%,48,48,100.00%
145,2015-16,08X282,8.0,18.0,Women's Academy of Excellence,310,230,74.20%,57,57,100.00%
146,2015-16,08X293,8.0,13.0,Renaissance High School for Musical Theater & Technology,429,277,64.60%,83,83,100.00%
147,2015-16,08X305,8.0,18.0,Pablo Neruda Academy,302,276,91.40%,57,56,98.30%
148,2015-16,08X312,8.0,18.0,Millennium Art Academy,441,412,93.40%,84,84,100.00%
149,2015-16,08X320,8.0,13.0,Pelham Lab High School,331,208,62.80%,s,s,s
150,2015-16,08X332,8.0,17.0,Holcombe L. Rucker School of Community Research,171,109,63.70%,45,45,100.00%
151,2015-16,08X348,8.0,13.0,Schuylerville Preparatory High School,278,153,55.00%,s,s,s
152,2015-16,08X349,8.0,13.0,Bronx River High School,297,288,97.00%,s,s,s
153,2015-16,08X367,8.0,18.0,"Archimedes Academy for Math, Science and Technology Applications",399,263,65.90%,62,61,98.40%
154,2015-16,08X376,8.0,18.0,Antonia Pantoja Preparatory Academy: A College Board School,214,96,44.90%,42,42,100.00%
155,2015-16,08X377,8.0,18.0,Bronx Community High School,173,159,91.90%,40,39,97.50%
156,2015-16,08X405,8.0,13.0,Herbert H. Lehman High School,912,262,28.70%,259,259,100.00%
157,2015-16,08X432,8.0,18.0,Bronx Bridges High School,309,118,38.20%,49,49,100.00%
158,2015-16,08X452,8.0,18.0,Bronx Guild,288,270,93.80%,50,49,98.00%
159,2015-16,08X519,8.0,17.0,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",268,133,49.60%,50,50,100.00%
160,2015-16,08X530,8.0,17.0,Banana Kelly High School,196,s,s,41,41,100.00%
161,2015-16,08X537,8.0,17.0,Bronx Arena High School,172,139,80.80%,s,s,s
162,2015-16,08X558,8.0,13.0,Westchester Square Academy,527,466,88.40%,76,76,100.00%
163,2015-16,08X559,8.0,17.0,School for Tourism and Hospitality,260,235,90.40%,19,19,100.00%
164,2015-16,08X561,8.0,18.0,Bronx Compass High School,443,323,72.90%,70,70,100.00%
165,2015-16,09X227,9.0,16.0,Bronx Collegiate Academy,358,298,83.20%,49,49,100.00%
166,2015-16,09X231,9.0,15.0,Eagle Academy for Young Men,326,281,86.20%,69,69,100.00%
167,2015-16,09X241,9.0,16.0,"Urban Assembly School for Applied Math and Science, The",357,357,100.00%,69,69,100.00%
168,2015-16,09X250,9.0,16.0,Eximius College Preparatory Academy: A College Board School,430,412,95.80%,80,80,100.00%
169,2015-16,09X252,9.0,16.0,Mott Hall Bronx High School,396,179,45.20%,85,85,100.00%
170,2015-16,09X260,9.0,16.0,Bronx Center for Science and Mathematics,450,294,65.30%,99,99,100.00%
171,2015-16,09X263,9.0,16.0,Validus Preparatory Academy,371,360,97.00%,83,83,100.00%
172,2015-16,09X276,9.0,15.0,Leadership Institute,156,87,55.80%,26,26,100.00%
173,2015-16,09X297,9.0,16.0,Morris Academy for Collaborative Studies,399,246,61.70%,82,82,100.00%
174,2015-16,09X324,9.0,16.0,Bronx Early College Academy for Teaching & Learning,270,262,97.00%,50,50,100.00%
175,2015-16,09X327,9.0,14.0,Comprehensive Model School Project M.S. 327,434,268,61.80%,95,95,100.00%
176,2015-16,09X329,9.0,16.0,DreamYard Preparatory School,275,106,38.60%,53,53,100.00%
177,2015-16,09X350,9.0,16.0,New Directions Secondary School,68,s,s,s,s,s
178,2015-16,09X365,9.0,14.0,Academy for Language and Technology,307,s,s,s,s,s
179,2015-16,09X403,9.0,16.0,Bronx International High School,395,245,62.00%,72,72,100.00%
180,2015-16,09X404,9.0,16.0,School for Excellence,371,333,89.80%,55,55,100.00%
181,2015-16,09X412,9.0,16.0,Bronx High School of Business,276,83,30.10%,36,36,100.00%
182,2015-16,09X413,9.0,16.0,Bronx High School for Medical Science,253,175,69.20%,72,72,100.00%
183,2015-16,09X414,9.0,16.0,Jonathan Levin High School for Media and Communications,s,s,s,36,36,100.00%
184,2015-16,09X505,9.0,16.0,"Bronx School for Law, Government and Justice",466,251,53.90%,81,81,100.00%
185,2015-16,09X517,9.0,16.0,Frederick Douglass Academy III Secondary School,406,283,69.70%,66,66,100.00%
186,2015-16,09X525,9.0,15.0,Bronx Leadership Academy High School,645,262,40.60%,120,120,100.00%
187,2015-16,09X543,9.0,16.0,High School for Violin and Dance,324,122,37.70%,48,48,100.00%
188,2015-16,09X564,9.0,16.0,Claremont International HS,344,229,66.60%,51,51,100.00%
189,2015-16,09X568,9.0,14.0,Young Women's Leadership School of the Bronx,75,s,s,s,s,s
190,2015-16,10X141,10.0,11.0,Riverdale / Kingsbridge Academy (Middle School / High School 141),672,222,33.00%,139,139,100.00%
191,2015-16,10X213,10.0,11.0,Bronx Engineering and Technology Academy,395,s,s,75,75,100.00%
192,2015-16,10X225,10.0,15.0,Theatre Arts Production Company School,393,320,81.40%,67,67,100.00%
193,2015-16,10X237,10.0,14.0,"The Marie Curie School for Medicine, Nursing, and Health Professions",545,373,68.40%,102,101,99.00%
194,2015-16,10X243,10.0,15.0,West Bronx Academy for the Future,326,303,92.90%,63,63,100.00%
195,2015-16,10X264,10.0,15.0,Bronx Academy for Software Engineering (BASE),330,s,s,s,s,s
196,2015-16,10X268,10.0,11.0,Kingsbridge International High School,440,230,52.30%,50,50,100.00%
197,2015-16,10X284,10.0,11.0,Bronx School of Law and Finance,384,258,67.20%,67,67,100.00%
198,2015-16,10X319,10.0,15.0,Providing Urban Learners Success In Education High School,190,181,95.30%,57,57,100.00%
199,2015-16,10X342,10.0,11.0,International School for Liberal Arts,378,147,38.90%,77,77,100.00%
200,2015-16,10X351,10.0,11.0,Bronx Collaborative High School,351,s,s,s,s,s
201,2015-16,10X353,10.0,11.0,World View High School,279,125,44.80%,s,s,s
202,2015-16,10X368,10.0,11.0,In-Tech Academy (M.S. / High School 368),519,154,29.70%,141,141,100.00%
203,2015-16,10X374,10.0,15.0,Knowledge and Power Preparatory Academy International High School (Kappa),480,253,52.70%,123,123,100.00%
204,2015-16,10X397,10.0,11.0,English Language Learners and International Support Preparatory Academy (ELLIS),333,121,36.30%,s,s,s
205,2015-16,10X433,10.0,11.0,High School for Teaching and the Professions,440,295,67.00%,87,87,100.00%
206,2015-16,10X434,10.0,15.0,Belmont Preparatory High School,413,223,54.00%,87,87,100.00%
207,2015-16,10X437,10.0,15.0,Fordham High School for the Arts,365,364,99.70%,77,77,100.00%
208,2015-16,10X438,10.0,15.0,Fordham Leadership Academy for Business and Technology,364,191,52.50%,81,81,100.00%
209,2015-16,10X439,10.0,15.0,Bronx High School for Law and Community Service,391,333,85.20%,76,76,100.00%
210,2015-16,10X440,10.0,11.0,DeWitt Clinton High School,"1,466",839,57.20%,377,377,100.00%
211,2015-16,10X442,10.0,11.0,"Celia Cruz Bronx High School of Music, The",414,175,42.30%,87,87,100.00%
212,2015-16,10X445,10.0,11.0,Bronx High School of Science,"2,994","2,461",82.20%,783,783,100.00%
213,2015-16,10X477,10.0,11.0,Marble Hill High School for International Studies,434,308,71.00%,105,105,100.00%
214,2015-16,10X524,10.0,15.0,Crotona International High School,306,144,47.10%,s,s,s
215,2015-16,10X546,10.0,11.0,Bronx Theatre High School,361,329,91.10%,67,67,100.00%
216,2015-16,10X549,10.0,11.0,Discovery High School,482,148,30.70%,100,100,100.00%
217,2015-16,10X565,10.0,15.0,High School for Energy and Technology,389,188,48.30%,76,76,100.00%
218,2015-16,10X696,10.0,11.0,High School of American Studies at Lehman College,362,359,99.20%,96,96,100.00%
219,2015-16,11X249,11.0,12.0,Bronx Health Sciences High School,340,63,18.50%,56,56,100.00%
220,2015-16,11X253,11.0,12.0,Bronx High School for Writing and Communication Arts,365,179,49.00%,72,72,100.00%
221,2015-16,11X265,11.0,12.0,Bronx Lab School,433,418,96.50%,80,80,100.00%
222,2015-16,11X270,11.0,12.0,Academy for Scholarship and Entrepreneurship: A College Board School,364,262,72.00%,62,62,100.00%
223,2015-16,11X275,11.0,12.0,High School of Computers and Technology,508,493,97.00%,98,98,100.00%
224,2015-16,11X288,11.0,13.0,Collegiate Institute for Math and Science,680,262,38.50%,161,161,100.00%
225,2015-16,11X290,11.0,12.0,Bronx Academy of Health Careers,435,409,94.00%,102,102,100.00%
226,2015-16,11X299,11.0,13.0,Astor Collegiate Academy,454,413,91.00%,81,81,100.00%
227,2015-16,11X418,11.0,13.0,Bronx High School for the Visual Arts,475,165,34.70%,82,82,100.00%
228,2015-16,11X455,11.0,12.0,Harry S Truman High School,"1,994",568,28.50%,361,361,100.00%
229,2015-16,11X508,11.0,13.0,Bronxdale High School,430,412,95.80%,90,90,100.00%
230,2015-16,11X509,11.0,13.0,High School of Language and Innovation,359,222,61.80%,s,s,s
231,2015-16,11X513,11.0,12.0,New World High School,377,249,66.00%,65,65,100.00%
232,2015-16,11X514,11.0,12.0,The Bronxwood Preparatory Academy,390,325,83.30%,72,72,100.00%
233,2015-16,11X542,11.0,13.0,Pelham Preparatory Academy,489,374,76.50%,113,113,100.00%
234,2015-16,11X544,11.0,12.0,High School for Contemporary Arts,477,348,73.00%,93,93,100.00%
235,2015-16,11X545,11.0,12.0,Bronx Aerospace High School,376,258,68.60%,69,69,100.00%
236,2015-16,12X242,12.0,18.0,Mott Hall V,372,260,69.90%,89,89,100.00%
237,2015-16,12X248,12.0,17.0,"Metropolitan High School, The",324,237,73.20%,49,49,100.00%
238,2015-16,12X251,12.0,17.0,Explorations Academy,352,280,79.50%,55,55,100.00%
239,2015-16,12X267,12.0,16.0,Bronx Latin,314,138,44.00%,57,57,100.00%
240,2015-16,12X271,12.0,17.0,East Bronx Academy for the Future,396,270,68.20%,85,85,100.00%
241,2015-16,12X278,12.0,17.0,Peace and Diversity Academy,100,83,83.00%,s,s,s
242,2015-16,12X372,12.0,17.0,Urban Assembly School for Wildlife Conservation,343,141,41.10%,59,59,100.00%
243,2015-16,12X388,12.0,18.0,Pan American International High School at Monroe,441,440,99.80%,58,58,100.00%
244,2015-16,12X446,12.0,17.0,Arturo A. Schomburg Satellite Academy Bronx,152,124,81.60%,35,35,100.00%
245,2015-16,12X478,12.0,18.0,The Cinema School,304,299,98.40%,67,67,100.00%
246,2015-16,12X479,12.0,16.0,Bronx Career and College Preparatory High School,304,246,80.90%,s,s,s
247,2015-16,12X480,12.0,17.0,Bronx Regional High School,198,177,89.40%,34,34,100.00%
248,2015-16,12X511,12.0,17.0,Bronx Envision Academy,387,249,64.30%,65,65,100.00%
249,2015-16,12X521,12.0,18.0,The Metropolitan Soundview High School,419,391,93.30%,87,87,100.00%
250,2015-16,12X550,12.0,18.0,High School of World Cultures,396,236,59.60%,50,48,96.00%
251,2015-16,12X682,12.0,17.0,Fannie Lou Hamer Freedom High School,466,213,45.70%,88,88,100.00%
252,2015-16,12X684,12.0,15.0,Wings Academy,454,433,95.40%,77,77,100.00%
253,2015-16,12X692,12.0,18.0,Monroe Academy for Visual Arts & Design,385,107,27.80%,44,44,100.00%
254,2015-16,13K265,13.0,35.0,Dr. Susan S. McKinney Secondary School of the Arts,300,96,32.00%,74,74,100.00%
255,2015-16,13K350,13.0,33.0,Urban Assembly School for Music and Art,299,116,38.80%,82,82,100.00%
256,2015-16,13K412,13.0,33.0,"Brooklyn Community High School of Communication, Arts and Media",358,333,93.00%,66,66,100.00%
257,2015-16,13K419,13.0,33.0,"Science Skills Center High School for Science, Technology and the Creative Arts",536,239,44.60%,125,125,100.00%
258,2015-16,13K430,13.0,35.0,Brooklyn Technical High School,"5,490","4,031",73.40%,"1,347","1,347",100.00%
259,2015-16,13K439,13.0,33.0,Brooklyn International High School,363,269,74.10%,71,71,100.00%
260,2015-16,13K483,13.0,33.0,The Urban Assembly School for Law and Justice,454,427,94.10%,104,104,100.00%
261,2015-16,13K499,13.0,35.0,ACORN Community High School,356,158,44.40%,108,108,100.00%
262,2015-16,13K527,13.0,33.0,Urban Assembly Institute of Math and Science for Young Women,293,290,99.00%,49,49,100.00%
263,2015-16,13K553,13.0,36.0,Brooklyn Academy High School,127,108,85.00%,35,35,100.00%
264,2015-16,13K575,13.0,36.0,Bedford Stuyvesant Preparatory High School,109,94,86.20%,26,26,100.00%
265,2015-16,13K595,13.0,36.0,Bedford Academy High School,355,145,40.80%,83,83,100.00%
266,2015-16,13K605,13.0,33.0,George Westinghouse Career and Technical Education High School,584,215,36.80%,115,115,100.00%
267,2015-16,13K616,13.0,33.0,Brooklyn High School for Leadership and Community Service,144,130,90.30%,32,32,100.00%
268,2015-16,13K670,13.0,35.0,Benjamin Banneker Academy,904,313,34.60%,224,218,97.30%
269,2015-16,13K674,13.0,33.0,"City Polytechnic High School of Engineering, Architecture, and Technology",431,207,48.00%,86,86,100.00%
270,2015-16,14K071,14.0,33.0,Juan Morel Campos Secondary School,367,326,88.80%,68,68,100.00%
271,2015-16,14K322,14.0,36.0,Foundations Academy,49,24,49.00%,16,16,100.00%
272,2015-16,14K449,14.0,34.0,"Brooklyn Latin School, The",658,510,77.50%,112,112,100.00%
