,centername,legalname,building,street,borough,zipcode,phone,permitexp,status,agerange,maximumcapacity,dc_id,programtype,facilitytype,childcaretype,bin,violationratepercent,totaleducationalworkers,averagetotaleducationalworkers,publichealthhazardviolationrate,criticalviolationrate,inspectiondate,regulationsummary,violationcategory,healthcodesubsection,violationstatus,inspectionsummaryresult,permitnumber,datepermitted,actual,url,violationavgratepercent,averagepublichealthhazardiolationrate,avgcriticalviolationrate
14,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2018-02-14T00:00:00.000,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
15,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2017-08-07T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,,,N/A,Monitoring Inspection Non-Routine - Passed inspection with no violations,8243.0,2010-12-06T00:00:00.000,Y,,,,
16,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2018-02-14T00:00:00.000,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
17,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2018-02-14T00:00:00.000,At time of inspection it was determined/observed that food service worker not provided with appropriate food thermometer during food prep.,GENERAL,81.09 (i),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
18,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2017-09-22T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Passed inspection with no violations,8243.0,2010-12-06T00:00:00.000,Y,,,,
19,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-08-20T00:00:00.000,At time of inspection records of enrolled children's periodic medical examination were not provided or maintained.,GENERAL,47.25(c),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
20,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-08-20T00:00:00.000,At time of inspection records of enrolled children's periodic medical examination were not provided or maintained.,GENERAL,47.25(c),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
21,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-08-20T00:00:00.000,At time of inspection records of enrolled children's periodic medical examination were not provided or maintained.,GENERAL,47.25(c),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
22,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2018-11-29T00:00:00.000,All teachers have not received training in infectious disease control and reporting.,GENERAL,47.37(b)(2),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
23,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-02-13T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
24,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2018-03-16T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,,,N/A,Monitoring Inspection Non-Routine - Reinspection Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
25,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-02-13T00:00:00.000,At time of inspection trash and garbage observed not stored in appropriate containers with tight fitting lids.,GENERAL,47.49(b),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,8243.0,2010-12-06T00:00:00.000,Y,,,,
26,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-02-13T00:00:00.000,At time of inspection trash and garbage observed not stored in appropriate containers with tight fitting lids.,GENERAL,47.49(b),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,8243.0,2010-12-06T00:00:00.000,Y,,,,
27,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-02-13T00:00:00.000,At time of inspection trash and garbage observed not stored in appropriate containers with tight fitting lids.,GENERAL,47.49(b),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,8243.0,2010-12-06T00:00:00.000,Y,,,,
28,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2018-03-14T00:00:00.000,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,8243.0,2010-12-06T00:00:00.000,Y,,,,
29,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2018-05-31T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,,,N/A,Monitoring Inspection Non-Routine - Reinspection Required; Violations corrected at time of inspection,8243.0,2010-12-06T00:00:00.000,Y,,,,
30,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-09-26T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Passed inspection; Violations corrected at time of inspection,8243.0,2010-12-06T00:00:00.000,Y,,,,
31,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-02-13T00:00:00.000,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49(c),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,8243.0,2010-12-06T00:00:00.000,Y,,,,
32,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-02-13T00:00:00.000,At time of inspection toxic substances observed improperly stored so as to result in the potential for exposure or contamination of facility surfaces.,CRITICAL,47.49(c),CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending,8243.0,2010-12-06T00:00:00.000,Y,,,,
33,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2018-11-29T00:00:00.000,"Staff failed to obtain proof of immunization; Except for exempt staff, required staff immunizations were not submitted to child care service; records not confidential.",GENERAL,47.33(c),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
34,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-08-20T00:00:00.000,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41(j),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
35,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-08-20T00:00:00.000,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41(j),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
36,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2018-11-29T00:00:00.000,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,GENERAL,47.25(a)(1),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
37,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2019-03-11T00:00:00.000,There were no new violations observed at the time of this inspection/visit.,,,N/A,Compliance Inspection of Open Violations - Reinspection Required; Violations corrected at time of inspection,8243.0,2010-12-06T00:00:00.000,Y,,,,
38,NEW YORK CENTER FOR INFANTS AND TODDLERS,"NEW YORK CENTER FOR INFANTS AND TODDLERS, INC.",2336,ANDREWS AVENUE,BRONX,10468,718-561-5300,2020-12-06T00:00:00.000,Permitted,2 YEARS - 5 YEARS,30,DC21520,PRESCHOOL,GDC,Child Care - Pre School,2094688,33.3333,0,0.0,16.6667,16.6667,2017-05-17T00:00:00.000,Walls and ceiling in comercial building not properly constructed; not maintained in good repair; unclean,GENERAL,131.09(f),CORRECTED,Initial Annual Inspection - Reinspection Not Required,8243.0,2010-12-06T00:00:00.000,Y,,,,
39,BASIS INDEPENDENT MANHATTAN,BASIS Independent Manhattan,795,COLUMBUS AVENUE,MANHATTAN,10025,347-305-4960,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC36458,PRESCHOOL,SBCC,School Based Child Care,1088631,,0,7.905,,,,,,,,,105079.0,,,,,,
40,INTERNATIONAL ACADEMY OF NEW YORK,INTERNATIONAL ACADEMY OF NEW YORK,150,WEST   83 STREET,MANHATTAN,10024,646-604-4824,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC37566,PRESCHOOL,SBCC,School Based Child Care,1032084,,0,7.905,,,,,,,,,104726.0,,,www.ianyc.org,,,
41,Tiegerman,Tiegerman,70-24,47 AVENUE,QUEENS,11377,718-476-7163,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38595,PRESCHOOL,SBCC,School Based Child Care,4441128,,0,7.905,,,,,,,,,,,,,,,
42,LAMPLIGHTERS YESHIVAH,Lamplighters Yeshivah,196,ALBANY AVENUE,BROOKLYN,11213,718-355-9138,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38892,PRESCHOOL,SBCC,School Based Child Care,3031082,,0,7.905,,,,,,,,,,,,,,,
43,NESIVOS BAIS YAAKOV,Nesivos Bais Yaakov,1334,OCEAN PARKWAY,BROOKLYN,11230,718-376-4555,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38964,PRESCHOOL,SBCC,School Based Child Care,3172886,,1,7.905,,,,,,,,,105071.0,,,,,,
44,Bnos Aliya,Gan Aliya,131,WEST   86 STREET,MANHATTAN,10024,646-844-7199,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38078,PRESCHOOL,SBCC,School Based Child Care,1032193,,0,7.905,,,,,,,,,,,,,,,
45,Mosdos Satmar,Mosdos Satmar,1364,52 STREET,BROOKLYN,11219,718-508-4444,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38531,PRESCHOOL,SBCC,School Based Child Care,3138736,,1,7.905,,,,,,,,,104950.0,,,,,,
46,Public Prep Charter School Academies,Public Prep Charter School Academies,442,EAST HOUSTON STREET,MANHATTAN,10002,212-338-0241,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38471,PRESCHOOL,SBCC,School Based Child Care,1004349,,0,7.905,,,,,,,,,104859.0,,,,,,
47,LAMPLIGHTERS YESHIVAH,LAMPLIGHTERS YESHIVAH,275,KINGSTON AVENUE,BROOKLYN,11213,718-355-9138,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38012,PRESCHOOL,SBCC,School Based Child Care,3032810,,0,7.905,,,,,,,,,,,,,,,
48,SUCCESS ACADEMY COBBLE HILL PRESCHOOL,SUCCESS ACADEMY CHARTER SCHOOL- COBBLE HILL,284,Baltic Street,BROOKLYN,11201,718-704-1460,2115-01-23T00:00:00.000,Active,2 YEARS - 5 YEARS,0,DC33121,PRESCHOOL,SBCC,School Based Child Care,3006401,,1,7.905,,,,,,,,,,,,,,,
49,SUCCESS ACADEMY WILLIAMSBURG PRESCHOOL,SUCCESS ACADEMY CHARTER SCHOOL- WILLIAMSBURG,183,South 3rd Street,BROOKLYN,11211,718-704-1419,2115-01-23T00:00:00.000,Active,2 YEARS - 5 YEARS,0,DC33123,PRESCHOOL,SBCC,School Based Child Care,3063128,,1,7.905,,,,,,,,,,,,,,,
50,Gan Aliya,Gan Aliya,270,WEST 84 STREET,MANHATTAN,10024,310-922-1745,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38186,PRESCHOOL,SBCC,School Based Child Care,1032793,,0,7.905,,,2019-02-26T00:00:00.000,School-based child care program failed to submit Notice of Filing.,CRITICAL,43.05,OPEN,Monitoring Inspection Non-Routine - Reinspection Required,,,,,,,
51,YESHIVAT MEKOR HAIM,YESHIVAT MEKOR HAIM,2611,AVENUE Z,BROOKLYN,11235,718-332-0399,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38851,PRESCHOOL,SBCC,School Based Child Care,3204595,,0,7.905,,,,,,,,,105070.0,,,,,,
52,PUBLIC PREP CHARTER SCHOOL ACADEMIES,Public Prep Charter School Academies,442,East Houston Street,MANHATTAN,10002,212-388-0241,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38500,PRESCHOOL,SBCC,School Based Child Care,1004349,,0,7.905,,,,,,,,,105094.0,,,www.publicprep.org,,,
53,Harlem Hebrew Language Academy Charter School,Harlem Hebrew Language Academy Charter School,147,ST NICHOLAS AVENUE,MANHATTAN,10026,212-866-4608,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38204,PRESCHOOL,SBCC,School Based Child Care,1058397,,0,7.905,,,,,,,,,104825.0,,,,,,
54,Central UTA - Marcy,Bais Ruchel D'Satmar,585,MARCY AVENUE,BROOKLYN,11206,718-797-2888,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC38815,PRESCHOOL,SBCC,School Based Child Care,3048637,,0,7.905,,,,,,,,,,,,,,,
55,AVENUES NEW YORK,"AVENUES NEW YORK, LLC.",536,WEST   26 STREET,MANHATTAN,10001,646-664-0925,1900-01-01T00:00:00.000,Active,3 YEARS - 5 YEARS,0,DC35665,PRESCHOOL,SBCC,School Based Child Care,1012387,,0,7.905,,,,,,,,,,,,,,,
