,school_dbn,community_school_district,city_council_district,school_name,of_students_in_grades_9_12,of_students_in_grades_9_12_1,_,of_16_17_june_and_august,of_16_17_june_and_august_1,__1
121,07X495,7,17,University Heights Secondary School,465,237,51.0%,118,118,100.0%
122,08X530,8,17,Banana Kelly High School,146,s,s,33,33,100.0%
123,08X269,8,17,Bronx Studio School for Writers and Artists,340,328,96.5%,54,54,100.0%
124,07X527,7,17,Bronx Leadership Academy II High School,489,449,91.8%,93,93,100.0%
125,07X547,7,17,New Explorers High School,353,250,70.8%,46,46,100.0%
126,07X600,7,17,Alfred E. Smith Career and Technical Education High School,431,287,66.6%,64,64,100.0%
127,75X811,75,17,P.S. X811,615,s,s,s,s,s
128,07X379,7,17,Jill Chaifetz Transfer High School,188,179,95.2%,26,26,100.0%
129,08X559,8,17,School for Tourism and Hospitality,290,184,63.4%,31,30,96.8%
130,12X480,12,17,Bronx Regional High School,179,173,96.6%,37,37,100.0%
131,07X522,7,17,Bronx Design and Construction Academy,536,371,69.2%,74,74,100.0%
132,12X251,12,17,Explorations Academy,344,264,76.7%,52,52,100.0%
133,08X537,8,17,Bronx Arena High School,189,157,83.1%,s,s,s
134,08X332,8,17,Holcombe L. Rucker School of Community Research,141,94,66.7%,18,18,100.0%
135,08X519,8,17,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",221,136,61.5%,37,37,100.0%
136,12X271,12,17,East Bronx Academy for the Future,405,278,68.6%,77,76,98.7%
137,12X248,12,17,"Metropolitan High School, The",401,370,92.3%,54,53,98.1%
138,12X511,12,17,Bronx Envision Academy,384,274,71.4%,63,63,100.0%
139,12X682,12,17,Fannie Lou Hamer Freedom High School,443,208,47.0%,80,80,100.0%
140,07X381,7,17,Bronx Haven High School,163,145,89.0%,29,29,100.0%
141,07X500,7,17,Hostos-Lincoln Academy of Science,347,177,51.0%,75,75,100.0%
142,12X550,12,18,High School of World Cultures,434,353,81.3%,34,34,100.0%
143,08X561,8,18,Bronx Compass High School,442,276,62.4%,55,55,100.0%
144,12X388,12,18,Pan American International High School at Monroe,450,450,100.0%,61,61,100.0%
145,08X367,8,18,"Archimedes Academy for Math, Science and Technology Applications",378,273,72.2%,72,70,97.2%
146,08X452,8,18,Bronx Guild,285,259,90.9%,62,62,100.0%
147,12X478,12,18,The Cinema School,303,294,97.0%,67,67,100.0%
148,08X312,8,18,Millennium Art Academy,421,391,92.9%,85,85,100.0%
149,08X282,8,18,Women's Academy of Excellence,296,224,75.7%,54,54,100.0%
150,12X521,12,18,The Metropolitan Soundview High School,394,385,97.7%,68,68,100.0%
151,08X376,8,18,Antonia Pantoja Preparatory Academy: A College Board School,222,s,s,36,36,100.0%
152,12X242,12,18,Mott Hall V,359,258,71.9%,80,80,100.0%
153,08X432,8,18,Bronx Bridges High School,310,161,51.9%,52,52,100.0%
154,12X692,12,18,Monroe Academy for Visual Arts & Design,308,s,s,53,53,100.0%
155,08X305,8,18,Pablo Neruda Academy,292,256,87.7%,44,44,100.0%
156,08X377,8,18,Bronx Community High School,159,145,91.2%,33,32,97.0%
157,26Q495,26,19,Bayside High School,2944,"2,931",99.6%,665,665,100.0%
158,25Q285,25,19,World Journalism Preparatory: A College Board School,326,325,99.7%,88,88,100.0%
159,02M432,2,2,Murray Hill Academy,295,170,57.6%,52,52,100.0%
160,02M407,2,2,Institute for Collaborative Education,261,128,49.0%,53,53,100.0%
161,02M427,2,2,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,296,189,63.9%,38,38,100.0%
162,01M696,1,2,Bard High School Early College,546,529,96.9%,114,114,100.0%
163,02M533,2,2,Union Square Academy for Health Sciences,401,400,99.8%,79,79,100.0%
164,75M751,75,2,Manhattan School for Career Development,175,s,s,s,s,s
165,75M226,75,2,P.S. M226,96,21,21.9%,s,s,s
166,02M260,2,2,M.S. 260 Clinton School Writers & Artists,198,190,96.0%,s,s,s
167,02M420,2,2,High School for Health Professions and Human Services,1727,"1,612",93.3%,359,358,99.7%
168,01M539,1,2,"New Explorations into Science, Technology and Math High School",612,418,68.3%,176,176,100.0%
169,02M546,2,2,Academy for Software Engineering,442,431,97.5%,95,95,100.0%
170,02M438,2,2,International High School at Union Square,344,225,65.4%,57,57,100.0%
171,02M399,2,2,The High School For Language And Diplomacy,392,245,62.5%,85,85,100.0%
172,02M047,2,2,47 The American Sign Language and English Secondary School,175,49,28.0%,33,33,100.0%
173,02M500,2,2,Unity Center for Urban Technologies,253,209,82.6%,56,56,100.0%
174,02M413,2,2,School of the Future High School,444,320,72.1%,101,100,99.0%
175,02M374,2,2,Gramercy Arts High School,515,411,79.8%,106,106,100.0%
176,02M575,2,2,Manhattan Comprehensive Night and Day High School,622,503,80.9%,137,137,100.0%
177,02M411,2,2,Baruch College Campus High School,439,436,99.3%,111,111,100.0%
178,01M450,1,2,East Side Community School,377,376,99.7%,82,82,100.0%
179,02M586,2,2,Harvey Milk High School,56,s,s,s,s,s
180,25Q240,25,20,Veritas Academy,539,401,74.4%,111,111,100.0%
181,25Q460,25,20,Flushing High School,1706,"1,006",59.0%,283,283,100.0%
182,25Q281,25,20,East-West School of International Studies,343,s,s,83,83,100.0%
183,75Q177,75,20,P.S. Q177,318,s,s,s,s,s
184,25Q540,25,20,Queens Academy High School,352,255,72.4%,s,s,s
185,26Q430,26,20,Francis Lewis High School,4414,"2,894",65.6%,924,924,100.0%
186,25Q263,25,20,Flushing International High School,421,418,99.3%,64,64,100.0%
187,25Q241,25,20,Queens High School for Language Studies,393,283,72.0%,79,79,100.0%
188,24Q550,24,21,High School for Arts and Business,786,324,41.2%,167,167,100.0%
189,30Q286,30,22,"Young Women's Leadership School, Astoria",318,s,s,78,78,100.0%
190,30Q450,30,22,Long Island City High School,2015,s,s,284,284,100.0%
191,26Q315,26,23,Business Technology Early College High School,321,91,28.3%,s,s,s
192,75Q993,75,23,P.S. Q993,168,15,8.9%,s,s,s
193,26Q566,26,23,"Queens High School of Teaching, Liberal Arts and the Sciences",1089,706,64.8%,253,253,100.0%
194,29Q326,29,23,Cambria Heights Academy,355,338,95.2%,93,93,100.0%
195,26Q435,26,23,Martin Van Buren High School,1152,"1,095",95.1%,s,s,s
196,26Q415,26,23,Benjamin N. Cardozo High School,3660,"1,782",48.7%,810,810,100.0%
197,75Q811,75,23,P.S. Q811,239,201,84.1%,s,s,s
198,75Q023,75,23,P.S. Q023 @ Queens Children Center,134,65,48.5%,s,s,s
199,28Q896,28,24,"Young Women's Leadership School, Queens",321,303,94.4%,82,82,100.0%
200,25Q525,25,24,Townsend Harris High School,1105,841,76.1%,259,259,100.0%
201,75Q255,75,24,P.S. Q255,15,s,s,s,s,s
202,28Q310,28,24,Queens Collegiate: A College Board School,426,378,88.7%,96,96,100.0%
203,28Q620,28,24,Thomas A. Edison Career and Technical Education High School,2055,"1,974",96.1%,451,451,100.0%
204,28Q338,28,24,Queens Satellite High School for Opportunity,175,s,s,s,s,s
205,28Q505,28,24,Hillcrest High School,3301,"1,614",48.9%,652,624,95.7%
206,28Q680,28,24,Queens Gateway to Health Sciences Secondary School,420,415,98.8%,103,103,100.0%
207,28Q350,28,24,Jamaica Gateway to the Sciences,522,390,74.7%,123,123,100.0%
208,25Q425,25,24,John Bowne High School,3493,"1,671",47.8%,674,674,100.0%
209,25Q670,25,24,Robert F. Kennedy Community High School,723,214,29.6%,137,137,100.0%
210,25Q792,25,24,North Queens Community High School,162,s,s,s,s,s
211,28Q325,28,24,Hillside Arts & Letters Academy,480,351,73.1%,90,90,100.0%
212,28Q328,28,24,High School for Community Leadership,448,287,64.1%,85,85,100.0%
213,25Q252,25,24,"Queens School of Inquiry, The",322,192,59.6%,73,73,100.0%
214,24Q455,24,25,Newtown High School,1895,534,28.2%,349,349,100.0%
215,24Q296,24,25,Pan American International High School,464,122,26.3%,92,92,100.0%
216,75Q721,75,25,John F. Kennedy Jr. School,479,s,s,s,s,s
217,24Q293,24,25,Civic Leadership Academy,503,378,75.1%,112,112,100.0%
218,24Q264,24,26,Academy of Finance and Enterprise,564,388,68.8%,134,134,100.0%
219,30Q580,30,26,Baccalaureate School for Global Education,297,285,96.0%,87,87,100.0%
220,30Q502,30,26,Information Technology High School,949,682,71.9%,172,172,100.0%
221,24Q530,24,26,International High School at LaGuardia Community College,504,380,75.4%,100,100,100.0%
222,24Q520,24,26,Middle College High School at LaGuardia Community College,485,471,97.1%,89,89,100.0%
223,30Q445,30,26,William Cullen Bryant High School,2314,"1,553",67.1%,467,467,100.0%
224,30Q575,30,26,Academy of American Studies,985,308,31.3%,237,237,100.0%
225,24Q610,24,26,Aviation Career & Technical Education High School,2087,"2,081",99.7%,636,636,100.0%
226,24Q560,24,26,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",482,476,98.8%,103,103,100.0%
227,24Q299,24,26,Bard High School Early College Queens,596,590,99.0%,143,143,100.0%
228,24Q267,24,26,High School of Applied Communication,398,295,74.1%,s,s,s
229,30Q258,30,26,Energy Tech High School,432,298,69.0%,94,94,100.0%
230,30Q501,30,26,Frank Sinatra School of the Arts High School,844,s,s,221,221,100.0%
231,30Q301,30,26,Academy for Careers in Television and Film,537,536,99.8%,117,117,100.0%
232,24Q600,24,26,Queens Vocational and Technical High School,1489,"1,048",70.4%,312,312,100.0%
233,30Q555,30,26,Newcomers High School,1014,333,32.8%,212,212,100.0%
234,75Q277,75,26,The Riverview School,41,s,s,s,s,s
235,29Q498,29,27,Humanities & Arts Magnet High School,458,266,58.1%,90,90,100.0%
236,29Q313,29,27,Benjamin Franklin High School for Finance & Information Technology,326,308,94.5%,s,s,s
237,28Q687,28,27,Queens High School for the Sciences at York College,460,424,92.2%,116,116,100.0%
238,29Q492,29,27,"Mathematics, Science Research and Technology Magnet High School",398,350,87.9%,76,76,100.0%
239,29Q243,29,27,Institute for Health Professions at Cambria Heights,411,83,20.2%,76,69,90.8%
240,29Q327,29,27,Eagle Academy for Young Men III,263,150,57.0%,s,s,s
241,28Q284,28,27,York Early College Academy,349,168,48.1%,80,80,100.0%
242,29Q259,29,27,Pathways College Preparatory School: A College Board School,360,268,74.4%,s,s,s
243,27Q314,27,28,Epic High School - South,276,108,39.1%,s,s,s
244,75Q752,75,28,Queens Transition Center,353,111,31.4%,s,s,s
245,27Q261,27,28,Voyages Prep - South Queens,265,225,84.9%,63,63,100.0%
246,27Q334,27,28,Epic High School - North,283,13,4.6%,s,s,s
247,27Q475,27,28,Richmond Hill High School,1720,"1,365",79.4%,352,352,100.0%
248,27Q650,27,28,"High School for Construction Trades, Engineering and Architecture",1009,489,48.5%,228,228,100.0%
249,27Q400,27,28,August Martin High School,345,338,98.0%,91,91,100.0%
250,28Q690,28,28,High School for Law Enforcement and Public Safety,516,317,61.4%,94,94,100.0%
251,28Q686,28,29,Queens Metropolitan High School,1057,760,71.9%,196,196,100.0%
252,28Q157,28,29,J.H.S. 157 Stephen A. Halsey,47,s,s,s,s,s
253,75Q233,75,29,P.S. Q233,309,s,s,s,s,s
254,28Q167,28,29,Metropolitan Expeditionary Learning School,441,439,99.5%,97,97,100.0%
255,28Q440,28,29,Forest Hills High School,3832,"2,512",65.6%,839,839,100.0%
256,02M296,2,3,High School of Hospitality Management,375,345,92.0%,65,65,100.0%
257,02M408,2,3,Professional Performing Arts High School,442,433,98.0%,87,86,98.9%
258,02M439,2,3,Manhattan Village Academy,434,429,98.8%,88,88,100.0%
259,02M139,2,3,Stephen T. Mather Building Arts & Craftsmanship High School,369,164,44.4%,63,63,100.0%
260,02M400,2,3,High School for Environmental Studies,1182,841,71.2%,251,251,100.0%
261,02M303,2,3,"Facing History School, The",398,387,97.2%,63,63,100.0%
262,02M412,2,3,N.Y.C. Lab School for Collaborative Studies,529,385,72.8%,150,150,100.0%
263,02M507,2,3,Urban Assembly Gateway School for Technology,448,330,73.7%,96,96,100.0%
264,03M479,3,3,Beacon High School,1284,598,46.6%,283,282,99.6%
265,02M600,2,3,The High School of Fashion Industries,1625,"1,178",72.5%,362,362,100.0%
266,02M437,2,3,Hudson High School of Learning Technologies,460,323,70.2%,83,83,100.0%
267,75M721,75,3,P.S. M721 - Manhattan Occupational Training Center,160,17,10.6%,s,s,s
268,02M376,2,3,NYC iSchool,441,226,51.2%,102,102,100.0%
269,75M035,75,3,P.S. 035,266,188,70.7%,s,s,s
270,02M313,2,3,"James Baldwin School, The: A School for Expeditionary Learning",222,159,71.6%,50,50,100.0%
271,02M542,2,3,Manhattan Bridges High School,510,384,75.3%,105,105,100.0%
272,02M560,2,3,High School M560 - City As School,564,533,94.5%,128,128,100.0%
273,02M605,2,3,Humanities Preparatory Academy,200,195,97.5%,41,41,100.0%
274,02M393,2,3,Business Of Sports School,428,197,46.0%,84,84,100.0%
275,02M550,2,3,Liberty High School Academy for Newcomers,420,165,39.3%,64,64,100.0%
276,02M414,2,3,N.Y.C. Museum School,444,428,96.4%,117,117,100.0%
277,02M615,2,3,Chelsea Career and Technical Education High School,411,394,95.9%,77,77,100.0%
278,02M300,2,3,"Urban Assembly School of Design and Construction, The",363,141,38.8%,62,62,100.0%
279,02M534,2,3,Harvest Collegiate High School,451,216,47.9%,87,87,100.0%
280,02M392,2,3,MANHATTAN BUSINESS ACADEMY,412,242,58.7%,90,89,98.9%
281,02M570,2,3,Satellite Academy High School,223,215,96.4%,32,32,100.0%
282,02M288,2,3,Food and Finance High School,383,112,29.2%,84,84,100.0%
283,02M419,2,3,Landmark High School,350,341,97.4%,50,50,100.0%
284,02M544,2,3,Independence High School,230,179,77.8%,72,72,100.0%
285,02M422,2,3,Quest to Learn,352,207,58.8%,67,67,100.0%
286,24Q485,24,30,Grover Cleveland High School,1692,s,s,276,276,100.0%
287,27Q302,27,31,"Queens High School for Information, Research, and Technology",432,211,48.8%,89,89,100.0%
288,29Q265,29,31,Excelsior Preparatory High School,495,384,77.6%,105,105,100.0%
289,27Q309,27,31,Academy of Medical Technology: A College Board School,419,351,83.8%,s,s,s
290,27Q260,27,31,Frederick Douglass Academy VI High School,351,281,80.1%,s,s,s
291,29Q272,29,31,George Washington Carver High School for the Sciences,487,411,84.4%,106,106,100.0%
292,29Q248,29,31,Queens Preparatory Academy,458,142,31.0%,90,90,100.0%
293,29Q283,29,31,Preparatory Academy for Writers: A College Board School,412,325,78.9%,83,83,100.0%
294,27Q351,27,32,Rockaway Collegiate High School,346,154,44.5%,48,48,100.0%
295,27Q480,27,32,John Adams High School,2135,"1,079",50.5%,430,430,100.0%
296,27Q308,27,32,Robert H. Goddard High School of Communication Arts and Technology,613,361,58.9%,132,132,100.0%
297,27Q323,27,32,Scholars' Academy,623,270,43.3%,121,121,100.0%
298,27Q262,27,32,Channel View School for Research,486,446,91.8%,104,103,99.0%
299,27Q324,27,32,Rockaway Park High School for Environmental Sustainability,308,208,67.5%,58,58,100.0%
300,14K488,14,33,Brooklyn Preparatory High School,510,508,99.6%,108,108,100.0%
301,14K561,14,33,Williamsburg Preparatory School,661,651,98.5%,145,145,100.0%
302,13K439,13,33,Brooklyn International High School,350,211,60.3%,77,77,100.0%
303,13K483,13,33,The Urban Assembly School for Law and Justice,443,407,91.9%,101,101,100.0%
304,14K685,14,33,El Puente Academy for Peace and Justice,229,167,72.9%,33,33,100.0%
305,15K497,15,33,The Boerum Hill School for International Studies,274,267,97.4%,62,61,98.4%
306,15K429,15,33,Digital Arts and Cinema Technology High School,152,30,19.7%,25,25,100.0%
307,13K419,13,33,"Science Skills Center High School for Science, Technology and the Creative Arts",518,252,48.6%,108,108,100.0%
308,75K369,75,33,P.S. K369 - Coy L. Cox School,114,79,69.3%,s,s,s
309,13K527,13,33,Urban Assembly Institute of Math and Science for Young Women,299,295,98.7%,60,60,100.0%
310,14K632,14,33,Frances Perkins Academy,105,74,70.5%,23,23,100.0%
311,13K350,13,33,Urban Assembly School for Music and Art,255,60,23.5%,37,37,100.0%
312,15K656,15,33,Brooklyn High School of the Arts,840,709,84.4%,173,173,100.0%
313,14K071,14,33,Juan Morel Campos Secondary School,355,238,67.0%,70,70,100.0%
314,15K519,15,33,Cobble Hill School of American Studies,565,162,28.7%,85,85,100.0%
315,14K610,14,33,Automotive High School,295,177,60.0%,36,36,100.0%
316,13K674,13,33,"City Polytechnic High School of Engineering, Architecture, and Technology",413,95,23.0%,84,84,100.0%
317,15K592,15,33,Khalil Gibran International Academy,260,152,58.5%,38,38,100.0%
318,14K558,14,33,Williamsburg High School for Architecture and Design,551,397,72.1%,125,125,100.0%
319,13K412,13,33,"Brooklyn Community High School of Communication, Arts and Media",402,368,91.5%,78,78,100.0%
320,13K616,13,33,Brooklyn High School for Leadership and Community Service,155,133,85.8%,s,s,s
321,15K423,15,33,Brooklyn Frontiers High School,131,61,46.6%,12,12,100.0%
322,13K605,13,33,George Westinghouse Career and Technical Education High School,654,168,25.7%,85,85,100.0%
323,14K614,14,34,Young Women's Leadership School of Brooklyn,228,222,97.4%,54,54,100.0%
324,14K474,14,34,PROGRESS High School for Professional Careers,807,399,49.4%,179,179,100.0%
325,14K477,14,34,School for Legal Studies,403,150,37.2%,98,98,100.0%
326,32K545,32,34,EBC High School for Public Service - Bushwick,495,347,70.1%,86,86,100.0%
327,32K556,32,34,Bushwick Leaders High School for Academic Excellence,270,146,54.1%,51,51,100.0%
328,14K478,14,34,"The High School for Enterprise, Business and Technology",872,819,93.9%,183,183,100.0%
329,14K449,14,34,"Brooklyn Latin School, The",715,532,74.4%,171,171,100.0%
330,14K586,14,34,Lyons Community School,331,98,29.6%,57,57,100.0%
331,14K454,14,34,Green School: An Academy for Environmental Careers,235,85,36.2%,25,25,100.0%
332,17K548,17,35,Brooklyn School for Music & Theatre,301,223,74.1%,62,62,100.0%
333,17K524,17,35,International High School at Prospect Heights,399,285,71.4%,64,64,100.0%
334,13K499,13,35,ACORN Community High School,239,137,57.3%,58,58,100.0%
