,borough_code,development,address,status,sponsor,type,zip_code,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta
19,Queens,FOREST HILLS COOP (108TH STREET-62ND DRIVE),108-25 62nd Drive,Occupied,"Queens Community House, Inc.",Senior Center,11375.0,40.73591,-73.850212,6.0,29.0,745.0,4432108.0,4021590002.0,Forest Hills                                                               
20,Staten Island,West Brighton,230 Broadway,Occupied,Catholic Charities Community Services Archdiocese of NY,Senior Center,10310.0,40.636486,-74.117523,1.0,49.0,13301.0,5095818.0,5001960001.0,West New Brighton-New Brighton-St. George                                  
21,Manhattan,Gompers,80 Pitt Street,Occupied,"Grand Street Settlement, Inc.",Senior Center,10002.0,40.718328,-73.98245,3.0,2.0,2201.0,1084357.0,1003380001.0,Lower East Side                                                            
22,Manhattan,Metro North Plaza,304 East 102nd Street,Occupied,Union Settlement Association,Child Care - Early Learn,10029.0,40.787977,-73.944153,11.0,8.0,164.0,1079341.0,1016730006.0,East Harlem South                                                          
23,Manhattan,Lower East Side II,175 Eldridge Street,Occupied,"University Settlement Society of New York, Inc.",Community Center,10002.0,40.720412,-73.990822,3.0,1.0,18.0,1005602.0,1004200062.0,Chinatown                                                                  
24,Bronx,Mitchel,185 Willis Avenue,Vacant ,NYCHA,Vacant,10454.0,40.807604,-73.923994,1.0,8.0,23.0,2093914.0,2022980040.0,Mott Haven-Port Morris                                                     
25,Manhattan,Smith,50 Madison Street,Occupied,"Hamilton-Madison House, Inc.",Senior Center,10038.0,40.711958,-73.997825,3.0,1.0,25.0,1077420.0,1001110100.0,Chinatown                                                                  
26,Brooklyn,Marcus Garvey,20 Amboy Street,Occupied,Research Foundation ,Community Center,11212.0,40.670058,-73.91476,16.0,41.0,902.0,3251969.0,3034940010.0,Brownsville                                                                
27,Brooklyn,Albany,1185 Park Place,Occupied,"Brooklyn Kindergarten Society, Inc.",Child Care - Early Learn,11213.0,40.672793,-73.938391,8.0,36.0,343.0,3324613.0,3013520080.0,Crown Heights North                                                        
28,Queens,Queensbridge North,10-43 41st Avenue,Occupied,Queens Borough Public Library,Other - Education /Literacy Center,11101.0,40.755329,-73.945014,1.0,26.0,25.0,4595582.0,4004700100.0,Queensbridge-Ravenswood-Long Island City                                   
29,Brooklyn,572 Warren St,565 Baltic Street,Occupied,Alonzo A. Daughtry Memorial DCC Inc.,Child Care - UPK 2014,11217.0,40.681306,-73.982697,6.0,33.0,127.0,3006388.0,3004010001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
30,Manhattan,Washington,1893 Second Avenue,Occupied,Union Settlement Association,Child Care - Early Learn,10029.0,40.785154,-73.946448,11.0,8.0,15602.0,1082343.0,1016470001.0,East Harlem South                                                          
31,Manhattan,Washington,1775 Third Avenue,Occupied,Union Settlement Association,Senior Center,10029.0,40.786574,-73.948303,11.0,8.0,15602.0,1079203.0,1016470001.0,East Harlem South                                                          
32,Manhattan,Douglas II,820 Columbus Avenue,Occupied,"Open Door Associates, Inc.",Child Care - Early Learn,10025.0,40.795506,-73.965603,7.0,7.0,189.0,1079347.0,1018550001.0,Upper West Side                                                            
33,Brooklyn,Tompkins,730 Park Avenue,Occupied,"Brooklyn Kindergarten Society, Inc.",Child Care - Early Learn,11206.0,40.697942,-73.946392,3.0,36.0,25902.0,3324248.0,3017400001.0,Bedford                                                                    
34,Brooklyn,Cypress Hills,475 Fountain Avenue,Occupied,NYCHA,Senior Center,11208.0,40.668288,-73.873005,5.0,42.0,1210.0,3337041.0,3042920061.0,East New York                                                              
35,Manhattan,Harlem River,2650 A C Powell Blvd,Occupied,NYC Public Library,Other - Library,10039.0,40.826385,-73.935622,10.0,9.0,236.0,1084156.0,1020370011.0,Central Harlem North-Polo Grounds                                          
36,Manhattan,Jefferson,210 East 115th Street ,Occupied,Union Settlement Association,Health Clinic (mental),10029.0,40.797132,-73.940237,11.0,8.0,180.0,1080705.0,1016620001.0,East Harlem North                                                          
37,Bronx,1162 Washington,1162 Washington Avenue,Reserved - application on file,NYCHA,Child Care ,10459.0,40.82986,-73.90769,3.0,16.0,145.0,2001312.0,2023720001.0,Claremont-Bathgate                                                         
38,Brooklyn,Hughes Apartments,301 Sutter Avenue,Occupied,Research Foundation,Community Center,11212.0,40.667312,-73.909072,16.0,41.0,906.0,3348344.0,3035260021.0,Brownsville                                                                
39,Brooklyn,Stuyvesant Gardens II,150 Malcolm X Blvd,Occupied,"Ridgewood-Bushwick Sr Citizens Council, Inc.",Senior Center,11221.0,40.688335,-73.930144,3.0,36.0,293.0,3044658.0,3016360024.0,Stuyvesant Heights                                                         
40,Brooklyn,Sheepshead Bay,3679 Nostrand Avenue,Occupied,Federation of Italian American Organizations of Brooklyn,Community Center,11229.0,40.594132,-73.940663,15.0,46.0,572.0,3344548.0,3074051001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
41,Queens,South Jamaica II,109-04 160th Street,Occupied,Southern Queens Park Association,Community Center,11433.0,40.693957,-73.792027,12.0,28.0,260.0,4435245.0,4121480100.0,South Jamaica                                                              
42,Manhattan,La Guardia,40 Montgomery Street,Occupied,"Henry Street Settlement, Inc.",Health Clinic,10002.0,40.71288,-73.985038,3.0,1.0,201.0,1083385.0,1002580001.0,Lower East Side                                                            
43,Manhattan,Baruch,605 FDR Drive,Occupied,"Grand Street Settlement, Inc.",Community Center,10002.0,40.718356,-73.97521,3.0,2.0,1002.0,1078027.0,1003230001.0,Lower East Side                                                            
44,Bronx,Millbrook,201 St. Anns Avenue,Occupied,Institute for the Puerto Rican/Hispanic Elderly,Senior Center,10454.0,40.805742,-73.918238,1.0,8.0,25.0,2090986.0,2022630019.0,Mott Haven-Port Morris                                                     
45,Bronx,Forest,749 East 163rd Street,Occupied,Southeast Bronx Neighborhood Centers,Child Care - Early Learn,10456.0,40.822957,-73.904108,3.0,16.0,133.0,2091965.0,2026390001.0,Morrisania-Melrose                                                         
46,Manhattan,LaGuardia Addition,280 Cherry Street,Occupied,New York Foundation For Senior Citizens,Senior Center,10002.0,40.711376,-73.988461,3.0,1.0,6.0,1003211.0,1002560014.0,Lower East Side                                                            
47,Manhattan,131 Saint Nicholas Avenue,131 Saint Nicholas Avenue,Occupied,"Citizen's Care Day Care Center, Inc",Child Care - Early Learn,10026.0,40.803994,-73.952721,10.0,9.0,218.0,1058378.0,1019220041.0,Central Harlem South                                                       
48,Bronx,Betances I,401 St. Anns Avenue,Reserved - temporarily relocated,Institute for the Puerto Rican/Hispanic Elderly,Senior Center/ under renovation,10454.0,40.81085,-73.914941,1.0,8.0,41.0,2090993.0,2022690100.0,Mott Haven-Port Morris                                                     
49,Bronx,Throggs Neck,461 Swinton Avenue,Occupied,"Tremont Crotona Day Care Ctr., Inc.",Child Care - Early Learn,10465.0,40.820332,-73.822263,10.0,13.0,144.0,2093888.0,2055820001.0,Schuylerville-Throgs Neck-Edgewater Park                                   
50,Bronx,Parkside,2972 Bronx Park East,Occupied,Mosholu Montefiore Community Center Inc.,Community Center,10467.0,40.869381,-73.870517,11.0,15.0,336.0,2101746.0,2045420100.0,Bronxdale                                                                  
51,Bronx,East 180th Street-Monterey Avenue,2100 Monterey Avenue,Occupied,Good Shepherd Services,Community Center,10457.0,40.85029,-73.893098,6.0,15.0,37504.0,2011855.0,2030620021.0,East Tremont                                                               
52,Manhattan,Fulton,119 Ninth Avenue,Occupied,Hudson Guild,Senior Center,10011.0,40.743172,-74.00376,4.0,3.0,83.0,1078418.0,1007150010.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
53,Bronx,Melrose,348 East 156th Street,Occupied,Lincoln Hospital ,Health Clinic,10451.0,40.821376,-73.917814,1.0,17.0,67.0,2093919.0,2024130001.0,Melrose South-Mott Haven North                                             
54,Manhattan,DeHostos Apartments,690 Amsterdam Avenue,Occupied,Institute for Family Health,Health Clinic,10025.0,40.792464,-73.971538,7.0,6.0,179.0,1033648.0,1012410025.0,Upper West Side                                                            
55,Brooklyn,Brown,1630 St Marks Avenue,Occupied,"Wayside Out-Reach Development Corporation, Inc.",Senior Center,11233.0,40.673166,-73.912849,16.0,41.0,363.0,3394308.0,3014600001.0,Ocean Hill                                                                 
56,Bronx,Patterson,340 Morris Avenue,Occupied,East Side House Settlement,Community Center,10451.0,40.813717,-73.92523,1.0,8.0,51.0,2091127.0,2023250001.0,Mott Haven-Port Morris                                                     
57,Brooklyn,Glenmore Plaza,1777 Pitkin Avenue,Occupied,NYCHA,Senior Center,11212.0,40.670168,-73.907561,16.0,37.0,906.0,3080766.0,3035070001.0,Brownsville                                                                
58,Manhattan,Riis,90 Avenue D,Occupied,Chinese-American Planning Council,Child Care ,10009.0,40.723113,-73.976442,3.0,2.0,24.0,1077551.0,1003620001.0,Lower East Side                                                            
59,Bronx,Webster,401 East 168th Street,Occupied,Morrisania Diagnostic & Treament Center ,Health Clinic,10456.0,40.832241,-73.909464,3.0,16.0,145.0,2091187.0,2023950001.0,Claremont-Bathgate                                                         
60,Bronx,Saint Mary's Park,675 Westchester Ave.,Vacant ,NYCHA,Vacant,10455.0,40.816471,-73.907799,1.0,17.0,75.0,2093934.0,2026280001.0,Melrose South-Mott Haven North                                             
61,Brooklyn,Armstrong,495 Gates Avenue,Occupied,"Police Athletic League, Inc.",Community Center,11216.0,40.686639,-73.946989,3.0,36.0,265.0,3050974.0,3018090062.0,Bedford                                                                    
62,Manhattan,Amsterdam,216 West 63rd Street,Vacant ,NYCHA,Vacant,10025.0,40.773654,-73.987584,7.0,6.0,151.0,1082578.0,1011540101.0,Lincoln Square                                                             
63,Bronx,Melrose,277 East  153rd Street,NYCHA HOLD,NYCHA,Vacant,10451.0,40.820157,-73.921306,1.0,17.0,67.0,2093920.0,2024130001.0,Melrose South-Mott Haven North                                             
64,Bronx,Edenwald,1141 East 229th Street,NYCHA HOLD,NYCHA,Vacant,10466.0,40.886304,-73.845367,12.0,12.0,458.0,2094151.0,2049050001.0,Eastchester-Edenwald-Baychester                                            
65,Brooklyn,Pennsylvania Avenue-Wortman Avenue,530 Stanley Avenue,Occupied,NYC Department of Education,Other - Education /School,11207.0,40.657212,-73.888852,5.0,42.0,1104.0,3324010.0,3043690001.0,East New York                                                              
66,Queens,Baisley Park,116-80 Guy Brewer Blvd,Occupied,NYCHA,Senior Center,11434.0,40.684875,-73.78338,12.0,28.0,278.0,4435282.0,4122350022.0,Baisley Park                                                               
67,Manhattan,Lexington,183 East 98th Street,Reserved UPK 2015,School Construction Authority,Occuped,10029.0,40.786667,-73.948837,11.0,5.0,166.0,1082320.0,1016260021.0,East Harlem South                                                          
68,Brooklyn,Ingersoll,177 Myrtle Avenue,Occupied,"University Settlement Society of New York, Inc.",Community Center,11201.0,40.693614,-73.982305,2.0,35.0,15.0,3257034.0,3020500001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
69,Manhattan,Wald,12 Avenue D,Occupied,United Jewish Council,Senior Center,10009.0,40.720462,-73.978369,3.0,2.0,20.0,1078045.0,1003560001.0,Lower East Side                                                            
70,Bronx,Twin Parks West,355 East 183rd Street,NYCHA HOLD,NYCHA,Vacant,10458.0,40.856391,-73.895991,5.0,15.0,38302.0,2092394.0,2031430155.0,Fordham South                                                              
71,Brooklyn,O'Dwyer Gardens,2945 West 33rd Street,Occupied,Heartshare Human Services,Community Center,11224.0,40.573879,-73.99937,13.0,47.0,342.0,3321766.0,3070480015.0,Seagate-Coney Island                                                       
72,Manhattan,Marshall Plaza,1970 Amsterdam Avenue,Occupied,United Block Association,Senior Center,10032.0,40.83328,-73.94174,12.0,7.0,241.0,1076742.0,1021160033.0,Washington Heights South                                                   
73,Manhattan,Lower East Side I Infill,213 Eldridge Street,Occupied,Greenwich Village Youth Council,Community Center,10002.0,40.721532,-73.990252,3.0,1.0,3601.0,1077628.0,1004210052.0,Chinatown                                                                  
74,Bronx,Glebe Avenue-Westchester Avenue,2125 Glebe Avenue,Occupied,YMCA of Greater New York ,Senior Center,10462.0,40.8351,-73.850368,10.0,18.0,20601.0,2041406.0,2039630043.0,Westchester-Unionport                                                      
75,Bronx,Monroe,1780 Story Avenue,Occupied + Reserved - application on file,East Tremont Head Start Alumni Day Care Center,Child Care - Early Learn,10473.0,40.823265,-73.865779,9.0,18.0,42.0,2092748.0,2036370001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
76,Brooklyn,Boulevard,726 Stanley Avenue,Occupied,CAMBA,Community Center,11207.0,40.660225,-73.881862,5.0,42.0,1110.0,3324277.0,3043770001.0,East New York                                                              
77,Queens,South Jamaica II,108-17 159th Street,Occupied,Afro-American Parents Day Care Center,Child Care ,11433.0,40.695014,-73.793773,12.0,28.0,254.0,4457481.0,4101480001.0,South Jamaica                                                              
78,Brooklyn,Roosevelt II,400 Hart Street,Occupied,Good Shepherd Services,Community Center,11206.0,40.694725,-73.93519,3.0,36.0,287.0,3341752.0,3015950024.0,Stuyvesant Heights                                                         
79,Manhattan,Robbins Plaza,343 East 70th Street,Occupied,Lenox Hill Neighborhood House,Senior Center,10021.0,40.766686,-73.95739,8.0,5.0,126.0,1044841.0,1014450023.0,Lenox Hill-Roosevelt Island                                                
80,Manhattan,Chelsea,428 West 26th Street,Occupied,Hudson Guild,Other - Office Space,10001.0,40.749065,-74.001541,4.0,3.0,93.0,1083581.0,1007230015.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
81,Bronx,Monroe,1776 Story Avenue,Occupied,Institute for the Puerto Rican/Hispanic Elderly,Senior Center,10473.0,40.82324,-73.86596,9.0,18.0,42.0,2092748.0,2036370001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
82,Manhattan,Amsterdam,206 West 64th Street,Occupied,Hudson Guild,Child Care - UPK 2014,10023.0,40.773624,-73.985584,7.0,6.0,151.0,1082576.0,1011540101.0,Lincoln Square                                                             
83,Brooklyn,Sumner,862 Park Avenue,Occupied,Good Shepherd Services,Community Center,11206.0,40.698582,-73.940736,3.0,36.0,28502.0,3324728.0,3015800001.0,Stuyvesant Heights                                                         
84,Bronx,Morris I,489 East 169th Street,Occupied,Claremont Neighborhood Center,Community Center,10456.0,40.832965,-73.905669,3.0,16.0,14701.0,2092082.0,2029100001.0,Claremont-Bathgate                                                         
85,Manhattan,East River,453 East 102nd Street,NYCHA HOLD,NYCHA,Vacant,10029.0,40.786271,-73.940034,11.0,8.0,162.0,1083942.0,1016960001.0,East Harlem South                                                          
86,Manhattan,Robinson,110 East 129th Street,Occupied,SCAN Supportive Children's Advocacy Network,Community Center,10035.0,40.807387,-73.936695,11.0,9.0,242.0,1054505.0,1017770005.0,East Harlem North                                                          
87,Brooklyn,Carey Gardens,2964 West 23rd Street,Occupied,"Police Athletic League, Inc.",Child Care - Early Learn,11224.0,40.574699,-73.989827,13.0,47.0,326.0,3321840.0,3070560014.0,Seagate-Coney Island                                                       
88,Brooklyn,Lafayette Gardens,442 Dekalb Avenue,Occupied,Graham Windham Services to Families & Children,Community Center,11205.0,40.690432,-73.959502,3.0,35.0,233.0,3321871.0,3019380001.0,Bedford                                                                    
89,Queens,Redfern,15-44 Hassock Street,Occupied,"Police Athletic League, Inc.",Community Center,11691.0,40.609102,-73.753359,14.0,31.0,103201.0,4449685.0,4155010002.0,Far Rockaway-Bayswater                                                     
90,Manhattan,Drew Hamilton,2698 Frederick Douglass Blvd,Occupied,Renaissance Health Care Network ,Health Clinic,10030.0,40.821706,-73.94273,10.0,9.0,232.0,1060431.0,1020290001.0,Central Harlem North-Polo Grounds                                          
91,Bronx,University Avenue ,1925 University Avenue,Reserved - application on file,NYCHA,Religious Services,10453.0,40.853249,-73.912646,5.0,14.0,24501.0,2009054.0,2028790030.0,University Heights-Morris Heights                                          
92,Queens,Ravenswood,35-40 21st Street,Occupied,"Jacob A. Riis Neighborhood Settlement, Inc.",Community Center,11106.0,40.760808,-73.93592,1.0,26.0,43.0,4430693.0,4003320002.0,Queensbridge-Ravenswood-Long Island City                                   
93,Brooklyn,Brownsville,320 Blake Avenue,Vacant ,NYCHA,Vacant,11212.0,40.665897,-73.907834,16.0,41.0,912.0,3326528.0,3035610001.0,Brownsville                                                                
94,Brooklyn,Red Hook West,6 Wolcott Street,NYCHA HOLD,NYCHA,Vacant,11231.0,40.675345,-74.009972,6.0,38.0,85.0,3323702.0,3005570001.0,Carroll Gardens-Columbia Street-Red Hook                                   
95,Manhattan,Clinton,120 East 110th Street,Occupied,SCAN Supportive Children's Advocacy Network,Community Center,10029.0,40.795119,-73.945194,11.0,8.0,172.0,1078931.0,1016370001.0,East Harlem South                                                          
96,Brooklyn,Carey Gardens,2315 Surf Avenue,Occupied,Heartshare Human Services,Community Center,11224.0,40.573958,-73.989878,13.0,47.0,326.0,3321840.0,3070560014.0,Seagate-Coney Island                                                       
97,Queens,FOREST HILLS COOP (108TH STREET-62ND DRIVE),108-25 62nd Drive ,Occupied,"Queens Community House, Inc.",NORC,11375.0,40.73591,-73.850212,6.0,29.0,745.0,4432108.0,4021590002.0,Forest Hills                                                               
98,Manhattan,Drew Hamilton,220 West 143rd Street,NYCHA HOLD,NYCHA,Vacant,10030.0,40.8208,-73.94113,10.0,9.0,232.0,1086084.0,1020280016.0,Central Harlem North-Polo Grounds                                          
99,Brooklyn,Williams Plaza,321 Roebling Street,Occupied,"Labor Industry for Education, Inc",Child Care - Early Learn,11211.0,40.70832,-73.960981,1.0,33.0,525.0,3341975.0,3021400026.0,North Side-South Side                                                      
100,Bronx,McKinley,909 Tinton Avenue,Occupied,Southeast Bronx Neighborhood Centers,Child Care - Early Learn,10456.0,40.821974,-73.903448,3.0,16.0,133.0,2091959.0,2026380090.0,Morrisania-Melrose                                                         
101,Bronx,Castle Hill,625 Castle Hill Avenue,Occupied,Kips Bay Boys & Girls Club/Dept for the Aging,Community Center,10473.0,40.819754,-73.848209,9.0,18.0,86.0,2092673.0,2035700001.0,Soundview-Castle Hill-Clason Point-Harding Park                            
102,Bronx,Millbrook,201 St. Anns Avenue,Occupied,East Side House Settlement,Child Care - Early Learn,10454.0,40.805742,-73.918238,1.0,8.0,25.0,2090986.0,2022630019.0,Mott Haven-Port Morris                                                     
103,Manhattan,Baruch,300 Delancey Street,Occupied,"Grand Street Settlement, Inc.",Child Care - Early Learn,10002.0,40.715758,-73.979334,3.0,2.0,1002.0,1078037.0,1003230001.0,Lower East Side                                                            
104,Queens,Astoria,4-05 Astoria Blvd,Occupied,NYCHA,Senior Center,11102.0,40.772947,-73.933467,1.0,22.0,87.0,4430787.0,4004900101.0,Old Astoria                                                                
105,Brooklyn,Sheepshead Bay,3679 Nostrand Avenue,Occupied,"Catholic Charities Neighborhood Services, Inc.",Senior Center,11229.0,40.594132,-73.940663,15.0,46.0,572.0,3344548.0,3074051001.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
106,Brooklyn,Glenwood,5701 Avenue H,Occupied,"Catholic Charities Neighborhood Services, Inc.",Senior Center,11234.0,40.633288,-73.921555,18.0,45.0,94402.0,3331006.0,3079780001.0,Flatlands                                                                  
107,Manhattan,Elliott,459 West 26th Street,Occupied,Hudson Guild,Child Care ,10001.0,40.74938,-74.002252,4.0,3.0,97.0,1083583.0,1007240001.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 
108,Manhattan,Lehman Village,80 East 110th Street,Occupied,Child Welfare Organizing Project,Other - Case Management /Child Welfare Program,10029.0,40.79568,-73.946555,11.0,8.0,17401.0,1078868.0,1016150023.0,East Harlem South                                                          
109,Brooklyn,Bushwick,50 Humboldt Street,Occupied,Jewish Association Services For the Aged,NORC,11206.0,40.703179,-73.940761,1.0,34.0,489.0,3338434.0,3031290001.0,Bushwick South                                                             
110,Manhattan,Polo Grounds Towers,3005 8th Avenue,Occupied,Children's Village,Community Center,10039.0,40.831534,-73.935573,10.0,9.0,24302.0,1000000.0,1021060003.0,Central Harlem North-Polo Grounds                                          
111,Queens,Queensbridge South,10-30 41st Avenue,Occupied ,NYCHA,Family Services,11101.0,40.755417,-73.945223,1.0,26.0,25.0,4595567.0,4004650100.0,Queensbridge-Ravenswood-Long Island City                                   
112,Brooklyn,Tompkins,736 Park Avenue,Occupied,"Grand Street Settlement, Inc.",Community Center,11206.0,40.697972,-73.946128,3.0,36.0,25902.0,3324248.0,3017400001.0,Bedford                                                                    
113,Staten Island,Berry Houses,1742 Richmond Road,Occupied,Theodore Atlas Foundation,Other- Sports - Boxing Program,10306.0,40.5877,-74.10322,2.0,50.0,11401.0,5116737.0,5035320500.0,Old Town-Dongan Hills-South Beach                                          
114,Queens,Queensbridge North,40-10 10th Street ,Occupied,"Steinway Child & Family Services, Inc.",Other - Case Management /Referral Services,11101.0,40.756753,-73.944471,1.0,26.0,25.0,4595581.0,4004700100.0,Queensbridge-Ravenswood-Long Island City                                   
115,Manhattan,White,237 East 104th Street,Occupied,Union Settlement Association,Community Center,10029.0,40.789687,-73.944267,11.0,8.0,170.0,1080671.0,1016540011.0,East Harlem South                                                          
116,Bronx,Morissania Air Rights,3135 Park Avenue ,NYCHA HOLD,NYCHA,Vacant,10451.0,40.82415,-73.917164,4.0,16.0,173.0,2100990.0,2024209078.0,East Concourse-Concourse Village                                           
117,Brooklyn,Whitman,149 North Oxford Walk,NYCHA HOLD,NYCHA,Vacant,11205.0,40.693525,-73.975049,2.0,35.0,18501.0,3335256.0,3020410001.0,Fort Greene                                                                
118,Bronx,Sedgwick,1531 University Avenue,Vacant ,NYCHA,Vacant,10453.0,40.845828,-73.921995,5.0,16.0,20501.0,2092104.0,2028770001.0,University Heights-Morris Heights                                          
119,Staten Island,Mariner's Harbor,157 Brabant Street,Occupied,UAU,Community Center,10303.0,40.632021,-74.16389,1.0,49.0,31901.0,5109121.0,5012450001.0,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
120,Queens,Queensbridge North,10-26 41st Avenue,Occupied,"Police Athletic League, Inc.",Child Care ,11101.0,40.755455,-73.945299,1.0,26.0,25.0,4433390.0,4004650100.0,Queensbridge-Ravenswood-Long Island City                                   
121,Bronx,Murphy,601 Crotona Park North,Occupied,ACDP,Community Center,10457.0,40.842917,-73.895322,6.0,15.0,36902.0,2092141.0,2029440001.0,East Tremont                                                               
122,Manhattan,Wald,24 Avenue D,Occupied,"Henry Street Settlement, Inc.",Other - Jobs Plus,10009.0,40.720789,-73.978134,3.0,2.0,20.0,1078047.0,1003560001.0,Lower East Side                                                            
123,Manhattan,Corsi,307 East 116th Street,Occupied,Harlem RBI + SMART Program,Other - Miscellaneous,10029.0,40.796935,-73.93759,11.0,8.0,188.0,1079357.0,1016880045.0,East Harlem North                                                          
124,Manhattan,Douglass Addition,868 Amsterdam Avenue,Occupied,West Side Federation for Senior and Supportive Housing,Senior Center,10025.0,40.798169,-73.967371,7.0,7.0,191.0,1079429.0,1018740029.0,Upper West Side                                                            
125,Brooklyn,Sumner,47 Marcus Garvey Blvd.,Occupied,Cumberland Hospital ,Health Clinic,11206.0,40.697945,-73.941018,3.0,36.0,28502.0,3324728.0,3015800001.0,Stuyvesant Heights                                                         
126,Queens,Queensbridge North,40-11 10th Street ,Occupied,"Jacob A. Riis Neighborhood Settlement, Inc.",Other - Office Space,11101.0,40.756753,-73.944471,1.0,26.0,25.0,4433387.0,4004700100.0,Queensbridge-Ravenswood-Long Island City                                   
127,Bronx,Webster,1240 Webster Avenue,Occupied,Claremont Neighborhood Center,Child Care - Early Learn,10456.0,40.832675,-73.909388,3.0,16.0,145.0,2091187.0,2023950001.0,Claremont-Bathgate                                                         
128,Manhattan,West Side Urban Renewal,647 Columbus Avenue,Occupied,Goddard Riverside Outreach,Community Center,10025.0,40.789927,-73.96965,7.0,6.0,177.0,1031623.0,1012050001.0,Upper West Side                                                            
129,Staten Island,Berry Houses,211 Jefferson St.,Occupied,United Activities Unlimited Inc,Community Center,10306.0,40.586661,-74.100928,2.0,50.0,11401.0,5109569.0,5035320500.0,Old Town-Dongan Hills-South Beach                                          
130,Manhattan,Baruch,280 Delancey Street,Vacant ,NYCHA,Vacant- health clinic,10002.0,40.716079,-73.980373,3.0,2.0,1002.0,1078039.0,1003230001.0,Lower East Side                                                            
131,Manhattan,Manhattanville,3240 Broadway,Occupied,"Citizen's Care Day Care Center, Inc",Child Care - Early Learn,10027.0,40.816951,-73.957365,9.0,7.0,219.0,1084124.0,1019840001.0,Manhattanville                                                             
132,Bronx,Adams,735 East 152nd Street,Occupied,Neighborhood SHOPP,Senior Center,10455.0,40.815994,-73.907843,1.0,17.0,79.0,2091979.0,2026540002.0,Melrose South-Mott Haven North                                             
133,Manhattan,Straus,225 East 27th Street,Occupied,NYCHA,Performing Arts - Center,10016.0,40.740851,-73.980116,6.0,2.0,66.0,1019877.0,1009080017.0,Murray Hill-Kips Bay                                                       
134,Queens,Woodside,50-37 Broadway,Occupied,"Police Athletic League, Inc.",Child Care - Early Learn,11377.0,40.754763,-73.910021,1.0,26.0,163.0,4431003.0,4007380050.0,Astoria                                                                    
135,Brooklyn,Marcy,468 Marcy Avenue,NYCHA HOLD,NYCHA,Vacant,11206.0,40.698932,-73.949929,3.0,36.0,255.0,3325584.0,3017190001.0,Bedford                                                                    
136,Manhattan,Manhattanville,530 West 133rd Street,Occupied,"Boys and Girls Club of Harlem, Inc.",Other - Family / Teen Program,10027.0,40.818127,-73.954478,9.0,7.0,219.0,1084130.0,1019840001.0,Manhattanville                                                             
