,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,url,nourl,description,outsideloc,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,address2,postcode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsidelocdesc
13,Queens Legal Services Corporation - Disability Advocacy Project,N,N,N,Y,N,7189375350.0,7183925646.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"42-15 Crescent Street, 9th floor",Long Island City,http://www.queenslegalservices.org/,N,"represents individuals in disability advocacy cases at the various administrative levels of the Social security Administration and in the federal courts.  it also represents clients in a variety of ""non-disability"" cases including overpayments, reductions of one's monthly check, and issues relating to quarters of coverage.  in addition, it provides advice on a weekly telephone helpline as well as extensive community training.  Also provides assistance in housing welfare, unemployment insurance, and domestic violence.",N,"{'latitude': '40.750167', 'longitude': '-73.940947'}",QUEENS   ,40.750167,-73.940947,2.0,26.0,19.0,4005057.0,4004230005.0,Hunters Point-Sunnyside-West Maspeth                                       ,,11101.0,16858.0,53.0,3.0,33.0,66.0,
14,Tender Care Human Services,N,N,N,Y,N,7188836649.0,7188836660.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,114-02 Guy R. Brewer Bld,Bellerose,http://www.tendercareny.org/,N,,N,,,,,,,,,,,Ste 218,,,,,,,
15,Coalition for Hispanic Family Services,Y,N,N,N,N,,7184976090.0,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"315 Wyckoff Avenue, 4th Fl",Brooklyn,,N,"Coalition for Hispanic Family Services is a community-based comprehensive family service agency, serving North Brooklyn and adjacent communities.",N,"{'latitude': '40.700045', 'longitude': '-73.911981'}",BROOKLYN ,40.700045,-73.911981,4.0,37.0,439.0,3076376.0,3033380001.0,Bushwick North                                                             ,,11237.0,13828.0,42.0,2.0,37.0,53.0,
16,"Hemophilia Association of New York, Inc.",N,N,Y,N,N,2129831114.0,2126825510.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"104 East 40th Street, Suite 506",New York,http://www.hemophilia-newyork.org,,,,,,,,,,,,,,,,,,,,,
17,"Women in the Arts Foundation, Inc.",N,N,Y,N,N,,2127511915.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1175 York Ave.,New York,http://www.anny.org,,The contact info on the website is not for Women in the Arts but for another org that runs their website,,,,,,,,,,,,,,,,,,,
18,Pride of Judea Community Services,N,N,N,Y,N,7184239762.0,7184236200.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,243-02 Northern Boulevard,Douglaston,http://www.jbfcs.org,N,"We are a community-based mental health outpatient clinic (Article 31), licensed by NY State,and are a division of the Jewish Board of Family & Children's Services, Inc.  We provide mental health counseling and treatment to clients from age 4, by Social Workers, individually, in family sessions and in group sessions as well. Our psychiatrists provide medication and psychiatric evaluations  and work with our therapists as a team.
The Clinic accepts most health insurances, and we have private pay clients as well.",N,"{'latitude': '40.765469', 'longitude': '-73.742885'}",QUEENS   ,40.765469,-73.742885,11.0,19.0,150701.0,4170072.0,4081800001.0,Douglas Manor-Douglaston-Little Neck                                       ,,11362.0,14197.0,26.0,3.0,20.0,69.0,
19,LIFT (Legal Information for Families Today),Y,Y,Y,Y,Y,6466139632.0,2123431122.0,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,350 Broadway,New York,http://https://www.LIFTonline.org,N,"LIFT is dedicated to empowering court-involved families by providing them with the tools they need to make informed legal decisions and successfully navigate the legal system. 
LIFT operates Education & Information Sites in the Bronx, Brooklyn, Manhattan, and Queens Family Courthouses, the City's only Legal Information Hotline. At the EI Sites and on the Hotline, families can receive answers to their questions about Family Court and family law, as well as referrals to neighborhood-based legal and social services. LIFT also operates the Family Legal Center where unrepresented parents and grandparents involved in child support, custody or visitation cases can receive ongoing, individually tailored, emotional support and legal information, and the Grandparents Legal Education Program where LIFT provids community-based workshops for grandparents caring for their grandchildren. LIFT also produces 26 original multilingual Legal Resource Guides, as well as activity books for children which explain the court process. 
For additional information on our programs please call LIFT's Legal Information Hotline at 212-343-1122 or visit our website www.LIFTonline.org.",N,"{'latitude': '40.716954', 'longitude': '-74.003943'}",MANHATTAN,40.716954,-74.003943,1.0,1.0,31.0,1001838.0,1001717503.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,Suite 400,10013.0,12076.0,56.0,4.0,32.0,2.0,
20,"Sunnyside Community Service, Inc.",N,N,N,Y,N,,,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,43-31 39th Street,Long Island City,,N,,,"{'latitude': '40.74519', 'longitude': '-73.925909'}",QUEENS   ,40.74519,-73.925909,2.0,26.0,179.0,4436677.0,4001910005.0,Hunters Point-Sunnyside-West Maspeth                                       ,,11104.0,16861.0,53.0,3.0,33.0,66.0,
21,"Flatbush Action Community Day Care Center, Inc.",Y,N,N,N,N,,7186939891.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,525 Parkside Avenue,Brooklyn,,,,,"{'latitude': '40.655937', 'longitude': '-73.955515'}",BROOKLYN ,40.655937,-73.955515,9.0,40.0,802.0,3115846.0,3050490001.0,Prospect Lefferts Gardens-Wingate                                          ,,11226.0,13510.0,17.0,2.0,11.0,44.0,
22,LaGuardia Community College Workforce Education Center,N,N,N,Y,N,7186092071.0,7184825340.0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,31-10 Thomson Ave.,Long Island City,http://www.lagcc.cuny.edu/wec/computer.htm,N,Job Training and Computer Literacy Program,,,,,,,,,,,,,,,,,,,
23,Samaritan Village - Veterans Program,N,N,Y,N,N,,7186576195.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Published,327 West 43rd Street,New York,http://www.samvill.org/index2.htm,,Veterans Program,,,,,,,,,,,,,,,,,,,
24,Financial Women International,N,N,Y,N,N,,2123557598.0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,Published,P.O. Box 863,New York,http://www.fwi.org,,,,,,,,,,,,,,,,,,,,,
25,Municipal Art Society of New York,N,N,Y,N,N,2127531816.0,2129353960.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,457 Madison Avenue,New York,http://www.mas.org/,,"MAS fights for intelligent urban design, planning and preservation through education, dialogue and advocacy.",,,,,,,,,,,,,,,,,,,
26,Friends and Relatives of Institutionalized Aged,N,N,Y,N,N,2127326945.0,2127324455.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"18 John Street, Suite 905",New York,http://www.fria.org/index.shtml,,,,,,,,,,,,,,,,,,,,,
27,New York Public Library for the Performing Arts,N,N,Y,N,N,,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,Fifth Avenue and 42nd Street,New York,,N,,,,,,,,,,,,,,10018.0,,,,,,
28,Queens County Neuropsychiatric Institute,N,N,N,Y,N,7183354731.0,7183353434.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,37-64 72nd Street,Jackson Heights,,,QCNPI,,,,,,,,,,,,,,,,,,,
29,Homes for the Homeless,N,N,Y,N,N,,2125295252.0,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published," 50 Cooper Square, 4th Floor",New York,,,,,,,,,,,,,,,,,,,,,,
30,Parents and Friends of Lesbians and Gays-New York City (PFLAG-NYC),N,N,Y,N,N,,2124630629.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"P.O.B. 843, FDR Station",New York,http://www.pflagnyc.org,N,,,,,,,,,,,,,,10510.0,,,,,,
31,New York Public Library: Research Libraries,N,N,Y,N,N,,2129300830.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"Humanities and Social Sciences Library, 5th Ave. & 42nd St.",New York,http://www.nypl.org/research/,,,,,,,,,,,,,,,,,,,,,
32,Reading Excellence and Discovery (READ) Foundation,N,N,Y,N,N,,6468676100.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"80 Maiden Lane, 11th Fl.",New York,,N,,N,"{'latitude': '40.707116', 'longitude': '-74.007329'}",MANHATTAN,40.707116,-74.007329,1.0,1.0,7.0,1001015.0,1000420031.0,Battery Park City-Lower Manhattan                                          ,,10038.0,13096.0,56.0,4.0,32.0,1.0,
33,"Police Athletic League, Inc.",N,N,Y,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,,New York,,N,,N,,,,,,,,,,,,10003.0,,,,,,
34,"Urban Youth Alliance International, Inc.",N,Y,N,N,N,,7184026872.0,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,Box 617,Bronx,http://www.uyai.org/,,,,,,,,,,,,,,,10451.0,,,,,,
35,New York Armenian Home,N,N,N,Y,N,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,Flushing,,N,,,,,,,,,,,,,,,,,,,,
36,Spina Bifida Association of Nassau County,Y,Y,Y,Y,Y,,6318219028.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,12 Hampton Road,Sound Beach,http://www.sbancny.org/home2.htm,,,,,,,,,,,,,,,,,,,,,
37,Malcolm X Day Care Center,N,N,N,Y,N,7186517412.0,7186517880.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,111-12 Northern Blvd.,Corona,,,,,,,,,,,,,,,,,,,,,,
38,Jewish Community Council of the Rockaway Peninsula,N,N,N,Y,N,7183274903.0,7183277755.0,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,Far Rockaway,http://www.jccrp.org,N,,,,,,,,,,,,,,11691.0,,,,,,
39,Green Chimneys Children's Services,N,N,Y,N,N,,2126777288.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,402 Doansburg Rd. Caller Box 719,Brewster,,,,,,,,,,,,,,,,10509.0,,,,,,
40,"HANAC, Inc.",Y,Y,N,Y,N,2128408384.0,2128408005.0,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,49 West 45 Street 4Fl.,New York,http://hanac.org,N,"Non profit social service agency funded by city, state and federal funds providing services to youth and elderly.",N,"{'latitude': '40.756087', 'longitude': '-73.981072'}",MANHATTAN,40.756087,-73.981072,5.0,4.0,96.0,1034242.0,1012610015.0,Midtown-Midtown South                                                      ,,10036.0,13094.0,11.0,4.0,51.0,10.0,
41,"Lincoln Square Neighborhood Center, Inc.",N,N,Y,N,N,,2128740860.0,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,250 West 65th Street,New York,http://www.lsncny.org/,,"The vision that shaped Lincoln Square Neighborhood Center in 1949 also shaped the Settlement House movement begun over 100 years ago. Throughout this city, neighbors stood up and took responsibility for each other, working cooperatively to build networks ",,"{'latitude': '40.77501', 'longitude': '-73.98689'}",MANHATTAN,40.77501,-73.98689,7.0,6.0,151.0,1030340.0,1011560020.0,Lincoln Square                                                             ,,10023.0,12420.0,20.0,4.0,19.0,12.0,
42,Hope City Empowerment Center,Y,N,N,N,N,,7188575698.0,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,650-656 Washington Avenue,Brooklyn,,Y,"A nonsectarian community based organization that is incoorporated and is a 501(c)(3)tax exempt entity.  We provide a soup kitchen, food pantry, seniors program as well as a after-school program for high school students.",N,"{'latitude': '40.678884', 'longitude': '-73.963987'}",BROOKLYN ,40.678884,-73.963987,8.0,35.0,203.0,3027947.0,3011390023.0,Prospect Heights                                                           ,,11238.0,13829.0,16.0,2.0,48.0,49.0,
43,Emerald Isle Immigration Center,N,N,N,Y,N,7183247741.0,7184785502.0,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,59-26 Woodside Ave.,Woodside,http://www.eiic.org,N,"Founded by Irish immigrants, but now serves all immigrants..  Services include counseling and assistance with immigration matters, counseling on obtaining citizenship, training for the citizichip exam, educational counseling (how to apply to schools and colleges, etc.) computer training and employment counseling.",,"{'latitude': '40.745293', 'longitude': '-73.905216'}",QUEENS   ,40.745293,-73.905216,2.0,26.0,249.0,4031221.0,4013310054.0,Woodside                                                                   ,,11377.0,14787.0,53.0,3.0,33.0,66.0,
44,VISIONS at Selis Manor,N,N,Y,N,N,6464864343.0,6464864444.0,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,Published,135 West 23 Street,New York,http://www.visionsvcb.org,N,,N,"{'latitude': '40.743386', 'longitude': '-73.993916'}",MANHATTAN,40.743386,-73.993916,4.0,3.0,91.0,1014949.0,1007990021.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,#93,10011.0,12074.0,12.0,4.0,10.0,7.0,
45,Youth Speaks New York,N,N,Y,N,N,2126750171.0,2126916590.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,520 Eight Ave.,New York,http://www.twc.org,N,Teachers & Writers Collaborative,,,,,,,,,,,,Suite 2020,10018.0,,,,,,
46,"Samuel Field YM & YWHA, Inc.",N,N,N,Y,N,,7182256750.0,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,58-20 Little Neck Parkway,Little Neck,,N,,,"{'latitude': '40.761577', 'longitude': '-73.723122'}",QUEENS   ,40.761577,-73.723122,11.0,23.0,152902.0,4173029.0,4083520051.0,Douglas Manor-Douglaston-Little Neck                                       ,,11362.0,14197.0,26.0,3.0,16.0,69.0,
47,Child Development Center of the Mosholu Montefiore Community Center,N,Y,N,N,N,,7188824000.0,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,3450 DeKalb Avenue,Bronx,,N,,N,"{'latitude': '40.881486', 'longitude': '-73.881226'}",BRONX    ,40.881486,-73.881226,7.0,11.0,421.0,2096396.0,2033270001.0,Norwood                                                                    ,,10467.0,11605.0,24.0,5.0,40.0,34.0,
48,Sprout,N,N,Y,N,N,2122229768.0,2122229575.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,893 Amsterdam Ave.,New York,http://gosprout.org/002.html,,Day and Evening Program,,,,,,,,,,,,,,,,,,,
49,Sjogren's Syndrome Foundation,N,N,Y,N,N,,2127247110.0,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,109 East 50 Street,New York,http://www.sjogrens.org/,,New York City Support Group,,,,,,,,,,,,,,,,,,,
50,Fresh Youth Initiatives,N,N,Y,N,N,,2127811113.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,505 West 171st Street,New York,,,,,"{'latitude': '40.841854', 'longitude': '-73.935885'}",MANHATTAN,40.841854,-73.935885,12.0,10.0,253.0,1063082.0,1021280052.0,Washington Heights South                                                   ,,10032.0,13090.0,47.0,4.0,39.0,21.0,
51,"Small Business Development Center, Baruch College",N,N,Y,N,N,,6463124786.0,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,New York,,N,,,,,,,,,,,,,,,,,,,,
52,"Greater Ridgewood Youth Council, Inc.",N,N,N,Y,N,,7184565437.0,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,62-04 Myrtle Avenue,Glendale,,,,,,,,,,,,,,,,,,,,,,
53,Harlem Children's Zone,N,N,Y,N,N,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,"New York, NY",,N,,N,,,,,,,,,,,,,,,,,,
54,Global Alliance for Women's Health,N,N,Y,N,N,2122869561.0,2122860424.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"777 United Nations Plaza, 7th Fl.",New York,http://www.gawh.org,,,,,,,,,,,,,,,,,,,,,
55,American Friends Service Committee - Conflict Resolution Program,N,N,Y,N,N,2125294603.0,2125980950.0,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,15 Rutherford Place,New York,http://www.afsc.org/nymetro,,Conflict Resolution Program,,,,,,,,,,,,,,,,,,,
56,Institute for Human Identity,N,N,Y,N,N,2122433175.0,2122432830.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,160 West 24 St.,New York,http://www.ihi-therapycenter.org,,,,,,,,,,,,,,,,,,,,,
57,American Menopause Foundation,Y,Y,Y,Y,Y,2127141252.0,2127142398.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,866 UN Plaza - Suite 508,New York,http://www.americanmenopause.org,N,A national not-for-profit health organization dedicated to providing information and education to all women.,N,,,,,,,,,,,,10017.0,,,,,,
58,A.C.L.U. Women's Rights Project,N,N,Y,N,N,2125492652.0,2125492668.0,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"127 Broad St., 18th Fl.",New York,http://www.aclu.org/WomensRights/WomensRightsMain.cfm,,,,,,,,,,,,,,,,,,,,,
59,Queensbridge Day Care Center,N,N,N,Y,N,7183927928.0,7189377640.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,38-11 27th St.,Long Island City,,,,,,,,,,,,,,,,,,,,,,
