,school_year,school_dbn,community_school_district,city_council_district,school_name,of_students_in_grades_6_8,of_students_in_grades_6_8_1,_,of_8th_graders,of_8th_graders_who_have,__1
140,2015-16,09X128,9.0,16.0,Mott Hall III,364,233,64.00%,119,118,99.20%
141,2015-16,09X145,9.0,16.0,J.H.S. 145 Arturo Toscanini,304,s,s,115,s,s
142,2015-16,09X215,9.0,16.0,Kappa,252,21,8.30%,105,11,10.50%
143,2015-16,09X218,9.0,16.0,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,275,174,63.30%,89,89,100.00%
144,2015-16,09X219,9.0,16.0,I.S. 219 New Venture School,315,s,s,102,s,s
145,2015-16,09X229,9.0,16.0,I.S. 229 Roland Patterson,260,45,17.30%,93,44,47.30%
146,2015-16,09X231,9.0,15.0,Eagle Academy for Young Men,229,45,19.70%,89,45,50.60%
147,2015-16,09X232,9.0,14.0,I.S. 232,520,10,1.90%,193,s,s
148,2015-16,09X241,9.0,16.0,"Urban Assembly School for Applied Math and Science, The",257,256,99.60%,83,82,98.80%
149,2015-16,09X303,9.0,14.0,I.S. X303 Leadership & Community Service,319,172,53.90%,98,91,92.90%
150,2015-16,09X313,9.0,16.0,I.S. 313 School of Leadership Development,313,21,6.70%,110,16,14.60%
151,2015-16,09X323,9.0,16.0,Bronx Writing Academy,465,12,2.60%,168,10,6.00%
152,2015-16,09X324,9.0,16.0,Bronx Early College Academy for Teaching & Learning,216,214,99.10%,71,71,100.00%
153,2015-16,09X325,9.0,16.0,Urban Science Academy,289,s,s,106,s,s
154,2015-16,09X327,9.0,14.0,Comprehensive Model School Project M.S. 327,293,98,33.50%,97,s,s
155,2015-16,09X328,9.0,16.0,New Millennium Business Academy Middle School,183,55,30.10%,51,s,s
156,2015-16,09X339,9.0,16.0,I.S. 339,507,248,48.90%,161,83,51.60%
157,2015-16,09X350,9.0,16.0,New Directions Secondary School,153,94,61.40%,68,68,100.00%
158,2015-16,09X361,9.0,16.0,The Highbridge Green School,385,29,7.50%,120,s,s
159,2015-16,09X413,9.0,16.0,Bronx High School for Medical Science,160,s,s,58,s,s
160,2015-16,09X454,9.0,16.0,Science and Technology Academy: A Mott Hall School,431,s,s,144,s,s
161,2015-16,09X505,9.0,16.0,"Bronx School for Law, Government and Justice",287,267,93.00%,95,86,90.50%
162,2015-16,09X568,9.0,14.0,Young Women's Leadership School of the Bronx,245,245,100.00%,80,80,100.00%
163,2015-16,10X003,10.0,15.0,P.S. 3 Raul Julia Micro Society,111,s,s,s,s,s
164,2015-16,10X015,10.0,14.0,P.S. X015 Institute for Environmental Learning,182,11,6.00%,54,s,s
165,2015-16,10X020,10.0,11.0,"P.S./M.S. 20 P.O.George J. Werdann, III",302,92,30.50%,89,89,100.00%
166,2015-16,10X037,10.0,11.0,P.S. X037 - Multiple Intelligence School,188,s,s,61,s,s
167,2015-16,10X045,10.0,15.0,Thomas C. Giordano Middle School 45,739,387,52.40%,263,81,30.80%
168,2015-16,10X080,10.0,11.0,J.H.S. 080 The Mosholu Parkway,655,s,s,219,s,s
169,2015-16,10X086,10.0,11.0,P.S. 086 Kingsbridge Heights,213,125,58.70%,s,s,s
170,2015-16,10X095,10.0,11.0,P.S. 095 Sheila Mencher,437,304,69.60%,148,147,99.30%
171,2015-16,10X118,10.0,15.0,J.H.S. 118 William W. Niles,"1,157",25,2.20%,390,s,s
172,2015-16,10X141,10.0,11.0,Riverdale / Kingsbridge Academy (Middle School / High School 141),717,618,86.20%,223,184,82.50%
173,2015-16,10X206,10.0,14.0,I.S. 206 Ann Mersereau,244,56,22.90%,109,s,s
174,2015-16,10X225,10.0,15.0,Theatre Arts Production Company School,201,187,93.00%,69,59,85.50%
175,2015-16,10X228,10.0,15.0,Jonas Bronck Academy,263,175,66.50%,87,87,100.00%
176,2015-16,10X243,10.0,15.0,West Bronx Academy for the Future,241,130,53.90%,77,28,36.40%
177,2015-16,10X244,10.0,14.0,The New School for Leadership and Journalism,761,337,44.30%,320,31,9.70%
178,2015-16,10X254,10.0,15.0,I.S. 254,474,171,36.10%,143,s,s
179,2015-16,10X279,10.0,14.0,"P.S. 279 Captain Manuel Rivera, Jr.",375,153,40.80%,127,109,85.80%
180,2015-16,10X280,10.0,11.0,P.S./M.S. 280 Mosholu Parkway,296,175,59.10%,96,87,90.60%
181,2015-16,10X308,10.0,11.0,Bronx Dance Academy School,271,s,s,93,s,s
182,2015-16,10X315,10.0,14.0,P.S. 315 Lab School,106,65,61.30%,50,39,78.00%
183,2015-16,10X331,10.0,14.0,The Bronx School of Young Leaders,398,s,s,129,s,s
184,2015-16,10X342,10.0,11.0,International School for Liberal Arts,158,59,37.30%,59,59,100.00%
185,2015-16,10X363,10.0,14.0,Academy For Personal Leadership And Excellence,454,267,58.80%,155,147,94.80%
186,2015-16,10X368,10.0,11.0,In-Tech Academy (M.S. / High School 368),450,303,67.30%,152,136,89.50%
187,2015-16,10X390,10.0,14.0,M.S. 390,445,s,s,110,s,s
188,2015-16,10X391,10.0,15.0,The Angelo Patri Middle School,506,s,s,154,s,s
189,2015-16,10X447,10.0,14.0,Creston Academy,480,s,s,166,s,s
190,2015-16,10X459,10.0,14.0,East Fordham Academy for the Arts,343,51,14.90%,152,50,32.90%
191,2015-16,11X019,11.0,11.0,P.S. 019 Judith K. Weiss,161,110,68.30%,s,s,s
192,2015-16,11X083,11.0,13.0,P.S. 083 Donald Hertz,672,s,s,222,s,s
193,2015-16,11X089,11.0,13.0,P.S. 089 Bronx,516,s,s,175,s,s
194,2015-16,11X127,11.0,18.0,J.H.S. 127 The Castle Hill,769,519,67.50%,271,271,100.00%
195,2015-16,11X144,11.0,13.0,J.H.S. 144 Michelangelo,495,s,s,186,s,s
196,2015-16,11X175,11.0,13.0,P.S. 175 City Island,117,s,s,34,s,s
197,2015-16,11X180,11.0,12.0,M.S. 180 Dr. Daniel Hale Williams,873,561,64.30%,303,288,95.10%
198,2015-16,11X181,11.0,12.0,I.S. 181 Pablo Casals,865,283,32.70%,277,274,98.90%
199,2015-16,11X194,11.0,18.0,P.S./M.S. 194,466,s,s,155,s,s
200,2015-16,11X272,11.0,12.0,Globe School for Environmental Research,206,67,32.50%,84,13,15.50%
201,2015-16,11X287,11.0,12.0,North Bronx School of Empowerment,242,131,54.10%,100,14,14.00%
202,2015-16,11X289,11.0,12.0,The Young Scholars Academy of The Bronx,304,109,35.90%,115,106,92.20%
203,2015-16,11X326,11.0,13.0,Bronx Green Middle School,394,265,67.30%,134,134,100.00%
204,2015-16,11X355,11.0,12.0,Bronx Alliance Middle School,362,s,s,124,s,s
205,2015-16,11X370,11.0,12.0,Leaders of Tomorrow,231,51,22.10%,69,51,73.90%
206,2015-16,11X462,11.0,12.0,Cornerstone Academy for Social Action Middle School (CASA),251,72,28.70%,79,72,91.10%
207,2015-16,11X468,11.0,13.0,Pelham Academy of Academics and Community Engagement,354,135,38.10%,133,132,99.30%
208,2015-16,11X498,11.0,13.0,P.S./M.S. 11X498 - VAN NEST ACADEMY,279,s,s,90,s,s
209,2015-16,11X529,11.0,12.0,One World Middle School at Edenwald,329,s,s,111,s,s
210,2015-16,11X532,11.0,12.0,Baychester Middle School,296,87,29.40%,96,49,51.00%
211,2015-16,11X556,11.0,13.0,Bronx Park Middle School,398,s,s,129,s,s
212,2015-16,11X566,11.0,13.0,Pelham Gardens Middle School,471,s,s,168,s,s
213,2015-16,12X098,12.0,17.0,J.H.S. 098 Herman Ridder,191,107,56.00%,68,10,14.70%
214,2015-16,12X129,12.0,15.0,M.S. 129 Academy for Independent Learning and Leadership,532,347,65.20%,171,163,95.30%
215,2015-16,12X190,12.0,17.0,E.S.M.T- I.S. 190,244,s,s,82,s,s
216,2015-16,12X211,12.0,17.0,P.S. 211,239,146,61.10%,104,76,73.10%
217,2015-16,12X212,12.0,17.0,P.S. 212,204,201,98.50%,72,71,98.60%
218,2015-16,12X214,12.0,17.0,P.S. 214,441,239,54.20%,139,114,82.00%
219,2015-16,12X217,12.0,17.0,School of Performing Arts,303,10,3.30%,100,s,s
220,2015-16,12X242,12.0,18.0,Mott Hall V,301,s,s,101,s,s
221,2015-16,12X267,12.0,16.0,Bronx Latin,247,156,63.20%,91,s,s
222,2015-16,12X271,12.0,17.0,East Bronx Academy for the Future,260,s,s,82,s,s
223,2015-16,12X273,12.0,15.0,Frederick Douglass Academy V. Middle School,263,161,61.20%,93,86,92.50%
224,2015-16,12X286,12.0,17.0,Fannie Lou Hamer Middle School,272,s,s,86,s,s
225,2015-16,12X316,12.0,15.0,Kappa III,367,243,66.20%,120,120,100.00%
226,2015-16,12X318,12.0,17.0,"I.S. X318 Math, Science & Technology Through Arts",288,s,s,87,s,s
227,2015-16,12X341,12.0,17.0,Accion Academy,152,101,66.40%,64,59,92.20%
228,2015-16,12X372,12.0,17.0,Urban Assembly School for Wildlife Conservation,215,s,s,65,s,s
229,2015-16,12X383,12.0,17.0,Emolior Academy,251,83,33.10%,87,82,94.20%
230,2015-16,12X384,12.0,17.0,Entrada Academy,266,170,63.90%,98,82,83.70%
231,2015-16,13K008,13.0,33.0,P.S. 008 Robert Fulton,213,s,s,54,s,s
232,2015-16,13K113,13.0,35.0,M.S. 113 Ronald Edmonds Learning Center,397,10,2.50%,168,s,s
233,2015-16,13K265,13.0,35.0,Dr. Susan S. McKinney Secondary School of the Arts,s,s,s,s,s,s
234,2015-16,13K266,13.0,39.0,M.S. K266 - Park Place Community Middle School,133,s,s,s,s,s
235,2015-16,13K282,13.0,39.0,P.S. 282 Park Slope,318,111,34.90%,122,s,s
236,2015-16,13K301,13.0,36.0,Satellite East Middle School,93,30,32.30%,29,29,100.00%
237,2015-16,13K313,13.0,33.0,Dock Street School,73,28,38.40%,32,27,84.40%
238,2015-16,13K351,13.0,35.0,The Urban Assembly Unison School,152,81,53.30%,59,59,100.00%
239,2015-16,13K492,13.0,35.0,Academy of Arts and Letters,175,s,s,57,s,s
240,2015-16,13K527,13.0,33.0,Urban Assembly Institute of Math and Science for Young Women,167,70,41.90%,58,s,s
241,2015-16,13K596,13.0,33.0,M.S. 596 Peace Academy,47,28,59.60%,18,18,100.00%
242,2015-16,13K691,13.0,35.0,Fort Greene Preparatory Academy,236,155,65.70%,79,74,93.70%
243,2015-16,14K050,14.0,34.0,J.H.S. 050 John D. Wells,211,93,44.10%,93,50,53.80%
244,2015-16,14K071,14.0,33.0,Juan Morel Campos Secondary School,238,207,87.00%,89,74,83.10%
245,2015-16,14K084,14.0,34.0,P.S. 084 Jose De Diego,133,s,s,s,s,s
246,2015-16,14K126,14.0,33.0,John Ericsson Middle School 126,369,222,60.20%,100,91,91.00%
247,2015-16,14K157,14.0,33.0,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,177,146,82.50%,54,42,77.80%
248,2015-16,14K318,14.0,33.0,I.S. 318 Eugenio Maria De Hostos,"1,474",104,7.10%,501,76,15.20%
249,2015-16,14K330,14.0,36.0,The School for the Urban Environment,73,s,s,s,s,s
250,2015-16,14K577,14.0,34.0,Conselyea Preparatory School,506,s,s,171,s,s
251,2015-16,14K582,14.0,34.0,M.S. 582,244,243,99.60%,77,76,98.70%
252,2015-16,14K586,14.0,34.0,Lyons Community School,179,73,40.80%,72,69,95.80%
253,2015-16,14K614,14.0,34.0,Young Women's Leadership School of Brooklyn,134,131,97.80%,44,42,95.50%
254,2015-16,15K051,15.0,39.0,M.S. 51 William Alexander,"1,124",366,32.60%,375,s,s
255,2015-16,15K088,15.0,38.0,J.H.S. 088 Peter Rouget,"1,258",739,58.70%,410,370,90.20%
256,2015-16,15K136,15.0,38.0,I.S. 136 Charles O. Dewey,503,117,23.30%,186,63,33.90%
257,2015-16,15K429,15.0,33.0,Digital Arts and Cinema Technology High School,54,s,s,s,s,s
258,2015-16,15K442,15.0,39.0,M.S. 442 Carroll Gardens School for Innovation,214,s,s,74,s,s
259,2015-16,15K443,15.0,38.0,New Voices School of Academic & Creative Arts,538,s,s,170,s,s
260,2015-16,15K447,15.0,33.0,The Math & Science Exploratory School,524,337,64.30%,170,163,95.90%
261,2015-16,15K448,15.0,39.0,Brooklyn Secondary School for Collaborative Studies,264,s,s,93,s,s
262,2015-16,15K464,15.0,39.0,Park Slope Collegiate,171,51,29.80%,45,39,86.70%
263,2015-16,15K497,15.0,33.0,The Boerum Hill School for International Studies,167,26,15.60%,30,s,s
264,2015-16,15K821,15.0,38.0,Sunset Park Prep,517,510,98.70%,177,172,97.20%
265,2015-16,15K839,15.0,39.0,M.S. 839,s,s,s,s,s,s
266,2015-16,16K035,16.0,36.0,M.S. 035 Stephen Decatur,165,49,29.70%,60,48,80.00%
267,2015-16,16K057,16.0,36.0,J.H.S. 057 Whitelaw Reid,171,55,32.20%,54,54,100.00%
268,2015-16,16K262,16.0,36.0,P.S. 262 El Hajj Malik El Shabazz Elementary School,168,s,s,63,s,s
269,2015-16,16K267,16.0,36.0,"M.S. 267 Math, Science & Technology",173,71,41.00%,73,69,94.50%
270,2015-16,16K308,16.0,36.0,P.S. 308 Clara Cardwell,167,62,37.10%,62,61,98.40%
271,2015-16,16K385,16.0,36.0,"School of Business, Finance and Entrepreneurship",58,44,75.90%,s,s,s
272,2015-16,16K534,16.0,36.0,Upper School @ P.S. 25,85,43,50.60%,38,38,100.00%
273,2015-16,16K584,16.0,36.0,M.S. 584,93,s,s,37,s,s
274,2015-16,16K681,16.0,36.0,Madiba Prep Middle School,171,119,69.60%,76,74,97.40%
275,2015-16,17K002,17.0,40.0,Parkside Preparatory Academy,479,427,89.10%,165,130,78.80%
276,2015-16,17K061,17.0,40.0,M.S. 061 Dr. Gladstone H. Atwell,800,500,62.50%,242,239,98.80%
277,2015-16,17K138,17.0,36.0,P.S. 138 Brooklyn,278,s,s,89,s,s
278,2015-16,17K161,17.0,35.0,P.S. 161 The Crown,s,s,s,s,s,s
