,cusip_number,sedol_number,local_currency_code,trade_country_name,security_name,security_description,maturity_date,interest_rate,original_face,shares_par_value,base_market_value,base_total_cost,base_unrealized_gain_loss,base_accrued_interest,local_market_value,local_total_cost_amount,local_unrealized_gain_loss,local_accrued_interest,period_end_date,asset_class,investment_type_name,major_industry_name,minor_industry_name,direct_group_trust_holding,moody_s_quality_rating,s_and_p_quality_rating
10,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,9248342.66,9248342.66,9248342.66,0.0,0.0,9248342.66,9248342.66,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
11,'USD,',USD,UNITED STATES OF AMERICA (THE),US DOLLAR,,,0.0,0.0,236870.91,236870.91,236870.91,0.0,0.0,236870.91,236870.91,0.0,0.0,2017-06-30T00:00:00.000,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
12,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,28300.11,28300.11,28300.11,0.0,0.0,28300.11,28300.11,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
13,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,49689.44,49689.44,49689.44,0.0,0.0,49689.44,49689.44,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
14,'USD,',USD,UNITED STATES OF AMERICA (THE),US DOLLAR,,,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.65,7.65,0.0,0.0,2017-06-30T00:00:00.000,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
15,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,3355738.85,3355738.85,3355738.85,0.0,0.0,3355738.85,3355738.85,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
16,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,1176052.81,1176052.81,1176052.81,0.0,0.0,1176052.81,1176052.81,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
17,'CAD,',CAD,CANADA,CANADIAN DOLLAR,,,0.0,0.0,1.83,1.41,1.38,0.03,0.0,1.83,1.83,0.0,0.0,2017-06-30T00:00:00.000,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
18,'USD,',USD,UNITED STATES OF AMERICA (THE),US DOLLAR,,,0.0,0.0,23400000.0,23400000.0,23400000.0,0.0,0.0,23400000.0,23400000.0,0.0,0.0,2017-06-30T00:00:00.000,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
19,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,98774.38,98774.38,98774.38,0.0,0.0,98774.38,98774.38,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
20,'USD,',USD,UNITED STATES OF AMERICA (THE),US DOLLAR,,,0.0,0.0,126237000.0,126237000.0,126237000.0,0.0,0.0,126237000.0,126237000.0,0.0,0.0,2017-06-30T00:00:00.000,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
21,'CAD,',CAD,CANADA,CANADIAN DOLLAR,,,0.0,0.0,0.29,0.22,0.22,0.0,0.0,0.29,0.29,0.0,0.0,2017-06-30T00:00:00.000,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
22,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,365.66,365.66,365.66,0.0,0.0,365.66,365.66,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
23,'EUR,',EUR,INTERNATIONAL,EURO CURRENCY,,,0.0,0.0,49260.85,56184.46,52771.94,3412.52,0.0,49260.85,49260.85,0.0,0.0,2017-06-30T00:00:00.000,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
24,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,280761.23,280761.23,280761.23,0.0,0.0,280761.23,280761.23,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
25,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,1443115.0,1443115.0,1443115.0,0.0,0.0,1443115.0,1443115.0,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
26,'EUR,',EUR,INTERNATIONAL,EURO CURRENCY,,,0.0,0.0,290.6,331.44,306.44,25.0,0.0,290.6,290.6,0.0,0.0,2017-06-30T00:00:00.000,CASH,FOREIGN CURRENCY,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
27,'8611229F8,',USD,UNITED STATES OF AMERICA (THE),STATE STREET BANK + TRUST CO,SHORT TERM INVESTMENT FUND,2030-12-31T00:00:00.000,1.12176,0.0,257480.0,257480.0,257480.0,0.0,0.0,257480.0,257480.0,0.0,0.0,2017-06-30T00:00:00.000,CASH EQUIVALENT,STIF-TYPE INSTRUMENT,CASH EQUIVALENT,CASH EQUIVALENT,Direct,,
28,'48666KAS8,'B8QXSN7,USD,UNITED STATES OF AMERICA (THE),KB HOME,1.375%   01 Feb 2019,2019-02-01T00:00:00.000,1.375,0.0,4161000.0,4449690.18,4041597.54,408092.64,23839.04,4449690.18,4041597.54,408092.64,23839.04,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,B1,B
29,'436440AG6,'B9C8PV0,USD,UNITED STATES OF AMERICA (THE),HOLOGIC INC,1%   15 Dec 2043,2043-12-15T00:00:00.000,0.0,0.0,5311000.0,6695205.93,6005084.37,690121.56,0.0,6695205.93,6005084.37,690121.56,0.0,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
30,'74973WAB3,'B7H2FL3,USD,UNITED STATES OF AMERICA (THE),RTI INTERNATIONAL METALS,1.625%   15 Oct 2019,2019-10-15T00:00:00.000,1.625,0.0,3462000.0,3693538.56,3414762.92,278775.64,11876.58,3693538.56,3414762.92,278775.64,11876.58,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
31,'783764AS2,'B9D6988,USD,UNITED STATES OF AMERICA (THE),CALATLANTIC GROUP INC,0.25%   01 Jun 2019,2019-06-01T00:00:00.000,0.25,0.0,5853000.0,5538401.25,5490923.45,47477.8,1219.37,5538401.25,5490923.45,47477.8,1219.37,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,Ba2,BB
32,'02917TAA2,'BCJSQF5,USD,UNITED STATES OF AMERICA (THE),VEREIT INC,3%   01 Aug 2018,2018-08-01T00:00:00.000,3.0,0.0,3580000.0,3595680.4,3269727.22,325953.18,44750.0,3595680.4,3269727.22,325953.18,44750.0,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
33,'88947EAM2,'BF2GVM9,USD,UNITED STATES OF AMERICA (THE),TOLL BROS FINANCE CORP,0.5%   15 Sep 2032,2032-09-15T00:00:00.000,0.5,0.0,6544000.0,6527640.0,6570906.62,-43266.62,9634.22,6527640.0,6570906.62,-43266.62,9634.22,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,Ba1,BB+
34,'09061GAE1,'BFNYF97,USD,UNITED STATES OF AMERICA (THE),BIOMARIN PHARMACEUTICAL,0.75%   15 Oct 2018,2018-10-15T00:00:00.000,0.75,0.0,8926000.0,9891168.38,9763105.47,128062.91,14132.83,9891168.38,9763105.47,128062.91,14132.83,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
35,'595112AY9,'BJN78Z1,USD,UNITED STATES OF AMERICA (THE),MICRON TECHNOLOGY INC,3%   15 Nov 2043,2043-11-15T00:00:00.000,3.0,0.0,6373000.0,7169625.0,5777085.1,1392539.9,24231.51,7169625.0,5777085.1,1392539.9,24231.51,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,BB
36,'02917TAB0,'BH5MJ80,USD,UNITED STATES OF AMERICA (THE),VEREIT INC,3.75%   15 Dec 2020,2020-12-15T00:00:00.000,3.75,0.0,2607000.0,2681951.25,2417375.45,264575.8,4345.01,2681951.25,2417375.45,264575.8,4345.01,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
37,'19624RAB2,'BJ8S1D8,USD,UNITED STATES OF AMERICA (THE),COLONY NORTHSTAR INC,3.875%   15 Jan 2021,2021-01-15T00:00:00.000,3.875,0.0,5775000.0,5861625.0,5861032.81,592.19,103187.97,5861625.0,5861032.81,592.19,103187.97,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
38,'88160RAB7,'BK8FRT4,USD,UNITED STATES OF AMERICA (THE),TESLA INC,0.25%   01 Mar 2019,2019-03-01T00:00:00.000,0.25,0.0,4817000.0,5503422.5,4338546.79,1164875.71,4007.47,5503422.5,4338546.79,1164875.71,4007.47,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,B-
39,'63633DAE4,'BKXGDQ1,USD,UNITED STATES OF AMERICA (THE),NATIONAL HEALTH INVESTOR,3.25%   01 Apr 2021,2021-04-01T00:00:00.000,3.25,0.0,4423000.0,5155581.49,4419630.48,735951.01,35936.87,5155581.49,4419630.48,735951.01,35936.87,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
40,'84860WAA0,'BMNQPB4,USD,UNITED STATES OF AMERICA (THE),SPIRIT REALTY CAPITAL IN,2.875%   15 May 2019,2019-05-15T00:00:00.000,2.875,0.0,4114000.0,4075451.82,4269032.89,-193581.07,15113.24,4075451.82,4269032.89,-193581.07,15113.24,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,BBB-
41,'45784PAD3,'BN79RD2,USD,UNITED STATES OF AMERICA (THE),INSULET CORPORATION,2%   15 Jun 2019,2019-06-15T00:00:00.000,2.0,0.0,3458000.0,4197147.5,3473362.77,723784.73,3073.77,4197147.5,3473362.77,723784.73,3073.77,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
42,'92343XAA8,'BNCBG81,USD,UNITED STATES OF AMERICA (THE),VERINT SYSTEMS INC,1.5%   01 Jun 2021,2021-06-01T00:00:00.000,1.5,0.0,7031000.0,6886020.78,6344438.17,541582.61,8788.75,6886020.78,6344438.17,541582.61,8788.75,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,B+
43,'21925YAB9,'BNY89R0,USD,UNITED STATES OF AMERICA (THE),CORNERSTONE ONDEMAND INC,1.5%   01 Jul 2018,2018-07-01T00:00:00.000,1.5,0.0,6576000.0,6600660.0,6914246.82,-313586.82,0.0,6600660.0,6914246.82,-313586.82,0.0,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
44,'761283AA8,'BNGXVG6,USD,UNITED STATES OF AMERICA (THE),RH,0.01%   15 Jun 2019,2019-06-15T00:00:00.000,0.01,0.0,4994000.0,4544540.0,4018061.73,526478.27,0.0,4544540.0,4018061.73,526478.27,0.0,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
45,'55608BAA3,'BP4K077,USD,UNITED STATES OF AMERICA (THE),MACQUARIE INFRASTRUCTURE,2.875%   15 Jul 2019,2019-07-15T00:00:00.000,2.875,0.0,2284000.0,2523820.0,2552496.64,-28676.64,30278.86,2523820.0,2552496.64,-28676.64,30278.86,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,BBB-
46,'04010LAM5,'BP0RPL1,USD,UNITED STATES OF AMERICA (THE),ARES CAPITAL CORP,4.375%   15 Jan 2019,2019-01-15T00:00:00.000,4.375,0.0,8048000.0,8284450.24,8238849.38,45600.86,162357.2,8284450.24,8238849.38,45600.86,162357.2,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,BBB
47,'01988PAD0,'BPZ5Y79,USD,UNITED STATES OF AMERICA (THE),ALLSCRIPTS HEALTHCARE SO,1.25%   01 Jul 2020,2020-07-01T00:00:00.000,1.25,0.0,7685000.0,7790668.75,7634054.8,156613.95,0.0,7790668.75,7634054.8,156613.95,0.0,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
48,'46612JAF8,'BQ8NRH8,USD,UNITED STATES OF AMERICA (THE),VIAVI SOLUTIONS INC,0.625%   15 Aug 2033,2033-08-15T00:00:00.000,0.625,0.0,4825000.0,5328633.5,4887277.97,441355.53,11392.35,5328633.5,4887277.97,441355.53,11392.35,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
49,'11777QAB6,'BQ13YS5,USD,UNITED STATES OF AMERICA (THE),B2GOLD CORP,3.25%   01 Oct 2018,2018-10-01T00:00:00.000,3.25,0.0,4776000.0,4999898.88,4530541.9,469356.98,38804.99,4999898.88,4530541.9,469356.98,38804.99,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
50,'249908AA2,'BQQP7T8,USD,UNITED STATES OF AMERICA (THE),DEPOMED INC,2.5%   01 Sep 2021,2021-09-01T00:00:00.000,2.5,0.0,2887000.0,2533342.5,2597402.09,-64059.59,24058.33,2533342.5,2597402.09,-64059.59,24058.33,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
51,'60855RAD2,'BQS2JF7,USD,UNITED STATES OF AMERICA (THE),MOLINA HEALTHCARE INC,1.625%   15 Aug 2044,2044-08-15T00:00:00.000,1.625,0.0,3995000.0,5096141.85,4176834.79,919307.06,24524.85,5096141.85,4176834.79,919307.06,24524.85,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
52,'73640QAB1,'BRJ9B69,USD,UNITED STATES OF AMERICA (THE),PRA GROUP INC,3%   01 Aug 2020,2020-08-01T00:00:00.000,3.0,0.0,4020000.0,3836607.6,3813192.86,23414.74,50250.0,3836607.6,3813192.86,23414.74,50250.0,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
53,'14161HAG3,'BSTJZY2,USD,UNITED STATES OF AMERICA (THE),CARDTRONICS INC,1%   01 Dec 2020,2020-12-01T00:00:00.000,1.0,0.0,3000000.0,2874390.0,2893357.98,-18967.98,2500.01,2874390.0,2893357.98,-18967.98,2500.01,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,BB+
54,'531229AB8,'BT9QFH3,USD,UNITED STATES OF AMERICA (THE),LIBERTY MEDIA CORP,1.375%   15 Oct 2023,2023-10-15T00:00:00.000,1.375,0.0,5073000.0,6005924.7,4842324.46,1163600.24,14725.78,6005924.7,4842324.46,1163600.24,14725.78,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
55,'74838JAA9,'BT9Q2H2,USD,UNITED STATES OF AMERICA (THE),QUIDEL CORP,3.25%   15 Dec 2020,2020-12-15T00:00:00.000,3.25,0.0,3232000.0,3583480.0,3161654.11,421825.89,4668.45,3583480.0,3161654.11,421825.89,4668.45,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
56,'984332AF3,'BTJRGM8,USD,UNITED STATES OF AMERICA (THE),ALTABA INC,0.01%   01 Dec 2018,2018-12-01T00:00:00.000,0.0,0.0,10043000.0,11417685.84,10406550.25,1011135.59,0.0,11417685.84,10406550.25,1011135.59,0.0,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,BB+
57,'31787AAM3,'BTKHBZ5,USD,UNITED STATES OF AMERICA (THE),FINISAR CORP,0.5%   15 Dec 2033,2033-12-15T00:00:00.000,0.5,0.0,1892000.0,2103676.96,1998712.14,104964.82,420.45,2103676.96,1998712.14,104964.82,420.45,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
58,'42703MAB9,'BVYJ7R5,USD,UNITED STATES OF AMERICA (THE),HERBALIFE LTD,2%   15 Aug 2019,2019-08-15T00:00:00.000,2.0,0.0,6159000.0,6405360.0,5225950.48,1179409.52,46534.64,6405360.0,5225950.48,1179409.52,46534.64,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
59,'538034AJ8,'BYMSXM2,USD,UNITED STATES OF AMERICA (THE),LIVE NATION ENTERTAINMEN,2.5%   15 May 2019,2019-05-15T00:00:00.000,2.5,0.0,5244000.0,5978160.0,5352899.48,625260.52,16751.67,5978160.0,5352899.48,625260.52,16751.67,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
60,'049164BH8,'BYR8NB6,USD,UNITED STATES OF AMERICA (THE),ATLAS AIR WORLDWIDE HLDG,2.25%   01 Jun 2022,2022-06-01T00:00:00.000,2.25,0.0,3725000.0,3915906.25,3760958.78,154947.47,6984.38,3915906.25,3760958.78,154947.47,6984.38,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
61,'452327AH2,'BYNBYF0,USD,UNITED STATES OF AMERICA (THE),ILLUMINA INC,0.5%   15 Jun 2021,2021-06-15T00:00:00.000,0.5,0.0,8018000.0,8529147.5,8141446.41,387701.09,1781.78,8529147.5,8141446.41,387701.09,1781.78,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,BBB
62,'62942XAD0,'BYTHB17,USD,UNITED STATES OF AMERICA (THE),NRG YIELD INC,3.25%   01 Jun 2020,2020-06-01T00:00:00.000,3.25,0.0,7705000.0,7729116.65,7466678.57,262438.08,20867.71,7729116.65,7466678.57,262438.08,20867.71,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
63,'472145AB7,'BYTLGY7,USD,UNITED STATES OF AMERICA (THE),JAZZ INVESTMENTS I LTD,1.875%   15 Aug 2021,2021-08-15T00:00:00.000,1.875,0.0,8921000.0,9757343.75,9153980.24,603363.51,63190.41,9757343.75,9153980.24,603363.51,63190.41,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,B+
64,'286082AC6,'BZ1KVZ5,USD,UNITED STATES OF AMERICA (THE),ELECTRONICS FOR IMAGING,0.75%   01 Sep 2019,2019-09-01T00:00:00.000,0.75,0.0,5011000.0,5383718.18,5211364.72,172353.46,12527.5,5383718.18,5211364.72,172353.46,12527.5,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
65,'927FSH901,'BYNFFH1,USD,GERMANY,SIEMENS FINANCIERINGSMAT,1.65%   16 Aug 2019,2019-08-16T00:00:00.000,1.65,0.0,3750000.0,4635000.0,4152329.64,482670.36,23203.12,4635000.0,4152329.64,482670.36,23203.12,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,A+
66,'30225VAD9,'BYRJNR5,USD,UNITED STATES OF AMERICA (THE),EXTRA SPACE STORAGE LP,3.125%   01 Oct 2035,2035-10-01T00:00:00.000,3.125,0.0,6021000.0,6431210.73,6222693.33,208517.4,47039.02,6431210.73,6222693.33,208517.4,47039.02,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
67,'151290BR3,'BYVYNT8,USD,UNITED STATES OF AMERICA (THE),CEMEX SAB DE CV,3.72%   15 Mar 2020,2020-03-15T00:00:00.000,3.72,0.0,5407000.0,6224808.75,5646118.1,578690.65,59224.67,6224808.75,5646118.1,578690.65,59224.67,2017-06-30T00:00:00.000,FIXED INCOME,CONVERTIBLE BONDS,CONVERTIBLES,CONVERTIBLE BOND,Direct,,
