,agency,epin,procurement_title,procurement_description,service_name
10,Human Resources Administration,09614I0004,College and Related Experience Worker Experience Program (CARE WEP),"CARE WEP provides work experience assignments for Public Assistance (PA) recipients who are enrolled in HRA-available CUNY/Non CUNY programs and referred by HRA. The goal of the program is to provide work experience assignments that allow participants to continue to attend school, enhance the participant’s field of study and promote self-sufficiency and employment. Through this procurement, HRA is seeking a Provider to place HRA-referred participants in work experience assignments at participating CUNY locations, other non-profit or public organizations, or both. Participants would complete 35 hours per week of work experience, education and training activities. In addition to work experience assignments, services would include intake, assessment and orientation; case management; site visits to work experience assignment locations to monitor participant progress; and interpreter services.",Work Readiness
11,Human Resources Administration,09614I0004,College and Related Experience Worker Experience Program (CARE WEP),"CARE WEP provides work experience assignments for Public Assistance (PA) recipients who are enrolled in HRA-available CUNY/Non CUNY programs and referred by HRA. The goal of the program is to provide work experience assignments that allow participants to continue to attend school, enhance the participant’s field of study and promote self-sufficiency and employment. Through this procurement, HRA is seeking a Provider to place HRA-referred participants in work experience assignments at participating CUNY locations, other non-profit or public organizations, or both. Participants would complete 35 hours per week of work experience, education and training activities. In addition to work experience assignments, services would include intake, assessment and orientation; case management; site visits to work experience assignment locations to monitor participant progress; and interpreter services.",Academic Supports
12,Human Resources Administration,09614I0004,College and Related Experience Worker Experience Program (CARE WEP),"CARE WEP provides work experience assignments for Public Assistance (PA) recipients who are enrolled in HRA-available CUNY/Non CUNY programs and referred by HRA. The goal of the program is to provide work experience assignments that allow participants to continue to attend school, enhance the participant’s field of study and promote self-sufficiency and employment. Through this procurement, HRA is seeking a Provider to place HRA-referred participants in work experience assignments at participating CUNY locations, other non-profit or public organizations, or both. Participants would complete 35 hours per week of work experience, education and training activities. In addition to work experience assignments, services would include intake, assessment and orientation; case management; site visits to work experience assignment locations to monitor participant progress; and interpreter services.",Community Engagement
13,Human Resources Administration,09614I0005,"Domestic Violence Intervention, Education and Prevention (DVIEP)","The Domestic Violence Intervention, Education and Prevention (DVIEP) program provides coordinated service delivery to residents of the New York City Housing Authority (NYCHA) housing developments who are experiencing domestic violence. The program coordinates these services with the Human Resource Administration (HRA), NYCHA, and the New York City Police Department (NYPD). Through this procurement, HRA is seeking a Provider to operate the Domestic Violence Intervention, Education and Prevention (DVIEP) program. The DVIEP program includes three main components. The Intervention component provides safety assessments, crisis interventions, and social services. The Emergency Transfer Program (ETP) component assists eligible NYCHA residents in applying for the Emergency Transfer Program, which allows victims of domestic violence to transfer confidentially to another housing location. The Education and Prevention component offers educational events, training, and information on how to prevent and respond to domestic violence. The provider will perform outreach to NYCHA residents and will also receive clients by referral from the aforementioned New York City agencies. The provider is expected to deliver services citywide and provide staff in each of the nine Police Service Areas located at NYCHA housing developments.",Preventive Services
14,Human Resources Administration,09614I0005,"Domestic Violence Intervention, Education and Prevention (DVIEP)","The Domestic Violence Intervention, Education and Prevention (DVIEP) program provides coordinated service delivery to residents of the New York City Housing Authority (NYCHA) housing developments who are experiencing domestic violence. The program coordinates these services with the Human Resource Administration (HRA), NYCHA, and the New York City Police Department (NYPD). Through this procurement, HRA is seeking a Provider to operate the Domestic Violence Intervention, Education and Prevention (DVIEP) program. The DVIEP program includes three main components. The Intervention component provides safety assessments, crisis interventions, and social services. The Emergency Transfer Program (ETP) component assists eligible NYCHA residents in applying for the Emergency Transfer Program, which allows victims of domestic violence to transfer confidentially to another housing location. The Education and Prevention component offers educational events, training, and information on how to prevent and respond to domestic violence. The provider will perform outreach to NYCHA residents and will also receive clients by referral from the aforementioned New York City agencies. The provider is expected to deliver services citywide and provide staff in each of the nine Police Service Areas located at NYCHA housing developments.",Mental Health Services
15,Human Resources Administration,09614I0005,"Domestic Violence Intervention, Education and Prevention (DVIEP)","The Domestic Violence Intervention, Education and Prevention (DVIEP) program provides coordinated service delivery to residents of the New York City Housing Authority (NYCHA) housing developments who are experiencing domestic violence. The program coordinates these services with the Human Resource Administration (HRA), NYCHA, and the New York City Police Department (NYPD). Through this procurement, HRA is seeking a Provider to operate the Domestic Violence Intervention, Education and Prevention (DVIEP) program. The DVIEP program includes three main components. The Intervention component provides safety assessments, crisis interventions, and social services. The Emergency Transfer Program (ETP) component assists eligible NYCHA residents in applying for the Emergency Transfer Program, which allows victims of domestic violence to transfer confidentially to another housing location. The Education and Prevention component offers educational events, training, and information on how to prevent and respond to domestic violence. The provider will perform outreach to NYCHA residents and will also receive clients by referral from the aforementioned New York City agencies. The provider is expected to deliver services citywide and provide staff in each of the nine Police Service Areas located at NYCHA housing developments.",Case Management
16,Human Resources Administration,09614I0003,Emergency and On-Call Case Management Services,"The Emergency On-Call Case Management Services Program provides assistance to victims of disasters due to weather events, utility outages, transit failures and other emergencies. The purpose of the program is to work with disaster survivors (clients) to develop and carry out a specific recovery plan toward a goal of stabilization and a return to normalcy. Through this procurement, HRA is seeking Providers to direct clients to appropriate resources and facilitate the delivery of health and human services to affected individuals. Providers would conduct assessments of clients’ needs and perform intake and triage functions. Providers would also help clients develop a goal-oriented plan that outlines necessary steps to achieve recovery and organize/coordinate information on available resources that match clients’ needs, including immediate referrals, client advocacy and case management. Provider would have the capacity to dispatch mobile teams at the direction of the City to service clients who are unable to reach program sites. Staff should include bi-/multi-lingual professionals fluent in the local languages and/or American Sign Language and be capable of interacting with diverse populations. PLEASE NOTE: Due to the nature of the services, the maximum available funding is to be determined. It is anticipated that various funding sources would be used. The RFP will establish rates for Emergency Case Management services, and will be the basis for contract funding when services are needed. Contractors would not receive “standby” payments during periods when services are not needed. New EPIN: 09614I0007",Emergency Preparedness and Response
17,Human Resources Administration,09614I0003,Emergency and On-Call Case Management Services,"The Emergency On-Call Case Management Services Program provides assistance to victims of disasters due to weather events, utility outages, transit failures and other emergencies. The purpose of the program is to work with disaster survivors (clients) to develop and carry out a specific recovery plan toward a goal of stabilization and a return to normalcy. Through this procurement, HRA is seeking Providers to direct clients to appropriate resources and facilitate the delivery of health and human services to affected individuals. Providers would conduct assessments of clients’ needs and perform intake and triage functions. Providers would also help clients develop a goal-oriented plan that outlines necessary steps to achieve recovery and organize/coordinate information on available resources that match clients’ needs, including immediate referrals, client advocacy and case management. Provider would have the capacity to dispatch mobile teams at the direction of the City to service clients who are unable to reach program sites. Staff should include bi-/multi-lingual professionals fluent in the local languages and/or American Sign Language and be capable of interacting with diverse populations. PLEASE NOTE: Due to the nature of the services, the maximum available funding is to be determined. It is anticipated that various funding sources would be used. The RFP will establish rates for Emergency Case Management services, and will be the basis for contract funding when services are needed. Contractors would not receive “standby” payments during periods when services are not needed. New EPIN: 09614I0007",Case Management
18,Human Resources Administration,09614I0001,Parent Pledge Project,"The Parent Pledge Project offers mediation and legal services in order to establish co-parenting agreements and child support agreements. The goal of the program is to facilitate a community-based approach to bring parents together on a voluntary basis to address parenting and child support issues. Providers with Parent Pledge Project contracts will be certified by HRA Office of Child Support Enforcement to assist families in establishing voluntary child support agreements. Agreements prepared by certified organizations will receive expedited processing by the Court. Through this procurement, HRA is seeking Providers to offer free or low-cost mediation and legal services to low-income parents voluntarily seeking to establish child support and co-parenting agreements. Providers should have knowledge and understanding of the Child Support Standards Act (CSSA), and experience serving low-income mothers and fathers with a child/children born out of wedlock; providing mediation services, and providing legal services associated with creating child support agreements.",Parenting Services
19,Human Resources Administration,09614I0001,Parent Pledge Project,"The Parent Pledge Project offers mediation and legal services in order to establish co-parenting agreements and child support agreements. The goal of the program is to facilitate a community-based approach to bring parents together on a voluntary basis to address parenting and child support issues. Providers with Parent Pledge Project contracts will be certified by HRA Office of Child Support Enforcement to assist families in establishing voluntary child support agreements. Agreements prepared by certified organizations will receive expedited processing by the Court. Through this procurement, HRA is seeking Providers to offer free or low-cost mediation and legal services to low-income parents voluntarily seeking to establish child support and co-parenting agreements. Providers should have knowledge and understanding of the Child Support Standards Act (CSSA), and experience serving low-income mothers and fathers with a child/children born out of wedlock; providing mediation services, and providing legal services associated with creating child support agreements.",Financial Counseling
20,Human Resources Administration,09614I0001,Parent Pledge Project,"The Parent Pledge Project offers mediation and legal services in order to establish co-parenting agreements and child support agreements. The goal of the program is to facilitate a community-based approach to bring parents together on a voluntary basis to address parenting and child support issues. Providers with Parent Pledge Project contracts will be certified by HRA Office of Child Support Enforcement to assist families in establishing voluntary child support agreements. Agreements prepared by certified organizations will receive expedited processing by the Court. Through this procurement, HRA is seeking Providers to offer free or low-cost mediation and legal services to low-income parents voluntarily seeking to establish child support and co-parenting agreements. Providers should have knowledge and understanding of the Child Support Standards Act (CSSA), and experience serving low-income mothers and fathers with a child/children born out of wedlock; providing mediation services, and providing legal services associated with creating child support agreements.",Legal Services
21,Human Resources Administration,09614I0001,Parent Pledge Project,"The Parent Pledge Project offers mediation and legal services in order to establish co-parenting agreements and child support agreements. The goal of the program is to facilitate a community-based approach to bring parents together on a voluntary basis to address parenting and child support issues. Providers with Parent Pledge Project contracts will be certified by HRA Office of Child Support Enforcement to assist families in establishing voluntary child support agreements. Agreements prepared by certified organizations will receive expedited processing by the Court. Through this procurement, HRA is seeking Providers to offer free or low-cost mediation and legal services to low-income parents voluntarily seeking to establish child support and co-parenting agreements. Providers should have knowledge and understanding of the Child Support Standards Act (CSSA), and experience serving low-income mothers and fathers with a child/children born out of wedlock; providing mediation services, and providing legal services associated with creating child support agreements.",Child Support Enforcement
22,Human Resources Administration,09614I0001,Parent Pledge Project,"The Parent Pledge Project offers mediation and legal services in order to establish co-parenting agreements and child support agreements. The goal of the program is to facilitate a community-based approach to bring parents together on a voluntary basis to address parenting and child support issues. Providers with Parent Pledge Project contracts will be certified by HRA Office of Child Support Enforcement to assist families in establishing voluntary child support agreements. Agreements prepared by certified organizations will receive expedited processing by the Court. Through this procurement, HRA is seeking Providers to offer free or low-cost mediation and legal services to low-income parents voluntarily seeking to establish child support and co-parenting agreements. Providers should have knowledge and understanding of the Child Support Standards Act (CSSA), and experience serving low-income mothers and fathers with a child/children born out of wedlock; providing mediation services, and providing legal services associated with creating child support agreements.",Case Management
23,Human Resources Administration,09614I0001,Parent Pledge Project,"The Parent Pledge Project offers mediation and legal services in order to establish co-parenting agreements and child support agreements. The goal of the program is to facilitate a community-based approach to bring parents together on a voluntary basis to address parenting and child support issues. Providers with Parent Pledge Project contracts will be certified by HRA Office of Child Support Enforcement to assist families in establishing voluntary child support agreements. Agreements prepared by certified organizations will receive expedited processing by the Court. Through this procurement, HRA is seeking Providers to offer free or low-cost mediation and legal services to low-income parents voluntarily seeking to establish child support and co-parenting agreements. Providers should have knowledge and understanding of the Child Support Standards Act (CSSA), and experience serving low-income mothers and fathers with a child/children born out of wedlock; providing mediation services, and providing legal services associated with creating child support agreements.",Conflict Resolution/Mediation
24,Human Resources Administration,09614I0001,Parent Pledge Project,"The Parent Pledge Project offers mediation and legal services in order to establish co-parenting agreements and child support agreements. The goal of the program is to facilitate a community-based approach to bring parents together on a voluntary basis to address parenting and child support issues. Providers with Parent Pledge Project contracts will be certified by HRA Office of Child Support Enforcement to assist families in establishing voluntary child support agreements. Agreements prepared by certified organizations will receive expedited processing by the Court. Through this procurement, HRA is seeking Providers to offer free or low-cost mediation and legal services to low-income parents voluntarily seeking to establish child support and co-parenting agreements. Providers should have knowledge and understanding of the Child Support Standards Act (CSSA), and experience serving low-income mothers and fathers with a child/children born out of wedlock; providing mediation services, and providing legal services associated with creating child support agreements.",Life Skills
25,Department of Youth and Community Development,26014I0037,Deferred Action for Childhood Arrivals (DACA) Community Outreach - Bronx,"On June 15, 2012, President Obama announced Deferred Action for Childhood Arrivals (DACA), under which the U.S. Department of Homeland Security would not deport certain undocumented immigrants: those over the age of 15 and under 31 on the date of the announcement, who had arrived in the U.S. before they turned 16 and who have pursued or are pursuing education or military service. Young adults who achieve DACA status are given temporary relief from the possibility of deportation and are able to legally live and work in the U.S. Before someone can apply for DACA, however, he or she must have earned a high school diploma or equivalency or be currently enrolled in school. School may include an education, literacy, or career training program that is designed to lead to placement in postsecondary education, job training, employment or an education program assisting students in passing a high school equivalency exam. With funding appropriated by the New York City Council, the Department of Youth and Community Development (DYCD) has created the Young Immigrant Literacy Program. Literacy providers coordinate services with legal services providers who assist participants identified as being DACA eligible with initiating the DACA application process, if appropriate. Through this RFP DYCD is seeking qualified community-based organizations to provide outreach services to young immigrants who fall within the age range for DACA eligibility to ensure that the Young Immigrant Literacy Program is utilized to the fullest extent possible. DYCD recognizes that DACA-eligible immigrants may be reluctant to seek services and therefore a concerted outreach effort is needed to reach and recruit the target population. A separate, but otherwise identical RFP is provided for each of the five boroughs. This RFP is for the Bronx.",Diploma/GED Training
26,Department of Youth and Community Development,26014I0037,Deferred Action for Childhood Arrivals (DACA) Community Outreach - Bronx,"On June 15, 2012, President Obama announced Deferred Action for Childhood Arrivals (DACA), under which the U.S. Department of Homeland Security would not deport certain undocumented immigrants: those over the age of 15 and under 31 on the date of the announcement, who had arrived in the U.S. before they turned 16 and who have pursued or are pursuing education or military service. Young adults who achieve DACA status are given temporary relief from the possibility of deportation and are able to legally live and work in the U.S. Before someone can apply for DACA, however, he or she must have earned a high school diploma or equivalency or be currently enrolled in school. School may include an education, literacy, or career training program that is designed to lead to placement in postsecondary education, job training, employment or an education program assisting students in passing a high school equivalency exam. With funding appropriated by the New York City Council, the Department of Youth and Community Development (DYCD) has created the Young Immigrant Literacy Program. Literacy providers coordinate services with legal services providers who assist participants identified as being DACA eligible with initiating the DACA application process, if appropriate. Through this RFP DYCD is seeking qualified community-based organizations to provide outreach services to young immigrants who fall within the age range for DACA eligibility to ensure that the Young Immigrant Literacy Program is utilized to the fullest extent possible. DYCD recognizes that DACA-eligible immigrants may be reluctant to seek services and therefore a concerted outreach effort is needed to reach and recruit the target population. A separate, but otherwise identical RFP is provided for each of the five boroughs. This RFP is for the Bronx.",Outreach
27,Department of Youth and Community Development,26014I0037,Deferred Action for Childhood Arrivals (DACA) Community Outreach - Bronx,"On June 15, 2012, President Obama announced Deferred Action for Childhood Arrivals (DACA), under which the U.S. Department of Homeland Security would not deport certain undocumented immigrants: those over the age of 15 and under 31 on the date of the announcement, who had arrived in the U.S. before they turned 16 and who have pursued or are pursuing education or military service. Young adults who achieve DACA status are given temporary relief from the possibility of deportation and are able to legally live and work in the U.S. Before someone can apply for DACA, however, he or she must have earned a high school diploma or equivalency or be currently enrolled in school. School may include an education, literacy, or career training program that is designed to lead to placement in postsecondary education, job training, employment or an education program assisting students in passing a high school equivalency exam. With funding appropriated by the New York City Council, the Department of Youth and Community Development (DYCD) has created the Young Immigrant Literacy Program. Literacy providers coordinate services with legal services providers who assist participants identified as being DACA eligible with initiating the DACA application process, if appropriate. Through this RFP DYCD is seeking qualified community-based organizations to provide outreach services to young immigrants who fall within the age range for DACA eligibility to ensure that the Young Immigrant Literacy Program is utilized to the fullest extent possible. DYCD recognizes that DACA-eligible immigrants may be reluctant to seek services and therefore a concerted outreach effort is needed to reach and recruit the target population. A separate, but otherwise identical RFP is provided for each of the five boroughs. This RFP is for the Bronx.",Literacy
28,Department of Youth and Community Development,26014I0037,Deferred Action for Childhood Arrivals (DACA) Community Outreach - Bronx,"On June 15, 2012, President Obama announced Deferred Action for Childhood Arrivals (DACA), under which the U.S. Department of Homeland Security would not deport certain undocumented immigrants: those over the age of 15 and under 31 on the date of the announcement, who had arrived in the U.S. before they turned 16 and who have pursued or are pursuing education or military service. Young adults who achieve DACA status are given temporary relief from the possibility of deportation and are able to legally live and work in the U.S. Before someone can apply for DACA, however, he or she must have earned a high school diploma or equivalency or be currently enrolled in school. School may include an education, literacy, or career training program that is designed to lead to placement in postsecondary education, job training, employment or an education program assisting students in passing a high school equivalency exam. With funding appropriated by the New York City Council, the Department of Youth and Community Development (DYCD) has created the Young Immigrant Literacy Program. Literacy providers coordinate services with legal services providers who assist participants identified as being DACA eligible with initiating the DACA application process, if appropriate. Through this RFP DYCD is seeking qualified community-based organizations to provide outreach services to young immigrants who fall within the age range for DACA eligibility to ensure that the Young Immigrant Literacy Program is utilized to the fullest extent possible. DYCD recognizes that DACA-eligible immigrants may be reluctant to seek services and therefore a concerted outreach effort is needed to reach and recruit the target population. A separate, but otherwise identical RFP is provided for each of the five boroughs. This RFP is for the Bronx.",Legal Services
29,Department of Youth and Community Development,26014I0037,Deferred Action for Childhood Arrivals (DACA) Community Outreach - Bronx,"On June 15, 2012, President Obama announced Deferred Action for Childhood Arrivals (DACA), under which the U.S. Department of Homeland Security would not deport certain undocumented immigrants: those over the age of 15 and under 31 on the date of the announcement, who had arrived in the U.S. before they turned 16 and who have pursued or are pursuing education or military service. Young adults who achieve DACA status are given temporary relief from the possibility of deportation and are able to legally live and work in the U.S. Before someone can apply for DACA, however, he or she must have earned a high school diploma or equivalency or be currently enrolled in school. School may include an education, literacy, or career training program that is designed to lead to placement in postsecondary education, job training, employment or an education program assisting students in passing a high school equivalency exam. With funding appropriated by the New York City Council, the Department of Youth and Community Development (DYCD) has created the Young Immigrant Literacy Program. Literacy providers coordinate services with legal services providers who assist participants identified as being DACA eligible with initiating the DACA application process, if appropriate. Through this RFP DYCD is seeking qualified community-based organizations to provide outreach services to young immigrants who fall within the age range for DACA eligibility to ensure that the Young Immigrant Literacy Program is utilized to the fullest extent possible. DYCD recognizes that DACA-eligible immigrants may be reluctant to seek services and therefore a concerted outreach effort is needed to reach and recruit the target population. A separate, but otherwise identical RFP is provided for each of the five boroughs. This RFP is for the Bronx.",Language Skills
30,Department of Youth and Community Development,26014I0037,Deferred Action for Childhood Arrivals (DACA) Community Outreach - Bronx,"On June 15, 2012, President Obama announced Deferred Action for Childhood Arrivals (DACA), under which the U.S. Department of Homeland Security would not deport certain undocumented immigrants: those over the age of 15 and under 31 on the date of the announcement, who had arrived in the U.S. before they turned 16 and who have pursued or are pursuing education or military service. Young adults who achieve DACA status are given temporary relief from the possibility of deportation and are able to legally live and work in the U.S. Before someone can apply for DACA, however, he or she must have earned a high school diploma or equivalency or be currently enrolled in school. School may include an education, literacy, or career training program that is designed to lead to placement in postsecondary education, job training, employment or an education program assisting students in passing a high school equivalency exam. With funding appropriated by the New York City Council, the Department of Youth and Community Development (DYCD) has created the Young Immigrant Literacy Program. Literacy providers coordinate services with legal services providers who assist participants identified as being DACA eligible with initiating the DACA application process, if appropriate. Through this RFP DYCD is seeking qualified community-based organizations to provide outreach services to young immigrants who fall within the age range for DACA eligibility to ensure that the Young Immigrant Literacy Program is utilized to the fullest extent possible. DYCD recognizes that DACA-eligible immigrants may be reluctant to seek services and therefore a concerted outreach effort is needed to reach and recruit the target population. A separate, but otherwise identical RFP is provided for each of the five boroughs. This RFP is for the Bronx.",Case Management
31,Department of Youth and Community Development,26014I0037,Deferred Action for Childhood Arrivals (DACA) Community Outreach - Bronx,"On June 15, 2012, President Obama announced Deferred Action for Childhood Arrivals (DACA), under which the U.S. Department of Homeland Security would not deport certain undocumented immigrants: those over the age of 15 and under 31 on the date of the announcement, who had arrived in the U.S. before they turned 16 and who have pursued or are pursuing education or military service. Young adults who achieve DACA status are given temporary relief from the possibility of deportation and are able to legally live and work in the U.S. Before someone can apply for DACA, however, he or she must have earned a high school diploma or equivalency or be currently enrolled in school. School may include an education, literacy, or career training program that is designed to lead to placement in postsecondary education, job training, employment or an education program assisting students in passing a high school equivalency exam. With funding appropriated by the New York City Council, the Department of Youth and Community Development (DYCD) has created the Young Immigrant Literacy Program. Literacy providers coordinate services with legal services providers who assist participants identified as being DACA eligible with initiating the DACA application process, if appropriate. Through this RFP DYCD is seeking qualified community-based organizations to provide outreach services to young immigrants who fall within the age range for DACA eligibility to ensure that the Young Immigrant Literacy Program is utilized to the fullest extent possible. DYCD recognizes that DACA-eligible immigrants may be reluctant to seek services and therefore a concerted outreach effort is needed to reach and recruit the target population. A separate, but otherwise identical RFP is provided for each of the five boroughs. This RFP is for the Bronx.",Academic Supports
