,rownumber,animalname,animalgender,animalbirth,breedname,zipcode,licenseissueddate,licenseexpireddate,extract_year
77,78,TEDDY,M,2008,Unknown,10065,2014-09-16T00:00:00.000,2017-10-29T00:00:00.000,2016
78,79,JUPLAY,M,2002,Beagle,11106,2014-09-16T00:00:00.000,2017-10-23T00:00:00.000,2016
79,80,TOSHA,F,2011,"Collie, Smooth Coat",10024,2014-09-16T00:00:00.000,2017-10-11T00:00:00.000,2016
80,81,TIGGER,M,2012,Golden Retriever,10280,2014-09-16T00:00:00.000,2019-10-31T00:00:00.000,2016
81,82,BRODY,M,2006,Cocker Spaniel,10035,2014-09-16T00:00:00.000,2016-09-16T00:00:00.000,2016
82,83,BELLA,F,2005,Beagle,10031,2014-09-16T00:00:00.000,2017-10-26T00:00:00.000,2016
83,84,A.J.,M,2005,Puggle,10308,2014-09-16T00:00:00.000,2017-07-30T00:00:00.000,2016
84,85,SANDY,F,2011,Lhasa Apso,10011,2014-09-16T00:00:00.000,2017-10-15T00:00:00.000,2016
85,86,COOPER,M,2011,French Bulldog,10309,2014-09-16T00:00:00.000,2019-09-16T00:00:00.000,2016
86,87,TY,M,2010,Siberian Husky,11236,2014-09-16T00:00:00.000,2017-09-16T00:00:00.000,2016
87,88,OLIVER,M,2008,Poodle,10025,2014-09-16T00:00:00.000,2016-09-16T00:00:00.000,2016
88,89,COSMO,M,2009,Boxer,10003,2014-09-17T00:00:00.000,2016-09-17T00:00:00.000,2016
89,90,CHARLIE,M,2008,Unknown,10128,2014-09-17T00:00:00.000,2019-09-16T00:00:00.000,2016
90,91,ZOE,F,2009,Chihuahua,10475,2014-09-17T00:00:00.000,2016-09-17T00:00:00.000,2016
91,92,KIMBERLY,F,2011,American Pit Bull Mix / Pit Bull Mix,11230,2014-09-17T00:00:00.000,2017-03-21T00:00:00.000,2016
92,93,NOVA,F,2010,"Poodle, Toy",10460,2014-09-17T00:00:00.000,2016-09-04T00:00:00.000,2016
93,94,KIRBY,M,2009,Jack Russell Terrier,11106,2014-09-17T00:00:00.000,2016-10-17T00:00:00.000,2016
94,95,ZOE,F,2014,Labrador Retriever,11101,2014-09-17T00:00:00.000,2019-09-17T00:00:00.000,2016
95,96,SPUDS,M,2010,Bulldog,10461,2014-09-17T00:00:00.000,2017-09-17T00:00:00.000,2016
96,97,BOO,F,2013,Labradoodle,11211,2014-09-17T00:00:00.000,2019-09-17T00:00:00.000,2016
97,98,SAMMY,M,2006,Shiba Inu,10011,2014-09-17T00:00:00.000,2016-10-31T00:00:00.000,2016
98,99,MAX,M,2005,Pug,10025,2014-09-17T00:00:00.000,2016-10-30T00:00:00.000,2016
99,100,WALTER,M,2010,American Pit Bull Terrier/Pit Bull,11375,2014-09-17T00:00:00.000,2019-05-17T00:00:00.000,2016
100,101,BELLA,F,2012,Yorkshire Terrier,10013,2014-09-17T00:00:00.000,2019-09-17T00:00:00.000,2016
101,102,POPPETT,F,2011,"Dachshund, Long Haired Miniature",10024,2014-09-18T00:00:00.000,2019-09-18T00:00:00.000,2016
102,103,MOLLIE,F,2012,American Pit Bull Mix / Pit Bull Mix,11228,2014-09-18T00:00:00.000,2016-07-29T00:00:00.000,2016
103,104,MARTY,M,2009,Havanese,10036,2014-09-18T00:00:00.000,2017-06-25T00:00:00.000,2016
104,105,BUTTERFLY,F,2012,"Bull Dog, French",10023,2014-09-18T00:00:00.000,2017-08-21T00:00:00.000,2016
105,106,GRAISY,F,2009,Chihuahua,10462,2014-09-18T00:00:00.000,2017-10-08T00:00:00.000,2016
106,107,SMOKEY,M,2013,American Staffordshire Terrier,10036,2014-09-18T00:00:00.000,2019-09-18T00:00:00.000,2016
107,108,SPARKY,M,2010,Tibetan Terrier,10458,2014-09-18T00:00:00.000,2017-09-18T00:00:00.000,2016
108,109,GIGI,F,2009,"Poodle, Standard",11201,2014-09-18T00:00:00.000,2019-09-18T00:00:00.000,2016
109,110,PHILLIP,M,2011,Maltese,10463,2014-09-18T00:00:00.000,2019-09-18T00:00:00.000,2016
110,111,KATE,F,2011,Maltese,10463,2014-09-18T00:00:00.000,2019-09-18T00:00:00.000,2016
111,112,RUSTY,M,2005,German Shepherd Crossbreed,11218,2014-09-18T00:00:00.000,2016-10-30T00:00:00.000,2016
112,113,CURTIS,M,2010,Labrador Retriever,11215,2014-09-18T00:00:00.000,2017-10-24T00:00:00.000,2016
113,114,MONEYPENNY,F,2014,Chinese Crested,11215,2014-09-18T00:00:00.000,2019-09-18T00:00:00.000,2016
114,115,SEBASTIAN,M,2004,Italian Greyhound,10128,2014-09-18T00:00:00.000,2016-10-31T00:00:00.000,2016
115,116,MIDORI,F,2008,Anatolian Shepherd Dog,10019,2014-09-18T00:00:00.000,2017-09-18T00:00:00.000,2016
116,117,CAMPBELL,M,2014,Poodle,10128,2014-09-18T00:00:00.000,2016-09-18T00:00:00.000,2016
117,118,WILLIAM,M,2011,Maltese,10463,2014-09-18T00:00:00.000,2019-09-18T00:00:00.000,2016
118,119,APOLLO,M,2011,Maltese,10463,2014-09-18T00:00:00.000,2019-09-18T00:00:00.000,2016
119,120,SNOOPY,M,2012,Unknown,10454,2014-09-18T00:00:00.000,2019-09-06T00:00:00.000,2016
120,121,LISSY,F,2010,Chihuahua,11373,2014-09-19T00:00:00.000,2019-10-17T00:00:00.000,2016
121,122,PENNY,F,2013,Labrador Retriever Crossbreed,11217,2014-09-19T00:00:00.000,2019-09-19T00:00:00.000,2016
122,123,GUNTHER,M,2010,Unknown,10021,2014-09-19T00:00:00.000,2016-09-23T00:00:00.000,2016
123,124,TESLA,F,2013,American Pit Bull Terrier/Pit Bull,11237,2014-09-19T00:00:00.000,2019-09-19T00:00:00.000,2016
124,125,ANDY,M,2010,Chihuahua,11373,2014-09-19T00:00:00.000,2019-10-17T00:00:00.000,2016
125,126,MAX,M,2010,Unknown,11218,2014-09-19T00:00:00.000,2017-10-25T00:00:00.000,2016
126,127,COCO,F,2014,Maltese,11214,2014-09-19T00:00:00.000,2016-09-19T00:00:00.000,2016
127,128,SASHA,F,2014,Manchester Terrier,11385,2014-09-20T00:00:00.000,2019-09-20T00:00:00.000,2016
128,129,JETT,M,2009,Labrador Retriever,11237,2014-09-20T00:00:00.000,2016-09-20T00:00:00.000,2016
129,130,NINA,F,2005,Golden Retriever,10023,2014-09-20T00:00:00.000,2019-09-20T00:00:00.000,2016
130,131,BELLE,F,2006,Cocker Spaniel,11218,2014-09-20T00:00:00.000,2017-09-20T00:00:00.000,2016
131,132,COOPER,M,2008,Labrador Retriever,11201,2014-09-20T00:00:00.000,2019-09-23T00:00:00.000,2016
132,133,BRUTUS,M,2013,Cocker Spaniel,11102,2014-09-20T00:00:00.000,2019-10-23T00:00:00.000,2016
133,134,JOCKI,F,2008,Unknown,10463,2014-09-20T00:00:00.000,2019-06-19T00:00:00.000,2016
134,135,COCO,F,2002,Maltese,10027,2014-09-20T00:00:00.000,2016-09-20T00:00:00.000,2016
135,136,LILLY,F,1998,Beagle,10021,2014-09-20T00:00:00.000,2016-10-16T00:00:00.000,2016
136,137,AUGUSTA,F,2001,Jack Russell Terrier,11217,2014-09-20T00:00:00.000,2017-10-14T00:00:00.000,2016
137,138,MINNIE,F,2007,Chihuahua,11217,2014-09-20T00:00:00.000,2017-10-14T00:00:00.000,2016
138,139,ZOEY,F,2014,Labradoodle,10301,2014-09-20T00:00:00.000,2019-09-20T00:00:00.000,2016
139,140,ROSIE,F,2013,Labradoodle,10013,2014-09-20T00:00:00.000,2019-09-20T00:00:00.000,2016
140,141,CHAUNCEY,M,2006,Shih Tzu,10463,2014-09-21T00:00:00.000,2016-09-21T00:00:00.000,2016
141,142,MICA,F,2005,Unknown,11222,2014-09-21T00:00:00.000,2016-09-29T00:00:00.000,2016
142,143,RIGGINS,F,2011,American Pit Bull Mix / Pit Bull Mix,10023,2014-09-21T00:00:00.000,2019-09-21T00:00:00.000,2016
143,144,JELLY,F,2014,German Shepherd Crossbreed,11364,2014-09-21T00:00:00.000,2019-09-21T00:00:00.000,2016
144,145,ANDY,F,2013,Cocker Spaniel,11201,2014-09-21T00:00:00.000,2018-09-21T00:00:00.000,2016
145,146,MAGGIE,F,2013,Labrador Retriever,10023,2014-09-21T00:00:00.000,2016-09-30T00:00:00.000,2016
146,147,SOLO,M,2008,American Pit Bull Mix / Pit Bull Mix,11234,2014-09-21T00:00:00.000,2019-06-10T00:00:00.000,2016
147,148,ZOE,F,2004,Havanese,11231,2014-09-21T00:00:00.000,2019-10-31T00:00:00.000,2016
148,149,HANNAH,F,2014,"Schnauzer, Miniature",10019,2014-09-21T00:00:00.000,2019-09-21T00:00:00.000,2016
149,150,CHANCE,M,2008,Border Terrier,11234,2014-09-21T00:00:00.000,2019-09-21T00:00:00.000,2016
150,151,PATCH,M,2004,Maltese,10016,2014-09-21T00:00:00.000,2019-10-02T00:00:00.000,2016
151,152,WOODY,M,2010,Unknown,11205,2014-09-21T00:00:00.000,2019-11-09T00:00:00.000,2016
152,153,STELLA,F,2013,Border Collie,11377,2014-09-22T00:00:00.000,2019-09-22T00:00:00.000,2016
153,154,MIA,F,2011,Yorkshire Terrier,11222,2014-09-22T00:00:00.000,2016-10-10T00:00:00.000,2016
154,155,CHASE,M,2007,Shih Tzu,11228,2014-09-22T00:00:00.000,2016-09-29T00:00:00.000,2016
155,156,DAISY,F,2014,"Poodle, Miniature",10038,2014-09-22T00:00:00.000,2017-09-22T00:00:00.000,2016
156,157,FIONA,F,2013,Boston Terrier,10128,2014-09-22T00:00:00.000,2019-09-22T00:00:00.000,2016
157,158,LEXY,F,2007,Yorkshire Terrier,10314,2014-09-22T00:00:00.000,2019-09-04T00:00:00.000,2016
158,159,DAKOTA,F,2014,Vizsla,10003,2014-09-22T00:00:00.000,2019-09-22T00:00:00.000,2016
159,160,PARKER,M,2014,Beagle Crossbreed,10309,2014-09-23T00:00:00.000,2019-09-23T00:00:00.000,2016
160,161,STORM,F,2012,Labrador Retriever,11209,2014-09-23T00:00:00.000,2019-10-04T00:00:00.000,2016
161,162,SHADOW,F,1999,Collie Crossbreed,10306,2014-09-23T00:00:00.000,2016-03-25T00:00:00.000,2016
162,163,LEOPOLD,M,2008,Beagle,10023,2014-09-23T00:00:00.000,2017-07-18T00:00:00.000,2016
163,164,EVEYLYN,F,2008,French Bulldog,10011,2014-09-23T00:00:00.000,2016-09-23T00:00:00.000,2016
164,165,NENA,F,2007,Chihuahua,10473,2014-09-23T00:00:00.000,2016-09-23T00:00:00.000,2016
165,166,PIPER,F,2014,Pointer,10012,2014-09-23T00:00:00.000,2017-09-23T00:00:00.000,2016
166,167,JULIUS,M,2008,Australian Cattledog,11215,2014-09-23T00:00:00.000,2019-09-23T00:00:00.000,2016
167,168,CHUNK,M,2011,"Bull Dog, French",10011,2014-09-23T00:00:00.000,2016-08-16T00:00:00.000,2016
168,169,IVORY,F,2004,"Poodle, Toy",10461,2014-09-23T00:00:00.000,2017-10-19T00:00:00.000,2016
169,170,SPEEDY,M,2007,Unknown,11234,2014-09-24T00:00:00.000,2019-03-29T00:00:00.000,2016
170,171,BAMBA,M,2011,French Bulldog,11201,2014-09-24T00:00:00.000,2016-09-24T00:00:00.000,2016
171,172,BEAR,M,2013,Shiba Inu,10014,2014-09-24T00:00:00.000,2019-09-24T00:00:00.000,2016
172,173,TED,M,2011,American Pit Bull Mix / Pit Bull Mix,11206,2014-09-24T00:00:00.000,2017-09-24T00:00:00.000,2016
173,174,ALI,M,2009,Unknown,10314,2014-09-24T00:00:00.000,2018-10-28T00:00:00.000,2016
174,175,RUMI,M,2011,Unknown,10021,2014-09-24T00:00:00.000,2018-07-31T00:00:00.000,2016
175,176,OREO,F,2005,Havanese,10026,2014-09-24T00:00:00.000,2017-05-21T00:00:00.000,2016
176,177,LAWRENCE,M,2010,American Pit Bull Terrier/Pit Bull,10025,2014-09-25T00:00:00.000,2017-10-26T00:00:00.000,2016
177,178,MASON,M,2014,American Pit Bull Terrier/Pit Bull,10032,2014-09-25T00:00:00.000,2017-09-25T00:00:00.000,2016
178,179,PRINCESS,F,2008,Yorkshire Terrier,11102,2014-09-25T00:00:00.000,2016-10-08T00:00:00.000,2016
179,180,CHOCOLATE,F,2007,American Pit Bull Terrier/Pit Bull,11208,2014-09-25T00:00:00.000,2016-10-28T00:00:00.000,2016
180,181,WEEZY,M,2006,American Pit Bull Mix / Pit Bull Mix,10040,2014-09-25T00:00:00.000,2017-09-25T00:00:00.000,2016
181,182,LOLA,F,2014,Labrador Retriever,10040,2014-09-25T00:00:00.000,2019-09-25T00:00:00.000,2016
182,183,DEMO,M,2009,Havanese,11365,2014-09-25T00:00:00.000,2019-10-02T00:00:00.000,2016
183,184,ABBEY,F,2013,Weimaraner,11694,2014-09-25T00:00:00.000,2019-09-25T00:00:00.000,2016
184,185,EMMA,F,2013,Vizsla,11694,2014-09-25T00:00:00.000,2019-09-25T00:00:00.000,2016
185,186,GRAYSON,M,2012,Chihuahua,11221,2014-09-25T00:00:00.000,2017-09-25T00:00:00.000,2016
186,187,BO,M,2011,Maltese,11372,2014-09-25T00:00:00.000,2017-10-07T00:00:00.000,2016
187,188,ANGEL,F,2003,Unknown,10469,2014-09-25T00:00:00.000,2016-09-30T00:00:00.000,2016
188,189,COCO,F,2008,German Shepherd Dog,11221,2014-09-26T00:00:00.000,2019-09-26T00:00:00.000,2016
189,190,PORK,F,2011,"Bull Dog, English",10019,2014-09-26T00:00:00.000,2019-09-26T00:00:00.000,2016
190,191,BONNIE,F,2009,Maltese,11358,2014-09-26T00:00:00.000,2016-10-21T00:00:00.000,2016
191,192,SCOOBIE,M,2005,Jack Russell Terrier,11221,2014-09-26T00:00:00.000,2016-06-29T00:00:00.000,2016
192,193,DINO,M,2003,Unknown,11221,2014-09-26T00:00:00.000,2016-07-30T00:00:00.000,2016
193,194,BIANCA,F,2006,Shih Tzu,10023,2014-09-26T00:00:00.000,2017-06-29T00:00:00.000,2016
194,195,CHRISTMAS,F,2008,Miniature Schnauzer,10016,2014-09-26T00:00:00.000,2017-09-26T00:00:00.000,2016
195,196,CHASE,M,2011,Unknown,11414,2014-09-26T00:00:00.000,2019-02-13T00:00:00.000,2016
196,197,LULU,F,2010,"Poodle, Miniature",11211,2014-09-26T00:00:00.000,2018-09-26T00:00:00.000,2016
197,198,HARLEY,F,2014,Pomeranian,10009,2014-09-26T00:00:00.000,2016-09-26T00:00:00.000,2016
198,199,ROCKO,M,2013,Chihuahua,10035,2014-09-27T00:00:00.000,2017-09-27T00:00:00.000,2016
199,200,KINLEY,F,2012,German Shepherd Dog,11377,2014-09-27T00:00:00.000,2019-09-27T00:00:00.000,2016
200,201,AUGIE,M,2008,Pug,11238,2014-09-27T00:00:00.000,2016-10-28T00:00:00.000,2016
201,202,MOJEAU,M,2009,Brussels Griffon,10011,2014-09-27T00:00:00.000,2019-10-14T00:00:00.000,2016
202,203,WENDELL,M,2011,Wire Fox Terrier,10023,2014-09-27T00:00:00.000,2016-08-02T00:00:00.000,2016
203,204,RANGER,M,2014,German Shepherd Dog,11414,2014-09-27T00:00:00.000,2019-09-27T00:00:00.000,2016
204,205,MURPHY,M,2010,Puggle,10463,2014-09-27T00:00:00.000,2017-09-27T00:00:00.000,2016
205,206,SHASHI,F,2009,Jack Russell Terrier,10021,2014-09-27T00:00:00.000,2019-09-27T00:00:00.000,2016
206,207,DAISY,F,2003,"Poodle, Standard",11234,2014-09-27T00:00:00.000,2016-10-30T00:00:00.000,2016
207,208,AJAXX,M,2014,Miniature Pinscher,11222,2014-09-28T00:00:00.000,2016-09-28T00:00:00.000,2016
208,209,TOBY,M,2012,Havanese,10033,2014-09-28T00:00:00.000,2017-09-28T00:00:00.000,2016
209,210,ARCHIE,F,2011,Labrador Retriever,10027,2014-09-28T00:00:00.000,2019-09-28T00:00:00.000,2016
210,211,AJA,F,2010,Unknown,10463,2014-09-28T00:00:00.000,2016-09-26T00:00:00.000,2016
211,212,CODY,M,2012,Pug,10002,2014-09-28T00:00:00.000,2016-04-13T00:00:00.000,2016
212,213,DEXTER,M,2013,Labrador Retriever Crossbreed,10032,2014-09-28T00:00:00.000,2017-09-26T00:00:00.000,2016
213,214,BRIAN,M,2012,"Mastiff, Bull",10027,2014-09-28T00:00:00.000,2017-07-03T00:00:00.000,2016
214,215,BARNEY,M,2004,Beagle,10024,2014-09-29T00:00:00.000,2016-10-01T00:00:00.000,2016
215,216,Q,M,2008,Chihuahua,11222,2014-09-29T00:00:00.000,2019-03-06T00:00:00.000,2016
216,217,OLIVER,M,2012,"Poodle, Miniature",10019,2014-09-29T00:00:00.000,2019-09-29T00:00:00.000,2016
217,218,LOKI,F,2014,German Shepherd Crossbreed,11231,2014-09-29T00:00:00.000,2019-09-29T00:00:00.000,2016
218,219,BECK,M,2012,Dachshund Smooth Coat,10027,2014-09-29T00:00:00.000,2016-09-29T00:00:00.000,2016
219,220,DUKE,M,2012,Unknown,10306,2014-09-29T00:00:00.000,2019-09-06T00:00:00.000,2016
220,221,WENDY,F,2011,German Wirehaired Pointer,10022,2014-09-29T00:00:00.000,2016-09-29T00:00:00.000,2016
221,222,COOPER,M,2014,Unknown,11222,2014-09-29T00:00:00.000,2019-09-29T00:00:00.000,2016
222,223,BELLA,F,2007,Chow Chow,11429,2014-09-29T00:00:00.000,2016-09-29T00:00:00.000,2016
223,224,FINLEY,M,2013,"Poodle, Standard",11215,2014-09-29T00:00:00.000,2017-09-29T00:00:00.000,2016
224,225,ROCKY,M,2004,Chihuahua,11222,2014-09-29T00:00:00.000,2019-04-29T00:00:00.000,2016
225,226,GINNY,F,2004,Unknown,10022,2014-09-29T00:00:00.000,2016-09-29T00:00:00.000,2016
226,227,BENNIE,M,2010,Dachshund Smooth Coat,10471,2014-09-29T00:00:00.000,2017-09-29T00:00:00.000,2016
227,228,KYLA,F,2012,American Pit Bull Terrier/Pit Bull,11209,2014-09-29T00:00:00.000,2016-09-29T00:00:00.000,2016
228,229,COCO,F,2012,Poodle,11378,2014-09-30T00:00:00.000,2016-09-30T00:00:00.000,2016
229,230,SASHA,F,2012,Beagle,10014,2014-09-30T00:00:00.000,2019-09-30T00:00:00.000,2016
230,231,DASHWOOD,M,2014,Shetland Sheepdog,10023,2014-09-30T00:00:00.000,2016-09-30T00:00:00.000,2016
231,232,OLIVER,M,2014,English Setter,11238,2014-09-30T00:00:00.000,2019-09-30T00:00:00.000,2016
